idx,matchtype,partid,ppartid
0,0,n12,4
1,0,n6,2
2,0,n4,1
3,0,n7,5
4,0,n3,3
5,0,n1,0
6,0,n14,7
7,0,n9,6
8,0,n16,8
9,0,n23,10
10,0,n11,9
11,0,n17,15
12,0,n24,12
13,0,n18,11
14,0,n26,13
15,0,n27,16
16,0,n20,14
17,0,n21,17
18,0,n28,19
19,0,n22,18
20,0,n54,23
21,0,n55,25
22,0,n56,20
23,0,n29,21
24,0,n57,39
25,0,n58,40
26,0,n59,33
27,0,n38,24
28,1,n32,undefined
29,0,n31,22
30,0,n39,26
31,1,n33,undefined
32,0,n40,27
33,0,n43,28
34,0,n45,30
35,0,n47,32
36,0,n51,35
37,1,n49,undefined
38,1,n41,undefined
39,0,n44,29
40,0,n46,31
41,0,n50,34
42,1,n42,undefined
43,1,n48,undefined
44,0,n69,44
45,0,n70,43
46,0,n71,42
47,0,n35,36
48,0,n60,41
49,0,n37,38
50,1,n53,undefined
51,0,n36,37
52,1,n52,undefined
53,0,n77,45
54,0,n66,47
55,0,n85,49
56,0,n79,48
57,0,n80,50
58,0,n68,46
59,0,n87,52
60,0,n82,51
61,0,n89,54
62,0,n96,55
63,0,n84,53
64,0,n90,58
65,0,n97,57
66,0,n91,56
67,0,n99,60
68,0,n100,61
69,0,n93,59
70,0,n94,62
71,0,n101,64
72,0,n95,63
73,0,n127,68
74,0,n128,69
75,0,n129,66
76,0,n102,65
77,0,n130,85
78,0,n131,84
79,0,n132,77
80,0,n111,70
81,1,n105,undefined
82,0,n104,67
83,1,n106,undefined
84,1,n112,undefined
85,1,n113,undefined
86,0,n114,71
87,0,n116,73
88,0,n118,75
89,0,n122,78
90,1,n120,undefined
91,0,n115,72
92,0,n117,74
93,1,n119,undefined
94,0,n121,76
95,0,n123,79
96,0,n138,87
97,0,n139,88
98,0,n140,89
99,0,n108,81
100,0,n133,86
101,0,n124,80
102,0,n110,83
103,1,n126,undefined
104,0,n109,82
105,1,n125,undefined
106,0,n170,92
107,0,n171,94
108,0,n145,90
109,0,n172,109
110,0,n173,108
111,0,n174,106
112,0,n154,93
113,1,n148,undefined
114,0,n147,91
115,0,n157,95
116,1,n155,undefined
117,1,n149,undefined
118,1,n156,undefined
119,0,n159,97
120,0,n161,99
121,0,n163,101
122,1,n165,undefined
123,0,n158,96
124,0,n160,98
125,0,n162,100
126,0,n166,102
127,1,n164,undefined
128,0,n180,111
129,0,n181,110
130,0,n151,104
131,0,n175,112
132,0,n167,103
133,0,n153,107
134,1,n169,undefined
135,0,n152,105
136,1,n168,undefined
137,0,n183,113
138,0,n186,116
139,0,n184,114
140,0,n185,115
141,0,n215,122
142,0,n216,118
143,0,n217,117
144,0,n190,119
145,0,n218,135
146,0,n219,129
147,0,n220,130
148,1,n199,undefined
149,1,n193,undefined
150,0,n192,120
151,0,n202,123
152,1,n200,undefined
153,1,n194,undefined
154,0,n201,121
155,0,n204,125
156,0,n208,127
157,0,n210,131
158,1,n206,undefined
159,0,n203,124
160,0,n205,126
161,1,n207,undefined
162,0,n209,128
163,1,n211,undefined
164,0,n233,138
165,0,n234,137
166,0,n235,136
167,0,n196,132
168,0,n221,139
169,0,n198,134
170,1,n212,undefined
171,1,n214,undefined
172,0,n213,133
173,1,n197,undefined
174,0,n237,140
175,0,n240,143
176,0,n238,141
177,0,n239,142
178,0,n227,144
179,0,n228,145
180,0,n229,147
181,0,n231,149
182,0,n230,146
183,0,n232,148
184,0,n244,151
185,0,n245,150
186,0,n259,152
187,0,n262,155
188,0,n260,153
189,0,n261,154
190,0,n251,156
191,0,n252,157
192,0,n253,158
193,0,n255,160
194,0,n254,159
195,0,n256,161
196,0,n267,163
197,0,n266,162
198,0,n269,165
199,0,n272,168
200,0,n268,164
201,0,n271,167
202,0,n273,169
203,0,n270,166
204,0,n278,174
205,0,n276,172
206,0,n279,175
207,0,n274,170
208,0,n277,173
209,0,n275,171
210,0,n284,180
211,0,n282,178
212,0,n285,181
213,0,n280,176
214,0,n283,179
215,0,n281,177
216,0,n291,186
217,0,n288,184
218,0,n292,187
219,0,n286,182
220,0,n289,185
221,0,n287,183
222,0,n301,190
223,0,n302,191
224,0,n303,192
225,0,n304,193
226,0,n293,188
227,0,n294,189
228,0,n305,194
229,0,n306,195
230,0,n295,196
231,0,n296,197
232,0,n297,198
233,0,n307,199
234,0,n308,202
235,0,n298,201
236,0,n299,203
237,0,n300,200
238,0,n318,206
239,0,n319,205
240,0,n309,208
241,0,n310,207
242,0,n311,204
243,0,n322,210
244,0,n315,209
245,0,n350,214
246,0,n324,211
247,0,n325,213
248,0,n317,212
249,0,n352,219
250,0,n353,224
251,0,n354,223
252,0,n355,220
253,0,n326,216
254,0,n327,215
255,0,n330,225
256,0,n328,218
257,0,n331,221
258,0,n329,217
259,1,n332,undefined
260,0,n333,226
261,0,n360,227
262,0,n364,236
263,0,n361,230
264,0,n365,244
265,0,n362,232
266,0,n366,243
267,0,n363,228
268,0,n367,237
269,0,n334,229
270,0,n335,231
271,0,n336,235
272,0,n337,234
273,0,n368,245
274,0,n369,251
275,0,n370,259
276,1,n378,undefined
277,0,n371,246
278,0,n338,240
279,0,n339,241
280,0,n342,249
281,0,n340,239
282,0,n343,248
283,1,n341,undefined
284,1,n344,undefined
285,0,n345,250
286,0,n376,257
287,0,n391,270
288,0,n377,260
289,0,n392,269
290,0,n393,268
291,0,n379,256
