velocity,timing,articulation,id
0.0,0.0,0.0,n1
0.0,0.0,0.0,n4
0.0,0.0,0.0,n3
0.0,0.0,0.0,n6
0.0,0.0,0.0,n7
0.0,0.0,0.0,n12
0.0,0.0,0.0,n9
0.0,0.0,0.0,n14
0.0,0.0,0.0,n11
0.0,0.0,0.0,n16
0.0,0.0,0.0,n17
0.0,0.0,0.0,n23
0.0,0.0,0.0,n18
0.0,0.0,0.0,n24
0.0,0.0,0.0,n20
0.0,0.0,0.0,n26
0.0,0.0,0.0,n21
0.0,0.0,0.0,n27
0.0,0.0,0.0,n22
0.0,0.0,0.0,n28
0.0,0.0,0.0,n29
0.0,0.0,0.0,n54
0.0,0.0,0.0,n55
0.0,0.0,0.0,n56
0.0,0.0,0.0,n31
0.0,0.0,0.0,n33
0.0,0.0,0.0,n38
0.0,0.0,0.0,n57
0.0,0.0,0.0,n58
0.0,0.0,0.0,n59
0.0,0.0,0.0,n32
0.0,0.0,0.0,n39
0.0,0.0,0.0,n40
0.0,0.0,0.0,n41
0.0,0.0,0.0,n42
0.0,0.0,0.0,n43
0.0,0.0,0.0,n44
0.0,0.0,0.0,n45
0.0,0.0,0.0,n46
0.0,0.0,0.0,n47
0.0,0.0,0.0,n48
0.0,0.0,0.0,n49
0.0,0.0,0.0,n50
0.0,0.0,0.0,n51
0.0,0.0,0.0,n52
0.0,0.0,0.0,n53
0.0,0.0,0.0,n35
0.0,0.0,0.0,n36
0.0,0.0,0.0,n37
0.0,0.0,0.0,n60
0.0,0.0,0.0,n69
0.0,0.0,0.0,n70
0.0,0.0,0.0,n71
0.0,0.0,0.0,n66
0.0,0.0,0.0,n77
0.0,0.0,0.0,n68
0.0,0.0,0.0,n79
0.0,0.0,0.0,n80
0.0,0.0,0.0,n85
0.0,0.0,0.0,n82
0.0,0.0,0.0,n87
0.0,0.0,0.0,n84
0.0,0.0,0.0,n89
0.0,0.0,0.0,n90
0.0,0.0,0.0,n96
0.0,0.0,0.0,n91
0.0,0.0,0.0,n97
0.0,0.0,0.0,n93
0.0,0.0,0.0,n99
0.0,0.0,0.0,n94
