xml_id	midi_id	track	channel	pitch	onset
n9	5	0	0	30	1.5357890625000004
n10	6	0	0	42	1.5464728125000005
n1	1	0	0	58	1.5251053125000003
n3	3	0	0	58	3.9770259375000006
n6	7	0	0	59	5.79593437500001
n2	0	0	0	61	1.5104151562500003
n4	2	0	0	61	3.9730195312500007
n7	8	0	0	65	5.78925703125001
n5	4	0	0	66	3.969013125000001
n8	9	0	0	68	5.79059250000001
n20	18	0	0	30	6.603892968750013
n21	20	0	0	42	6.598551093750013
n11	10	0	0	59	6.598551093750013
n12	11	0	0	65	6.586531875000013
n13	12	0	0	68	6.581190000000013
n14	14	0	0	61	9.286849687500034
n17	17	0	0	61	10.460726718750047
n18	16	0	0	64	10.450042968750047
n15	13	0	0	66	9.282843281250035
n16	15	0	0	70	9.266817656250035
n19	19	0	0	70	10.442030156250047
n33	31	0	0	30	12.056611875000058
n34	33	0	0	42	12.019218750000057
n25	27	0	0	63	12.043257187500059
n26	21	0	0	66	12.017883281250057
n31	26	0	0	70	15.028029843750097
n22	22	0	0	71	12.012541406250058
n30	25	0	0	71	14.767613437500094
n32	28	0	0	71	15.341865000000102
n29	23	0	0	73	14.427068906250087
n27	30	0	0	65	15.819962812500108
n28	32	0	0	68	15.822633750000108
n24	34	0	0	73	17.89261031250014
n23	29	0	0	75	15.783905156250107
n40	39	0	0	30	19.13058984375014
n41	40	0	0	42	19.08518390625014
n36	36	0	0	70	19.512533906250148
n35	35	0	0	71	19.05580359375014
n38	38	0	0	73	20.27108015625015
n39	42	0	0	73	20.941485468750155
n37	37	0	0	75	19.879787812500147
n42	43	0	0	70	24.817015781250195
n43	44	0	0	71	25.478072812500198
n63	62	0	0	71	27.94468359375021
n52	45	0	0	42	25.731811875000197
n53	46	0	0	54	26.128446093750203
n45	47	0	0	73	25.683735000000198
n55	50	0	0	54	26.66396906250021
n54	48	0	0	58	26.412900937500204
n46	49	0	0	61	26.424920156250206
n47	51	0	0	66	26.399546250000203
n57	54	0	0	54	27.196821093750206
n56	52	0	0	59	26.915037187500204
n48	53	0	0	61	26.911030781250204
n49	55	0	0	65	26.896340625000207
n59	58	0	0	54	27.674918906250205
n58	57	0	0	58	27.443882812500203
n50	56	0	0	61	27.439876406250203
n51	59	0	0	66	27.415837968750203
n68	61	0	0	49	28.23180937500021
n67	60	0	0	56	27.979405781250207
n60	65	0	0	59	27.966051093750206
n61	63	0	0	61	27.955367343750208
n62	66	0	0	65	27.954031875000208
n70	67	0	0	49	28.700558906250215
n69	64	0	0	56	28.454832656250215
n72	69	0	0	49	29.19601781250021
n71	68	0	0	56	28.943614218750213
n74	73	0	0	49	29.72886984375021
n73	70	0	0	53	29.517865781250208
n64	72	0	0	56	29.48180812500021
n65	74	0	0	61	29.50584656250021
n66	71	0	0	68	29.46978890625021
n84	83	0	0	42	29.995963593750208
n92	deletion
n85	77	0	0	54	30.24703171875021
n75	75	0	0	58	29.99195718750021
n76	deletion
n77	76	0	0	70	29.97860250000021
n86	81	0	0	47	30.512790000000212
n87	80	0	0	54	30.754509843750217
n78	79	0	0	63	30.487416093750213
n79	78	0	0	75	30.488751562500212
n88	84	0	0	46	30.99088781250022
n89	85	0	0	54	31.21791750000022
n80	82	0	0	61	30.98688140625022
n81	86	0	0	73	30.96284296875022
n93	88	0	0	42	31.515727031250222
n90	89	0	0	51	31.505043281250224
n91	91	0	0	54	31.742756718750222
n82	87	0	0	66	31.493024062500222
n83	90	0	0	78	31.468985625000222
n111	93	0	0	42	31.98047015625022
n104	96	0	0	49	32.015192343750215
n105	95	0	0	54	32.26091859375018
n94	92	0	0	65	31.98581203125022
n95	94	0	0	77	31.96177359375022
n112	97	0	0	42	32.51198671875017
n106	101	0	0	47	32.491954687500176
n107	100	0	0	54	32.76305484375014
n96	98	0	0	63	32.51198671875017
n97	99	0	0	75	32.51065125000017
n113	deletion
