xml_id	midi_id	track	channel	pitch	onset
n9	3	1	0	30	1.0130208333333333
n10	4	1	0	42	1.0611979166666667
n1	0	1	0	58	0.9765625
n3	2	1	0	58	3.822916666666668
n6	8	1	0	59	5.519531249999996
n11	11	1	0	59	6.144531249999995
n2	1	1	0	61	0.9765625
n4	6	1	0	61	3.834635416666668
n7	9	1	0	65	5.5104166666666625
n12	10	1	0	65	6.152343749999995
n5	5	1	0	66	3.819010416666668
n8	7	1	0	68	5.503906249999996
n13	12	1	0	68	6.144531249999995
n20	17	1	0	30	6.156249999999995
n21	18	1	0	42	6.167968749999995
n14	14	1	0	61	8.83854166666666
n17	16	1	0	61	10.093749999999998
n18	19	1	0	64	10.088541666666664
n15	15	1	0	66	8.82291666666666
n16	13	1	0	70	8.804687499999993
n19	20	1	0	70	10.06380208333333
n33	29	1	0	30	11.429687500000005
n34	32	1	0	42	11.473958333333337
n25	22	1	0	63	11.496093750000005
n26	23	1	0	66	11.50130208333334
n31	26	1	0	70	14.227864583333352
n22	21	1	0	71	11.483072916666671
n30	25	1	0	71	14.076822916666684
n32	27	1	0	71	14.385416666666687
n29	24	1	0	73	13.924479166666682
n27	30	1	0	65	14.67838541666669
n28	31	1	0	68	14.667968750000023
n24	33	1	0	73	16.73046875000002
n23	28	1	0	75	14.660156250000023
n40	39	1	0	30	17.811197916666686
n41	40	1	0	42	17.856770833333353
n36	35	1	0	70	18.213541666666682
n35	34	1	0	71	17.881510416666686
n38	37	1	0	73	18.77604166666668
n39	41	1	0	73	19.154947916666675
n37	36	1	0	75	18.496093750000014
n42	42	1	0	70	22.072916666666657
n43	43	1	0	71	22.436197916666654
n63	65	1	0	71	24.486979166666632
n52	44	1	0	42	22.701822916666654
n53	45	1	0	54	22.906249999999982
n45	46	1	0	73	22.627604166666654
n55	50	1	0	54	23.354166666666647
n54	47	1	0	58	23.136718749999982
n46	49	1	0	61	23.156249999999982
n47	48	1	0	66	23.121093749999982
n57	53	1	0	54	23.81770833333331
n56	51	1	0	59	23.58984374999998
n48	52	1	0	61	23.576822916666647
n49	54	1	0	65	23.569010416666647
n59	57	1	0	54	24.24088541666664
n58	55	1	0	58	24.031249999999975
n50	56	1	0	61	24.042968749999975
n61	deletion
n51	58	1	0	66	24.027343749999975
n68	60	1	0	49	24.755208333333297
n67	59	1	0	56	24.492187499999968
n60	64	1	0	59	24.5130208333333
n62	63	1	0	65	24.499999999999968
n70	62	1	0	49	25.191406249999964
n69	61	1	0	56	24.988281249999964
n72	66	1	0	49	25.669270833333293
n71	67	1	0	56	25.429687499999964
n64	deletion
n74	69	1	0	49	26.10677083333329
n73	68	1	0	53	25.88802083333329
n65	deletion
n66	71	1	0	68	25.87630208333329
n84	80	1	0	42	26.36067708333329
n92	deletion
n85	74	1	0	54	26.583333333333282
n75	72	1	0	58	26.382812499999954
n76	deletion
n77	73	1	0	70	26.338541666666625
n86	75	1	0	47	26.808593749999947
n87	78	1	0	54	27.062499999999943
n78	76	1	0	63	26.878906249999947
n79	77	1	0	75	26.82942708333328
n88	82	1	0	46	27.260416666666607
n89	83	1	0	54	27.49348958333327
n80	79	1	0	61	27.287760416666607
n81	81	1	0	73	27.272135416666607
n93	84	1	0	42	27.74739583333327
n90	85	1	0	51	27.74218749999994
n91	88	1	0	54	27.960937499999936
n82	87	1	0	66	27.75911458333327
n83	86	1	0	78	27.72395833333327
n111	90	1	0	42	28.2604166666666
n112	deletion
n104	91	1	0	49	28.226562499999936
n105	93	1	0	54	28.472656249999932
n94	89	1	0	65	28.2447916666666
n95	92	1	0	77	28.2291666666666
n106	96	1	0	47	28.69531249999993
n107	97	1	0	54	28.91536458333326
n96	95	1	0	63	28.705729166666593
n97	94	1	0	75	28.694010416666597
n113	deletion
n108	101	1	0	46	29.173177083333254
n109	105	1	0	54	29.415364583333254
n98	98	1	0	61	29.187499999999922
n99	99	1	0	73	29.156249999999922
n103	104	1	0	66	29.942708333333254
n100	100	1	0	70	29.658854166666586
n102	103	1	0	70	29.86328124999992
n101	102	1	0	71	29.755208333333254
n117	109	1	0	68	30.330729166666593
n114	106	1	0	71	30.039062499999922
n116	108	1	0	71	30.233072916666593
n115	107	1	0	73	30.130208333333258
n125	110	1	0	49	30.459635416666593
n126	111	1	0	53	30.55859374999993
n127	112	1	0	56	30.674479166666597
n128	113	1	0	59	30.779947916666597
n118	114	1	0	65	30.441406249999925
n129	116	1	0	47	30.923177083333265
n123	119	1	0	68	31.6861979166666
n120	115	1	0	71	31.386718749999932
n122	118	1	0	71	31.5807291666666
n121	117	1	0	73	31.468749999999932
n134	123	1	0	70	32.089843749999936
n131	120	1	0	73	31.7916666666666
n133	122	1	0	73	31.993489583333268
n132	121	1	0	75	31.8971354166666
n141	124	1	0	46	32.18489583333327
n142	125	1	0	49	32.289062499999936
n143	126	1	0	54	32.40104166666661
n144	127	1	0	58	32.48567708333327
n135	129	1	0	66	32.195312499999936
n145	128	1	0	46	32.65494791666661
n146	131	1	0	42	33.11328124999994
n147	132	1	0	44	33.239583333333286
n148	134	1	0	46	33.37109374999995
n139	135	1	0	75	33.380208333333286
n138	133	1	0	77	33.24869791666662
n137	130	1	0	78	33.11458333333328
n161	142	1	0	47	33.52343749999995
n151	138	1	0	70	33.82812499999995
n150	137	1	0	71	33.677083333333286
n149	136	1	0	73	33.520833333333286
n154	141	1	0	65	34.21744791666662
n153	140	1	0	66	34.088541666666615
n152	139	1	0	68	33.950520833333286
n162	148	1	0	49	34.35286458333329
n164	deletion
n157	145	1	0	60	34.62239583333329
n156	144	1	0	61	34.48828124999996
n155	143	1	0	63	34.35156249999996
n163	149	1	0	59	34.76822916666663
n158	146	1	0	61	34.77213541666663
n159	147	1	0	63	34.933593749999964
n160	150	1	0	65	35.08854166666663
n174	151	1	0	54	35.30078124999996
n175	152	1	0	58	35.29817708333329
n165	159	1	0	61	35.32291666666662
n166	153	1	0	66	35.30338541666662
n176	deletion
n177	154	1	0	56	35.821614583333286
n167	deletion
