idx,matchtype,partid,ppartid
0,0,n7,5
1,0,n5,1
2,0,n6,2
3,0,n8,6
4,0,n3,4
5,0,n1,3
6,0,n2,0
7,0,n4,7
8,0,n15,10
9,0,n16,11
10,0,n9,8
11,0,n10,9
12,0,n19,14
13,1,n20,undefined
14,0,n13,12
15,0,n14,13
16,0,n29,16
17,0,n30,19
18,1,n23,undefined
19,0,n21,15
20,0,n24,18
21,0,n22,17
22,0,n31,21
23,0,n32,23
24,0,n27,24
25,0,n25,22
26,0,n28,25
27,0,n26,20
28,0,n36,27
29,0,n33,26
30,0,n34,28
31,0,n42,32
32,0,n43,31
33,0,n38,29
34,0,n39,30
35,0,n44,35
36,0,n45,33
37,0,n40,34
38,0,n41,36
39,0,n51,37
40,0,n52,39
41,0,n46,40
42,0,n47,38
43,0,n54,44
44,0,n55,41
45,0,n49,42
46,0,n50,43
47,0,n68,46
48,0,n64,47
49,0,n65,49
50,0,n58,51
51,0,n56,45
52,0,n59,50
53,0,n57,48
54,0,n69,53
55,1,n70,undefined
56,0,n66,55
57,0,n67,58
58,0,n62,56
59,0,n60,54
60,0,n63,57
61,0,n61,52
62,0,n76,60
63,0,n74,62
64,0,n71,59
65,0,n72,61
66,0,n81,65
67,0,n77,63
68,0,n78,64
69,0,n82,66
70,0,n79,68
71,0,n80,67
72,0,n88,69
73,0,n83,70
74,0,n84,71
75,0,n90,72
76,0,n86,73
77,0,n87,74
78,0,n98,77
79,0,n99,79
80,0,n95,75
81,0,n92,78
82,0,n91,76
83,1,n101,undefined
84,0,n100,81
85,0,n97,83
86,0,n96,82
87,0,n93,80
88,0,n94,84
89,0,n110,87
90,0,n111,90
91,0,n104,88
92,0,n103,86
93,0,n105,89
94,0,n102,85
95,0,n113,96
96,0,n112,93
97,0,n108,94
98,0,n106,91
99,0,n107,92
100,0,n109,95
101,0,n123,102
102,0,n122,99
103,0,n116,100
104,0,n114,97
105,0,n115,98
106,0,n117,101
107,0,n125,108
108,0,n124,105
109,0,n118,103
110,0,n120,106
111,0,n119,104
112,0,n121,107
113,0,n135,114
114,0,n134,111
115,0,n126,109
116,0,n128,112
117,0,n127,110
118,0,n129,113
119,0,n136,116
120,0,n137,120
121,0,n130,115
122,0,n132,118
123,0,n131,117
124,0,n133,119
125,0,n146,122
126,0,n147,125
127,0,n138,121
128,0,n140,124
129,0,n139,123
130,0,n141,126
131,0,n148,128
132,0,n149,132
133,0,n144,130
134,0,n142,127
135,0,n143,129
136,0,n145,131
137,0,n158,133
138,0,n159,137
139,0,n152,136
140,0,n151,135
141,0,n153,138
142,0,n150,134
143,0,n161,144
144,0,n160,141
145,0,n156,142
146,0,n154,139
147,0,n155,140
148,0,n157,143
149,0,n171,150
150,0,n170,146
151,0,n164,148
152,0,n162,145
153,0,n163,147
154,0,n165,149
155,0,n173,155
156,0,n172,153
157,0,n166,151
158,0,n168,154
159,0,n167,152
160,0,n169,157
161,0,n183,162
162,0,n182,158
163,0,n174,156
164,0,n176,160
165,0,n175,159
166,0,n177,161
167,0,n184,164
168,0,n185,167
169,0,n178,163
170,0,n180,166
171,0,n181,168
172,1,n179,undefined
173,0,n194,171
174,0,n195,173
175,0,n186,169
176,0,n188,172
177,0,n187,170
178,0,n189,174
179,0,n196,177
180,0,n197,179
181,0,n192,178
182,0,n190,175
183,0,n191,176
184,0,n193,180
185,0,n207,183
186,0,n208,184
187,1,n200,undefined
188,0,n198,181
189,0,n201,185
190,0,n199,182
191,0,n202,186
192,0,n209,189
193,0,n210,190
194,0,n203,187
195,0,n205,191
196,0,n204,188
197,0,n206,192
198,0,n219,196
199,0,n220,195
200,0,n211,193
201,0,n213,197
202,0,n212,194
203,0,n214,198
204,0,n221,201
205,0,n222,202
206,0,n215,199
207,0,n217,203
208,0,n216,200
209,0,n218,204
210,0,n231,210
211,0,n232,207
212,0,n226,211
213,0,n227,212
214,0,n223,208
215,0,n224,206
216,0,n225,209
217,0,n234,213
218,0,n235,214
219,0,n229,215
220,0,n230,216
221,0,n243,217
222,0,n244,218
223,0,n238,219
224,0,n239,220
225,0,n246,221
226,0,n247,222
227,0,n241,223
228,0,n242,224
229,0,n255,225
230,0,n256,226
231,0,n250,227
232,0,n251,228
233,0,n258,229
234,0,n259,230
235,0,n253,231
236,0,n254,232
237,0,n267,234
238,0,n268,235
239,0,n262,236
240,0,n263,237
241,0,n270,238
242,0,n271,239
243,0,n265,240
244,0,n266,241
245,0,n279,242
246,0,n280,243
247,0,n274,244
248,0,n275,245
249,0,n282,246
250,0,n283,247
251,0,n277,248
252,0,n278,249
253,0,n291,250
254,0,n292,251
255,0,n286,252
256,0,n287,253
257,0,n294,254
258,0,n295,255
259,0,n289,256
260,0,n290,257
261,0,n303,258
262,0,n304,259
263,0,n298,260
264,0,n299,261
265,0,n306,262
266,0,n307,263
267,0,n301,264
268,0,n302,265
269,0,n315,266
270,0,n316,267
271,0,n310,268
272,0,n311,269
273,0,n318,270
274,0,n319,271
275,0,n313,272
276,0,n314,273
277,0,n327,274
278,0,n328,275
279,0,n322,276
280,0,n323,277
281,0,n330,278
282,0,n331,279
283,0,n325,280
284,0,n326,281
285,0,n340,283
286,0,n339,282
287,0,n334,284
288,0,n335,285
289,0,n342,286
290,0,n343,287
291,0,n337,288
292,0,n338,289
293,0,n349,291
294,0,n350,292
295,0,n345,290
296,0,n346,293
297,0,n351,295
298,0,n352,296
299,0,n347,294
300,0,n348,297
301,0,n359,298
302,0,n360,300
303,0,n353,299
304,0,n354,301
305,0,n363,305
306,0,n364,304
307,0,n357,303
308,0,n358,302
309,0,n373,308
310,0,n374,309
311,1,n367,undefined
