xml_id	midi_id	track	channel	pitch	onset
n3	2	1	0	58	3.565104166666666
n1	1	1	0	63	1.0429687499999998
n4	3	1	0	65	3.5833333333333326
n2	0	1	0	67	1.0377604166666665
n10	5	1	0	36	7.014322916666665
n11	6	1	0	48	6.994791666666665
n6	4	1	0	55	6.986979166666665
n7	7	1	0	63	6.980468749999998
n12	10	1	0	48	11.032552083333334
n13	11	1	0	51	11.002604166666668
n8	9	1	0	63	11.018229166666668
n9	8	1	0	68	11.91536458333334
n24	13	1	0	46	12.246093750000005
n26	17	1	0	46	13.438802083333341
n25	12	1	0	52	12.205729166666671
n27	18	1	0	52	13.433593750000007
n14	14	1	0	67	12.199218750000005
n15	16	1	0	67	13.416666666666673
n16	15	1	0	73	14.27734375000001
n30	29	1	0	44	15.919270833333348
n28	21	1	0	45	14.587239583333345
n29	19	1	0	53	14.58203125000001
n31	27	1	0	54	15.917968750000014
n22	25	1	0	71	16.417968750000007
n17	20	1	0	72	14.559895833333345
n18	22	1	0	72	15.934895833333348
n21	24	1	0	72	16.34765625000001
n23	26	1	0	72	16.496093750000004
n20	23	1	0	74	16.24609375000001
n19	28	1	0	74	16.751302083333332
n47	41	1	0	43	17.174479166666664
n43	30	1	0	55	17.166666666666664
n44	33	1	0	57	18.569010416666657
n37	31	1	0	63	17.166666666666664
n38	32	1	0	63	18.579427083333325
n39	34	1	0	66	18.55468749999999
n33	36	1	0	72	19.22395833333332
n32	35	1	0	75	17.173177083333332
n45	40	1	0	59	20.04557291666665
n40	37	1	0	62	20.040364583333318
n41	38	1	0	67	20.035156249999986
n34	39	1	0	71	20.011718749999986
n35	42	1	0	79	22.049479166666643
n36	43	1	0	87	22.792968749999968
n63	51	1	0	55	23.7552083333333
n59	44	1	0	67	23.7395833333333
n60	47	1	0	69	25.1966145833333
n52	45	1	0	75	23.729166666666632
n53	48	1	0	75	25.1966145833333
n54	46	1	0	78	25.183593749999968
n49	50	1	0	84	25.8489583333333
n48	49	1	0	87	23.7356770833333
n64	58	1	0	67	28.059895833333297
n62	60	1	0	70	28.055989583333297
n61	54	1	0	71	26.5989583333333
n55	52	1	0	74	26.600260416666632
n57	57	1	0	74	28.063802083333297
n56	55	1	0	79	26.5911458333333
n58	56	1	0	79	28.052083333333297
n51	59	1	0	82	28.058593749999964
n50	53	1	0	83	26.580729166666632
n79	64	1	0	63	31.47526041666662
n77	62	1	0	65	29.92968749999996
n80	66	1	0	67	31.458333333333286
n78	63	1	0	68	29.92968749999996
n75	67	1	0	70	29.92578124999996
n72	61	1	0	74	29.915364583333293
n73	65	1	0	75	31.468749999999954
n65	68	1	0	82	29.919270833333293
n83	76	1	0	58	34.77994791666664
n81	70	1	0	62	33.25520833333329
n84	78	1	0	62	34.78385416666664
n82	69	1	0	65	33.23567708333329
n71	77	1	0	68	35.82421874999999
n69	74	1	0	69	34.77994791666664
n67	72	1	0	70	33.84374999999998
n70	75	1	0	70	35.249999999999986
n68	73	1	0	72	34.32291666666664
n74	71	1	0	77	33.21614583333329
n85	80	1	0	58	36.658854166666664
n86	79	1	0	61	36.658854166666664
n87	81	1	0	64	36.654947916666664
n88	82	1	0	67	36.658854166666664
n93	84	1	0	34	39.09895833333334
n94	85	1	0	46	39.09765625000001
n89	87	1	0	56	39.07942708333334
n90	86	1	0	62	39.08072916666668
n91	83	1	0	65	39.09114583333334
n100	89	1	0	35	43.505208333333364
n102	95	1	0	47	47.27473958333338
n101	deletion
n95	88	1	0	54	43.49609375000003
n96	90	1	0	63	43.481770833333364
n103	91	1	0	54	47.260416666666714
n99	93	1	0	63	47.25781250000005
n97	94	1	0	66	47.25390625000005
n98	92	1	0	71	48.21614583333338
n117	98	1	0	49	48.583333333333385
n119	104	1	0	49	50.18880208333341
n118	97	1	0	54	48.63281250000006
n120	100	1	0	54	50.17317708333341
n110	96	1	0	64	48.57421875000005
n111	101	1	0	64	50.15625000000007
n105	103	1	0	70	50.151041666666735
n104	99	1	0	71	48.57812500000005
n106	102	1	0	76	51.19791666666675
n123	115	1	0	46	52.968750000000085
n121	109	1	0	47	51.595052083333414
n122	107	1	0	54	51.58593750000008
n124	117	1	0	54	52.972656250000085
n112	105	1	0	63	51.575520833333414
n115	112	1	0	74	53.523437500000085
