idx,matchtype,partid,ppartid
0,0,n3,2
1,0,n1,1
2,0,n4,3
3,0,n2,0
4,0,n10,5
5,0,n11,6
6,0,n6,4
7,0,n7,7
8,0,n12,10
9,0,n13,11
10,0,n8,9
11,0,n9,8
12,0,n24,13
13,0,n26,17
14,0,n25,12
15,0,n27,18
16,0,n14,14
17,0,n15,16
18,0,n16,15
19,0,n30,29
20,0,n28,21
21,0,n29,19
22,0,n31,27
23,0,n22,25
24,0,n17,20
25,0,n18,22
26,0,n21,24
27,0,n23,26
28,0,n20,23
29,0,n19,28
30,0,n47,41
31,0,n43,30
32,0,n44,33
33,0,n37,31
34,0,n38,32
35,0,n39,34
36,0,n33,36
37,0,n32,35
38,0,n45,40
39,0,n40,37
40,0,n41,38
41,0,n34,39
42,0,n35,42
43,0,n36,43
44,0,n63,51
45,0,n59,44
46,0,n60,47
47,0,n52,45
48,0,n53,48
49,0,n54,46
50,0,n49,50
51,0,n48,49
52,0,n64,58
53,0,n62,60
54,0,n61,54
55,0,n55,52
56,0,n57,57
57,0,n56,55
58,0,n58,56
59,0,n51,59
60,0,n50,53
61,0,n79,64
62,0,n77,62
63,0,n80,66
64,0,n78,63
65,0,n75,67
66,0,n72,61
67,0,n73,65
68,0,n65,68
69,0,n83,76
70,0,n81,70
71,0,n84,78
72,0,n82,69
73,0,n71,77
74,0,n69,74
75,0,n67,72
76,0,n70,75
77,0,n68,73
78,0,n74,71
79,0,n85,80
80,0,n86,79
81,0,n87,81
82,0,n88,82
83,0,n93,84
84,0,n94,85
85,0,n89,87
86,0,n90,86
87,0,n91,83
88,0,n100,89
89,0,n102,95
90,1,n101,undefined
91,0,n95,88
92,0,n96,90
93,0,n103,91
94,0,n99,93
95,0,n97,94
96,0,n98,92
97,0,n117,98
98,0,n119,104
99,0,n118,97
100,0,n120,100
101,0,n110,96
102,0,n111,101
103,0,n105,103
104,0,n104,99
105,0,n106,102
106,0,n123,115
107,0,n121,109
108,0,n122,107
109,0,n124,117
110,0,n112,105
111,0,n115,112
112,0,n107,106
113,0,n108,108
114,0,n114,111
115,0,n116,113
116,0,n113,110
117,0,n109,114
118,0,n142,121
119,0,n139,118
120,0,n130,116
121,0,n131,122
122,0,n126,119
123,0,n125,120
124,0,n144,133
125,0,n143,125
126,0,n141,135
127,0,n140,124
128,0,n132,123
129,0,n133,134
130,0,n136,130
131,0,n128,127
132,0,n135,129
133,0,n137,131
134,0,n127,126
135,0,n134,128
136,0,n129,132
137,0,n159,141
138,0,n156,136
139,0,n151,137
140,0,n147,140
141,0,n146,139
142,0,n145,138
143,0,n161,147
144,0,n160,142
145,0,n162,150
146,0,n157,144
147,0,n158,146
148,0,n153,148
149,0,n152,143
150,0,n154,151
151,0,n148,145
152,0,n149,149
153,0,n181,153
154,0,n182,154
155,0,n183,152
156,0,n163,156
157,0,n164,157
158,0,n165,155
159,0,n166,158
160,0,n189,172
161,0,n192,178
162,0,n186,159
163,0,n187,163
164,0,n190,167
165,0,n193,176
166,0,n191,169
167,0,n194,177
168,0,n188,161
169,0,n169,162
170,0,n173,168
171,0,n177,173
172,0,n174,170
173,0,n178,174
174,0,n170,160
175,0,n171,165
176,0,n175,171
177,0,n179,175
178,0,n172,164
179,0,n176,166
180,0,n180,179
181,0,n206,180
182,0,n207,183
183,0,n208,184
184,0,n195,181
185,0,n196,185
186,0,n197,182
187,0,n213,191
188,0,n215,195
189,0,n211,189
190,0,n214,193
191,0,n216,197
192,0,n212,188
193,0,n200,186
194,0,n202,190
195,0,n204,194
196,0,n201,187
