idx,matchtype,partid,ppartid
0,0,n3,2
1,0,n1,0
2,0,n4,3
3,0,n2,1
4,0,n10,4
5,0,n11,6
6,0,n6,5
7,0,n7,7
8,0,n12,10
9,0,n13,11
10,2,undefined,8
11,0,n8,9
12,0,n9,12
13,0,n24,15
14,0,n26,19
15,0,n25,14
16,0,n27,16
17,0,n14,13
18,0,n15,17
19,0,n16,18
20,0,n30,29
21,0,n28,22
22,0,n29,20
23,0,n31,27
24,0,n22,26
25,0,n17,21
26,0,n18,23
27,0,n21,25
28,0,n23,28
29,0,n20,24
30,0,n19,30
31,0,n47,43
32,0,n43,32
33,0,n44,35
34,0,n37,31
35,0,n38,34
36,0,n39,36
37,0,n33,37
38,0,n32,33
39,0,n45,39
40,0,n40,40
41,0,n41,41
42,0,n34,42
43,0,n35,44
44,0,n36,45
45,0,n48,48
46,0,n63,53
47,0,n59,47
48,0,n60,51
49,0,n52,46
50,0,n53,49
51,0,n54,50
52,0,n49,52
53,0,n64,61
54,0,n62,58
55,2,undefined,60
56,0,n61,54
57,0,n55,55
58,0,n57,59
59,0,n56,57
60,0,n58,63
61,0,n51,62
62,0,n50,56
63,0,n79,68
64,0,n77,64
65,0,n80,67
66,0,n78,65
67,0,n75,72
68,0,n72,66
69,0,n73,69
70,0,n65,70
71,0,n83,81
72,0,n81,74
73,0,n84,80
74,0,n82,73
75,0,n71,79
76,0,n69,77
77,0,n67,75
78,0,n70,78
79,0,n68,76
80,0,n74,71
81,0,n85,83
82,0,n86,85
83,0,n87,82
84,0,n88,86
85,0,n93,87
86,0,n94,88
87,0,n89,89
88,0,n90,90
89,0,n91,91
90,0,n100,93
91,0,n101,94
92,0,n95,92
93,0,n96,95
94,0,n102,100
95,0,n103,97
96,0,n99,96
97,0,n97,98
98,0,n98,99
99,0,n117,103
100,0,n119,109
101,0,n118,102
102,0,n120,105
103,0,n110,101
104,0,n111,106
105,0,n105,107
106,0,n104,104
107,0,n106,108
108,0,n123,120
109,0,n121,113
110,0,n122,111
111,0,n124,122
112,0,n112,110
113,0,n115,117
114,0,n107,112
115,0,n108,114
116,0,n114,116
117,0,n116,118
118,0,n113,115
119,0,n109,119
120,0,n142,127
121,0,n139,125
122,0,n130,121
123,0,n131,124
124,0,n126,126
125,0,n125,123
126,0,n144,138
127,0,n143,131
128,0,n141,140
129,0,n140,128
130,0,n132,130
131,0,n133,139
132,0,n136,135
133,0,n128,132
134,0,n135,134
135,0,n137,136
136,0,n127,129
137,0,n134,133
138,0,n129,137
139,0,n159,142
140,0,n156,144
141,0,n151,141
142,2,undefined,145
143,0,n147,147
144,0,n146,146
145,0,n145,143
146,0,n161,155
147,0,n160,151
148,0,n162,157
149,0,n157,149
150,0,n158,154
151,0,n153,156
152,0,n152,148
153,0,n154,152
154,0,n148,150
155,0,n149,153
