idx,matchtype,partid,ppartid
0,0,n9,4
1,0,n6,2
2,0,n8,6
3,0,n7,3
4,0,n4,5
5,1,n5,undefined
6,0,n2,1
7,0,n1,0
8,0,n3,7
9,0,n20,14
10,0,n17,11
11,0,n15,10
12,1,n16,undefined
13,0,n11,9
14,0,n10,8
15,0,n12,12
16,0,n19,15
17,0,n18,13
18,0,n13,17
19,0,n14,16
20,0,n30,19
21,0,n31,20
22,0,n27,21
23,0,n23,23
24,0,n22,22
25,0,n21,18
26,0,n33,26
27,0,n34,25
28,0,n28,27
29,0,n25,28
30,0,n24,24
31,0,n26,29
32,0,n48,32
33,0,n49,31
34,0,n43,33
35,0,n44,34
36,0,n35,30
37,0,n36,39
38,0,n50,37
39,0,n51,36
40,0,n45,35
41,0,n46,38
42,0,n40,42
43,0,n41,41
44,0,n39,43
45,0,n38,40
46,0,n42,44
47,0,n63,52
48,0,n60,47
49,0,n58,48
50,1,n59,undefined
51,0,n54,46
52,0,n53,45
53,0,n55,51
54,0,n62,50
55,0,n61,49
56,0,n56,54
57,0,n57,53
58,0,n76,61
59,0,n73,59
60,0,n71,57
61,1,n72,undefined
62,0,n67,56
63,1,n64,undefined
64,0,n66,55
65,0,n68,58
66,1,n65,undefined
67,0,n75,62
68,0,n74,60
69,0,n69,64
70,0,n70,63
71,0,n88,67
72,0,n89,66
73,0,n84,68
74,0,n79,70
75,0,n78,69
76,0,n77,65
77,0,n91,73
78,0,n92,72
79,0,n86,74
80,0,n81,75
81,0,n80,71
82,0,n82,76
83,0,n103,79
84,0,n104,80
85,0,n100,78
86,0,n93,77
87,0,n94,84
88,0,n105,82
89,0,n112,94
90,0,n109,89
91,0,n106,83
92,0,n107,86
93,0,n113,92
94,0,n110,90
95,0,n101,81
96,0,n108,85
97,0,n111,88
98,0,n114,93
99,0,n97,91
100,0,n96,87
101,0,n98,95
102,0,n127,99
103,0,n130,107
104,0,n128,98
105,0,n131,106
106,0,n129,100
107,0,n132,108
108,0,n126,103
109,0,n123,97
110,0,n125,102
111,0,n116,104
112,0,n115,96
113,0,n124,101
114,0,n117,105
115,0,n139,115
116,0,n142,119
117,0,n136,110
118,0,n140,113
119,0,n143,117
120,0,n137,111
121,0,n141,114
122,0,n144,120
123,0,n138,109
124,0,n120,116
125,0,n118,112
126,0,n122,121
