idx,matchtype,partid,ppartid
0,0,n9,3
1,0,n6,2
2,0,n8,7
3,0,n7,5
4,0,n4,4
5,0,n15,11
6,1,n16,undefined
7,1,n5,undefined
8,0,n2,1
9,0,n1,0
10,0,n3,6
11,0,n20,14
12,0,n17,10
13,0,n11,9
14,0,n10,8
15,0,n12,12
16,0,n19,15
17,0,n18,13
18,0,n13,17
19,0,n14,16
20,0,n30,21
21,0,n31,22
22,0,n27,20
23,0,n23,23
24,0,n22,19
25,0,n21,18
26,0,n33,29
27,0,n34,28
28,0,n28,25
29,0,n25,26
30,0,n24,24
31,0,n26,27
32,0,n48,31
33,0,n49,33
34,0,n43,32
35,0,n44,34
36,0,n35,30
37,0,n36,39
38,0,n50,35
39,0,n51,36
40,0,n45,37
41,0,n46,38
42,0,n40,42
43,0,n41,41
44,0,n39,43
45,0,n38,40
46,0,n42,44
47,0,n63,50
48,0,n60,47
49,0,n58,49
50,1,n59,undefined
51,0,n54,46
52,0,n53,45
53,0,n55,52
54,0,n62,51
55,0,n61,48
56,0,n64,53
57,1,n56,undefined
58,0,n57,54
59,1,n65,undefined
60,0,n76,59
61,0,n73,57
62,0,n71,60
63,1,n72,undefined
64,0,n67,56
65,0,n66,55
66,0,n68,62
67,0,n75,61
68,0,n74,58
69,0,n69,64
70,0,n70,63
71,0,n88,70
72,0,n89,69
73,0,n84,67
74,0,n79,68
75,0,n78,66
76,0,n77,65
77,0,n91,76
78,0,n92,74
79,0,n86,75
80,0,n81,72
81,0,n80,71
82,0,n82,73
83,0,n103,80
84,0,n104,79
85,0,n100,78
86,0,n93,77
87,0,n94,84
88,0,n105,82
89,0,n112,93
90,0,n109,89
91,0,n106,83
92,0,n107,86
93,0,n113,94
94,0,n110,90
95,0,n101,81
96,0,n108,85
97,0,n111,88
98,0,n114,92
99,0,n97,91
100,0,n96,87
101,0,n98,95
102,0,n127,97
103,0,n130,107
104,0,n128,99
105,0,n131,108
106,0,n129,96
107,0,n132,106
108,0,n126,103
109,0,n123,100
110,0,n125,102
111,0,n116,104
112,0,n115,98
113,0,n124,101
114,0,n117,105
115,0,n139,112
116,0,n142,119
117,0,n136,109
118,0,n140,114
119,0,n143,120
120,0,n137,110
121,0,n141,115
122,0,n144,118
123,0,n138,111
124,0,n120,117
125,0,n118,113
126,0,n122,121
127,0,n121,116
128,0,n151,124
129,0,n154,128
130,0,n152,123
131,0,n155,127
132,0,n153,122
133,0,n156,129
134,0,n145,125
135,0,n147,130
136,0,n146,126
137,0,n150,132
138,0,n149,131
139,0,n172,138
140,0,n167,136
141,0,n166,135
142,0,n163,137
143,0,n164,139
144,0,n159,134
145,0,n158,133
146,0,n160,141
147,0,n168,140
148,0,n169,144
149,0,n170,143
150,0,n171,142
151,0,n165,146
152,0,n162,147
153,0,n161,145
154,0,n192,157
155,0,n189,148
156,0,n190,150
157,0,n193,158
158,0,n194,156
159,0,n191,149
160,0,n185,159
161,0,n183,152
162,0,n184,153
163,0,n186,161
164,0,n174,155
165,0,n173,151
166,0,n176,162
167,0,n175,160
168,0,n195,168
169,0,n196,167
170,0,n197,165
171,0,n187,163
172,0,n188,164
173,0,n179,170
174,0,n178,169
175,0,n180,171
176,0,n177,166
177,0,n181,172
178,0,n182,173
179,0,n202,177
180,0,n201,176
181,0,n200,175
182,0,n203,178
183,0,n199,174
184,0,n204,179
185,0,n210,185
186,0,n205,180
187,0,n208,183
188,0,n206,181
189,0,n209,184
190,0,n211,186
191,0,n207,182
192,0,n212,187
193,0,n217,191
194,0,n220,194
195,0,n213,188
196,0,n214,189
197,0,n223,197
198,0,n222,196
199,0,n219,193
200,0,n221,195
201,0,n218,192
202,0,n216,190
203,0,n231,205
204,0,n230,204
205,0,n227,201
206,0,n229,203
207,0,n226,200
208,0,n225,199
209,0,n228,202
210,0,n224,198
211,0,n238,206
212,0,n241,209
213,0,n244,214
214,0,n247,216
215,0,n239,207
216,0,n242,210
217,0,n245,213
218,0,n248,217
219,0,n240,208
220,0,n243,211
221,0,n246,215
222,0,n249,218
223,0,n234,225
224,0,n233,212
225,0,n250,219
226,0,n253,223
227,0,n256,226
228,0,n259,230
229,0,n251,220
230,0,n254,222
231,0,n257,227
232,0,n260,231
233,0,n252,221
234,0,n255,224
235,0,n258,228
236,0,n261,233
237,0,n278,236
238,0,n281,243
239,0,n237,232
240,0,n262,237
241,0,n236,229
242,0,n276,235
243,0,n279,240
244,0,n282,245
245,0,n285,250
246,0,n277,234
247,0,n280,239
248,0,n283,246
249,0,n286,249
250,0,n284,247
251,0,n287,251
252,0,n275,244
253,0,n272,238
254,0,n274,242
255,0,n263,248
256,0,n273,241
257,0,n264,252
258,0,n294,261
259,0,n297,266
260,0,n291,259
261,0,n288,256
262,0,n295,262
263,0,n298,268
264,0,n292,257
265,0,n289,253
266,0,n290,254
267,0,n293,258
268,0,n296,265
269,0,n299,269
270,0,n265,255
271,0,n266,260
272,0,n267,263
273,0,n268,264
274,0,n269,267
275,0,n270,270
276,0,n321,272
277,0,n324,277
278,0,n327,282
279,0,n330,285
280,0,n322,271
281,0,n325,278
282,0,n328,281
283,0,n331,284
284,0,n323,275
285,0,n326,279
286,0,n329,283
287,0,n332,286
288,0,n304,287
289,0,n300,273
290,0,n301,274
291,0,n303,280
292,0,n302,276
293,0,n333,289
294,0,n336,296
295,0,n339,301
296,0,n342,312
297,0,n334,288
298,0,n337,294
299,0,n340,303
300,0,n343,310
301,0,n335,292
302,0,n338,298
303,0,n341,305
304,0,n344,314
305,0,n320,313
306,0,n345,318
307,1,n357,undefined
308,0,n307,291
309,0,n309,295
310,0,n306,290
311,0,n308,293
312,0,n311,299
313,0,n313,302
314,0,n310,297
315,0,n312,300
316,0,n315,306
317,0,n317,308
318,0,n314,304
319,0,n316,307
320,0,n319,311
321,0,n318,309
322,0,n365,316
323,0,n368,320
324,0,n371,327
325,0,n374,332
326,0,n366,315
327,0,n369,319
328,0,n372,325
329,0,n375,333
330,0,n367,317
331,0,n370,321
332,0,n373,331
333,0,n376,334
334,0,n347,329
335,1,n363,undefined
336,0,n360,322
337,0,n362,324
338,0,n346,328
339,0,n348,330
340,1,n356,undefined
341,1,n358,undefined
342,0,n359,323
343,0,n361,326
344,0,n349,335
345,0,n383,344
346,0,n386,352
347,0,n380,342
348,0,n377,338
349,0,n384,346
350,0,n387,350
351,0,n381,341
352,0,n378,336
353,0,n379,339
354,0,n382,343
355,0,n385,348
356,0,n388,353
357,2,undefined,349
358,0,n350,337
359,0,n351,340
360,0,n352,345
361,0,n353,347
362,0,n354,351
363,0,n355,354
364,0,n401,355
365,0,n409,366
366,0,n408,365
367,0,n402,356
368,0,n407,364
369,0,n403,358
370,0,n406,362
371,0,n404,359
372,0,n405,360
373,0,n389,357
374,0,n390,361
375,0,n393,367
376,0,n391,363
377,0,n394,370
378,0,n410,368
379,0,n414,375
380,0,n415,376
381,0,n418,380
382,0,n411,369
383,0,n416,377
384,0,n412,371
385,0,n417,378
386,0,n437,384
387,0,n440,388
388,0,n413,372
389,0,n399,379
390,0,n421,387
391,0,n396,374
392,0,n400,381
393,0,n422,390
394,0,n397,373
395,0,n435,382
396,0,n443,393
397,0,n442,392
398,0,n436,383
399,0,n441,391
400,0,n438,385
401,0,n439,386
402,0,n420,389
403,0,n424,397
404,0,n425,396
405,0,n426,394
406,0,n444,398
407,0,n445,395
408,0,n448,401
409,0,n449,402
410,0,n452,409
411,0,n446,399
412,0,n450,406
413,0,n447,400
414,0,n451,407
415,0,n428,405
416,0,n432,410
417,0,n433,408
418,0,n429,404
419,0,n434,411
420,0,n430,403
421,0,n463,421
422,0,n460,416
423,0,n459,419
424,0,n474,427
425,1,n478,undefined
426,1,n464,undefined
427,0,n456,418
428,0,n457,413
429,0,n458,412
430,0,n454,415
431,0,n453,414
432,0,n455,422
433,0,n462,423
434,0,n461,417
435,0,n479,432
436,0,n475,429
437,0,n470,428
438,0,n471,430
439,0,n472,424
440,0,n466,426
441,0,n465,425
442,0,n467,431
443,0,n480,434
444,0,n477,435
445,0,n476,433
446,0,n473,437
447,0,n468,438
448,0,n469,436
449,0,n490,443
450,0,n491,441
451,0,n492,444
452,0,n487,442
453,0,n483,445
454,0,n482,440
455,0,n481,439
456,0,n494,449
457,0,n495,451
458,0,n496,450
459,0,n488,452
460,0,n485,447
461,0,n484,446
462,0,n486,448
463,0,n506,454
464,0,n507,456
465,0,n503,455
466,0,n497,453
467,0,n498,460
468,0,n508,458
469,0,n515,469
470,0,n512,465
471,0,n509,459
472,0,n510,462
473,0,n516,470
474,0,n513,466
475,0,n504,457
476,0,n511,461
477,0,n514,464
478,0,n517,468
479,0,n501,467
480,0,n500,463
481,0,n502,471
482,0,n530,474
483,0,n533,483
484,0,n531,473
485,0,n534,484
486,0,n532,472
487,0,n535,482
488,0,n529,479
489,0,n526,476
490,0,n528,478
491,0,n519,480
492,0,n518,475
493,0,n527,477
494,0,n520,481
495,0,n542,489
496,0,n545,494
497,0,n539,486
498,0,n543,490
499,0,n546,495
500,0,n540,485
501,0,n544,491
502,0,n547,496
503,0,n541,487
504,0,n523,492
505,0,n521,488
506,0,n525,497
507,0,n524,493
508,0,n554,500
509,0,n557,503
510,0,n555,499
511,0,n558,504
512,0,n556,498
513,0,n559,502
514,0,n548,501
515,0,n550,506
516,0,n549,505
517,0,n553,508
518,0,n552,507
519,0,n577,516
520,0,n572,513
521,0,n571,512
522,0,n566,515
523,0,n567,518
524,0,n568,509
525,0,n562,511
526,0,n561,510
527,0,n565,525
528,0,n578,530
529,0,n581,540
530,0,n563,517
531,0,n574,524
532,0,n575,522
533,0,n573,514
534,0,n576,519
535,0,n569,520
536,0,n570,523
537,0,n564,521
538,0,n597,535
539,0,n594,528
540,0,n595,529
541,0,n598,536
542,0,n599,534
543,0,n596,527
544,0,n590,537
545,0,n588,532
546,0,n589,531
547,0,n591,539
548,0,n579,533
549,0,n580,538
550,0,n600,543
551,0,n601,545
552,0,n602,542
553,0,n592,541
554,0,n593,544
555,0,n584,548
556,0,n583,547
557,0,n585,549
558,0,n582,546
559,0,n586,550
560,0,n587,551
561,0,n607,555
562,0,n606,554
563,0,n605,553
564,0,n608,556
565,0,n604,552
566,0,n609,557
567,0,n615,563
568,0,n610,558
569,0,n613,561
570,0,n611,559
571,0,n617,565
572,0,n622,569
573,0,n625,572
574,0,n614,562
575,0,n616,564
576,0,n624,571
577,0,n626,573
578,0,n612,560
579,0,n618,566
580,0,n619,567
581,0,n628,575
582,0,n627,574
583,0,n623,570
584,0,n621,568
585,0,n639,586
586,0,n637,584
587,0,n632,579
588,0,n635,582
589,0,n631,578
590,0,n651,615
591,0,n677,624
592,0,n630,577
593,0,n633,580
594,0,n629,576
595,0,n640,587
596,0,n638,585
597,0,n636,583
598,0,n634,581
599,0,n652,590
600,0,n655,592
601,0,n658,596
602,0,n661,598
603,0,n664,602
604,0,n653,588
605,0,n656,593
606,0,n659,595
607,0,n662,599
608,0,n665,603
609,0,n654,591
610,0,n657,594
611,0,n660,597
612,0,n663,600
613,0,n666,605
614,0,n644,601
615,0,n642,608
616,0,n645,604
617,0,n643,589
618,0,n667,606
619,0,n670,611
620,0,n673,616
621,0,n668,607
622,0,n671,613
623,0,n674,618
624,0,n669,609
625,0,n672,614
626,0,n675,619
627,0,n701,623
628,0,n650,617
629,0,n676,622
630,0,n648,612
631,0,n649,610
632,0,n699,620
633,0,n702,628
634,0,n705,634
635,0,n708,637
636,0,n700,621
637,0,n703,627
638,0,n706,635
639,0,n709,640
640,0,n704,631
