onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,0.375,0.0,0.375,0,36,67,1,n1,0.0,1.071875
0.0,2.0,0.0,2.0,0,192,63,3,n4,0.0,1.071875
0.0,0.5,0.0,0.5,0,48,63,5,n5,0.0,1.071875
0.0,2.0,0.0,2.0,0,192,48,6,n9,0.0,1.071875
0.375,0.125,0.375,0.125,36,12,66,1,n2,0.0,1.071875
0.5,1.5,0.5,1.5,48,144,69,1,n3,0.0,1.071875
0.5,0.5,0.5,0.5,48,48,54,5,n6,0.0,1.071875
1.0,0.5,1.0,0.5,96,48,57,5,n7,1.0,3.348958
1.5,0.5,1.5,0.5,144,48,54,5,n8,1.0,3.348958
2.0,0.375,2.0,0.375,192,36,67,1,n10,2.0,5.722917
2.0,2.0,2.0,2.0,192,192,63,3,n15,2.0,5.722917
2.0,0.5,2.0,0.5,192,48,63,5,n16,2.0,5.722917
2.0,2.0,2.0,2.0,192,192,48,6,n20,2.0,5.722917
2.375,0.125,2.375,0.125,228,12,66,1,n11,2.0,5.722917
2.5,1.0,2.5,1.0,240,96,69,1,n12,2.0,5.722917
2.5,0.5,2.5,0.5,240,48,54,5,n17,2.0,5.722917
3.0,0.5,3.0,0.5,288,48,57,5,n18,3.0,8.164583
3.5,0.375,3.5,0.375,336,36,69,1,n13,3.0,8.164583
3.5,0.5,3.5,0.5,336,48,54,5,n19,3.0,8.164583
3.875,0.125,3.875,0.125,372,12,75,1,n14,3.0,8.164583
4.0,0.5,4.0,0.5,384,48,75,1,n21,4.0,10.517708
4.5,0.375,4.5,0.375,432,36,74,1,n22,4.0,10.517708
4.5,0.5,4.5,0.5,432,48,62,2,n27,4.0,10.517708
4.5,0.5,4.5,0.5,432,48,47,5,n30,4.0,10.517708
4.5,0.5,4.5,0.5,432,48,55,5,n31,4.0,10.517708
4.875,0.125,4.875,0.125,468,12,67,1,n23,4.0,10.517708
5.0,0.5,5.0,0.5,480,48,67,1,n24,5.0,12.914583
5.5,0.375,5.5,0.375,528,36,66,1,n25,5.0,12.914583
5.5,0.5,5.5,0.5,528,48,60,2,n28,5.0,12.914583
5.5,0.5,5.5,0.5,528,48,50,5,n33,5.0,12.914583
5.5,0.5,5.5,0.5,528,48,57,5,n34,5.0,12.914583
5.875,0.125,5.875,0.125,564,12,69,1,n26,5.0,12.914583
6.0,0.25,6.0,0.25,576,24,69,1,n35,6.0,15.375
6.25,1.25,6.25,1.25,600,120,71,1,n36,6.0,15.375
6.5,0.5,6.5,0.5,624,48,59,2,n43,6.0,15.375
6.5,0.5,6.5,0.5,624,48,62,2,n44,6.0,15.375
6.5,0.5,6.5,0.5,624,48,43,5,n48,6.0,15.375
6.5,0.5,6.5,0.5,624,48,55,5,n49,6.0,15.375
7.0,0.5,7.0,0.5,672,48,59,2,n45,7.0,18.007812
7.0,0.5,7.0,0.5,672,48,62,2,n46,7.0,18.007812
7.0,0.5,7.0,0.5,672,48,43,5,n50,7.0,18.007812
7.0,0.5,7.0,0.5,672,48,55,5,n51,7.0,18.007812
7.5,0.25,7.5,0.25,720,24,71,1,n41,7.0,18.007812
7.5,0.0,7.5,0.0,720,0,72,1,n38,7.0,18.007812
7.5,0.0,7.5,0.0,720,0,71,1,n39,7.0,18.007812
7.5,0.0,7.5,0.0,720,0,69,1,n40,7.0,18.007812
7.75,0.25,7.75,0.25,744,24,72,1,n42,7.0,18.007812
8.0,0.375,8.0,0.375,768,36,75,1,n53,8.0,20.486458
8.0,2.0,8.0,2.0,768,192,68,3,n58,8.0,20.486458
8.0,0.5,8.0,0.5,768,48,68,5,n59,8.0,20.486458
8.0,2.0,8.0,2.0,768,192,53,6,n63,8.0,20.486458
8.375,0.125,8.375,0.125,804,12,74,1,n54,8.0,20.486458
8.5,1.5,8.5,1.5,816,144,77,1,n55,8.0,20.486458
8.5,0.5,8.5,0.5,816,48,59,5,n60,8.0,20.486458
9.0,0.5,9.0,0.5,864,48,62,5,n61,9.0,22.925
9.5,0.5,9.5,0.5,912,48,59,5,n62,9.0,22.925
9.75,0.125,9.75,0.125,936,12,74,2,n56,9.0,22.925
9.875,0.125,9.875,0.125,948,12,77,2,n57,9.0,22.925
10.0,0.375,10.0,0.375,960,36,75,1,n66,10.0,25.307293
10.0,2.0,10.0,2.0,960,192,68,3,n71,10.0,25.307293
10.0,0.5,10.0,0.5,960,48,68,5,n72,10.0,25.307293
10.0,2.0,10.0,2.0,960,192,53,6,n76,10.0,25.307293
10.0,0.0,10.0,0.0,960,0,74,1,n64,10.0,25.307293
10.0,0.0,10.0,0.0,960,0,77,1,n65,10.0,25.307293
10.375,0.125,10.375,0.125,996,12,74,1,n67,10.0,25.307293
10.5,1.0,10.5,1.0,1008,96,77,1,n68,10.0,25.307293
10.5,0.5,10.5,0.5,1008,48,59,5,n73,10.0,25.307293
11.0,0.5,11.0,0.5,1056,48,62,5,n74,11.0,27.805208
