xml_id	midi_id	track	channel	pitch	onset
n9	5	0	0	48	2.509617768749998
n6	2	0	0	54	3.9754311270833314
n8	7	0	0	54	6.113253670833329
n7	4	0	0	57	5.011756897916663
n4	6	0	0	63	2.8215838770833312
n15	13	0	0	63	7.351502710416661
n16	deletion
n5	deletion
n2	1	0	0	66	3.6656017729166646
n1	0	0	0	67	2.7831223020833313
n3	3	0	0	69	3.9369695520833314
n20	14	0	0	48	7.347229202083327
n17	10	0	0	54	8.535264518749988
n11	9	0	0	66	8.20513599999999
n10	8	0	0	67	7.319451397916661
n12	11	0	0	69	8.474367024999989
n19	15	0	0	54	10.771377754166647
n18	12	0	0	57	9.603641602083318
n13	16	0	0	69	10.720095654166647
n14	17	0	0	75	11.598301616666642
n30	23	0	0	47	13.084414139583302
n31	20	0	0	55	13.088687647916636
n27	19	0	0	62	13.084414139583302
n23	22	0	0	67	13.925226904166628
n22	21	0	0	74	13.05129444999997
n21	18	0	0	75	11.893173691666641
n33	29	0	0	50	15.440185608333286
n34	26	0	0	57	15.47651042916662
n28	25	0	0	60	15.440185608333286
n25	27	0	0	66	15.416681312499954
n24	24	0	0	67	14.273517833333292
n26	28	0	0	69	16.26604109374996
n48	33	0	0	43	17.929504212500003
n49	31	0	0	55	17.91241017916667
n43	32	0	0	59	17.92202557291667
n44	34	0	0	62	17.933777720833337
n35	30	0	0	69	16.67202438541663
n36	36	0	0	71	17.279930945833318
n50	37	0	0	43	19.123949791666675
n51	deletion
n45	35	0	0	59	19.10899251250001
n61	48	0	0	62	23.348312779166807
n46	deletion
n40	40	0	0	69	20.149591791666683
n41	39	0	0	71	20.025660050000013
n39	41	0	0	71	20.27779704166669
n38	38	0	0	72	19.897454800000013
n42	42	0	0	72	20.785276156250053
n63	47	0	0	53	20.969037014583396
n60	45	0	0	59	22.383568272916765
n58	49	0	0	68	21.348310879166732
n59	deletion
n54	44	0	0	74	22.040619229166758
n53	43	0	0	75	21.300233910416733
n55	46	0	0	77	22.319465647916765
n62	50	0	0	59	24.34724535208352
n56	51	0	0	74	25.054510981250186
n57	52	0	0	77	25.182716231250186
n76	59	0	0	53	25.047032341666853
n73	55	0	0	59	26.391050712500228
n71	58	0	0	68	25.348314679166847
n72	deletion
n67	54	0	0	74	26.086563243750213
n64	deletion
n66	53	0	0	75	25.326947137500184
n68	56	0	0	77	26.361136154166893
n65	deletion
n75	61	0	0	59	28.426309056250297
n74	57	0	0	62	27.384641400000273
n69	60	0	0	74	28.37289020208363
n70	62	0	0	80	29.14105332500032
n88	66	0	0	51	30.584430764583686
n89	65	0	0	60	30.550242697917017
n84	64	0	0	67	30.56626835416702
n79	68	0	0	72	31.35579901875039
n78	67	0	0	79	30.525670025000352
n77	63	0	0	80	29.45515618750032
n91	74	0	0	55	32.804518343750416
n92	73	0	0	62	32.84191154166709
n86	70	0	0	65	32.81627049166708
n81	71	0	0	71	32.78315080208375
n80	69	0	0	72	31.66776512708373
n82	72	0	0	74	33.71904912708378
n103	77	0	0	48	35.29811045625048
n104	78	0	0	60	35.325888260417145
n100	76	0	0	63	35.29383694791714
n93	75	0	0	74	34.072681941667106
n94	79	0	0	75	34.68913551875046
n105	81	0	0	48	36.42097477083384
n112	90	0	0	56	38.052386577083865
n109	88	0	0	58	37.605804956250516
n106	82	0	0	60	36.46905173958384
n107	84	0	0	60	37.106872858333844
n113	91	0	0	60	38.06200197083387
n110	87	0	0	61	37.614351972917184
n101	80	0	0	63	36.41242775416717
n108	83	0	0	63	37.12183013750051
n111	85	0	0	63	37.619693858333854
n114	92	0	0	63	38.0566600854172
n97	89	0	0	67	37.56093311875052
n96	86	0	0	68	37.08336856250051
n98	93	0	0	68	38.0246087729172
n127	96	0	0	55	38.64426748125055
n130	104	0	0	55	39.76392666458389
n128	95	0	0	58	38.64213072708389
n131	105	0	0	58	39.76392666458389
n129	99	0	0	63	38.63358371041722
n132	106	0	0	64	39.75003776250056
n126	101	0	0	69	39.61435387291723
n123	97	0	0	70	39.3600801270839
n125	100	0	0	70	39.5235418208339
n116	102	0	0	70	39.719054827083895
n115	94	0	0	72	38.613284545833885
n124	98	0	0	72	39.44448191666723
n117	103	0	0	72	40.47226067083391
n139	112	0	0	52	42.14213405208394
n142	118	0	0	52	42.81734836875062
n136	107	0	0	53	41.45730434166726
n140	111	0	0	55	42.09085195208394
n143	116	0	0	55	42.80986972916729
n137	108	0	0	56	41.44127868541726
n141	113	0	0	60	42.08230493541727
n144	117	0	0	60	42.81414323750062
n138	109	0	0	61	41.41670601250059
n120	114	0	0	72	42.399612929167276
