xml_id	midi_id	track	channel	pitch	onset
n19	8	0	0	46	1.1014967729166667
n21	13	0	0	46	1.2927362708333334
n20	11	0	0	50	1.2126079895833333
n22	14	0	0	50	1.4017107333333334
n23	18	0	0	50	1.4839757687500001
n24	20	0	0	53	1.5993604937500001
n6	10	0	0	57	1.2190182520833333
n15	6	0	0	58	0.6260689708333332
n5	9	0	0	58	1.1207275604166667
n7	12	0	0	58	1.2831208770833333
n16	4	0	0	62	0.6463681354166665
n8	15	0	0	62	1.3696594208333335
n10	19	0	0	62	1.5673091812500002
n17	2	0	0	65	0.6314108562499998
n9	17	0	0	65	1.4711552437500002
n18	0	0	0	68	0.6271373479166665
n1	1	0	0	80	0.6260689708333332
n2	3	0	0	86	0.6324792333333331
n3	5	0	0	89	0.6346159874999998
n4	7	0	0	92	0.6228638395833332
n25	21	0	0	50	1.6741468895833334
n27	25	0	0	50	1.8482923541666667
n26	23	0	0	53	1.7841897291666666
n28	27	0	0	53	1.9316257666666667
n41	29	0	0	53	2.014959179166667
n42	32	0	0	56	2.113249870833334
n14	28	0	0	62	1.9348308979166668
n11	22	0	0	65	1.6602579875
n13	26	0	0	65	1.8440188458333333
n30	31	0	0	65	2.1196601333333343
n12	24	0	0	68	1.7489332854166666
n29	30	0	0	68	2.021369441666667
n43	33	0	0	53	2.2029935458333343
n45	37	0	0	53	2.3579082229166675
n44	35	0	0	56	2.2991474833333343
n46	39	0	0	56	2.4433783895833336
n47	41	0	0	58	2.5608998687500004
n48	43	0	0	62	2.6656008229166672
n34	40	0	0	65	2.4679510625000005
n31	34	0	0	68	2.205130300000001
n33	38	0	0	68	2.379275764583334
n36	44	0	0	68	2.649575166666667
n32	36	0	0	70	2.2906004666666675
n35	42	0	0	70	2.553421229166667
n49	45	0	0	58	2.728635070833334
n51	49	0	0	58	2.902780535416667
n50	47	0	0	62	2.8333360250000004
n52	52	0	0	62	2.9903874562500006
n65	53	0	0	62	3.0822678854166674
n66	56	0	0	65	3.1752166916666678
n40	51	0	0	68	2.988250702083334
n37	46	0	0	70	2.7275666937500005
n39	50	0	0	70	2.9081224208333336
n38	48	0	0	74	2.8151736145833337
n54	55	0	0	74	3.1720115604166677
n53	54	0	0	77	3.083336262500001
n67	57	0	0	62	3.259618481250001
n69	61	0	0	62	3.4326955687500003
n68	59	0	0	65	3.348293779166667
n70	63	0	0	65	3.5256443750000006
n71	66	0	0	65	3.635687214583334
n72	69	0	0	68	3.715815495833334
n58	64	0	0	74	3.524575997916667
n55	58	0	0	77	3.2649603666666676
n57	62	0	0	77	3.441242585416667
n60	68	0	0	77	3.7008582166666675
n56	60	0	0	80	3.3365416312500007
n59	67	0	0	80	3.6143196729166673
n73	70	0	0	65	3.799148908333334
n75	74	0	0	65	3.977567881250001
n74	72	0	0	68	3.885687452083334
n76	76	0	0	68	4.037396997916668
n89	79	0	0	74	4.152781722916669
n64	78	0	0	77	4.059832916666668
n90	81	0	0	77	4.244662152083335
n61	71	0	0	80	3.7884651375000007
n63	75	0	0	80	3.9636789791666676
n78	82	0	0	80	4.236115135416669
n62	73	0	0	82	3.878208812500001
n77	80	0	0	82	4.150644968750002
n91	83	0	0	74	4.338679335416669
n93	87	0	0	74	4.504277783333336
n92	85	0	0	77	4.431628141666669
n94	89	0	0	77	4.60470522916667
n95	91	0	0	77	4.696585658333336
n82	90	0	0	80	4.594021458333336
n96	93	0	0	80	4.791671218750003
n79	84	0	0	82	4.3226536791666685
n81	88	0	0	82	4.51175642291667
n84	94	0	0	82	4.77778231666667
n80	86	0	0	86	4.416670862500002
n83	92	0	0	86	4.68803864166667
n97	95	0	0	77	4.869662745833336
n99	99	0	0	77	5.043808210416671
n98	97	0	0	80	4.990389356250004
n100	101	0	0	80	5.150645918750005
n88	102	0	0	82	5.135688639583338
n85	96	0	0	86	4.87714138541667
n87	100	0	0	86	5.050218472916671
n102	104	0	0	86	5.3044922187500045
n86	98	0	0	89	4.96047479791667
n101	103	0	0	89	5.211543412500005
n116	114	0	0	74	5.778851643750005
n114	109	0	0	77	5.595090785416671
n117	113	0	0	77	5.763894364583338
n115	107	0	0	80	5.569449735416671
n108	112	0	0	81	5.864321810416672
n107	111	0	0	82	5.7703046270833385
n106	110	0	0	86	5.6634669187500055
n103	105	0	0	89	5.391030762500004
n105	108	0	0	89	5.571586489583338
n104	106	0	0	92	5.491458208333338
n109	115	0	0	82	5.945518468750006
n110	116	0	0	86	6.033125389583338
n112	118	0	0	86	6.199792214583338
n120	120	0	0	86	6.393168466666672
n111	117	0	0	89	6.107911785416672
n119	119	0	0	89	6.292741020833338
n134	131	0	0	74	6.855775743750004
n132	125	0	0	77	6.665604622916671
n135	130	0	0	77	6.825861185416671
n133	123	0	0	80	6.653852475000004
n126	128	0	0	81	6.916673237500004
n125	127	0	0	82	6.831203070833338
n124	126	0	0	86	6.724365362500005
n121	121	0	0	89	6.4700916166666715
n123	124	0	0	89	6.637826818750004
n122	122	0	0	92	6.556630160416671
n138	136	0	0	74	7.443383139583339
n137	135	0	0	77	7.356844595833339
n127	129	0	0	82	7.017100683333338
n128	132	0	0	86	7.1143229979166716
n130	134	0	0	86	7.271374429166672
n129	133	0	0	89	7.172015360416672
n152	147	0	0	62	7.918810941666673
n150	141	0	0	65	7.720092804166673
n153	146	0	0	65	7.88889638333334
n151	139	0	0	68	7.688041491666673
n144	144	0	0	69	7.98505032083334
n143	143	0	0	70	7.87928098958334
n142	142	0	0	74	7.787400560416674
n139	137	0	0	77	7.536331945833339
n141	140	0	0	77	7.69017824583334
n140	138	0	0	80	7.612186718750006
n145	145	0	0	70	8.066246979166673
n146	148	0	0	74	8.152785522916673
n148	150	0	0	74	8.31517883958334
n156	152	0	0	74	8.483982418750006
n147	149	0	0	77	8.214751393750007
n155	151	0	0	77	8.400649006250006
n170	161	0	0	62	8.962615352083338
n168	157	0	0	65	8.778854493750005
n171	160	0	0	65	8.943384564583338
n169	156	0	0	68	8.759623706250006
n162	162	0	0	69	9.017102583333338
n161	159	0	0	70	8.933769170833338
n160	158	0	0	74	8.823726331250006
n157	153	0	0	77	8.56517907708334
n159	155	0	0	77	8.744666427083338
n158	154	0	0	80	8.650649243750005
n187	171	0	0	46	9.513897927083338
n188	173	0	0	50	9.553427879166673
n189	170	0	0	53	9.519239812500006
n190	167	0	0	58	9.512829550000005
n173	168	0	0	68	9.522444943750006
n163	163	0	0	70	9.096162487500004
n164	164	0	0	74	9.184837785416672
n174	172	0	0	74	9.549154370833339
n166	deletion
n165	165	0	0	77	9.264966066666672
n175	169	0	0	77	9.519239812500006
n176	166	0	0	80	9.519239812500006
n191	176	0	0	46	9.875009381250008
n192	179	0	0	46	10.04167620625001
n193	181	0	0	50	10.197659260416675
n178	177	0	0	57	9.942317137500009
n180	180	0	0	57	10.098300191666675
n177	175	0	0	58	9.868599118750009
n179	178	0	0	58	10.018171910416676
n182	183	0	0	58	10.279924295833341
n181	182	0	0	60	10.189112243750008
n194	185	0	0	53	10.385693627083342
n195	188	0	0	58	10.534198041666675
n184	186	0	0	62	10.456206514583343
n208	190	0	0	62	10.713685391666676
n183	184	0	0	63	10.365394462500008
n186	deletion
n185	187	0	0	67	10.52885615625001
n197	191	0	0	69	10.78206152500001
n196	189	0	0	70	10.71475376875001
n209	192	0	0	65	10.89744625000001
n210	197	0	0	68	11.081207108333343
n212	199	0	0	68	11.271378229166677
n199	194	0	0	70	10.970095891666677
n211	195	0	0	70	11.08334386250001
n213	200	0	0	70	11.273514983333344
n198	193	0	0	72	10.892104364583345
n201	198	0	0	74	11.150651618750011
n200	196	0	0	75	11.063044697916677
n203	202	0	0	77	11.331207345833345
n202	201	0	0	79	11.247873933333345
n224	212	0	0	63	12.165609847916677
n225	211	0	0	67	12.17949875000001
n214	204	0	0	68	11.477575006250012
