xml_id	midi_id	track	channel	pitch	onset
n6	2	0	0	40	1.5117506250000001
n17	7	0	0	40	1.8723271875000005
n7	1	0	0	52	1.5090796875
n18	6	0	0	52	1.8696562500000005
n1	0	0	0	55	1.5130860937500001
n14	8	0	0	55	1.8696562500000005
n2	3	0	0	59	1.5197634375000002
n15	9	0	0	59	1.8696562500000005
n3	5	0	0	64	1.53178265625
n16	10	0	0	64	1.9337587500000004
n4	4	0	0	67	1.5117506250000001
n9	11	0	0	67	1.8576370312500003
n10	12	0	0	66	2.37846984375
n19	14	0	0	40	2.5227004687499996
n20	13	0	0	52	2.5267068749999995
n11	15	0	0	55	2.5146876562499996
n12	16	0	0	64	2.5106812499999998
n29	18	0	0	38	2.934024843749999
n30	19	0	0	50	2.9313539062499996
n22	17	0	0	57	2.9166637499999997
n23	21	0	0	66	2.9326893749999994
n24	20	0	0	69	2.9059799999999996
n33	22	0	0	62	3.763350937499999
n27	23	0	0	66	3.766021874999999
n28	24	0	0	69	3.745989843749999
n39	25	0	0	60	4.17868171875
n40	27	0	0	62	4.16799796875
n34	28	0	0	66	4.18669453125
n35	26	0	0	69	4.1586496875
n41	31	0	0	59	4.7529332812500025
n42	30	0	0	62	4.748926875000002
n36	29	0	0	67	4.740914062500003
n43	32	0	0	57	4.954589062500002
n44	33	0	0	60	4.9398989062500025
n37	35	0	0	66	4.927879687500003
n38	34	0	0	69	4.915860468750003
n53	39	0	0	55	5.396629218750004
n54	37	0	0	59	5.345881406250005
n45	36	0	0	67	5.364577968750004
n46	38	0	0	71	5.348552343750004
n56	43	0	0	43	6.077718281250004
n57	42	0	0	55	6.073711875000004
n48	40	0	0	59	6.064363593750005
n49	41	0	0	62	6.071040937500005
n50	44	0	0	67	6.076382812500004
n51	45	0	0	71	6.061692656250005
n67	49	0	0	43	6.431617500000002
n68	47	0	0	55	6.426275625000002
n64	48	0	0	59	6.427611093750002
n65	50	0	0	62	6.435623906250003
n66	51	0	0	67	6.475687968750003
n59	52	0	0	71	6.4195982812500025
n60	53	0	0	69	6.896360625000003
n69	56	0	0	31	7.072642500000003
n70	54	0	0	43	7.068636093750003
n61	55	0	0	59	7.056616875000003
n62	57	0	0	67	7.049939531250003
n79	59	0	0	30	7.457257500000003
n80	60	0	0	42	7.4452382812500035
n72	58	0	0	61	7.431883593750003
n73	61	0	0	70	7.441231875000003
n74	62	0	0	73	7.427877187500003
n83	63	0	0	66	8.243848593750005
n77	65	0	0	70	8.251861406250004
n78	64	0	0	73	8.238506718750006
n89	66	0	0	64	8.673869531250011
