onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.9713542,0.0390625,52,94,1,0,0,-10.0,-10.0
0.9791667,0.0390625,40,90,1,0,1,0.974609,-1.0
0.97526044,0.06640625,55,92,1,0,2,0.974609,-1.0
0.98046875,0.067708336,59,78,1,0,3,0.974609,-1.0
1.0638021,0.0013020834,58,3,1,0,4,0.974609,-1.0
0.9739583,0.091145836,64,85,1,0,5,-10.0,-10.0
0.9713542,0.13541667,67,87,1,0,6,-10.0,-10.0
1.4804688,0.0013020834,58,3,1,0,7,1.383463,0.0
1.3763021,0.6588542,52,88,1,0,8,0.974609,-1.0
1.3815104,0.6536458,40,83,1,0,9,0.974609,-1.0
1.3880209,0.64713544,64,88,1,0,10,1.383463,0.0
1.3932291,0.64192706,59,84,1,0,11,1.383463,0.0
1.3854166,0.64973956,55,94,1,0,12,1.383463,0.0
1.3789062,0.65625,67,96,1,0,13,0.974609,-1.0
1.9635416,0.071614586,42,28,1,0,14,1.738607,1.0
1.9335938,0.1171875,66,92,1,0,15,1.738607,1.0
2.09375,0.084635414,52,90,1,0,16,2.09375,2.0
2.0911458,0.12109375,55,80,1,0,17,1.738607,1.0
2.1015625,0.123697914,40,81,1,0,18,2.09375,2.0
2.09375,0.15625,64,90,1,0,19,2.09375,2.0
2.4908855,0.39322916,38,77,1,0,20,2.490885,3.0
2.4882812,0.39583334,50,86,1,0,21,2.09375,2.0
2.4921875,0.3919271,57,77,1,0,22,2.490885,3.0
2.4869792,0.3997396,69,91,1,0,23,2.09375,2.0
2.4934895,0.40885416,66,85,1,0,24,2.490885,3.0
3.2890625,0.4375,62,29,1,0,25,2.901042,4.0
3.311198,0.4153646,66,43,1,0,26,3.311198,5.0
3.311198,0.4153646,69,49,1,0,27,3.311198,5.0
3.7382812,0.5520833,62,29,1,0,28,3.73112,6.0
3.7070312,0.5833333,69,55,1,0,29,3.311198,5.0
3.7317708,0.55859375,66,41,1,0,30,3.73112,6.0
3.7304688,0.5598958,60,44,1,0,31,3.311198,5.0
4.2643228,0.119791664,62,34,1,0,32,4.092448,7.0
4.2486978,0.16666667,59,39,1,0,33,4.092448,7.0
4.2513022,0.20833333,67,53,1,0,34,4.092448,7.0
4.466146,0.084635414,66,45,1,0,35,4.453776,8.0
4.4518228,0.1953125,69,54,1,0,36,4.092448,7.0
4.455729,0.2903646,60,33,1,0,37,4.453776,8.0
4.450521,0.3359375,57,44,1,0,38,4.092448,7.0
4.8450522,0.5442708,55,34,1,0,39,4.837891,9.0
4.8541665,0.53515625,59,51,1,0,40,4.837891,9.0
4.830729,0.55859375,67,45,1,0,41,4.453776,8.0
4.8138022,0.5755208,71,51,1,0,42,4.453776,8.0
5.486979,0.078125,55,95,1,0,43,5.481771,11.0
5.481771,0.100260414,62,70,1,0,44,5.481771,11.0
5.481771,0.115885414,67,87,1,0,45,5.481771,11.0
5.4908853,0.12109375,43,86,1,0,46,5.481771,11.0
5.4791665,0.13802083,59,93,1,0,47,5.159831,10.0
5.4778647,0.16276042,71,97,1,0,48,5.159831,10.0
5.8606772,0.0546875,55,94,1,0,49,5.858724,12.0
5.8541665,0.63411456,43,84,1,0,50,5.481771,11.0
5.8580728,0.6302083,62,75,1,0,51,5.481771,11.0
5.8632812,0.625,67,88,1,0,52,5.858724,12.0
5.859375,0.62890625,59,96,1,0,53,5.858724,12.0
5.8528647,0.6354167,71,97,1,0,54,5.481771,11.0
6.388021,0.100260414,69,98,1,0,55,6.205404,13.0
