xml_id	midi_id	track	channel	pitch	onset
n6	2	1	0	40	1.0768229166666665
n17	10	1	0	40	1.4622395833333333
n7	0	1	0	52	1.0677083333333333
n18	8	1	0	52	1.4518229166666665
n1	1	1	0	55	1.06640625
n14	9	1	0	55	1.4518229166666665
n2	3	1	0	59	1.0755208333333333
n15	11	1	0	59	1.4583333333333333
n3	5	1	0	64	1.0729166666666665
n16	7	1	0	64	1.4583333333333333
n4	4	1	0	67	1.06640625
n9	6	1	0	67	1.4505208333333333
n10	12	1	0	66	1.9635416666666667
n19	16	1	0	40	2.147135416666667
n20	14	1	0	52	2.143229166666667
n11	13	1	0	55	2.1445312500000004
n12	15	1	0	64	2.1445312500000004
n29	19	1	0	38	2.5625000000000004
n30	20	1	0	50	2.5585937500000004
n22	17	1	0	57	2.5533854166666674
n23	21	1	0	66	2.555989583333334
n24	18	1	0	69	2.5533854166666674
n33	23	1	0	62	3.3346354166666674
n27	22	1	0	66	3.345052083333334
n28	24	1	0	69	3.3190104166666674
n39	27	1	0	60	3.792968750000001
n40	25	1	0	62	3.789062500000001
n34	26	1	0	66	3.7643229166666674
n35	28	1	0	69	3.7604166666666674
n41	30	1	0	59	4.321614583333335
n42	29	1	0	62	4.345052083333335
n36	31	1	0	67	4.317708333333335
n43	34	1	0	57	4.505208333333335
n44	35	1	0	60	4.489583333333335
n37	32	1	0	66	4.523437500000001
n38	33	1	0	69	4.510416666666668
n53	39	1	0	55	4.96875
n54	38	1	0	59	4.955729166666667
n45	36	1	0	67	4.959635416666667
n46	37	1	0	71	4.959635416666667
n56	42	1	0	43	5.720052083333331
n57	41	1	0	55	5.716145833333332
n48	40	1	0	59	5.710937499999999
n49	43	1	0	62	5.718749999999998
n50	45	1	0	67	5.717447916666665
n51	44	1	0	71	5.707031249999999
n67	48	1	0	43	6.14583333333333
n68	46	1	0	55	6.139322916666664
n64	51	1	0	59	6.140624999999997
n65	50	1	0	62	6.144531249999997
n66	49	1	0	67	6.143229166666664
n59	47	1	0	71	6.138020833333331
n60	52	1	0	69	6.6718749999999964
n69	56	1	0	31	6.87630208333333
n70	54	1	0	43	6.86848958333333
n61	53	1	0	59	6.861979166666663
n62	55	1	0	67	6.854166666666663
n79	58	1	0	30	7.3177083333333295
n80	61	1	0	42	7.3085937499999964
n72	57	1	0	61	7.3085937499999964
n73	60	1	0	70	7.30598958333333
n74	59	1	0	73	7.307291666666663
n83	63	1	0	66	8.174479166666663
n77	62	1	0	70	8.190104166666663
n78	64	1	0	73	8.160156249999996
n89	68	1	0	64	8.66145833333333
n90	65	1	0	66	8.654947916666663
n84	66	1	0	70	8.640624999999996
