onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0039062,0.76692706,60,49,1,0,0,1.001953,0.0
1.0,0.79817706,64,52,1,0,1,-10.0,-10.0
1.8046875,0.052083332,59,56,1,0,2,1.4046226,1.0
1.8098959,0.05859375,62,62,1,0,3,1.807292,2.0
1.8945312,0.045572918,60,60,1,0,4,1.807292,2.0
1.9570312,0.0546875,59,58,1,0,5,1.807292,2.0
1.96875,0.0546875,62,51,1,0,6,1.807292,2.0
2.0729167,0.04296875,60,58,1,0,7,1.807292,2.0
2.0755208,0.041666668,64,37,1,0,8,1.807292,2.0
2.126302,0.0390625,65,67,1,0,9,1.807292,2.0
1.0039062,1.1640625,55,38,1,0,10,1.001953,0.0
2.1315105,0.044270832,62,65,1,0,11,2.128906,3.0
0.9921875,1.1861979,48,43,1,0,12,-10.0,-10.0
2.3190105,0.0390625,64,64,1,0,13,2.128906,3.0
2.34375,0.032552082,60,47,1,0,14,2.128906,3.0
2.5416667,0.05078125,62,68,1,0,15,2.128906,3.0
2.5442708,0.053385418,59,58,1,0,16,2.128906,3.0
2.5533855,0.048177082,55,54,1,0,17,2.548828,4.0
2.5572917,0.048177082,43,54,1,0,18,2.548828,4.0
2.9596355,0.040364582,67,65,1,0,19,2.548828,4.0
2.967448,0.04296875,59,60,1,0,20,2.548828,4.0
2.9752605,0.0546875,43,46,1,0,21,2.969401,5.0
2.9713542,0.05859375,55,49,1,0,22,2.969401,5.0
4.3229165,0.79036456,62,60,1,0,23,4.316406,8.0
4.3203125,0.80078125,65,67,1,0,24,4.316406,8.0
5.125,0.053385418,61,63,1,0,25,5.123698,10.0
5.122396,0.0859375,64,67,1,0,26,4.720052,9.0
5.2122397,0.05859375,62,60,1,0,27,5.123698,10.0
5.2773438,0.078125,64,56,1,0,28,5.123698,10.0
5.2669272,0.096354164,61,63,1,0,29,5.123698,10.0
5.3841147,0.03125,65,51,1,0,30,5.123698,10.0
5.388021,0.055989582,62,60,1,0,31,5.123698,10.0
4.3125,1.1783854,59,41,1,0,32,3.8674042,7.0
5.4609375,0.04296875,64,59,1,0,33,5.4570317,11.0
4.3085938,1.1979166,43,47,1,0,34,3.8674042,7.0
5.453125,0.059895832,67,74,1,0,35,5.123698,10.0
5.6679688,0.040364582,65,67,1,0,36,5.4570317,11.0
5.684896,0.03515625,62,50,1,0,37,5.4570317,11.0
5.8854165,0.04296875,60,64,1,0,38,5.4570317,11.0
5.8919272,0.049479168,48,53,1,0,39,5.890625,12.0
5.893229,0.048177082,55,52,1,0,40,5.890625,12.0
5.8893228,0.052083332,64,68,1,0,41,5.4570317,11.0
6.3085938,0.05078125,64,67,1,0,42,5.890625,12.0
6.3033853,0.055989582,72,65,1,0,43,5.890625,12.0
6.3111978,0.0625,48,50,1,0,44,6.309896,13.0
6.3216147,0.0546875,55,47,1,0,45,6.309896,13.0
7.6953125,0.4466146,64,65,1,0,46,7.695312,16.0
7.6940103,0.8046875,72,75,1,0,47,7.2335067,15.0
8.110677,0.38802084,48,69,1,0,48,8.110677,17.0
8.493489,0.087239586,71,65,1,0,49,8.110677,17.0
8.589844,0.0625,72,66,1,0,50,8.496094,18.0
8.660156,0.1015625,71,62,1,0,51,8.496094,18.0
8.496094,0.2747396,50,53,1,0,52,8.496094,18.0
8.766927,0.095052086,72,67,1,0,53,8.496094,18.0
8.8671875,0.02734375,74,72,1,0,54,8.865234,19.0
9.078125,0.03515625,71,75,1,0,55,8.865234,19.0
8.863281,0.375,43,43,1,0,56,8.496094,18.0
8.506511,0.81380206,65,51,1,0,57,8.496094,18.0
7.6992188,2.0286458,55,41,1,0,58,7.695312,16.0
9.298177,0.4296875,67,77,1,0,59,9.298177,20.0
9.7265625,0.37890625,64,76,1,0,60,9.298177,20.0
9.725261,0.38020834,72,83,1,0,61,9.298177,20.0
9.734375,0.37109375,48,58,1,0,62,9.730469,21.0
