idx,matchtype,partid,ppartid
0,0,n15,9
1,0,n16,8
2,0,n1,1
3,0,n2,0
4,0,n3,2
5,0,n7,6
6,0,n5,4
7,0,n9,10
8,0,n4,3
9,0,n8,7
10,0,n6,5
11,0,n10,11
12,0,n13,14
13,0,n11,12
14,0,n14,15
15,0,n12,13
16,0,n22,19
17,0,n23,17
18,0,n17,16
19,0,n18,18
20,0,n24,23
21,0,n25,20
22,0,n19,21
23,0,n20,22
24,0,n41,29
25,0,n42,26
26,0,n27,24
27,0,n28,25
28,0,n29,27
29,0,n33,32
30,0,n31,30
31,0,n35,34
32,0,n30,28
33,0,n34,33
34,0,n32,31
35,0,n36,35
36,0,n39,38
37,0,n37,36
38,0,n40,39
39,0,n38,37
40,0,n48,42
41,0,n49,41
42,0,n43,40
43,0,n44,43
44,0,n50,46
45,0,n51,45
46,0,n45,44
47,0,n46,47
48,0,n62,61
49,0,n60,49
50,0,n53,48
51,0,n63,50
52,0,n64,56
53,0,n61,58
54,0,n54,51
55,0,n56,53
56,0,n55,52
57,0,n57,54
58,0,n65,60
59,0,n59,57
60,0,n58,55
61,0,n66,59
62,0,n79,65
63,0,n77,75
64,0,n74,62
65,0,n67,63
66,0,n80,69
67,0,n75,73
68,0,n68,64
69,0,n70,67
70,0,n69,66
71,0,n71,68
72,0,n81,72
73,0,n73,71
74,0,n72,70
75,0,n90,76
76,0,n82,74
77,0,n91,78
78,0,n83,77
79,0,n92,82
80,0,n89,81
81,0,n86,79
82,0,n84,80
83,1,n87,undefined
84,0,n93,84
85,0,n85,83
86,0,n101,86
87,0,n98,87
88,0,n94,85
89,0,n102,88
90,0,n95,89
91,0,n103,90
92,0,n105,94
93,0,n104,91
94,0,n99,92
95,0,n96,93
96,0,n108,97
97,0,n107,96
98,0,n106,95
99,0,n119,98
100,0,n117,104
101,0,n113,99
102,0,n110,110
103,0,n120,100
104,0,n122,103
105,0,n121,102
106,0,n123,105
107,0,n114,101
108,0,n125,108
109,0,n124,106
110,0,n115,107
111,0,n111,109
112,0,n136,112
113,0,n133,113
114,0,n129,111
115,0,n126,114
116,0,n137,115
117,0,n134,122
118,0,n130,116
119,0,n127,121
120,0,n138,117
121,0,n140,120
122,0,n139,119
123,0,n141,123
124,0,n131,118
125,0,n143,126
126,0,n142,125
127,0,n132,124
128,0,n155,128
