xml_id	midi_id	track	channel	pitch	onset
n9	2	0	0	44	1.5264407812500003
n11	3	0	0	48	3.3092915625000003
n10	0	0	0	51	1.5798595312500003
n12	5	0	0	51	3.2986078125000002
n6	6	0	0	63	3.2785757812500003
n5	1	0	0	68	1.5558210937500003
n2	4	0	0	68	3.2545373437500005
n1	7	0	0	72	1.5237698437500002
n13	11	0	0	48	3.8127632812500005
n15	14	0	0	48	4.652773125
n14	9	0	0	51	3.8167696875000003
n16	12	0	0	51	4.604696250000001
n7	8	0	0	63	3.8047504687500004
n8	13	0	0	63	4.616715468750001
n3	10	0	0	68	3.7860539062500003
n4	15	0	0	68	4.588670625000001
n21	18	0	0	46	4.971950156249999
n22	17	0	0	51	4.96927921875
n17	16	0	0	67	4.96660828125
n18	19	0	0	73	4.9492471875
n23	22	0	0	49	6.232632656250002
n24	21	0	0	51	6.259342031250002
n19	20	0	0	67	6.228626250000001
n20	23	0	0	70	6.208594218750001
n39	25	0	0	48	8.883538125000012
n33	27	0	0	51	8.891550937500012
n34	28	0	0	56	9.536582343750021
n25	24	0	0	68	8.899563750000013
n26	30	0	0	75	8.850151406250012
n40	35	0	0	53	10.490107031250021
n36	31	0	0	58	10.492777968750021
insertion	32	0	0	58	10.612970156250022
n35	26	0	0	60	9.998654531250022
n27	29	0	0	68	10.491442500000021
insertion	33	0	0	68	10.555545000000022
n28	34	0	0	73	10.471410468750022
n42	43	0	0	49	11.551804687500024
n41	38	0	0	51	10.985565937500024
n37	37	0	0	60	10.984230468750024
n38	41	0	0	61	11.559817500000023
n29	36	0	0	68	11.005597968750022
n31	42	0	0	68	11.547798281250024
n30	40	0	0	75	10.969540312500024
n32	44	0	0	77	11.527766250000024
n65	46	0	0	51	12.385137187500025
n66	45	0	0	58	12.385137187500025
n54	47	0	0	67	12.391814531250024
n44	49	0	0	74	13.600413750000028
n43	48	0	0	75	12.370447031250025
n67	55	0	0	51	14.001054375000027
n68	57	0	0	58	13.995712500000028
n45	52	0	0	67	14.059815000000029
n48	71	0	0	72	16.03764421875003
n46	50	0	0	73	14.059815000000029
n56	51	0	0	73	14.12258203125003
n58	54	0	0	73	14.676801562500032
n47	62	0	0	73	15.32984578125003
n64	64	0	0	73	15.48876656250003
n49	70	0	0	73	15.90676828125003
insertion	60	0	0	73	15.161576718750029
insertion	69	0	0	73	15.771885937500032
insertion	72	0	0	73	16.13379796875003
n60	58	0	0	73	14.974611093750031
insertion	66	0	0	73	15.631661718750031
n55	53	0	0	75	14.469803906250032
n61	61	0	0	75	15.25773046875003
insertion	67	0	0	75	15.706447968750032
n57	56	0	0	75	14.858425312500032
n63	63	0	0	75	15.43267687500003
insertion	68	0	0	75	15.830646562500032
n59	59	0	0	75	15.07477125000003
n50	73	0	0	75	16.22060343750003
insertion	65	0	0	75	15.55554000000003
insertion	75	0	0	75	16.43027203125003
n53	78	0	0	73	17.46258937500004
n52	77	0	0	75	17.155431562500038
n51	76	0	0	77	16.54779328125003
n74	82	0	0	56	18.00478968750004
n75	79	0	0	60	18.436146093750043
n79	84	0	0	60	18.892876406250043
n82	85	0	0	60	19.35361312500004
n77	deletion
n76	80	0	0	63	18.44950078125004
n78	81	0	0	63	18.715259062500042
n80	83	0	0	63	18.943624218750042
n83	86	0	0	63	19.36429687500004
n71	89	0	0	72	18.07556953125004
n81	90	0	0	56	19.13326078125004
n84	87	0	0	60	19.60735218750004
n86	91	0	0	60	19.83838828125004
n85	88	0	0	63	19.61670046875004
n87	92	0	0	63	19.851742968750038
n72	97	0	0	75	19.60868765625004
n88	101	0	0	56	20.053398750000042
n89	93	0	0	60	20.26573828125004
n91	95	0	0	60	20.516806406250037
n93	99	0	0	60	20.753184375000036
n90	94	0	0	63	20.27508656250004
n92	96	0	0	63	20.542180312500037
n94	100	0	0	63	20.734487812500035
n73	98	0	0	80	20.491432500000037
n97	106	0	0	58	21.000246093750036
n98	102	0	0	61	21.336784218750037
n100	104	0	0	61	21.579839531250038
n102	107	0	0	61	21.780159843750035
n99	103	0	0	63	21.340790625000036
n101	105	0	0	63	21.577168593750038
n103	108	0	0	63	21.788172656250033
n95	109	0	0	80	21.091057968750036
n104	115	0	0	58	22.02187968750003
n105	110	0	0	61	22.255586718750028
n107	112	0	0	61	22.489293750000023
n109	114	0	0	61	22.721665312500022
n106	111	0	0	63	22.275618750000024
n108	113	0	0	63	22.49730656250002
n110	116	0	0	63	22.74837468750002
n96	119	0	0	79	22.02187968750003
n111	122	0	0	58	22.964720625000023
n112	117	0	0	61	23.183737500000024
n114	120	0	0	61	23.434805625000024
n116	123	0	0	61	23.725937812500025
n121	131	0	0	61	24.095862656250024
n131	140	0	0	61	25.06140656250003
n141	150	0	0	61	25.926790312500035
n113	118	0	0	63	23.186408437500024
n115	121	0	0	63	23.452166718750025
n117	124	0	0	63	23.712583125000023
n122	127	0	0	63	24.453768281250024
n125	133	0	0	63	24.647411250000026
n128	deletion
n123	126	0	0	67	24.453768281250024
n126	129	0	0	67	24.692817187500026
n129	132	0	0	67	24.91717593750003
n124	125	0	0	70	24.440413593750026
n127	128	0	0	70	24.682133437500028
n130	130	0	0	70	24.85975078125003
n118	139	0	0	82	24.167977968750023
n132	136	0	0	63	25.27775250000003
n135	143	0	0	63	25.47673734375003
n138	deletion
n133	135	0	0	67	25.29644906250003
n136	138	0	0	67	25.539504375000032
n139	142	0	0	67	25.759856718750033
n134	134	0	0	70	25.28442984375003
n137	137	0	0	70	25.492762968750032
n140	141	0	0	70	25.698425156250032
n119	154	0	0	79	25.468724531250032
n142	146	0	0	63	26.145807187500036
n145	149	0	0	63	26.443616718750036
n148	155	0	0	63	26.60921484375004
n143	144	0	0	67	26.161832812500037
n146	148	0	0	67	26.404888125000035
n149	153	0	0	67	26.638595156250037
n144	145	0	0	70	26.149813593750036
n147	147	0	0	70	26.388862500000037
n150	152	0	0	70	26.594524687500037
n120	151	0	0	75	26.394204375000037
n153	160	0	0	60	26.841586406250038
n154	157	0	0	63	27.12069937500004
n156	159	0	0	63	27.33570984375004
n158	162	0	0	63	27.57208781250004
n155	156	0	0	68	27.14473781250004
n157	158	0	0	68	27.35173546875004
n159	161	0	0	68	27.58277156250004
n151	163	0	0	75	26.92171453125004
n160	169	0	0	60	27.803123906250036
n161	165	0	0	63	28.040837343750038
n163	167	0	0	63	28.25851875000004
n165	171	0	0	63	28.47486468750004
n162	164	0	0	68	28.091585156250037
n164	166	0	0	68	28.28389265625004
n166	170	0	0	68	28.47486468750004
n152	168	0	0	80	27.853871718750035
n167	176	0	0	60	28.713913593750043
n168	173	0	0	63	28.931595000000044
n170	175	0	0	63	29.192011406250042
n172	177	0	0	63	29.417705625000043
n169	172	0	0	68	28.938272343750043
n171	174	0	0	68	29.169308437500042
n173	178	0	0	68	29.413699218750043
n177	186	0	0	66	29.767598437500045
n178	181	0	0	68	30.088110937500048
n181	184	0	0	68	30.293773125000047
n184	188	0	0	68	30.496764375000044
n179	180	0	0	72	30.12283312500005
n182	183	0	0	72	30.301785937500046
n185	187	0	0	72	30.530151093750042
n180	179	0	0	75	30.094788281250047
n183	182	0	0	75	30.309798750000045
n186	185	0	0	75	30.492757968750045
n174	195	0	0	80	29.831700937500045
n187	196	0	0	66	30.719787656250038
n188	191	0	0	68	30.944146406250038
n191	194	0	0	68	31.18453078125004
n194	199	0	0	68	31.35680625000004
n189	190	0	0	72	30.949488281250037
n192	193	0	0	72	31.20055640625004
n195	198	0	0	72	31.368825468750043
n190	189	0	0	75	30.94147546875004
n193	192	0	0	75	31.17785343750004
n196	197	0	0	75	31.35680625000004
n175	206	0	0	84	31.15915687500004
n197	207	0	0	66	31.60386796875004
n198	202	0	0	68	31.83623953125004
n201	205	0	0	68	32.13672000000004
n204	211	0	0	68	32.32368562500004
n199	201	0	0	72	31.85627156250004
n202	204	0	0	72	32.13271359375004
n205	210	0	0	72	32.33570484375004
n200	200	0	0	75	31.83089765625004
n203	203	0	0	75	32.13805546875004
n206	209	0	0	75	32.36508515625004
n176	208	0	0	87	32.08864312500004
n211	218	0	0	65	32.64820453125004
n212	213	0	0	68	33.023471250000014
n214	215	0	0	68	33.25450734375001
n216	217	0	0	68	33.44681484375001
n213	212	0	0	73	33.04884515625001
n215	214	0	0	73	33.23981718750001
n217	216	0	0	73	33.43746656250001
n207	222	0	0	87	32.747029218750036
n218	224	0	0	65	33.677850937500004
n219	220	0	0	68	33.8808421875
n221	223	0	0	68	34.1746453125
n223	225	0	0	68	34.33356609375
n220	219	0	0	73	33.87683578125
n222	221	0	0	73	34.11722015625
n224	226	0	0	73	34.30685671875
n208	227	0	0	85	34.10386546875
n228	deletion
n225	228	0	0	63	34.56326671874999
n226	229	0	0	68	34.811663906249976
n229	234	0	0	68	35.29510359374995
n230	235	0	0	70	35.30178093749995
n227	230	0	0	72	34.817005781249975
n209	231	0	0	87	34.57795687499999
n210	232	0	0	89	35.050712812499974
n238	241	0	0	63	35.670370312499955
n239	237	0	0	68	35.94814781249993
n241	240	0	0	68	36.211235156249934
n243	243	0	0	68	36.40621359374993
n240	236	0	0	72	35.95081874999993
n242	239	0	0	72	36.17784843749993
n244	242	0	0	72	36.37015593749993
n232	248	0	0	87	36.14846812499993
n231	238	0	0	89	35.674376718749954
n245	249	0	0	63	36.59184374999993
n246	245	0	0	68	36.77880937499993
n248	247	0	0	68	37.033883906249926
n250	251	0	0	68	37.220849531249925
n247	244	0	0	72	36.78949312499993
n249	246	0	0	72	37.01518734374993
n251	252	0	0	72	37.223520468749925
n234	253	0	0	84	37.226191406249924
n233	250	0	0	85	37.01652281249993
n252	263	0	0	63	37.45055015624991
n253	256	0	0	70	37.68959906249989
n255	259	0	0	70	37.94200265624987
n257	262	0	0	70	38.13163921874987
n254	255	0	0	73	37.68959906249989
n256	260	0	0	73	37.94333812499987
n258	261	0	0	73	38.13163921874987
n237	258	0	0	79	37.92063515624987
n236	257	0	0	85	37.68959906249989
n235	254	0	0	87	37.44253734374991
n283	265	0	0	68	38.41342312499986
n284	264	0	0	72	38.42010046874986
n259	267	0	0	80	38.47619015624985
n261	269	0	0	84	38.677845937499825
n265	274	0	0	84	39.02773874999982
n260	266	0	0	87	38.57902124999984
n262	270	0	0	87	38.761980468749826
n264	273	0	0	87	38.93425593749982
n266	275	0	0	87	39.138582656249824
n263	272	0	0	92	38.84477953124982
n273	282	0	0	60	39.89178703124977
n272	281	0	0	63	39.799639687499784
n274	283	0	0	63	40.00663734374975
n271	280	0	0	68	39.6807829687498
n269	278	0	0	72	39.48446906249983
n268	277	0	0	75	39.352257656249826
n270	279	0	0	75	39.596648437499816
n267	276	0	0	80	39.228059062499824
n279	288	0	0	44	40.54349578124969
n277	286	0	0	48	40.341839999999706
n281	290	0	0	48	40.73713874999969
n276	285	0	0	51	40.229660624999724
n278	287	0	0	51	40.4259745312497
n280	289	0	0	51	40.64899781249969
n282	291	0	0	51	40.86935015624969
n275	284	0	0	56	40.10145562499974
n311	295	0	0	34	40.96283296874969
n312	297	0	0	39	40.978858593749685
n287	292	0	0	43	40.978858593749685
n313	294	0	0	46	40.978858593749685
n289	296	0	0	49	41.205888281249656
n293	301	0	0	49	41.597180624999616
n288	293	0	0	51	41.101721718749666
n290	298	0	0	51	41.29803562499964
n292	300	0	0	51	41.501026874999624
n294	302	0	0	51	41.7000117187496
n291	299	0	0	55	41.398195781249626
n314	306	0	0	34	41.81886843749959
n315	307	0	0	39	41.82153937499959
n316	304	0	0	46	41.82821671874959
n295	303	0	0	55	41.82688124999959
n297	308	0	0	61	42.056581874999566
n301	312	0	0	61	42.431848593749535
n296	305	0	0	63	41.95775718749958
n298	309	0	0	63	42.150064687499565
n300	311	0	0	63	42.33836578124955
n302	313	0	0	63	42.550705312499524
n299	310	0	0	67	42.24755390624955
n318	316	0	0	34	42.68024578124951
n319	317	0	0	39	42.709626093749506
n320	318	0	0	46	42.68158124999951
n303	314	0	0	67	42.68692312499951
n305	319	0	0	73	42.90460453124948
n309	323	0	0	73	43.32127078124944
n304	315	0	0	75	42.8017734374995
n306	320	0	0	75	42.996751874999475
n308	322	0	0	75	43.213097812499456
