xml_id	midi_id	track	channel	pitch	onset
n9	2	1	0	44	1.0130208333333333
n11	7	1	0	48	3.1940104166666665
n10	1	1	0	51	1.0260416666666665
n12	6	1	0	51	3.1705729166666665
n6	4	1	0	63	3.1705729166666665
n5	0	1	0	68	0.9947916666666666
n2	5	1	0	68	3.12890625
n1	3	1	0	72	0.9856770833333333
n13	11	1	0	48	3.7239583333333326
n15	14	1	0	48	4.377604166666666
n14	8	1	0	51	3.729166666666666
n16	12	1	0	51	4.406249999999999
n22	16	1	0	51	4.622395833333331
n7	9	1	0	63	3.713541666666666
n8	13	1	0	63	4.367187499999999
n3	10	1	0	68	3.7031249999999996
n4	15	1	0	68	4.371093749999999
n21	19	1	0	46	4.647135416666664
n17	17	1	0	67	4.635416666666664
n18	18	1	0	73	4.593749999999998
n23	21	1	0	49	5.855468749999998
n24	20	1	0	51	5.863281249999998
n19	22	1	0	67	5.841145833333331
n20	23	1	0	70	5.815104166666664
n39	27	1	0	48	8.002604166666664
n33	24	1	0	51	7.988281249999997
n34	25	1	0	56	8.648437499999996
n25	28	1	0	68	8.01302083333333
n26	29	1	0	75	7.95052083333333
n40	32	1	0	53	9.6015625
n36	30	1	0	58	9.5859375
n35	26	1	0	60	9.119791666666666
n27	31	1	0	68	9.6015625
n28	33	1	0	73	9.56640625
n42	41	1	0	49	10.683593750000002
n41	36	1	0	51	10.067708333333336
n37	34	1	0	60	10.058593750000002
n38	38	1	0	61	10.665364583333336
n29	35	1	0	68	10.079427083333336
n31	39	1	0	68	10.669270833333336
n30	37	1	0	75	10.041666666666668
n32	40	1	0	77	10.641927083333336
n65	42	1	0	51	11.74479166666667
n66	43	1	0	58	11.72526041666667
n54	45	1	0	67	11.718750000000004
n44	46	1	0	74	12.789062500000004
n43	44	1	0	75	11.692708333333337
n67	81	1	0	51	13.177083333333337
n68	82	1	0	58	13.162760416666671
n45	50	1	0	67	13.177083333333337
n48	77	1	0	72	15.85677083333334
n46	47	1	0	73	13.134114583333337
n56	49	1	0	73	13.670572916666673
n58	52	1	0	73	13.917968750000007
n60	54	1	0	73	14.102864583333341
n47	60	1	0	73	14.546875000000007
n64	62	1	0	73	14.687500000000007
insertion	56	1	0	73	14.253906250000009
n49	68	1	0	73	15.093750000000005
