idx,matchtype,partid,ppartid
0,0,n9,2
1,0,n11,7
2,0,n10,1
3,0,n12,6
4,0,n6,4
5,0,n5,0
6,0,n2,5
7,0,n1,3
8,0,n13,10
9,0,n15,14
10,0,n14,8
11,0,n16,12
12,0,n22,17
13,0,n7,9
14,0,n8,13
15,0,n3,11
16,0,n4,15
17,0,n21,18
18,0,n17,16
19,0,n18,19
20,0,n23,21
21,0,n24,20
22,0,n19,22
23,0,n20,23
24,0,n39,24
25,0,n33,27
26,0,n34,26
27,0,n25,25
28,0,n26,29
29,0,n40,32
30,0,n36,30
31,0,n35,28
32,0,n27,31
33,0,n28,33
34,0,n42,41
35,0,n41,37
36,0,n37,36
37,0,n38,40
38,0,n29,34
39,0,n31,38
40,0,n30,35
41,0,n32,39
42,0,n65,44
43,0,n66,42
44,0,n54,43
45,0,n44,45
46,0,n43,46
47,0,n67,55
48,0,n68,54
49,0,n45,48
50,0,n48,79
51,0,n46,47
52,0,n56,50
53,0,n58,56
54,0,n47,66
55,0,n49,78
56,2,undefined,60
57,2,undefined,72
58,2,undefined,74
59,2,undefined,82
60,0,n60,62
61,2,undefined,52
62,2,undefined,76
63,0,n64,70
64,2,undefined,58
65,2,undefined,80
66,0,n55,49
67,2,undefined,71
68,0,n57,51
69,2,undefined,73
70,0,n59,59
71,0,n63,69
72,0,n50,81
73,2,undefined,53
74,2,undefined,61
75,2,undefined,75
76,2,undefined,83
77,0,n61,63
78,2,undefined,57
79,2,undefined,77
80,0,n53,86
81,0,n52,85
82,0,n51,84
83,0,n74,87
84,0,n75,88
85,0,n77,90
86,0,n79,93
87,0,n76,89
88,0,n78,91
89,0,n80,92
90,0,n71,101
91,0,n81,94
92,0,n82,96
93,0,n84,97
94,0,n86,100
95,0,n83,95
96,0,n85,98
97,0,n87,99
98,0,n72,105
99,0,n88,102
100,0,n89,104
101,0,n91,106
102,0,n93,109
103,0,n90,103
104,0,n92,107
105,0,n94,110
106,0,n73,108
107,0,n97,111
108,0,n98,112
109,0,n100,114
110,0,n102,116
111,0,n99,113
112,0,n101,115
113,0,n103,117
114,0,n95,118
115,0,n104,119
116,0,n105,120
117,0,n107,122
118,0,n109,124
119,0,n106,121
120,0,n108,123
121,0,n110,125
122,0,n96,129
123,0,n111,126
124,0,n112,128
125,0,n114,130
126,0,n116,132
127,0,n113,127
128,0,n115,131
129,0,n117,133
130,0,n121,134
131,0,n122,137
132,0,n125,140
133,0,n128,141
134,0,n123,135
135,0,n126,139
136,0,n129,143
137,0,n124,136
138,0,n127,138
139,0,n130,142
140,0,n118,154
141,0,n131,147
142,0,n132,146
143,0,n135,150
144,0,n138,153
145,0,n133,144
146,0,n136,149
147,0,n139,151
148,0,n134,145
149,0,n137,148
150,0,n140,152
151,0,n119,163
152,0,n141,155
153,0,n142,158
154,0,n145,161
155,0,n148,165
156,0,n143,156
157,0,n146,160
158,0,n149,164
159,0,n144,157
160,0,n147,159
161,0,n150,166
162,0,n120,162
163,0,n153,167
164,0,n154,168
165,0,n156,171
166,0,n158,173
167,0,n155,169
168,0,n157,170
169,0,n159,172
170,0,n151,174
171,0,n160,175
172,0,n161,177
173,0,n163,178
174,0,n165,180
175,0,n162,176
176,0,n164,179
177,0,n166,181
178,0,n152,182
179,0,n167,183
180,0,n168,185
181,0,n170,186
182,0,n172,188
183,0,n169,184
184,0,n171,187
185,0,n173,189
186,0,n177,190
187,0,n178,193
188,0,n181,195
189,0,n184,198
190,0,n179,192
191,0,n182,196
192,0,n185,199
193,0,n180,191
194,0,n183,194
195,0,n186,197
196,0,n174,211
197,0,n187,200
198,0,n188,202
199,0,n191,205
200,0,n194,209
201,0,n189,201
202,0,n192,206
203,0,n195,208
204,0,n190,203
205,0,n193,204
206,0,n196,207
207,0,n175,218
208,0,n197,210
209,0,n198,213
210,0,n201,216
211,0,n204,220
212,0,n199,212
213,0,n202,217
214,0,n205,222
215,0,n200,214
216,0,n203,215
217,0,n206,221
218,0,n176,219
219,0,n211,223
220,0,n212,224
221,0,n214,227
222,0,n216,228
223,0,n219,231
224,0,n221,234
225,0,n213,225
226,0,n215,226
227,0,n217,229
228,0,n220,232
229,0,n222,233
230,0,n207,235
231,0,n218,230
232,0,n223,237
233,0,n224,236
234,0,n208,238
235,0,n228,244
236,0,n225,239
237,0,n226,241
238,0,n229,245
239,0,n230,246
240,0,n227,240
241,0,n209,242
242,0,n210,243
243,0,n238,247
244,0,n239,248
245,0,n241,251
246,0,n243,253
247,0,n240,249
248,0,n242,250
249,0,n244,254
250,0,n232,260
251,0,n231,252
252,0,n245,255
253,0,n246,257
254,0,n248,259
