idx,matchtype,partid,ppartid
0,0,n9,2
1,0,n11,6
2,0,n10,0
3,0,n12,5
4,0,n6,4
5,0,n5,1
6,0,n2,3
7,0,n1,7
8,0,n13,11
9,0,n15,13
10,0,n14,10
11,0,n16,12
12,0,n7,9
13,0,n8,14
14,0,n3,8
15,0,n4,15
16,0,n21,18
17,0,n22,17
18,0,n17,16
19,0,n18,19
20,0,n23,21
21,0,n24,22
22,0,n19,20
23,0,n20,23
24,0,n39,26
25,0,n33,28
26,0,n34,24
27,0,n25,25
28,0,n26,27
29,0,n40,30
30,0,n36,33
31,0,n35,29
32,0,n27,31
33,0,n28,32
34,0,n42,40
35,0,n41,35
36,0,n37,34
37,0,n38,39
38,0,n29,36
39,0,n31,38
40,0,n30,37
41,0,n32,41
42,0,n65,43
43,0,n66,42
44,0,n54,45
45,0,n44,46
46,0,n43,44
47,0,n67,80
48,0,n68,78
49,0,n45,54
50,0,n48,81
51,0,n46,47
52,0,n56,49
53,0,n58,51
54,0,n60,53
55,0,n47,58
56,0,n64,60
57,0,n49,66
58,2,undefined,56
59,0,n55,48
60,0,n57,50
61,0,n59,52
62,0,n61,57
63,0,n63,59
64,2,undefined,55
65,0,n50,71
66,2,undefined,61
67,0,n53,88
68,0,n52,85
69,2,undefined,86
70,0,n51,87
71,0,n74,93
72,0,n75,90
73,0,n77,91
74,0,n82,96
75,0,n79,95
76,0,n86,102
77,0,n76,89
78,0,n78,92
79,0,n83,97
80,0,n80,94
81,0,n87,101
82,0,n71,105
83,0,n81,100
84,0,n84,98
85,0,n85,99
86,0,n72,108
87,0,n88,109
88,0,n89,103
89,0,n91,106
90,0,n93,112
91,0,n90,104
92,0,n92,107
93,0,n94,110
94,0,n73,111
95,0,n97,117
96,0,n98,114
97,0,n100,116
98,1,n102,undefined
99,0,n99,113
100,0,n101,115
101,0,n103,118
102,0,n95,119
103,0,n104,124
104,0,n105,121
105,0,n107,122
106,0,n109,125
107,0,n106,120
108,0,n108,123
109,0,n110,126
110,0,n96,127
111,0,n111,128
112,0,n112,130
113,0,n114,132
114,0,n116,134
115,0,n113,129
116,0,n115,131
117,0,n117,133
118,0,n121,141
119,0,n122,137
120,0,n125,140
121,0,n128,142
122,0,n123,136
123,0,n126,138
124,0,n129,144
125,0,n124,135
126,0,n127,139
127,0,n130,143
128,0,n118,177
129,0,n131,151
130,0,n132,146
131,0,n135,150
132,0,n138,152
133,0,n133,147
134,0,n136,149
135,0,n139,154
136,0,n134,145
137,0,n137,148
138,0,n140,153
139,0,n119,161
140,0,n141,162
141,0,n142,156
142,0,n145,158
143,0,n148,166
144,0,n143,157
145,0,n146,160
146,0,n149,165
147,0,n144,155
148,0,n147,159
149,0,n150,164
150,0,n120,163
151,0,n153,171
152,0,n154,168
153,0,n156,170
154,0,n158,172
155,0,n155,167
156,0,n157,169
157,0,n159,173
158,0,n151,174
159,0,n160,180
160,0,n161,176
161,0,n163,179
162,0,n165,181
163,0,n162,175
164,0,n164,178
165,0,n166,182
166,0,n152,183
167,0,n167,188
168,0,n168,184
169,0,n170,187
170,0,n172,189
171,0,n169,185
172,0,n171,186
173,0,n173,190
174,0,n177,197
175,0,n178,193
176,0,n181,196
177,0,n184,198
178,0,n179,192
179,0,n182,195
180,0,n185,200
181,0,n180,191
182,0,n183,194
183,0,n186,199
184,0,n174,201
185,0,n187,208
186,0,n188,204
187,0,n191,207
188,0,n194,211
189,0,n189,203
190,0,n192,206
191,0,n195,210
192,0,n190,202
193,0,n193,205
194,0,n196,209
195,0,n175,215
196,0,n197,219
197,0,n198,214
198,0,n201,217
199,0,n204,222
200,0,n199,213
201,0,n202,218
202,0,n205,223
203,0,n200,212
204,0,n203,216
205,0,n206,221
206,0,n176,220
207,0,n211,228
208,0,n212,225
209,0,n214,227
210,0,n216,230
211,0,n213,224
212,0,n215,226
213,0,n217,229
214,0,n207,233
215,0,n218,236
216,0,n219,232
217,0,n221,234
218,0,n223,237
219,0,n220,231
220,0,n222,235
221,0,n224,238
222,0,n208,239
223,0,n228,244
224,0,n225,240
225,0,n226,243
226,0,n229,246
227,0,n230,247
228,0,n227,241
229,0,n209,242
230,0,n210,245
231,0,n238,252
232,0,n239,248
233,0,n241,251
234,0,n243,254
235,0,n240,249
236,0,n242,250
237,0,n244,253
238,0,n232,260
239,0,n231,259
240,0,n245,263
241,0,n246,255
242,0,n248,258
243,0,n250,262
244,0,n247,256
245,0,n249,257
246,0,n251,264
247,0,n234,265
248,0,n233,261
249,0,n252,275
250,0,n253,267
251,0,n255,270
252,0,n257,273
253,0,n254,268
254,0,n256,271
255,0,n258,274
256,0,n237,272
257,0,n236,269
258,0,n235,266
259,0,n283,278
260,0,n284,279
261,0,n259,277
262,0,n261,280
263,0,n265,284
264,0,n260,276
265,0,n262,281
266,0,n264,283
267,0,n266,285
268,0,n263,282
269,0,n273,292
270,0,n272,291
271,0,n274,293
272,0,n271,290
273,0,n269,288
274,0,n268,287
275,0,n270,289
276,0,n267,286
277,0,n279,298
278,0,n277,296
279,0,n281,300
280,0,n276,295
281,0,n278,297
282,0,n280,299
283,0,n282,301
284,0,n275,294
285,0,n311,308
286,0,n312,307
287,0,n287,303
288,0,n313,306
289,0,n289,304
290,0,n293,311
291,0,n288,302
292,0,n290,305
293,0,n292,310
294,0,n294,312
295,0,n291,309
296,0,n314,318
297,0,n315,319
298,0,n316,317
299,0,n295,313
300,0,n297,315
301,0,n301,322
302,0,n296,314
303,0,n298,316
304,0,n300,321
305,0,n302,323
306,0,n299,320
307,0,n318,329
308,0,n319,328
309,0,n320,330
310,0,n303,324
311,0,n305,326
312,0,n309,333
313,0,n304,325
314,0,n306,327
315,0,n308,332
316,0,n310,334
317,0,n307,331
318,0,n346,338
319,0,n347,341
320,0,n348,340
321,0,n322,337
322,0,n324,336
323,0,n328,344
324,0,n323,335
325,0,n325,339
326,0,n327,343
327,0,n329,345
328,0,n326,342
