xml_id	midi_id	track	channel	pitch	onset
n9	2	1	0	44	1.0195312499999998
n11	6	1	0	48	3.0364583333333326
n10	0	1	0	51	1.0273437499999998
n12	5	1	0	51	3.0247395833333326
n6	3	1	0	63	2.9791666666666656
n5	1	1	0	68	1.0182291666666665
n2	4	1	0	68	2.984374999999999
n1	7	1	0	72	0.9999999999999998
n13	8	1	0	48	3.5598958333333326
n15	14	1	0	48	4.403645833333334
n14	11	1	0	51	3.569010416666666
n16	12	1	0	51	4.376302083333334
n7	9	1	0	63	3.558593749999999
n8	13	1	0	63	4.390625000000001
n3	10	1	0	68	3.533854166666666
n4	15	1	0	68	4.361979166666667
n21	18	1	0	46	4.701822916666667
n22	17	1	0	51	4.690104166666667
n17	16	1	0	67	4.704427083333334
n18	19	1	0	73	4.686197916666667
n23	20	1	0	49	6.182291666666665
n24	22	1	0	51	6.177083333333332
n19	21	1	0	67	6.177083333333332
n20	23	1	0	70	6.152343749999999
n39	24	1	0	48	8.834635416666664
n33	25	1	0	51	8.82942708333333
n34	27	1	0	56	9.442708333333334
n25	26	1	0	68	8.835937499999998
n26	28	1	0	75	8.792968749999996
n40	31	1	0	53	10.602864583333334
n36	32	1	0	58	10.580729166666668
n35	29	1	0	60	10.028645833333334
n27	30	1	0	68	10.600260416666668
n28	33	1	0	73	10.563802083333334
n42	39	1	0	49	11.807291666666673
n41	37	1	0	51	11.214843750000004
n37	34	1	0	60	11.216145833333337
n38	38	1	0	61	11.804687500000007
n29	36	1	0	68	11.220052083333337
n31	41	1	0	68	11.812500000000007
n30	35	1	0	75	11.20182291666667
n32	40	1	0	77	11.789062500000007
n65	43	1	0	51	12.709635416666679
n66	42	1	0	58	12.697916666666679
n54	45	1	0	67	12.688802083333345
n44	46	1	0	74	14.006510416666682
n43	44	1	0	75	12.657552083333345
n67	71	1	0	51	14.457031250000018
n68	73	1	0	58	14.453125000000018
n45	47	1	0	67	14.447916666666684
n48	72	1	0	72	16.895833333333346
n46	48	1	0	73	14.43489583333335
n56	50	1	0	73	14.944010416666684
n60	56	1	0	73	15.662760416666682
n47	60	1	0	73	15.99218750000002
n64	64	1	0	73	16.307291666666686
n49	70	1	0	73	16.800781250000014
insertion	54	1	0	73	15.44010416666668
insertion	58	1	0	73	15.805989583333352
insertion	66	1	0	73	16.502604166666686
insertion	68	1	0	73	16.640625000000018
insertion	74	1	0	73	17.06640625000001
n58	52	1	0	73	15.208333333333348
insertion	62	1	0	73	16.167968750000018
n55	49	1	0	75	14.764322916666682
n61	59	1	0	75	15.915364583333353
n50	75	1	0	75	17.216145833333346
insertion	55	1	0	75	15.558593750000014
insertion	67	1	0	75	16.56770833333335
insertion	77	1	0	75	17.44921875000001
n57	51	1	0	75	15.076822916666684
n63	61	1	0	75	16.084635416666686
insertion	57	1	0	75	15.710937500000018
insertion	69	1	0	75	16.710937500000014
n59	53	1	0	75	15.324218750000014
insertion	65	1	0	75	16.407552083333353
n53	79	1	0	73	18.975260416666668
n52	80	1	0	75	18.58072916666667
n51	78	1	0	77	17.60937500000001
n74	86	1	0	56	19.420572916666668
n75	82	1	0	60	19.882812499999996
n77	84	1	0	60	20.165364583333325
n79	87	1	0	60	20.428385416666657
n82	88	1	0	60	20.93229166666665
n76	81	1	0	63	19.890624999999996
n78	83	1	0	63	20.160156249999993
n80	85	1	0	63	20.428385416666657
n85	90	1	0	63	21.165364583333314
n71	96	1	0	72	19.479166666666664
n81	89	1	0	56	20.65104166666665
n84	91	1	0	60	21.18229166666665
n86	93	1	0	60	21.446614583333318
n87	92	1	0	63	21.423177083333318
n83	deletion
n72	100	1	0	75	21.173177083333314
n88	99	1	0	56	21.70312499999998
n89	94	1	0	60	21.94921874999997
n91	98	1	0	60	22.183593749999975
n93	102	1	0	60	22.455729166666643
n90	95	1	0	63	21.938802083333307
n92	97	1	0	63	22.182291666666643
n94	101	1	0	63	22.460937499999975
n73	103	1	0	80	22.183593749999975
n97	108	1	0	58	22.747395833333307
n98	105	1	0	61	23.018229166666643
n100	107	1	0	61	23.282552083333307
n102	110	1	0	61	23.52343749999997
n99	104	1	0	63	23.015624999999975
n101	106	1	0	63	23.277343749999975
n103	109	1	0	63	23.536458333333307
n95	111	1	0	80	22.747395833333307
n104	117	1	0	58	23.81249999999997
n105	113	1	0	61	24.104166666666636
n107	115	1	0	61	24.374999999999964
n109	118	1	0	61	24.59244791666663
n106	112	1	0	63	24.117187499999968
n108	114	1	0	63	24.342447916666632
n110	116	1	0	63	24.602864583333297
n96	121	1	0	79	23.88671874999997
n111	124	1	0	58	24.830729166666632
n112	119	1	0	61	25.075520833333293
n114	122	1	0	61	25.312499999999957
n116	125	1	0	61	25.54947916666662
n113	120	1	0	63	25.08593749999996
n115	123	1	0	63	25.328124999999957
n117	126	1	0	63	25.59114583333329
n121	133	1	0	61	25.865885416666618
n122	129	1	0	63	26.201822916666618
n125	132	1	0	63	26.47265624999995
n128	134	1	0	63	26.686197916666615
n123	127	1	0	67	26.21093749999995
n126	131	1	0	67	26.450520833333282
n129	136	1	0	67	26.742187499999947
n124	128	1	0	70	26.212239583333282
n127	130	1	0	70	26.450520833333282
n130	135	1	0	70	26.707031249999947
n118	157	1	0	82	25.89453124999995
n131	142	1	0	61	26.975260416666615
n132	137	1	0	63	27.207031249999947
n135	141	1	0	63	27.463541666666618
n138	144	1	0	63	27.729166666666618
n133	138	1	0	67	27.244791666666615
n136	140	1	0	67	27.455729166666618
n139	145	1	0	67	27.727864583333286
n137	139	1	0	70	27.45312499999995
n140	143	1	0	70	27.735677083333286
n134	deletion
n119	158	1	0	79	27.450520833333282
n141	153	1	0	61	27.98307291666662
n142	147	1	0	63	28.22526041666662
n145	149	1	0	63	28.49869791666662
n148	156	1	0	63	28.738281249999954
n143	148	1	0	67	28.22526041666662
n146	151	1	0	67	28.51432291666662
n149	155	1	0	67	28.766927083333286
n144	146	1	0	70	28.22916666666662
n147	150	1	0	70	28.523437499999954
n150	154	1	0	70	28.714843749999954
n120	152	1	0	75	28.492187499999954
n153	163	1	0	60	29.036458333333286
n154	160	1	0	63	29.309895833333286
n156	162	1	0	63	29.61067708333329
n158	164	1	0	63	29.808593749999957
n155	159	1	0	68	29.32421874999995
n157	161	1	0	68	29.58072916666662
n159	165	1	0	68	29.842447916666625
n151	173	1	0	75	29.032552083333286
n160	170	1	0	60	30.087239583333293
n161	166	1	0	63	30.330729166666625
n163	168	1	0	63	30.57161458333329
n165	172	1	0	63	30.859374999999954
n162	167	1	0	68	30.339843749999957
n164	169	1	0	68	30.59244791666662
