idx,matchtype,partid,ppartid
0,0,n9,2
1,0,n11,6
2,0,n10,0
3,0,n12,5
4,0,n6,3
5,0,n5,1
6,0,n2,4
7,0,n1,7
8,0,n13,8
9,0,n15,14
10,0,n14,11
11,0,n16,12
12,0,n7,9
13,0,n8,13
14,0,n3,10
15,0,n4,15
16,0,n21,18
17,0,n22,17
18,0,n17,16
19,0,n18,19
20,0,n23,20
21,0,n24,22
22,0,n19,21
23,0,n20,23
24,0,n39,24
25,0,n33,25
26,0,n34,27
27,0,n25,26
28,0,n26,28
29,0,n40,31
30,0,n36,32
31,0,n35,29
32,0,n27,30
33,0,n28,33
34,0,n42,39
35,0,n41,37
36,0,n37,34
37,0,n38,38
38,0,n29,36
39,0,n31,41
40,0,n30,35
41,0,n32,40
42,0,n65,43
43,0,n66,42
44,0,n54,45
45,0,n44,46
46,0,n43,44
47,0,n67,71
48,0,n68,73
49,0,n45,47
50,0,n48,72
51,0,n46,48
52,0,n56,50
53,0,n60,56
54,0,n47,60
55,0,n64,64
56,0,n49,70
57,2,undefined,54
58,2,undefined,58
59,2,undefined,66
60,2,undefined,68
61,2,undefined,74
62,0,n58,52
63,2,undefined,62
64,0,n55,49
65,0,n61,59
66,0,n50,75
67,2,undefined,55
68,2,undefined,67
69,2,undefined,77
70,0,n57,51
71,0,n63,61
72,2,undefined,57
73,2,undefined,69
74,0,n59,53
75,2,undefined,65
76,0,n53,79
77,0,n52,80
78,0,n51,78
79,0,n74,86
80,0,n75,82
81,0,n77,84
82,0,n79,87
83,0,n82,88
84,0,n76,81
85,0,n78,83
86,0,n80,85
87,0,n85,90
88,0,n71,96
89,0,n81,89
90,0,n84,91
91,0,n86,93
92,0,n87,92
93,1,n83,undefined
94,0,n72,100
95,0,n88,99
96,0,n89,94
97,0,n91,98
98,0,n93,102
99,0,n90,95
100,0,n92,97
101,0,n94,101
102,0,n73,103
103,0,n97,108
104,0,n98,105
105,0,n100,107
106,0,n102,110
107,0,n99,104
108,0,n101,106
109,0,n103,109
110,0,n95,111
111,0,n104,117
112,0,n105,113
113,0,n107,115
114,0,n109,118
115,0,n106,112
116,0,n108,114
117,0,n110,116
118,0,n96,121
119,0,n111,124
120,0,n112,119
121,0,n114,122
122,0,n116,125
123,0,n113,120
124,0,n115,123
125,0,n117,126
126,0,n121,133
127,0,n122,129
128,0,n125,132
129,0,n128,134
130,0,n123,127
131,0,n126,131
132,0,n129,136
133,0,n124,128
134,0,n127,130
135,0,n130,135
136,0,n118,157
137,0,n131,142
138,0,n132,137
139,0,n135,141
140,0,n138,144
141,0,n133,138
142,0,n136,140
143,0,n139,145
144,0,n137,139
145,0,n140,143
146,1,n134,undefined
147,0,n119,158
148,0,n141,153
149,0,n142,147
150,0,n145,149
151,0,n148,156
152,0,n143,148
153,0,n146,151
154,0,n149,155
155,0,n144,146
156,0,n147,150
157,0,n150,154
158,0,n120,152
159,0,n153,163
160,0,n154,160
161,0,n156,162
162,0,n158,164
163,0,n155,159
164,0,n157,161
165,0,n159,165
166,0,n151,173
167,0,n160,170
168,0,n161,166
169,0,n163,168
170,0,n165,172
171,0,n162,167
172,0,n164,169
173,0,n166,171
174,0,n152,174
175,0,n167,179
176,0,n168,175
177,0,n170,177
178,0,n172,180
179,0,n169,176
180,0,n171,178
181,0,n173,181
182,0,n177,188
183,0,n178,184
184,0,n181,187
185,0,n184,190
186,0,n179,183
187,0,n182,186
188,0,n185,191
189,0,n180,182
190,0,n183,185
191,0,n186,189
192,0,n174,199
193,0,n187,198
194,0,n188,193
195,0,n191,197
196,0,n194,201
197,0,n189,194
198,0,n192,196
199,0,n195,202
200,0,n190,192
201,0,n193,195
202,0,n196,200
203,0,n175,206
204,0,n197,210
205,0,n198,205
206,0,n201,208
207,0,n204,213
208,0,n199,204
209,0,n202,209
210,0,n205,215
211,0,n200,203
212,0,n203,207
213,0,n206,214
214,0,n176,212
215,0,n211,220
216,0,n212,217
217,0,n214,219
218,0,n216,222
219,0,n213,216
220,0,n215,218
221,0,n217,221
222,0,n207,225
223,0,n218,228
224,0,n219,224
225,0,n221,226
226,0,n223,231
227,0,n220,223
228,0,n222,227
229,0,n224,229
230,0,n208,230
231,0,n228,237
232,0,n225,232
233,0,n226,235
234,0,n229,239
235,0,n230,238
236,0,n227,234
237,0,n209,233
238,0,n210,236
239,0,n238,244
240,0,n239,240
241,0,n241,242
242,0,n243,246
243,0,n240,241
244,0,n242,243
245,0,n244,245
246,0,n232,252
247,0,n231,250
248,0,n245,251
249,0,n246,247
250,0,n248,249
251,0,n250,255
252,0,n247,248
253,0,n251,253
254,1,n249,undefined
255,0,n234,256
256,0,n233,254
257,0,n252,266
258,0,n253,258
259,0,n255,262
260,0,n257,265
261,0,n254,257
262,0,n256,261
263,0,n258,264
264,0,n237,263
265,0,n236,260
266,0,n235,259
267,0,n283,274
268,0,n284,272
269,0,n259,267
270,0,n261,269
271,0,n265,275
272,0,n260,268
273,0,n262,270
274,0,n264,273
275,0,n266,276
276,0,n263,271
277,0,n273,283
278,0,n272,282
279,0,n274,284
280,0,n271,281
281,0,n269,279
282,0,n268,278
283,0,n270,280
284,0,n267,277
285,0,n279,289
286,0,n277,287
287,0,n281,291
288,0,n276,286
289,0,n278,288
290,0,n280,290
291,0,n282,292
292,0,n275,285
293,0,n311,297
294,0,n312,298
295,0,n287,293
296,0,n313,296
297,0,n289,295
298,0,n293,302
299,0,n288,294
300,0,n290,299
301,0,n292,301
302,0,n294,303
303,0,n291,300
304,0,n314,309
305,0,n315,310
306,0,n316,307
307,0,n295,304
308,0,n297,306
309,0,n301,313
310,0,n296,305
311,0,n298,308
312,0,n300,312
313,0,n302,314
314,0,n299,311
315,0,n318,320
316,0,n319,321
317,0,n320,318
318,0,n303,315
319,0,n305,317
320,0,n309,324
321,0,n304,316
322,0,n306,319
323,0,n308,323
324,0,n310,325
325,0,n307,322
326,0,n346,331
327,0,n347,334
