xml_id	midi_id	track	channel	pitch	onset
n9	2	0	0	44	1.5371245312500004
n11	7	0	0	48	3.58573359375
n10	0	0	0	51	1.5277762500000003
n12	6	0	0	51	3.5750498437500005
n6	5	0	0	63	3.5817271875000003
n5	1	0	0	68	1.5304471875000003
n2	4	0	0	68	3.5590242187500003
n1	3	0	0	72	1.5090796875000003
n13	9	0	0	48	4.11457921875
n15	14	0	0	48	4.941234375000004
n14	11	0	0	51	4.11992109375
n16	12	0	0	51	4.933221562500004
n22	17	0	0	51	5.206992656250005
n7	10	0	0	63	4.1079018750000005
n8	13	0	0	63	4.931886093750005
n3	8	0	0	68	4.087869843750001
n4	15	0	0	68	4.911854062500004
n21	18	0	0	46	5.223018281250005
n17	16	0	0	67	5.219011875000005
n18	19	0	0	73	5.186960625000005
n23	22	0	0	49	6.571841718750011
n24	21	0	0	51	6.555816093750011
n19	20	0	0	67	6.551809687500011
n20	23	0	0	70	6.531777656250012
n39	27	0	0	48	8.997052968750035
n33	24	0	0	51	9.025097812500036
n34	25	0	0	56	9.656774531250045
n25	26	0	0	68	9.003730312500036
n26	29	0	0	75	8.960995312500035
n40	32	0	0	53	10.778568281250056
n36	31	0	0	58	10.750523437500055
n35	28	0	0	60	10.215000468750052
n27	30	0	0	68	10.769220000000056
n28	33	0	0	73	10.735833281250056
n42	41	0	0	49	11.996515781250062
n41	37	0	0	51	11.32744593750006
n37	35	0	0	60	11.288717343750061
n38	39	0	0	61	11.993844843750063
n29	34	0	0	68	11.31542671875006
n31	40	0	0	68	12.087327656250062
insertion	38	0	0	68	11.985832031250062
n30	36	0	0	75	11.279369062500063
n32	42	0	0	77	11.943097031250062
n65	45	0	0	51	12.788448750000063
n66	44	0	0	58	12.777765000000063
n54	43	0	0	67	12.781771406250062
n44	47	0	0	74	13.836791718750082
n43	46	0	0	75	12.749720156250062
n67	80	0	0	51	14.254793437500084
n68	78	0	0	58	14.250787031250084
n45	50	0	0	67	14.236096875000085
n48	75	0	0	72	16.611895781250084
n46	49	0	0	73	14.212058437500085
n56	52	0	0	73	14.659440468750088
n58	56	0	0	73	15.086790468750088
n60	60	0	0	73	15.434012343750087
n64	68	0	0	73	16.046992500000087
insertion	54	0	0	73	14.901160312500089
insertion	70	0	0	73	16.205913281250087
insertion	72	0	0	73	16.335453750000084
insertion	76	0	0	73	16.746778125000084
n47	64	0	0	73	15.739834687500087
n49	74	0	0	73	16.483690781250083
insertion	58	0	0	73	15.289781718750088
insertion	62	0	0	73	15.595604062500087
insertion	79	0	0	73	16.965795000000078
n55	51	0	0	75	14.501855156250086
insertion	69	0	0	75	16.125785156250085
n57	53	0	0	75	14.784974531250088
insertion	71	0	0	75	16.259332031250086
n59	57	0	0	75	15.181608750000088
n61	61	0	0	75	15.515475937500087
n63	67	0	0	75	15.962857968750086
n50	77	0	0	75	16.84827375000008
insertion	55	0	0	75	14.987965781250088
insertion	59	0	0	75	15.349877812500088
insertion	73	0	0	75	16.420923750000085
insertion	81	0	0	75	17.122044843750082
n53	84	0	0	73	18.235825781250103
n52	83	0	0	75	17.9340098437501
n51	82	0	0	77	17.306339531250085
n74	89	0	0	56	18.704575312500104
n75	86	0	0	60	19.019745937500108
n77	88	0	0	60	19.277491406250114
n79	91	0	0	60	19.532565937500113
n76	85	0	0	63	19.01173312500011
n78	87	0	0	63	19.286839687500112
n80	90	0	0	63	19.519211250000115
n71	96	0	0	72	18.649821093750106
n81	97	0	0	56	19.77295031250011
n82	93	0	0	60	20.050727812500117
n84	95	0	0	60	20.340524531250118
n86	99	0	0	60	20.588921718750115
n83	92	0	0	63	20.058740625000116
n85	94	0	0	63	20.345866406250117
n87	98	0	0	63	20.544851250000114
n72	104	0	0	75	20.279092968750117
n88	108	0	0	56	20.813280468750115
n89	101	0	0	60	21.06034218750012
n91	103	0	0	60	21.32476500000012
n93	106	0	0	60	21.547788281250124
n90	100	0	0	63	21.06434859375012
n92	102	0	0	63	21.31942312500012
