idx,matchtype,partid,ppartid
0,0,n9,3
1,0,n11,4
2,0,n10,1
3,0,n12,6
4,0,n6,5
5,0,n5,0
6,0,n2,7
7,0,n1,2
8,0,n13,8
9,0,n15,13
10,0,n14,10
11,0,n16,12
12,0,n7,9
13,0,n8,15
14,0,n3,11
15,0,n4,14
16,0,n21,18
17,0,n22,17
18,0,n17,16
19,0,n18,19
20,0,n23,21
21,0,n24,20
22,0,n19,22
23,0,n20,23
24,0,n39,24
25,0,n33,26
26,0,n34,25
27,0,n25,27
28,0,n26,28
29,0,n40,31
30,0,n36,33
31,0,n35,29
32,0,n27,30
33,0,n28,32
34,0,n42,39
35,0,n41,36
36,0,n37,34
37,0,n38,40
38,0,n29,35
39,0,n31,38
40,0,n30,37
41,0,n32,41
42,0,n65,42
43,0,n66,44
44,0,n54,45
45,0,n44,46
46,0,n43,43
47,0,n67,53
48,0,n68,56
49,0,n45,48
50,0,n48,67
51,0,n46,47
52,0,n56,50
53,0,n58,52
54,0,n60,55
55,0,n47,60
56,0,n64,62
57,0,n49,66
58,2,undefined,58
59,2,undefined,64
60,2,undefined,68
61,2,undefined,70
62,0,n55,49
63,0,n61,59
64,0,n63,61
65,0,n50,69
66,2,undefined,57
67,2,undefined,65
68,2,undefined,71
69,0,n57,51
70,2,undefined,63
71,0,n59,54
72,0,n53,74
73,0,n52,73
74,0,n51,72
75,0,n74,75
76,0,n75,77
77,0,n77,79
78,0,n79,81
79,0,n76,76
80,0,n78,78
81,0,n80,80
82,0,n71,86
83,0,n81,82
84,0,n82,84
85,0,n84,87
86,0,n86,89
87,0,n89,92
88,0,n83,83
89,0,n85,85
90,0,n87,88
91,0,n90,91
92,0,n72,95
93,0,n88,90
94,0,n91,94
95,0,n93,97
96,0,n92,93
97,0,n94,98
98,0,n73,96
99,0,n97,101
100,0,n98,99
101,0,n100,103
102,0,n102,104
103,0,n99,100
104,0,n101,102
105,0,n103,105
106,0,n95,106
107,0,n104,109
108,0,n105,107
109,0,n107,110
110,0,n109,112
111,0,n106,108
112,0,n108,111
113,0,n110,113
114,0,n96,114
115,0,n111,115
116,0,n112,116
117,0,n114,119
118,0,n116,120
119,0,n113,117
120,0,n115,118
121,0,n117,121
122,0,n121,122
123,0,n122,123
124,0,n125,126
125,0,n128,130
126,0,n123,125
127,0,n126,128
128,0,n129,131
129,0,n124,124
130,0,n127,127
131,0,n130,129
132,0,n118,136
133,0,n131,132
134,0,n132,133
135,0,n135,138
136,0,n138,141
137,0,n133,135
138,0,n136,139
139,1,n139,undefined
140,0,n134,134
141,0,n137,137
142,0,n140,140
143,0,n119,146
144,0,n141,142
145,0,n142,143
146,0,n145,148
147,0,n148,151
148,0,n143,145
149,1,n146,undefined
150,1,n149,undefined
151,0,n144,144
152,0,n147,147
153,0,n150,150
154,0,n120,149
155,0,n153,156
156,0,n154,153
157,0,n156,155
158,0,n158,157
159,0,n155,152
160,0,n157,154
161,0,n159,158
162,0,n151,159
163,0,n160,165
164,0,n161,161
165,0,n163,163
166,0,n165,166
167,0,n162,160
168,0,n164,162
169,0,n166,167
170,0,n152,164
171,0,n167,172
172,0,n168,169
173,0,n170,170
174,0,n172,173
175,0,n169,168
176,0,n171,171
177,0,n173,174
178,0,n177,175
179,0,n178,176
180,0,n181,180
181,0,n184,184
182,0,n179,178
183,0,n182,181
184,0,n185,183
185,0,n180,177
186,0,n183,179
187,0,n186,182
188,0,n174,189
189,0,n187,185
190,0,n188,187
191,0,n191,191
192,0,n194,195
193,0,n189,186
194,0,n192,192
195,0,n195,194
196,0,n190,188
197,0,n193,190
198,0,n196,193
199,0,n175,200
200,0,n197,196
201,0,n198,199
202,0,n201,202
203,0,n204,206
204,0,n199,198
205,0,n202,203
206,1,n205,undefined
207,0,n200,197
208,0,n203,201
209,0,n206,204
210,0,n176,205
211,0,n211,211
212,0,n212,207
213,0,n214,209
214,0,n216,213
215,0,n213,208
216,0,n215,210
217,0,n217,212
218,0,n207,216
219,0,n218,219
220,0,n219,214
221,0,n221,217
222,0,n223,221
223,0,n220,215
224,0,n222,218
225,0,n224,220
226,0,n208,222
227,0,n228,228
228,0,n225,223
