idx,matchtype,partid,ppartid
0,0,n9,2
1,0,n11,5
2,0,n10,1
3,0,n12,4
4,0,n6,6
5,0,n5,0
6,0,n2,7
7,0,n1,3
8,0,n13,8
9,0,n15,13
10,0,n14,9
11,0,n16,12
12,0,n7,10
13,0,n8,14
14,0,n3,11
15,0,n4,15
16,0,n21,18
17,0,n22,17
18,0,n17,16
19,0,n18,19
20,0,n23,20
21,0,n24,21
22,0,n19,22
23,0,n20,23
24,0,n39,26
25,0,n33,25
26,0,n34,27
27,0,n25,24
28,0,n26,29
29,0,n40,30
30,0,n36,31
31,0,n35,28
32,0,n27,32
33,0,n28,33
34,0,n42,38
35,0,n41,35
36,0,n37,34
37,0,n38,39
38,0,n29,36
39,0,n31,41
40,0,n30,37
41,0,n32,40
42,0,n65,42
43,0,n66,43
44,0,n54,45
45,0,n44,46
46,0,n43,44
47,0,n67,63
48,0,n68,65
49,0,n45,56
50,0,n48,61
51,0,n46,47
52,0,n56,49
53,0,n60,53
54,0,n64,58
55,2,undefined,60
56,0,n58,51
57,0,n47,55
58,0,n49,62
59,2,undefined,66
60,0,n55,48
61,0,n57,50
62,0,n59,52
63,0,n61,54
64,0,n63,57
65,0,n50,64
66,2,undefined,59
67,2,undefined,67
68,0,n53,70
69,0,n52,69
70,0,n51,68
71,0,n74,75
72,0,n75,71
73,0,n77,74
74,0,n79,76
75,0,n76,72
76,0,n78,73
77,0,n80,77
78,0,n71,85
79,0,n81,82
80,0,n82,78
81,0,n84,81
82,0,n86,84
83,0,n83,79
84,0,n85,80
85,0,n87,83
86,0,n72,91
87,0,n88,90
88,0,n89,87
89,0,n91,89
90,0,n93,92
91,0,n90,86
92,0,n92,88
93,0,n94,93
94,0,n73,94
95,0,n97,99
96,0,n98,95
97,0,n100,98
98,0,n102,100
99,0,n99,96
100,0,n101,97
101,0,n103,101
102,0,n95,102
103,0,n104,107
104,0,n105,103
105,0,n107,105
106,0,n109,108
107,0,n106,104
108,0,n108,106
109,0,n110,109
110,0,n96,112
111,0,n111,115
112,0,n112,111
113,0,n114,113
114,0,n116,116
115,0,n113,110
116,0,n115,114
117,0,n117,117
118,0,n121,123
119,0,n122,120
120,0,n128,125
121,1,n125,undefined
122,0,n123,119
123,0,n126,121
124,0,n129,126
125,0,n124,118
126,0,n127,122
127,0,n130,124
128,0,n118,137
129,0,n131,133
130,0,n132,129
131,0,n135,132
132,0,n138,134
133,0,n133,128
134,0,n136,131
135,0,n139,136
136,0,n134,127
137,0,n137,130
138,0,n140,135
139,0,n119,143
140,0,n141,144
141,0,n142,139
142,0,n145,146
143,1,n148,undefined
144,0,n143,140
145,0,n146,142
146,0,n149,148
147,0,n144,138
148,0,n147,141
149,0,n150,147
150,0,n120,145
151,0,n153,153
152,0,n154,149
153,0,n156,152
154,0,n158,154
155,0,n155,150
156,0,n157,151
157,0,n159,155
158,0,n151,156
159,0,n160,161
160,0,n161,158
161,0,n163,160
162,0,n165,163
163,0,n162,157
164,0,n164,159
165,0,n166,162
166,0,n152,166
167,0,n167,169
168,0,n168,165
169,0,n170,168
170,0,n172,170
171,0,n169,164
172,0,n171,167
173,0,n173,171
174,0,n177,178
175,0,n178,174
176,0,n181,176
177,0,n184,179
178,0,n179,173
179,0,n182,177
180,0,n185,181
181,0,n180,172
182,0,n183,175
183,0,n186,180
184,0,n174,188
185,0,n187,189
186,0,n188,182
187,0,n191,186
188,0,n194,190
189,0,n189,184
190,0,n192,187
191,0,n195,192
192,0,n190,183
193,0,n193,185
194,0,n196,191
195,0,n175,200
196,0,n197,198
197,0,n198,193
198,0,n201,199
199,1,n204,undefined
200,0,n199,195
201,0,n202,196
202,0,n205,202
203,0,n200,194
204,0,n203,197
205,0,n206,203
206,0,n176,201
207,0,n211,208
208,0,n212,205
209,0,n214,206
210,0,n216,209
211,0,n213,204
212,0,n215,207
213,0,n217,210
214,0,n207,215
215,0,n218,216
216,0,n219,211
217,0,n221,214
218,0,n223,218
219,0,n220,212
220,0,n222,213
221,0,n224,217
222,0,n208,219
223,0,n228,224
224,0,n225,220
225,0,n226,222
226,0,n229,226
227,0,n230,227
228,0,n227,221
229,0,n209,223
230,0,n210,225
231,0,n238,232
232,0,n239,228
233,0,n241,231
234,0,n243,234
235,0,n240,229
236,0,n242,230
237,0,n244,235
238,0,n232,239
239,0,n231,233
240,0,n245,241
241,0,n246,237
242,0,n248,238
243,0,n250,244
244,0,n247,236
245,0,n249,240
246,0,n251,243
247,0,n234,245
248,0,n233,242
249,0,n252,255
250,0,n253,246
251,0,n255,249
252,0,n257,253
253,0,n254,247
254,0,n256,250
255,0,n258,254
256,0,n237,251
257,0,n236,248
258,0,n235,252
259,0,n283,263
260,0,n284,262
261,0,n259,258
262,0,n261,257
263,0,n265,264
264,0,n260,256
265,0,n262,259
266,0,n264,261
267,0,n266,265
268,0,n263,260
269,0,n273,272
270,0,n272,271
271,0,n274,273
272,0,n271,270
273,0,n269,268
274,0,n268,267
275,0,n270,269
276,0,n267,266
277,0,n279,279
278,0,n277,276
279,0,n281,280
280,0,n276,275
281,0,n278,277
282,0,n280,278
283,0,n282,281
284,0,n275,274
285,0,n311,286
286,0,n312,288
287,0,n287,283
288,0,n313,287
289,0,n289,284
290,0,n293,291
291,0,n288,282
292,0,n290,285
293,0,n292,290
294,0,n294,292
295,0,n291,289
296,0,n314,297
297,0,n315,298
298,0,n316,296
299,0,n295,293
300,0,n297,295
301,0,n301,302
302,0,n296,294
303,0,n298,299
304,0,n300,301
305,0,n302,303
306,0,n299,300
307,0,n318,307
308,0,n319,306
309,0,n320,308
310,0,n303,305
311,0,n305,309
312,0,n309,313
313,0,n304,304
314,0,n306,310
315,0,n308,312
316,0,n310,314
317,0,n307,311
318,0,n346,317
319,0,n347,318
320,0,n348,316
321,0,n322,319
322,0,n324,320
323,0,n328,324
324,0,n323,315
325,0,n325,321
326,0,n327,323
327,0,n329,325
328,0,n326,322
329,0,n336,332
330,0,n335,331
331,0,n337,333
332,0,n334,330
333,0,n332,328
334,0,n331,327
335,0,n333,329
336,0,n330,326
337,0,n342,339
338,0,n340,336
339,0,n344,340
340,0,n339,335
341,0,n341,337
342,0,n343,338
343,0,n345,341
344,0,n338,334
345,0,n375,346
346,0,n376,348
347,0,n377,347
348,0,n351,343
349,0,n353,344
350,0,n357,351
351,0,n352,342
352,0,n354,345
353,0,n356,350
354,0,n358,352
355,0,n355,349
356,0,n378,356
357,0,n379,357
358,0,n380,358
359,1,n359,undefined
360,0,n361,355
361,0,n365,362
362,0,n360,353
363,0,n362,359
364,0,n364,361
365,0,n366,363
366,0,n363,360
367,0,n382,367
368,0,n383,369
369,0,n384,370
370,0,n367,365
371,0,n369,366
372,0,n373,373
373,0,n368,364
374,0,n370,368
375,0,n372,372
376,0,n374,374
377,0,n371,371
378,0,n410,380
379,0,n411,378
380,0,n412,379
381,0,n386,375
382,0,n388,377
383,0,n392,384
384,0,n387,376
385,0,n389,381
386,0,n391,383
387,0,n393,385
388,0,n390,382
389,0,n400,392
390,0,n399,391
391,0,n401,393
392,0,n398,390
393,0,n396,388
394,0,n395,387
395,0,n397,389
396,0,n394,386
397,0,n402,394
398,0,n404,396
399,0,n408,400
400,0,n403,395
401,0,n405,397
402,0,n407,399
403,0,n409,401
404,0,n406,398
405,0,n439,402
406,0,n440,404
407,0,n415,405
408,0,n417,406
409,0,n421,410
410,0,n416,403
411,0,n418,407
412,0,n420,409
413,0,n422,411
414,0,n419,408
415,0,n441,414
416,0,n442,417
417,0,n443,416
418,0,n423,419
419,0,n425,415
420,0,n429,422
421,0,n424,413
422,0,n426,418
423,0,n428,421
424,0,n430,423
425,0,n427,420
426,0,n445,429
427,0,n446,426
428,0,n447,427
429,0,n431,425
430,0,n433,428
431,0,n437,433
432,0,n432,424
433,0,n434,430
434,0,n436,432
435,0,n438,434
436,0,n435,431
437,0,n473,437
438,0,n474,438
439,0,n475,439
440,0,n449,435
441,0,n451,440
442,0,n455,444
443,0,n450,436
444,0,n452,441
445,0,n454,443
446,0,n456,445
447,0,n453,442
448,0,n477,449
449,0,n478,450
450,0,n479,451
451,0,n457,446
452,0,n459,448
453,0,n463,455
454,0,n458,447
455,0,n460,452
456,0,n462,454
457,0,n464,456
458,0,n461,453
459,0,n481,462
460,0,n482,461
461,0,n483,463
462,0,n465,457
463,0,n467,459
464,0,n471,466
465,0,n466,458
466,0,n468,460
467,0,n470,465
468,0,n472,467
469,0,n469,464
470,0,n512,476
471,0,n509,469
472,0,n510,470
473,0,n513,477
474,0,n514,478
475,0,n511,471
476,0,n485,472
477,0,n489,480
478,0,n487,473
479,0,n491,481
480,0,n495,488
481,0,n486,468
482,0,n488,474
483,0,n490,479
484,0,n494,483
485,0,n492,482
486,0,n496,489
487,0,n518,492
488,0,n515,484
489,0,n516,486
490,0,n519,493
491,0,n520,491
492,0,n517,485
493,0,n493,487
494,0,n497,494
495,0,n499,495
496,0,n498,490
497,0,n500,496
498,0,n524,505
499,0,n521,498
500,0,n522,499
501,0,n525,507
502,0,n526,506
503,0,n523,500
504,0,n501,501
505,0,n505,509
506,0,n503,502
507,0,n507,508
508,0,n502,497
509,0,n504,503
510,0,n506,504
511,0,n508,510
512,0,n535,514
513,0,n534,511
514,0,n528,513
515,0,n527,512
516,0,n537,517
517,0,n536,515
518,0,n530,521
519,0,n529,516
520,0,n539,522
521,0,n538,519
522,0,n531,518
523,0,n532,520
524,0,n550,524
525,0,n549,523
526,0,n541,526
527,0,n540,525
528,0,n552,528
529,0,n551,527
530,0,n543,530
531,0,n542,531
532,0,n554,533
533,0,n555,535
534,0,n556,538
535,0,n553,529
536,0,n545,534
537,0,n546,536
538,0,n547,537
539,0,n544,532
540,0,n569,543
541,0,n568,542
542,0,n567,540
543,0,n559,545
544,0,n558,541
545,0,n557,539
546,0,n573,549
547,0,n572,547
548,0,n571,546
549,0,n562,551
550,0,n561,548
551,0,n560,544
552,0,n576,553
553,0,n577,556
554,0,n575,552
555,0,n564,554
556,0,n565,555
557,0,n563,550
558,0,n593,561
559,0,n592,559
560,0,n591,558
561,0,n580,563
