xml_id	midi_id	track	channel	pitch	onset
n9	7	0	0	44	1.5170925000000004
n11	5	0	0	48	3.1410225000000005
n10	1	0	0	51	1.5478082812500005
n12	2	0	0	51	3.1597190625000002
n6	4	0	0	63	3.1530417187500004
n5	0	0	0	68	1.5264407812500005
n2	3	0	0	68	3.0956165625000005
n1	6	0	0	72	1.5117506250000003
n13	8	0	0	48	3.6992484375
n15	15	0	0	48	4.42707890625
n14	9	0	0	51	3.6885646875
n16	12	0	0	51	4.424407968750001
n7	10	0	0	63	3.67387453125
n8	13	0	0	63	4.42974984375
n3	11	0	0	68	3.6458296875
n4	14	0	0	68	4.40304046875
n21	18	0	0	46	4.78498453125
n22	17	0	0	51	4.78632
n17	16	0	0	67	4.7769717187500005
n18	19	0	0	73	4.7569396875
n23	20	0	0	49	5.966874375000005
n24	22	0	0	51	5.952184218750005
n19	23	0	0	67	5.938829531250005
n20	21	0	0	70	5.909449218750005
n39	25	0	0	48	7.82851781250001
n33	27	0	0	51	7.82851781250001
n34	26	0	0	56	8.497587656250017
n25	24	0	0	68	7.79379562500001
n26	29	0	0	75	7.77910546875001
n40	33	0	0	53	9.507202031250015
n36	31	0	0	58	9.497853750000015
n35	28	0	0	60	8.981027343750016
n27	30	0	0	68	9.492511875000016
n28	32	0	0	73	9.473815312500017
n42	38	0	0	49	10.69710468750002
n41	36	0	0	51	10.040054062500017
n37	34	0	0	60	10.032041250000018
n38	40	0	0	61	10.68909187500002
n29	35	0	0	68	10.036047656250018
n31	39	0	0	68	10.682414531250021
n30	37	0	0	75	10.022692968750018
n32	41	0	0	77	10.665053437500022
n65	43	0	0	51	11.680009687500032
n66	42	0	0	58	11.688022500000033
n54	44	0	0	67	11.676003281250033
n44	46	0	0	74	12.600147656250044
n43	45	0	0	75	11.655971250000032
n67	53	0	0	51	13.035510468750047
n68	60	0	0	58	13.016813906250047
n45	48	0	0	67	13.004794687500047
n48	75	0	0	72	15.628990781250057
n46	47	0	0	73	13.008801093750046
n56	50	0	0	73	13.482892500000055
n60	59	0	0	73	14.360295468750056
insertion	70	0	0	73	15.287110781250055
n47	64	0	0	73	14.740904062500057
n49	73	0	0	73	15.787911562500058
insertion	52	0	0	73	13.753992656250055
insertion	57	0	0	73	14.166652500000056
n58	55	0	0	73	13.969003125000055
n64	68	0	0	73	15.126854531250057
insertion	72	0	0	73	15.428670468750056
insertion	76	0	0	73	16.041650625000063
n55	49	0	0	75	13.331984531250054
n57	51	0	0	75	13.615103906250054
n59	56	0	0	75	14.061150468750055
n63	65	0	0	75	14.841064218750057
insertion	71	0	0	75	15.360561562500056
insertion	74	0	0	75	15.917452031250061
n61	61	0	0	75	14.469803906250055
insertion	54	0	0	75	13.866172031250056
n50	77	0	0	75	16.165849218750065
insertion	58	0	0	75	14.282838281250056
n53	80	0	0	73	17.403828750000073
n52	79	0	0	75	17.04859406250007
n72	102	0	0	75	19.37230968750008
n51	78	0	0	77	16.486361718750068
n74	81	0	0	56	17.82049500000008
n75	82	0	0	60	18.183742500000083
n79	85	0	0	60	18.661840312500082
n77	deletion
n76	83	0	0	63	18.175729687500084
n78	84	0	0	63	18.474874687500083
n80	86	0	0	63	18.657833906250083
n71	98	0	0	72	17.82049500000008
n81	87	0	0	56	18.91691484375008
n82	88	0	0	60	19.15062187500008
n84	90	0	0	60	19.41905109375008
n86	91	0	0	60	19.63005515625008
n83	89	0	0	63	19.14394453125008
