onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5475422,0.18830109,53,18,0,0,0,0.537527,0.0
0.54353577,0.1923075,41,15,0,0,1,0.537527,0.0
0.53151655,0.20432672,68,38,0,0,2,-10.0,-10.0
0.5168264,0.21901688,72,47,0,0,3,-10.0,-10.0
0.75453985,0.1495725,55,45,0,0,4,0.747862,1.0
0.7478625,0.15624985,43,51,0,0,5,0.747862,1.0
0.7478625,0.15624985,64,50,0,0,6,0.747862,1.0
0.72783047,0.17628187,70,51,0,0,7,0.537527,0.0
0.94284093,0.040064063,65,55,0,0,8,0.938835,2.0
0.9348281,0.20699766,44,55,0,0,9,0.747862,1.0
0.95886654,0.18295921,56,47,0,0,10,0.938835,2.0
0.9348281,0.20699766,68,74,0,0,11,0.747862,1.0
1.1324775,0.037393127,67,65,0,0,12,0.938835,2.0
1.1471677,0.03338672,58,50,0,0,13,0.938835,2.0
1.1458322,0.036057655,61,59,0,0,14,0.938835,2.0
1.1485032,0.034722187,64,47,0,0,15,1.147168,3.0
1.2019218,0.0026709375,46,3,0,0,16,1.147168,3.0
1.3408107,0.036057655,56,67,0,0,17,1.147168,3.0
1.3408107,0.037393127,65,69,0,0,18,1.147168,3.0
1.3461525,0.037393127,59,60,0,0,19,1.147168,3.0
1.3568362,0.03205125,62,50,0,0,20,1.346153,4.0
1.3568362,0.038728595,47,45,0,0,21,1.346153,4.0
1.5584921,0.03338672,56,53,0,0,22,1.558492,5.0
1.5544857,0.04139953,65,44,0,0,23,1.346153,4.0
1.5584921,0.04139953,62,43,0,0,24,1.558492,5.0
1.5718467,0.049412344,59,10,0,0,25,1.558492,5.0
1.7868571,0.070779845,55,57,0,0,26,1.558492,5.0
1.7908636,0.45005298,60,48,0,0,27,1.558492,5.0
1.7962055,0.4447111,64,55,0,0,28,1.793534,6.0
1.7962055,0.4447111,48,47,0,0,29,1.793534,6.0
2.2168782,0.046741407,36,79,0,0,30,2.216878,8.0
2.2088654,0.38862142,48,73,0,0,31,2.005206,7.0
2.2168782,0.3806086,72,81,0,0,32,2.216878,8.0
2.2235556,0.37393126,76,74,0,0,33,2.216878,8.0
2.2128718,0.384615,79,93,0,0,34,2.005206,7.0
2.4292176,0.16826907,72,78,0,0,35,2.427882,9.0
2.4278822,0.16960452,40,77,0,0,36,2.427882,9.0
2.4278822,0.16960452,76,68,0,0,37,2.427882,9.0
2.4278822,0.16960452,52,73,0,0,38,2.427882,9.0
2.4238758,0.17361094,67,87,0,0,39,2.216878,8.0
2.626867,0.029380312,67,73,0,0,40,2.62019,10.0
2.6201897,0.042735,64,80,0,0,41,2.427882,9.0
2.614848,0.21100406,72,82,0,0,42,2.427882,9.0
2.612177,0.213675,55,74,0,0,43,2.427882,9.0
2.6228607,0.20299125,43,74,0,0,44,2.62019,10.0
2.8245163,0.028044844,60,81,0,0,45,2.62019,10.0
2.8365357,0.03071578,64,75,0,0,46,2.8352,11.0
2.8338647,0.03338672,72,79,0,0,47,2.62019,10.0
2.8352,0.034722187,67,62,0,0,48,2.8352,11.0
2.837871,0.034722187,48,69,0,0,49,2.8352,11.0
3.0194948,0.03338672,55,75,0,0,50,2.8352,11.0
3.0248368,0.03071578,43,78,0,0,51,2.8352,11.0
3.0248368,0.034722187,64,68,0,0,52,2.8352,11.0
3.0288432,0.03338672,67,65,0,0,53,3.024837,12.0
3.016824,0.060096093,72,81,0,0,54,2.8352,11.0
3.2158089,0.037393127,67,72,0,0,55,3.024837,12.0
3.225157,0.029380312,71,71,0,0,56,3.225157,13.0
3.227828,0.03071578,43,80,0,0,57,3.225157,13.0
3.2158089,0.046741407,74,85,0,0,58,3.024837,12.0
3.2358408,0.038728595,31,74,0,0,59,3.225157,13.0
3.4748898,0.42868546,72,86,0,0,60,3.469548,14.0
3.4695477,0.43402734,36,83,0,0,61,3.225157,13.0
3.4628704,0.44070467,76,87,0,0,62,3.225157,13.0
3.4682124,0.43536282,48,92,0,0,63,3.225157,13.0
3.4708834,0.43269187,67,81,0,0,64,3.469548,14.0
3.9329555,0.05074781,53,55,0,0,65,3.703255,15.0
3.9249427,0.06276703,41,56,0,0,66,3.703255,15.0
3.9409683,0.18162376,72,56,0,0,67,3.936962,16.0
3.948981,0.17361094,68,60,0,0,68,3.936962,16.0
4.1466303,0.06276703,43,51,0,0,69,3.936962,16.0
4.1760106,0.20432672,55,15,0,0,70,4.149301,17.0
4.1519723,0.22836515,64,55,0,0,71,4.149301,17.0
4.1439595,0.23637797,70,49,0,0,72,3.936962,16.0
4.342944,0.040064063,44,53,0,0,73,4.149301,17.0
4.3576345,0.03338672,65,54,0,0,74,4.354296,18.0
4.35897,0.034722187,56,52,0,0,75,4.354296,18.0
4.3509574,0.078792654,68,62,0,0,76,4.149301,17.0
4.5446,0.03071578,67,55,0,0,77,4.354296,18.0
4.555284,0.03338672,58,51,0,0,78,4.553948,19.0
4.5539484,0.036057655,46,47,0,0,79,4.553948,19.0
4.5539484,0.037393127,61,53,0,0,80,4.553948,19.0
4.5539484,0.048076876,64,36,0,0,81,4.553948,19.0
4.758275,0.029380312,59,58,0,0,82,4.553948,19.0
4.7556043,0.038728595,65,55,0,0,83,4.553948,19.0
4.7729654,0.046741407,47,56,0,0,84,4.772965,20.0
4.783649,0.056089688,62,30,0,0,85,4.772965,20.0
4.8116937,0.037393127,56,11,0,0,86,4.772965,20.0
4.9692793,0.04139953,62,51,0,0,87,4.772965,20.0
4.9692793,0.04139953,65,44,0,0,88,4.772965,20.0
4.979963,0.03338672,59,60,0,0,89,4.978628,21.0
4.9786277,0.036057655,56,52,0,0,90,4.772965,20.0
4.9933176,0.040064063,47,41,0,0,91,4.978628,21.0
5.2403793,0.06143156,55,43,0,0,92,5.231699,22.0
5.2150054,0.44204015,60,45,0,0,93,4.978628,21.0
5.233702,0.4233436,64,52,0,0,94,5.231699,22.0
5.229696,0.42735,48,43,0,0,95,4.978628,21.0
5.645026,0.07612172,36,82,0,0,96,5.441702,23.0
5.643691,0.40064064,48,76,0,0,97,5.441702,23.0
5.658381,0.38595048,72,87,0,0,98,5.651704,24.0
5.658381,0.38595048,76,75,0,0,99,5.651704,24.0
5.651704,0.3926278,79,94,0,0,100,5.651704,24.0
5.8760624,0.16826907,72,80,0,0,101,5.651704,24.0
5.884075,0.16025625,40,83,0,0,102,5.88274,25.0
5.870721,0.17361094,76,71,0,0,103,5.651704,24.0
5.88274,0.16159172,67,79,0,0,104,5.88274,25.0
5.8867464,0.15758531,52,77,0,0,105,5.88274,25.0
6.0843954,0.029380312,64,77,0,0,106,6.080389,26.0
6.0897374,0.03071578,67,68,0,0,107,6.080389,26.0
6.080389,0.05341875,72,83,0,0,108,6.080389,26.0
6.073712,0.128205,55,80,0,0,109,5.88274,25.0
6.071041,0.13087593,43,83,0,0,110,5.88274,25.0
6.279374,0.03205125,60,73,0,0,111,6.080389,26.0
6.2860513,0.03071578,64,75,0,0,112,6.28071,27.0
6.2807097,0.038728595,48,72,0,0,113,6.080389,26.0
6.2913933,0.03205125,67,55,0,0,114,6.28071,27.0
6.2780385,0.057425156,72,78,0,0,115,6.080389,26.0
6.4716816,0.03338672,55,75,0,0,116,6.28071,27.0
6.4770236,0.03071578,43,79,0,0,117,6.477023,28.0
6.4850364,0.026709376,64,64,0,0,118,6.477023,28.0
6.48103,0.034722187,67,56,0,0,119,6.477023,28.0
6.470346,0.05074781,72,88,0,0,120,6.28071,27.0
6.66666,0.03071578,71,72,0,0,121,6.66666,29.0
6.6626534,0.034722187,67,72,0,0,122,6.477023,28.0
6.6626534,0.037393127,74,74,0,0,123,6.477023,28.0
6.6800146,0.034722187,43,58,0,0,124,6.66666,29.0
6.684021,0.046741407,31,59,0,0,125,6.66666,29.0
6.917728,0.44204015,67,81,0,0,126,6.66666,29.0
6.9297476,0.43002093,72,84,0,0,127,6.921735,30.0
6.915057,0.4447111,76,77,0,0,128,6.66666,29.0
6.9217343,0.43803376,48,82,0,0,129,6.66666,29.0
6.9297476,0.43002093,36,79,0,0,130,6.921735,30.0
7.3611035,0.03205125,48,70,0,0,131,7.142087,31.0
7.363775,0.03205125,76,74,0,0,132,7.362439,32.0
7.353091,0.042735,79,87,0,0,133,7.142087,31.0
7.3717875,0.040064063,36,71,0,0,134,7.362439,32.0
7.5614243,0.037393127,79,77,0,0,135,7.362439,32.0
7.569437,0.036057655,47,65,0,0,136,7.567433,33.0
7.5654306,0.040064063,74,73,0,0,137,7.362439,32.0
7.569437,0.04139953,35,69,0,0,138,7.567433,33.0
7.77777,0.21901688,79,87,0,0,139,7.567433,33.0
7.9927807,0.04139953,80,73,0,0,140,7.99278,35.0
7.7884536,0.39129233,48,77,0,0,141,7.783112,34.0
7.772428,0.4366983,76,77,0,0,142,7.567433,33.0
8.195772,0.05475422,80,86,0,0,143,8.195772,36.0
7.791125,0.5956191,36,75,0,0,144,7.783112,34.0
8.398763,0.065437965,80,80,0,0,145,8.195772,36.0
8.402769,0.24839719,77,87,0,0,146,8.195772,36.0
8.408112,0.34054452,49,81,0,0,147,8.40544,37.0
8.410782,0.34855735,37,78,0,0,148,8.40544,37.0
8.808752,0.06276703,82,90,0,0,149,8.60309,38.0
8.603089,0.27644202,80,86,0,0,150,8.40544,37.0
8.794062,0.18162376,77,82,0,0,151,8.60309,38.0
8.820771,0.20566219,50,76,0,0,152,8.814761,39.0
9.019756,0.049412344,82,74,0,0,153,9.019756,40.0
8.83279,0.36591843,38,73,0,0,154,8.814761,39.0
9.222747,0.41533077,82,83,0,0,155,9.222747,41.0
9.220077,0.4180017,79,88,0,0,156,9.019756,40.0
9.221412,0.41666624,51,105,0,0,157,9.019756,40.0
9.222747,0.41533077,39,77,0,0,158,9.222747,41.0
9.43108,0.20699766,79,72,0,0,159,9.428409,42.0
9.425738,0.21233954,82,90,0,0,160,9.222747,41.0
9.607362,0.03071578,32,80,0,0,161,9.606027,43.0
9.612704,0.03071578,44,74,0,0,162,9.606027,43.0
9.225418,0.41933718,75,91,0,0,163,9.222747,41.0
9.599349,0.04540594,80,78,0,0,164,9.428409,42.0
9.6046915,0.056089688,84,81,0,0,165,9.428409,42.0
9.819702,0.0213675,82,65,0,0,166,9.606027,43.0
9.798334,0.042735,85,78,0,0,167,9.606027,43.0
9.821037,0.02270297,77,67,0,0,168,9.821037,44.0
9.823709,0.034722187,37,67,0,0,169,9.821037,44.0
9.821037,0.038728595,49,69,0,0,170,9.821037,44.0
9.99999,0.03071578,79,81,0,0,171,9.821037,44.0
10.006667,0.029380312,39,80,0,0,172,10.006667,45.0
9.995983,0.04540594,82,66,0,0,173,9.821037,44.0
10.009338,0.03338672,51,96,0,0,174,10.006667,45.0
10.0106735,0.03205125,73,71,0,0,175,10.006667,45.0
10.253729,0.4233436,72,88,0,0,176,10.006667,45.0
10.255065,0.42200813,80,89,0,0,177,10.006667,45.0
10.259071,0.4180017,44,79,0,0,178,10.257068,46.0
10.259071,0.4180017,56,80,0,0,179,10.257068,46.0
10.682414,0.040064063,68,59,0,0,180,10.469741,47.0
10.902767,0.21100406,68,54,0,0,181,10.682415,48.0
10.946837,0.19097203,56,39,0,0,182,10.930812,49.0
10.930812,0.24305531,60,40,0,0,183,10.930812,49.0
11.141816,0.070779845,58,39,0,0,184,11.141816,50.0
11.132467,0.080128126,61,52,0,0,185,10.930812,49.0
11.141816,0.088140935,67,51,0,0,186,11.141816,50.0
11.237969,0.06677344,65,46,0,0,187,11.141816,50.0
11.312756,0.036057655,63,64,0,0,188,11.312756,51.0
11.527766,0.036057655,68,55,0,0,189,11.527766,52.0
11.527766,0.040064063,72,63,0,0,190,11.527766,52.0
11.718739,0.24305531,68,65,0,0,191,11.527766,52.0
11.736099,0.22569422,72,54,0,0,192,11.735432,53.0
11.744112,0.21768141,56,38,0,0,193,11.735432,53.0
11.734764,0.22702968,60,44,0,0,194,11.527766,52.0
11.949775,0.04540594,67,55,0,0,195,11.735432,53.0
11.961794,0.084134534,70,49,0,0,196,11.952445,54.0
11.941762,0.1322114,61,53,0,0,197,11.735432,53.0
12.03658,0.049412344,65,61,0,0,198,11.952445,54.0
12.035244,0.08279906,68,56,0,0,199,11.952445,54.0
11.955116,0.17227547,58,43,0,0,200,11.952445,54.0
12.095341,0.037393127,67,70,0,0,201,11.952445,54.0
12.104689,0.034722187,63,57,0,0,202,12.100015,55.0
12.318364,0.03205125,72,64,0,0,203,12.100015,55.0
12.321034,0.038728595,75,72,0,0,204,12.3197,56.0
12.522691,0.057425156,44,52,0,0,205,12.519351,57.0
12.516013,0.08680547,72,58,0,0,206,12.3197,56.0
12.522691,0.14155969,32,59,0,0,207,12.519351,57.0
12.5093355,0.3124997,75,64,0,0,208,12.3197,56.0
12.7377,0.08547,46,46,0,0,209,12.519351,57.0
12.741708,0.10016016,34,51,0,0,210,12.739704,58.0
12.744378,0.097489215,70,57,0,0,211,12.739704,58.0
12.7377,0.23237157,73,58,0,0,212,12.519351,57.0
12.934015,0.07211531,48,57,0,0,213,12.739704,58.0
12.938022,0.09882469,68,62,0,0,214,12.936686,59.0
12.936686,0.14423062,36,62,0,0,215,12.936686,59.0
12.936686,0.24171984,72,60,0,0,216,12.936686,59.0
13.155703,0.070779845,70,60,0,0,217,12.936686,59.0
13.163715,0.13755327,49,59,0,0,218,13.157706,60.0
13.159709,0.14155969,37,39,0,0,219,13.157706,60.0
13.154367,0.19764937,67,61,0,0,220,12.936686,59.0
13.346675,0.038728595,50,64,0,0,221,13.157706,60.0
13.358694,0.10016016,68,67,0,0,222,13.347342,61.0
13.34801,0.16292718,38,64,0,0,223,13.347342,61.0
13.341332,0.17361094,72,63,0,0,224,13.157706,60.0
13.549666,0.088140935,51,66,0,0,225,13.543657,62.0
13.551002,0.08680547,67,50,0,0,226,13.543657,62.0
13.534976,0.102831095,39,56,0,0,227,13.347342,61.0
13.537646,0.18028829,70,69,0,0,228,13.347342,61.0
13.724612,0.04540594,40,61,0,0,229,13.543657,62.0
