xml_id	midi_id	track	channel	pitch	onset
n4	0	1	0	39	2.049139254166666
n5	1	1	0	51	2.200848208333333
n6	2	1	0	51	2.5042661166666664
n7	3	1	0	51	2.6314024937499996
n1	4	1	0	58	2.063028102083333
n2	5	1	0	63	2.0640964749999995
n3	7	1	0	67	2.0512759999999997
n8	6	1	0	51	2.771359345833333
n16	8	1	0	51	2.8984957229166666
n9	deletion
n10	9	1	0	55	2.9508459958333333
n11	13	1	0	58	2.94870925
n12	14	1	0	63	2.9294785375
n17	10	1	0	51	3.0555465416666667
n18	11	1	0	51	3.1933666479166667
n19	12	1	0	51	3.337596991666667
n26	17	1	0	39	3.782040125000001
n20	15	1	0	51	3.476485470833334
n21	16	1	0	51	3.6100320854166674
n22	25	1	0	58	3.793792227083334
n23	22	1	0	63	3.800202464583334
n24	21	1	0	67	3.803407583333334
n25	24	1	0	70	3.7927238541666677
n27	18	1	0	51	3.9497746729166674
n28	19	1	0	51	4.089731525
n29	20	1	0	51	4.23075675
n30	23	1	0	51	4.371781975
n31	26	1	0	51	4.517080691666667
n39	27	1	0	51	4.680541747916666
n32	29	1	0	55	4.691225477083332
n33	31	1	0	58	4.7029775791666655
n34	32	1	0	63	4.686951985416666
n35	33	1	0	67	4.689088731249999
n40	28	1	0	51	4.842934431249998
n41	30	1	0	51	4.990369893749997
n42	34	1	0	51	5.129258372916663
n43	35	1	0	51	5.270283597916662
n44	36	1	0	51	5.421992552083329
n52	38	1	0	51	5.664513204166661
n53	41	1	0	55	5.689085781249994
n51	54	1	0	63	5.692290899999994
n38	37	1	0	70	5.4369497729166625
n45	39	1	0	75	5.645282491666661
n54	48	1	0	53	6.075836777083326
n55	45	1	0	56	6.08758887916666
n46	40	1	0	74	5.817290531249993
n48	44	1	0	75	6.099340981249993
n47	43	1	0	77	5.956179010416659
n66	51	1	0	55	6.530963639583327
n67	53	1	0	58	6.55553621666666
n49	46	1	0	74	6.242502952083327
n56	49	1	0	75	6.530963639583327
n50	47	1	0	77	6.3781863124999925
n57	50	1	0	74	6.670920491666659
n59	55	1	0	75	6.952970941666658
n58	52	1	0	77	6.822629445833326
n75	61	1	0	58	7.4102345499999895
n76	60	1	0	62	7.39100383749999
n74	73	1	0	70	7.392072210416656
n61	57	1	0	72	7.225406035416657
n60	56	1	0	74	7.088654302083324
n68	58	1	0	80	7.399550820833323
n77	67	1	0	60	7.846130699999987
n78	64	1	0	63	7.839720462499987
n69	59	1	0	79	7.549123029166656
n71	63	1	0	80	7.8418572083333205
n70	62	1	0	82	7.686943135416655
n89	71	1	0	62	8.289505460416654
n90	72	1	0	65	8.286300341666655
n72	65	1	0	79	7.981814060416654
n79	68	1	0	80	8.277753358333321
n73	66	1	0	82	8.13031789583332
n80	69	1	0	79	8.421983702083322
n82	74	1	0	80	8.720059745833325
n81	70	1	0	82	8.57369265624999
n98	80	1	0	63	9.188007083333327
n99	79	1	0	67	9.18693871041666
n97	88	1	0	75	9.17411823541666
n84	76	1	0	77	9.00104182291666
n83	75	1	0	79	8.857879852083327
n91	77	1	0	87	9.192280574999993
n100	85	1	0	65	9.635655335416661
n101	83	1	0	68	9.635655335416661
n92	78	1	0	86	9.333305799999993
n94	82	1	0	87	9.623903233333328
n93	81	1	0	89	9.477536143749992
n113	87	1	0	67	10.053389145833329
n114	89	1	0	70	10.061936129166662
n95	84	1	0	86	9.774543814583328
n102	90	1	0	87	10.063004502083329
n96	86	1	0	89	9.916637412499997
n109	93	1	0	67	10.497832279166664
n110	96	1	0	70	10.49890065208333
n111	94	1	0	73	10.51172112708333
n112	100	1	0	75	10.492490414583331
n103	91	1	0	86	10.196551116666662
n105	95	1	0	87	10.491422041666665
n104	92	1	0	89	10.33543959583333
n121	103	1	0	68	10.95189076875
n122	102	1	0	72	10.962574497916666
n123	deletion
n115	99	1	0	83	10.95189076875
n107	98	1	0	84	10.788429712499997
n106	97	1	0	85	10.634584012499998
n118	105	1	0	80	11.37496644375
n117	104	1	0	82	11.236077964583334
n116	101	1	0	84	11.101462977083335
n133	109	1	0	58	11.839708662500001
n134	111	1	0	63	11.833298425
n135	110	1	0	67	11.831161679166668
n127	108	1	0	75	11.811930966666667
n120	107	1	0	77	11.648469910416667
n119	106	1	0	79	11.511718177083335
n137	117	1	0	58	12.258510845833333
n138	115	1	0	65	12.264921083333332
n139	114	1	0	68	12.264921083333332
n128	112	1	0	74	11.960434802083334
n129	113	1	0	77	12.095049789583333
n130	116	1	0	80	12.257442472916667
n146	121	1	0	63	12.692270250000002
n132	119	1	0	74	12.513851972916667
n141	120	1	0	75	12.724321437500002
n131	118	1	0	77	12.411288172916667
n147	122	1	0	62	12.87496201875
n149	124	1	0	63	13.166627825000004
n148	123	1	0	65	13.014918870833336
n143	126	1	0	67	13.186926910416672
n144	128	1	0	75	13.189063656250005
n145	132	1	0	79	13.175174808333338
n150	125	1	0	62	13.323678643750005
n158	129	1	0	63	13.618549568750003
n151	127	1	0	65	13.483934581250004
n159	130	1	0	62	13.760643166666672
n161	134	1	0	63	14.04696710833334
n160	131	1	0	65	13.910215375000005
n155	133	1	0	68	14.052308972916672
n156	135	1	0	75	14.059787583333339
n157	137	1	0	80	14.04696710833334
n168	139	1	0	58	14.483931631250007
n163	138	1	0	60	14.327949185416673
n162	136	1	0	62	14.180513722916674
n164	141	1	0	70	14.493546987500006
n165	144	1	0	75	14.499957225000005
n166	143	1	0	79	14.492478614583339
n167	142	1	0	82	14.488205122916673
n169	140	1	0	57	14.61640987291667
n171	146	1	0	58	14.905938933333337
n170	145	1	0	60	14.760640216666669
n184	152	1	0	46	15.350382066666672
n178	149	1	0	53	15.371749525000006
n173	148	1	0	55	15.181579145833338
n172	147	1	0	56	15.037348802083338
n174	153	1	0	62	15.368544406250006
n175	155	1	0	68	15.373886270833339
n176	156	1	0	70	15.376023016666672
n177	154	1	0	74	15.359997422916672
n179	150	1	0	55	15.514911495833339
n180	151	1	0	56	15.666620450000005
n181	157	1	0	58	15.841833608333339
n198	161	1	0	51	16.287345114583346
n182	158	1	0	53	15.966833239583341
n192	160	1	0	55	16.311917691666675
n183	159	1	0	56	16.117473820833343
n185	164	1	0	63	16.305507454166676
