onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0098805,0.070779845,39,56,1,0,0,-10.0,-10.0
2.1661303,0.04139953,51,56,1,0,1,2.023903,0.0
2.3197093,0.042735,51,60,1,0,2,2.023903,0.0
2.4839718,0.038728595,51,56,1,0,3,2.023903,0.0
2.6362152,0.040064063,51,55,1,0,4,2.483972,3.0
2.0205643,0.6570506,58,50,1,0,5,-10.0,-10.0
2.0405962,0.7171467,63,39,1,0,6,2.023903,0.0
2.7938006,0.034722187,51,51,1,0,7,2.483972,3.0
2.0272415,0.9228089,67,50,1,0,8,2.023903,0.0
2.948715,0.04139953,51,54,1,0,9,2.483972,3.0
3.1063004,0.049412344,51,60,1,0,10,2.9634056,6.0
3.2692275,0.038728595,51,59,1,0,11,2.9634056,6.0
3.4174645,0.034722187,51,68,1,0,12,2.9634056,6.0
2.9700825,0.5568905,55,50,1,0,13,2.9634056,6.0
2.9780953,0.58359987,58,42,1,0,14,2.9634056,6.0
2.9567277,0.6343477,63,50,1,0,15,2.483972,3.0
3.5697079,0.03338672,51,64,1,0,16,3.417465,9.0
3.7085967,0.044070467,51,70,1,0,17,3.417465,9.0
3.8995688,0.060096093,39,72,1,0,18,3.417465,9.0
4.057154,0.048076876,51,66,1,0,19,3.899569,12.0
4.230765,0.038728595,51,62,1,0,20,3.899569,12.0
4.392357,0.038728595,51,66,1,0,21,4.392357,15.0
4.5446,0.038728595,51,71,1,0,22,4.392357,15.0
3.891556,0.7411851,67,76,1,0,23,3.417465,9.0
3.8995688,0.7612172,63,70,1,0,24,3.417465,9.0
3.8902204,0.77056545,70,80,1,0,25,3.417465,9.0
3.8995688,0.78392017,58,64,1,0,26,3.417465,9.0
4.6901665,0.038728595,51,72,1,0,27,4.392357,15.0
4.8557644,0.036057655,51,63,1,0,28,4.392357,15.0
5.014685,0.038728595,51,63,1,0,29,4.862442,18.0
5.1695995,0.038728595,51,67,1,0,30,4.862442,18.0
4.87179,0.38595048,55,49,1,0,31,4.862442,18.0
4.8624415,0.46474314,58,51,1,0,32,4.392357,15.0
5.3151655,0.046741407,51,69,1,0,33,4.862442,18.0
4.8704543,0.4954589,63,48,1,0,34,4.862442,18.0
4.859771,0.51014906,67,61,1,0,35,4.392357,15.0
5.472751,0.040064063,51,70,1,0,36,5.315166,21.0
5.6290007,0.042735,51,61,1,0,37,5.315166,21.0
5.6290007,0.20432672,70,61,1,0,38,5.315166,21.0
5.8359985,0.20165578,75,60,1,0,39,5.315166,21.0
6.0189576,0.15624985,74,63,1,0,40,5.86805,24.0
5.9001007,0.41399533,51,21,1,0,41,5.86805,24.0
5.870721,0.4447111,55,39,1,0,42,5.86805,24.0
6.171201,0.16292718,77,71,1,0,43,5.86805,24.0
6.3207736,0.17094,75,70,1,0,44,5.86805,24.0
6.319438,0.21768141,56,57,1,0,45,5.86805,24.0
6.463669,0.1669336,74,75,1,0,46,6.320774,27.0
6.3408055,0.44738203,53,48,1,0,47,6.320774,27.0
6.601222,0.19364297,77,73,1,0,48,6.320774,27.0
6.7681556,0.16159172,75,69,1,0,49,6.320774,27.0
6.9217343,0.15624985,74,64,1,0,50,6.768156,30.0
6.7681556,0.38995686,55,47,1,0,51,6.320774,27.0
6.772162,0.44070467,58,47,1,0,52,6.768156,30.0
5.865379,1.3862165,63,43,1,0,53,5.315166,21.0
7.060623,0.19898485,77,68,1,0,54,6.768156,30.0
7.239576,0.14155969,75,70,1,0,55,7.239576,33.0
7.3784647,0.10550203,74,67,1,0,56,7.239576,33.0
7.5280375,0.09481828,72,68,1,0,57,7.239576,33.0
7.6936355,0.16292718,80,65,1,0,58,7.239576,33.0
7.84855,0.15491438,79,67,1,0,59,7.715003,36.0
7.7163386,0.4180017,62,48,1,0,60,7.715003,36.0
7.7443833,0.41265985,58,33,1,0,61,7.715003,36.0
7.9927807,0.20299125,82,74,1,0,62,7.715003,36.0
8.151701,0.17227547,80,79,1,0,63,8.151701,39.0
8.146359,0.19497843,63,52,1,0,64,7.715003,36.0
8.301273,0.16426265,79,74,1,0,65,8.151701,39.0
8.162385,0.45940125,60,43,1,0,66,8.151701,39.0
8.436156,0.21100406,82,79,1,0,67,8.151701,39.0
8.605761,0.17761734,80,73,1,0,68,8.151701,39.0
8.764682,0.16559812,79,68,1,0,69,8.623122,42.0
8.623121,0.41933718,62,44,1,0,70,8.151701,39.0
8.907577,0.16826907,82,70,1,0,71,8.623122,42.0
8.627129,0.45005298,65,47,1,0,72,8.623122,42.0
7.7136674,1.4142615,70,44,1,0,73,7.239576,33.0
9.067833,0.13087593,80,71,1,0,74,9.067833,45.0
9.221412,0.08947641,79,68,1,0,75,9.067833,45.0
9.366978,0.06276703,77,66,1,0,76,9.067833,45.0
9.552608,0.15224344,87,62,1,0,77,9.067833,45.0
9.700845,0.15624985,86,65,1,0,78,9.573308,48.0
9.595343,0.41132438,63,20,1,0,79,9.573308,48.0
9.84374,0.1669336,89,72,1,0,80,9.573308,48.0
9.577982,0.44070467,67,39,1,0,81,9.573308,48.0
9.997319,0.20032032,87,80,1,0,82,9.573308,48.0
10.008003,0.27911296,68,62,1,0,83,10.008003,51.0
10.1562395,0.15758531,86,77,1,0,84,10.008003,51.0
10.30047,0.18429469,89,86,1,0,85,10.008003,51.0
10.028035,0.47676235,65,42,1,0,86,10.008003,51.0
10.454049,0.41666624,67,58,1,0,87,10.008003,51.0
10.466068,0.40464702,70,66,1,0,88,10.459391,54.0
10.459392,0.41132438,87,89,1,0,89,10.459391,54.0
9.568634,1.3020821,75,43,1,0,90,9.067833,45.0
10.599615,0.27110016,86,87,1,0,91,10.459391,54.0
10.747852,0.17094,89,92,1,0,92,10.459391,54.0
10.921463,0.12152766,73,67,1,0,93,10.918793,57.0
10.9268055,0.46874952,67,61,1,0,94,10.918793,57.0
10.909444,0.48611063,87,91,1,0,95,10.459391,54.0
10.918793,0.47676235,70,68,1,0,96,10.918793,57.0
11.051003,0.34455094,85,86,1,0,97,10.918793,57.0
11.219273,0.18028829,84,81,1,0,98,10.918793,57.0
11.391548,0.15224344,83,75,1,0,99,11.391548,60.0
10.914786,0.72115314,75,69,1,0,100,10.459391,54.0
11.394219,0.28846124,72,54,1,0,101,11.391548,60.0
11.537114,0.16025625,84,76,1,0,102,11.391548,60.0
11.376859,0.3538992,68,53,1,0,103,10.918793,57.0
