onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.5144216,0.27510655,39,38,0,0,0,-10.0,-10.0
1.6506394,0.13888875,51,63,0,0,1,1.5177605,0.0
1.8002119,0.046741407,51,60,0,0,2,1.5177605,0.0
1.943107,0.036057655,51,60,0,0,3,1.943107,3.0
1.5224344,0.4914525,63,60,0,0,4,1.5177605,0.0
1.5210989,0.5381939,58,53,0,0,5,1.5177605,0.0
2.0753183,0.036057655,51,61,0,0,6,1.943107,3.0
2.2155426,0.040064063,51,65,0,0,7,1.943107,3.0
2.3624442,0.04139953,51,39,0,0,8,1.943107,3.0
1.5117506,1.005608,67,65,0,0,9,-10.0,-10.0
2.4946556,0.05208328,51,65,0,0,10,2.365115,6.0
2.3744633,0.21768141,55,46,0,0,11,2.365115,6.0
2.6388862,0.038728595,51,53,0,0,12,2.365115,6.0
2.3677862,0.34855735,58,40,0,0,13,2.365115,6.0
2.3490896,0.4019761,63,60,0,0,14,1.943107,3.0
2.7710977,0.034722187,51,65,0,0,15,2.365115,6.0
2.9099865,0.044070467,51,58,0,0,16,2.771098,9.0
3.0435333,0.11885672,51,54,0,0,17,2.771098,9.0
3.165061,0.8333325,39,66,0,0,18,3.165061,12.0
3.2865887,0.71180487,51,65,0,0,19,3.165061,12.0
3.4188,0.5795934,51,72,0,0,20,3.165061,12.0
3.564366,0.43402734,51,72,0,0,21,3.564366,15.0
3.1730738,0.8253197,63,67,0,0,22,3.165061,12.0
3.1557126,0.84268075,70,89,0,0,23,2.771098,9.0
3.159719,0.83867437,67,75,0,0,24,2.771098,9.0
3.6912355,0.3071578,51,76,0,0,25,3.564366,15.0
3.165061,0.8333325,58,77,0,0,26,3.165061,12.0
3.8394728,0.15892078,51,74,0,0,27,3.564366,15.0
3.9663422,0.04540594,51,66,0,0,28,3.958329,18.0
4.10256,0.056089688,51,63,0,0,29,3.958329,18.0
3.9596648,0.2697647,55,53,0,0,30,3.958329,18.0
4.236107,0.060096093,51,63,0,0,31,3.958329,18.0
3.9556584,0.39396328,58,57,0,0,32,3.564366,15.0
3.9583294,0.4180017,63,61,0,0,33,3.958329,18.0
3.9583294,0.42200813,67,65,0,0,34,3.958329,18.0
4.3776665,0.03071578,51,60,0,0,35,3.958329,18.0
4.509878,0.042735,51,44,0,0,36,4.377667,21.0
4.638083,0.037393127,70,67,0,0,37,4.377667,21.0
4.635412,0.05208328,51,35,0,0,38,4.377667,21.0
4.869119,0.38595048,75,61,0,0,39,4.377667,21.0
5.0053368,0.24973266,74,64,0,0,40,4.8777995,24.0
5.1509027,0.16025625,77,71,0,0,41,4.8777995,24.0
4.8557644,0.46874952,55,46,0,0,42,4.377667,21.0
4.8864803,0.47142047,51,41,0,0,43,4.8777995,24.0
5.2884564,0.128205,75,65,0,0,44,5.268424,27.0
5.2644176,0.21100406,56,57,0,0,45,4.8777995,24.0
5.412655,0.11885672,74,67,0,0,46,5.268424,27.0
5.543531,0.13888875,77,70,0,0,47,5.268424,27.0
5.268424,0.48611063,53,49,0,0,48,5.268424,27.0
5.6824193,0.12419859,75,60,0,0,49,5.268424,27.0
5.829321,0.12152766,74,60,0,0,50,5.68242,30.0
5.677078,0.3165061,55,44,0,0,51,5.268424,27.0
5.689097,0.39129233,58,49,0,0,52,5.68242,30.0
5.970881,0.112179376,77,63,0,0,53,5.68242,30.0
4.8984995,1.1872317,63,43,0,0,54,4.8777995,24.0
6.088402,0.13888875,75,60,0,0,55,6.088402,33.0
6.211265,0.10016016,74,57,0,0,56,6.088402,33.0
6.338135,0.057425156,72,59,0,0,57,6.088402,33.0
6.473017,0.14423062,80,67,0,0,58,6.4696784,36.0
6.606564,0.13488235,79,76,0,0,59,6.4696784,36.0
6.729427,0.20699766,82,84,0,0,60,6.4696784,36.0
6.462333,0.48611063,62,48,0,0,61,6.088402,33.0
6.48103,0.4874461,58,53,0,0,62,6.4696784,36.0
6.8789997,0.16159172,80,79,0,0,63,6.877664,39.0
6.86698,0.26041642,63,73,0,0,64,6.4696784,36.0
7.0138817,0.16292718,79,90,0,0,65,6.877664,39.0
7.1460934,0.18028829,82,87,0,0,66,6.877664,39.0
6.877664,0.5061427,60,62,0,0,67,6.877664,39.0
7.280976,0.14155969,80,79,0,0,68,6.877664,39.0
7.4145226,0.12286312,79,76,0,0,69,7.283647,42.0
7.2956657,0.3378736,62,52,0,0,70,7.283647,42.0
7.2836466,0.38862142,65,59,0,0,71,6.877664,39.0
7.545398,0.13621782,82,74,0,0,72,7.283647,42.0
6.4663396,1.2179475,70,51,0,0,73,6.088402,33.0
7.6802807,0.25774547,80,70,0,0,74,7.283647,42.0
7.7884536,0.1495725,79,69,0,0,75,7.680281,45.0
7.9193296,0.056089688,77,72,0,0,76,7.680281,45.0
8.071573,0.14289516,87,77,0,0,77,7.680281,45.0
8.201114,0.29246765,86,78,0,0,78,8.072241,48.0
8.322641,0.17361094,89,91,0,0,79,8.072241,48.0
8.080921,0.42067266,63,48,0,0,80,8.072241,48.0
