onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
2.0178933,0.16159172,39,62,0,0,0,2.017893,0.0
2.1874979,0.04139953,51,70,0,0,1,2.017893,0.0
2.3437476,0.048076876,51,68,0,0,2,2.017893,0.0
2.5120168,0.036057655,51,68,0,0,3,2.017893,0.0
2.023235,0.5395294,63,55,0,0,4,2.017893,0.0
2.0178933,0.5795934,58,54,0,0,5,2.017893,0.0
2.677615,0.038728595,51,58,0,0,6,2.512017,3.0
2.8191745,0.042735,51,66,0,0,7,2.512017,3.0
2.9981275,0.03205125,51,53,0,0,8,2.986776,6.0
2.0098805,1.11111,67,68,0,0,9,-10.0,-10.0
3.1410224,0.036057655,51,65,0,0,10,2.986776,6.0
3.3052852,0.036057655,51,70,0,0,11,2.986776,6.0
2.986108,0.36992484,55,52,0,0,12,2.512017,3.0
2.9874437,0.384615,58,52,0,0,13,2.986776,6.0
2.97676,0.3979697,63,60,0,0,14,2.512017,3.0
3.4521868,0.040064063,51,71,0,0,15,2.986776,6.0
3.5937464,0.037393127,51,75,0,0,16,3.452187,9.0
3.735306,0.042735,51,74,0,0,17,3.452187,9.0
3.891556,0.20966859,39,82,0,0,18,3.891556,12.0
4.0411286,0.060096093,51,84,0,0,19,3.891556,12.0
4.182688,0.04139953,51,70,0,0,20,3.891556,12.0
4.3603053,0.04139953,51,73,0,0,21,4.360305,15.0
3.891556,0.54353577,63,79,0,0,22,3.891556,12.0
3.8902204,0.9121252,58,86,0,0,23,3.452187,9.0
3.8822076,0.92013794,70,89,0,0,24,3.452187,9.0
4.5085425,0.29380313,51,76,0,0,25,4.360305,15.0
3.8942268,0.9081187,67,80,0,0,26,3.891556,12.0
4.6514378,0.15090796,51,74,0,0,27,4.360305,15.0
4.8116937,0.036057655,51,77,0,0,28,4.360305,15.0
4.9492474,0.038728595,51,75,0,0,29,4.821042,18.0
4.8237133,0.1923075,55,62,0,0,30,4.821042,18.0
4.8303905,0.26709375,58,53,0,0,31,4.821042,18.0
5.097484,0.038728595,51,81,0,0,32,4.821042,18.0
4.821042,0.32986078,63,64,0,0,33,4.821042,18.0
4.8050165,0.34722188,67,73,0,0,34,4.360305,15.0
5.2470565,0.042735,51,62,0,0,35,4.821042,18.0
5.379268,0.03205125,51,68,0,0,36,5.247057,21.0
5.5034666,0.038728595,51,79,0,0,37,5.247057,21.0
5.5341825,0.042735,70,70,0,0,38,5.247057,21.0
5.74118,0.1535789,75,59,0,0,39,5.247057,21.0
5.821308,0.13354687,55,41,0,0,40,5.7952666,24.0
5.9041076,0.14423062,74,65,0,0,41,5.7952666,24.0
6.0523443,0.17361094,77,71,0,0,42,5.7952666,24.0
5.801276,0.44204015,51,22,0,0,43,5.7952666,24.0
6.23931,0.10550203,56,50,0,0,44,6.223284,27.0
6.1952395,0.1669336,75,72,0,0,45,5.7952666,24.0
6.3528247,0.14690156,74,74,0,0,46,6.223284,27.0
6.2232842,0.4447111,53,36,0,0,47,6.223284,27.0
6.4997263,0.18830109,77,73,0,0,48,6.223284,27.0
6.6733375,0.15224344,75,66,0,0,49,6.662654,30.0
6.6613183,0.2897967,55,41,0,0,50,6.223284,27.0
6.8242455,0.13488235,74,65,0,0,51,6.662654,30.0
5.789257,1.2019218,63,60,0,0,52,5.247057,21.0
6.6626534,0.34188,58,40,0,0,53,6.223284,27.0
6.9751534,0.17094,77,66,0,0,54,6.662654,30.0
7.142087,0.17361094,75,67,0,0,55,7.142087,33.0
7.2783046,0.09481828,74,70,0,0,56,7.142087,33.0
7.415858,0.16426265,72,74,0,0,57,7.142087,33.0
7.5747786,0.13488235,80,69,0,0,58,7.142087,33.0
7.7336993,0.10950844,79,76,0,0,59,7.602824,36.0
7.620185,0.25774547,62,41,0,0,60,7.602824,36.0
7.879266,0.17761734,82,75,0,0,61,7.602824,36.0
7.632204,0.44204015,58,32,0,0,62,7.602824,36.0
8.016819,0.12954047,63,55,0,0,63,8.015483,39.0
8.015484,0.15224344,80,78,0,0,64,8.015483,39.0
8.157043,0.14690156,79,79,0,0,65,8.015483,39.0
8.293261,0.20299125,82,81,0,0,66,8.015483,39.0
7.998122,0.5088136,60,42,0,0,67,7.602824,36.0
8.464201,0.14556609,80,75,0,0,68,8.015483,39.0
8.608432,0.12686953,79,65,0,0,69,8.469543,42.0
7.5854626,1.2126056,70,65,0,0,70,7.142087,33.0
8.474885,0.32718983,65,47,0,0,71,8.469543,42.0
8.4695425,0.34989282,62,50,0,0,72,8.015483,39.0
