xml_id	midi_id	track	channel	pitch	onset
n8	4	1	0	48	1.0013020833333333
n9	5	1	0	51	1.0052083333333333
n10	6	1	0	55	1.0078125
n11	2	1	0	60	1.0052083333333333
n1	0	1	0	63	0.9908854166666666
n2	1	1	0	67	0.9895833333333333
n5	7	1	0	67	1.5312500000000004
n3	3	1	0	72	0.9856770833333333
n7	9	1	0	72	1.8059895833333335
n6	8	1	0	75	1.6093750000000004
n15	11	1	0	75	2.0651041666666665
n14	10	1	0	79	1.8802083333333333
n17	13	1	0	79	2.3541666666666665
n16	12	1	0	84	2.1458333333333335
n18	14	1	0	87	2.442708333333333
n20	15	1	0	87	2.8476562500000004
n26	16	1	0	60	3.678385416666668
n27	18	1	0	63	3.671875000000001
n22	17	1	0	67	3.6731770833333344
n23	19	1	0	72	3.6497395833333344
n32	21	1	0	60	4.062500000000002
n33	22	1	0	63	4.049479166666668
n28	20	1	0	67	4.036458333333335
n29	23	1	0	72	4.002604166666668
n34	25	1	0	62	4.683593750000002
n35	26	1	0	65	4.657552083333335
n30	24	1	0	67	4.648437500000001
n31	27	1	0	71	4.654947916666668
n43	35	1	0	50	5.158854166666669
n44	33	1	0	53	5.174479166666669
n45	34	1	0	56	5.162760416666669
n46	32	1	0	59	5.162760416666669
n47	29	1	0	62	5.162760416666669
n36	28	1	0	65	5.153645833333336
n37	30	1	0	68	5.148437500000003
n38	31	1	0	71	5.145833333333336
n40	36	1	0	71	5.721354166666669
n42	38	1	0	74	5.992187500000002
n41	37	1	0	77	5.795572916666669
n51	40	1	0	77	6.244791666666668
n50	39	1	0	83	6.063802083333336
n53	42	1	0	83	6.533854166666668
n52	41	1	0	86	6.322916666666668
n54	43	1	0	89	6.611979166666668
n56	44	1	0	89	6.981770833333333
n62	45	1	0	62	7.707031249999998
n63	49	1	0	65	7.722656249999998
n64	48	1	0	68	7.707031249999998
n58	46	1	0	71	7.683593749999998
n59	47	1	0	74	7.653645833333332
n68	50	1	0	62	8.080729166666664
n69	deletion
n70	51	1	0	68	8.042968749999996
n65	53	1	0	71	8.058593749999996
n66	52	1	0	74	8.026041666666664
n71	55	1	0	63	8.709635416666666
n72	56	1	0	67	8.717447916666666
n67	54	1	0	72	8.717447916666666
n73	57	1	0	72	8.98046875
n74	58	1	0	75	9.037760416666666
n75	59	1	0	79	9.109375
n76	60	1	0	77	9.654947916666668
n80	64	1	0	51	9.779947916666664
n81	62	1	0	55	9.777343749999998
n82	61	1	0	60	9.760416666666666
n77	63	1	0	75	9.763020833333332
n85	66	1	0	53	10.221354166666668
n86	71	1	0	56	10.235677083333334
n87	65	1	0	59	10.231770833333334
n83	67	1	0	74	10.197916666666668
n88	69	1	0	51	10.852864583333337
n89	73	1	0	55	10.860677083333337
