xml_id	midi_id	track	channel	pitch	onset
n9	8	0	0	38	7.497870370833332
n10	10	0	0	41	7.488254977083332
n11	7	0	0	45	7.509622518749999
n12	5	0	0	50	7.505349010416666
n7	6	0	0	53	7.513896027083332
n8	9	0	0	57	7.500007124999999
n2	1	0	0	61	9.25748742708333
n1	0	0	0	62	7.481844714583332
n3	2	0	0	62	10.660266537499997
n4	3	0	0	65	12.263900539583323
n21	17	0	0	38	16.74253727291664
n22	21	0	0	43	16.757494552083305
n23	19	0	0	46	16.756426174999973
n24	18	0	0	50	16.744674027083306
n19	20	0	0	55	16.761768060416635
n20	22	0	0	58	16.758562929166636
n5	4	0	0	61	13.743602799999984
n6	11	0	0	62	15.154928927083311
n13	12	0	0	62	16.725443239583306
n14	13	0	0	61	18.198735237499996
n15	14	0	0	62	19.54595873958333
n16	15	0	0	67	20.95942162083337
n38	26	0	0	37	25.69553723125011
n39	29	0	0	49	25.706221002083442
n30	25	0	0	55	25.711562887500108
n31	28	0	0	58	25.71904152708344
n17	16	0	0	61	22.585491541666723
n18	23	0	0	62	24.086561343750084
n25	24	0	0	65	25.69874236250011
n40	32	0	0	38	28.322676479166827
n42	36	0	0	40	29.743618000000183
n41	30	0	0	50	28.32694998750016
n43	35	0	0	52	29.73934449166685
n32	31	0	0	55	28.333360250000162
n34	37	0	0	55	29.753233393750183
n33	33	0	0	58	28.32694998750016
n35	38	0	0	58	29.73934449166685
n28	39	0	0	61	29.723318835416848
n27	34	0	0	62	28.31092433125016
n26	27	0	0	64	27.036350470833476
n58	47	0	0	37	33.763920964583576
n44	43	0	0	38	32.27567168750024
n59	48	0	0	49	33.75964745625024
n45	40	0	0	50	32.27994519583358
n36	41	0	0	55	32.27994519583358
n51	46	0	0	55	33.79597227708358
n37	42	0	0	58	32.27994519583358
n52	49	0	0	58	33.78742526041691
n29	44	0	0	62	32.25430414583357
n46	45	0	0	65	33.763920964583576
n62	57	0	0	46	37.72332643541695
n60	53	0	0	48	36.59725698958361
n61	54	0	0	50	36.61114589166694
n63	56	0	0	50	37.73935209166695
n53	51	0	0	57	36.60153049791695
n54	52	0	0	62	36.590846727083616
n55	58	0	0	62	37.73080507500028
n47	50	0	0	64	35.18699923958359
n48	55	0	0	66	36.53742787291694
n49	59	0	0	67	37.69020674583362
n64	60	0	0	42	40.07802952708365
n75	70	0	0	43	41.71478321875034
n65	63	0	0	50	40.080166281250314
n76	71	0	0	50	41.71264646458368
n66	61	0	0	54	40.08337141250031
n77	72	0	0	55	41.719056727083675
n73	66	0	0	58	41.70303107083368
n56	62	0	0	60	40.08443978958365
n57	64	0	0	62	40.08657654375031
n74	67	0	0	62	41.719056727083675
n50	65	0	0	69	40.03743119791698
n67	68	0	0	70	41.66563787291701
n68	69	0	0	70	43.080169131250365
n69	73	0	0	70	44.36970027083373
n70	74	0	0	70	45.57162448958376
n106	83	0	0	55	49.3739785291671
n107	84	0	0	58	49.3739785291671
n108	85	0	0	61	49.3739785291671
n100	77	0	0	64	49.37504690625043
n88	79	0	0	67	49.341927216667095
n71	75	0	0	70	46.750044412500436
n72	76	0	0	70	47.931669466667095
n89	81	0	0	70	49.32483318333376
n90	80	0	0	73	49.34085883958376
n82	78	0	0	76	49.304534018750424
n109	92	0	0	55	52.060946893750454
n112	102	0	0	55	53.329110491667116
n110	93	0	0	58	52.07590417291711
n113	101	0	0	58	53.329110491667116
n111	91	0	0	61	52.072699041667114
n114	103	0	0	61	53.33658913125045
n101	82	0	0	63	50.74043281875045
n102	89	0	0	64	52.06735715625045
n103	95	0	0	64	53.34193101666712
n91	87	0	0	67	52.039579352083784
n94	98	0	0	67	53.318426720833784
n92	90	0	0	70	52.055605008333785
n95	100	0	0	70	53.31094808125045
n93	88	0	0	73	52.03530584375045
n96	97	0	0	73	53.30026431041712
n83	86	0	0	75	50.70410799791711
n84	94	0	0	76	52.001117777083785
n85	96	0	0	79	53.27462326041712
n115	109	0	0	55	56.19983971458382
n140	117	0	0	56	57.6539009250005
n116	111	0	0	58	56.20090809166715
n141	121	0	0	59	57.6763368437505
n117	110	0	0	61	56.19983971458382
n142	119	0	0	62	57.672063335417164
