onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
7.481845,1.9882498,62,46,0,0,0,-10.0,-10.0
9.257487,1.5256425,61,42,0,0,1,7.500007,0.0
10.660267,2.008549,62,44,0,0,2,7.500007,0.0
12.263901,1.7692324,65,46,0,0,3,12.263901,3.0
13.743603,1.5480784,61,39,0,0,4,12.263901,3.0
7.505349,9.684838,50,36,0,0,5,7.500007,0.0
7.513896,9.676291,53,32,0,0,6,7.500007,0.0
7.5096226,9.680565,45,40,0,0,7,7.500007,0.0
7.4978704,9.692317,38,34,0,0,8,-10.0,-10.0
7.500007,9.69018,57,36,0,0,9,7.500007,0.0
7.488255,9.701932,41,36,0,0,10,-10.0,-10.0
15.154929,2.0352583,62,38,0,0,11,12.263901,3.0
16.725443,1.6196597,62,47,0,0,12,12.263901,3.0
18.198736,1.4604715,61,43,0,0,13,16.756426,6.0
19.54596,1.8835489,62,44,0,0,14,16.756426,6.0
20.959421,1.8568394,67,54,0,0,15,20.959421,9.0
22.585491,1.6068392,61,40,0,0,16,20.959421,9.0
16.742537,9.309838,38,41,0,0,17,12.263901,3.0
16.744675,9.307701,50,42,0,0,18,12.263901,3.0
16.756426,9.295949,46,45,0,0,19,16.756426,6.0
16.761768,9.290607,55,28,0,0,20,16.756426,6.0
16.757494,9.294881,43,38,0,0,21,16.756426,6.0
16.758562,9.293812,58,32,0,0,22,16.756426,6.0
24.086561,1.9658139,62,35,0,0,23,20.959421,9.0
25.698742,1.416668,65,43,0,0,24,20.959421,9.0
25.711563,2.7970111,55,34,0,0,25,25.70622,12.0
25.695538,2.813037,37,48,0,0,26,20.959421,9.0
27.03635,1.4722236,64,42,0,0,27,25.70622,12.0
25.719042,2.7895327,58,36,0,0,28,25.70622,12.0
25.70622,2.8023531,49,42,0,0,29,25.70622,12.0
28.32695,1.7254289,50,57,0,0,30,25.70622,12.0
28.33336,1.7190187,55,46,0,0,31,25.70622,12.0
28.322676,1.7297025,38,56,0,0,32,25.70622,12.0
28.32695,1.7254289,58,53,0,0,33,25.70622,12.0
28.310925,1.7414546,62,62,0,0,34,25.70622,12.0
29.739344,2.6495752,52,55,0,0,35,29.739344,15.0
29.743618,2.6453016,40,53,0,0,36,29.739344,15.0
29.753233,2.6356862,55,47,0,0,37,29.739344,15.0
29.739344,2.6495752,58,57,0,0,38,29.739344,15.0
29.723318,2.6656008,61,64,0,0,39,25.70622,12.0
32.279945,1.7222239,50,40,0,0,40,29.739344,15.0
32.279945,1.7222239,55,36,0,0,41,29.739344,15.0
32.279945,1.7222239,58,40,0,0,42,29.739344,15.0
32.275673,1.7264974,38,42,0,0,43,29.739344,15.0
32.254303,1.747865,62,49,0,0,44,29.739344,15.0
