idx,matchtype,partid,ppartid
0,0,n21,1
1,0,n22,4
2,0,n23,3
3,0,n24,5
4,0,n31,17
5,0,n30,16
6,0,n1,0
7,0,n29,9
8,0,n2,2
9,0,n7,8
10,0,n9,10
11,0,n12,12
12,0,n10,13
13,0,n3,6
14,0,n8,7
15,0,n13,14
16,0,n11,11
17,0,n14,15
18,0,n32,20
19,0,n15,18
20,0,n16,19
21,0,n17,21
22,0,n35,25
23,0,n33,23
24,0,n18,22
25,0,n19,24
26,0,n58,27
27,0,n36,26
28,0,n37,28
29,0,n38,29
30,0,n62,41
31,0,n61,40
32,0,n60,33
33,0,n42,31
34,0,n45,35
35,0,n48,38
36,0,n43,30
37,0,n46,36
38,0,n49,37
39,0,n44,32
40,0,n47,34
41,0,n50,39
42,0,n63,47
43,0,n51,42
44,0,n52,43
45,0,n53,44
46,0,n66,49
47,0,n54,45
48,0,n55,48
49,0,n56,46
50,0,n97,53
51,0,n67,50
52,0,n68,51
53,0,n69,52
54,0,n101,63
55,0,n100,58
56,0,n99,57
57,0,n73,54
58,0,n76,59
59,0,n79,62
60,0,n74,55
61,0,n77,60
62,0,n80,64
63,0,n75,56
64,0,n78,61
65,0,n81,66
66,0,n102,70
67,0,n82,67
68,0,n83,69
69,0,n84,68
70,0,n103,73
71,0,n106,84
72,0,n85,72
73,0,n105,81
74,0,n104,76
75,0,n88,75
76,0,n91,78
77,0,n94,82
78,0,n86,71
79,0,n89,79
80,0,n95,83
81,1,n92,undefined
82,0,n90,77
83,0,n87,74
84,0,n93,80
85,0,n96,85
86,0,n140,89
87,0,n107,87
88,0,n108,86
89,0,n109,88
90,0,n142,99
91,0,n141,91
92,0,n143,97
93,0,n110,92
94,0,n144,96
95,0,n111,90
96,0,n113,95
97,0,n114,98
98,0,n112,93
99,0,n115,94
100,0,n145,103
101,0,n146,104
102,0,n147,105
103,0,n116,101
104,0,n117,102
105,0,n118,100
106,0,n119,106
107,0,n149,123
108,0,n150,124
109,0,n135,121
110,0,n139,127
111,0,n134,120
112,0,n133,119
113,0,n136,122
114,0,n138,126
115,0,n132,118
116,0,n131,117
117,0,n137,125
118,0,n130,116
119,0,n129,115
120,0,n128,114
121,0,n127,113
122,0,n126,112
123,0,n121,107
124,0,n125,111
125,0,n161,160
126,0,n163,167
127,0,n122,108
128,0,n124,110
129,0,n123,109
130,0,n184,128
131,0,n185,129
132,0,n186,132
133,0,n189,135
134,0,n192,138
135,0,n195,144
136,0,n198,147
137,0,n201,152
138,0,n204,157
139,1,n207,undefined
140,0,n187,133
141,0,n190,137
142,0,n193,139
143,0,n196,145
144,0,n188,131
145,0,n191,136
146,0,n194,140
147,0,n197,143
148,0,n151,130
149,0,n152,134
150,2,undefined,141
151,0,n153,142
152,0,n199,148
153,0,n202,153
154,0,n205,156
155,0,n200,146
156,0,n203,151
157,0,n206,158
158,0,n156,149
159,0,n158,154
160,0,n160,159
161,0,n162,164
162,0,n157,150
163,0,n159,155
164,0,n210,163
165,0,n213,170
166,0,n216,175
167,0,n208,161
168,0,n211,165
169,0,n214,171
170,0,n217,176
171,0,n209,162
172,0,n212,166
173,0,n215,172
174,0,n218,174
175,0,n164,168
176,0,n167,177
177,2,undefined,173
178,0,n165,169
179,0,n223,190
180,0,n225,196
181,0,n219,179
182,0,n221,184
183,0,n224,191
184,0,n226,197
185,0,n220,178
186,0,n222,185
187,0,n269,209
188,1,n273,undefined
189,0,n168,180
190,0,n172,188
191,0,n176,192
192,0,n180,198
193,0,n227,204
194,0,n270,210
195,0,n274,213
196,0,n278,216
197,0,n282,220
198,0,n286,227
199,1,n290,undefined
200,0,n169,181
201,0,n173,187
202,0,n177,194
203,0,n181,199
204,0,n228,206
205,0,n170,183
206,0,n174,186
207,0,n178,193
208,0,n182,201
209,0,n171,182
210,0,n175,189
211,0,n179,195
212,0,n183,200
213,0,n230,205
214,0,n266,202
215,0,n267,203
216,0,n268,208
217,0,n272,212
218,0,n276,215
219,1,n277,undefined
220,0,n271,211
221,0,n275,214
222,0,n279,217
223,0,n229,207
224,0,n231,223
225,0,n232,222
226,0,n280,218
227,0,n284,224
228,0,n288,230
229,0,n292,235
230,0,n281,221
231,0,n285,226
232,0,n289,232
233,1,n293,undefined
234,1,n294,undefined
235,0,n283,219
236,0,n287,225
237,0,n291,231
238,0,n295,236
239,0,n235,228
240,0,n237,233
241,0,n241,246
242,1,n239,undefined
243,0,n236,229
244,0,n238,234
245,0,n240,237
246,0,n242,248
247,0,n296,238
248,0,n300,242
249,0,n304,249
250,0,n308,255
251,0,n297,241
252,0,n301,243
253,0,n305,252
254,0,n309,256
255,0,n298,240
256,0,n302,244
257,0,n306,253
258,1,n310,undefined
259,0,n299,239
260,0,n303,245
261,0,n307,250
262,0,n311,254
263,0,n246,257
264,0,n247,259
265,0,n248,260
266,0,n243,251
267,0,n249,258
268,0,n244,247
269,0,n316,274
270,0,n318,280
271,0,n312,262
272,0,n314,268
273,0,n317,275
274,0,n319,281
275,0,n313,263
276,0,n315,269
277,0,n250,264
278,0,n254,271
279,0,n320,288
280,0,n347,292
281,0,n350,297
282,1,n353,undefined
283,0,n258,277
284,0,n262,284
285,0,n251,266
286,0,n255,272
287,0,n259,279
288,0,n263,283
289,0,n252,267
290,0,n256,273
291,0,n260,278
292,0,n264,285
293,0,n253,265
294,0,n257,270
295,0,n261,276
296,0,n265,282
297,0,n344,286
298,0,n345,287
299,0,n346,293
300,0,n349,296
301,0,n352,298
302,0,n321,290
303,0,n348,294
304,0,n351,295
305,0,n354,299
306,0,n322,291
307,0,n323,289
308,0,n324,304
309,0,n325,300
310,0,n355,301
311,0,n358,305
312,0,n361,310
313,0,n364,316
314,0,n356,303
315,0,n359,307
316,0,n362,312
317,0,n365,315
318,0,n357,302
319,0,n360,306
320,0,n363,311
321,0,n366,317
322,0,n328,308
323,0,n330,313
324,0,n332,318
325,0,n334,323
326,0,n329,309
327,0,n331,314
328,0,n333,319
329,0,n335,327
330,0,n367,321
331,0,n370,325
332,0,n373,328
333,0,n376,331
334,0,n368,320
335,0,n371,324
336,0,n374,330
337,0,n377,332
338,0,n369,322
339,0,n372,326
340,0,n375,329
341,0,n378,333
342,0,n336,335
343,0,n337,334
344,0,n379,336
345,0,n382,341
346,0,n385,343
347,0,n388,347
348,0,n380,338
349,0,n383,340
350,0,n386,342
351,0,n389,346
352,0,n381,337
353,0,n384,339
354,0,n387,344
355,0,n390,348
356,0,n340,345
357,0,n342,350
358,0,n341,349
359,0,n343,351
360,0,n406,353
361,0,n409,356
362,0,n412,360
363,0,n415,363
364,0,n407,354
365,0,n410,358
366,0,n413,362
367,0,n416,365
368,0,n408,352
369,0,n411,357
370,0,n414,361
371,0,n417,364
372,0,n391,355
373,0,n393,367
374,0,n392,359
375,0,n394,366
376,0,n418,368
377,0,n421,373
378,0,n424,376
379,0,n427,378
380,0,n419,370
381,0,n422,372
382,0,n425,375
383,0,n428,380
384,0,n420,369
385,0,n423,371
386,0,n426,374
387,0,n429,381
388,0,n396,377
389,0,n398,382
390,0,n397,379
391,0,n399,383
392,0,n430,384
393,0,n433,389
394,0,n436,392
395,0,n439,396
396,0,n431,386
397,0,n434,390
398,0,n437,394
399,0,n440,395
400,0,n432,385
401,0,n435,388
402,0,n438,393
403,0,n441,397
404,0,n400,387
405,0,n402,401
406,0,n401,391
407,0,n403,402
408,0,n442,399
409,0,n445,404
410,0,n448,406
411,0,n451,411
412,0,n443,400
413,0,n446,405
414,0,n449,408
415,0,n452,412
416,0,n444,398
417,0,n447,403
418,0,n450,407
419,0,n453,413
420,0,n404,409
421,0,n405,410
422,0,n474,414
423,0,n475,416
424,0,n476,415
425,0,n454,417
426,0,n463,424
427,0,n459,420
428,0,n462,423
429,0,n458,418
430,0,n461,422
431,0,n455,419
432,0,n460,421
433,0,n479,429
434,0,n481,433
435,0,n480,430
436,0,n482,434
437,0,n466,427
438,0,n468,431
439,0,n464,425
440,0,n465,426
441,0,n467,428
442,0,n469,432
443,0,n483,438
444,0,n484,435
445,0,n470,437
446,0,n471,436
447,0,n495,446
448,0,n494,445
449,0,n493,444
450,0,n489,440
451,0,n487,439
452,0,n490,441
453,0,n492,443
454,0,n491,442
455,0,n536,451
456,0,n539,454
457,0,n537,452
458,0,n540,457
459,0,n538,453
460,0,n541,456
461,0,n497,448
462,0,n498,449
463,0,n499,450
464,0,n500,455
465,0,n496,447
466,0,n542,459
467,0,n543,461
468,0,n544,460
469,0,n514,473
470,0,n513,472
471,0,n512,471
472,0,n501,458
473,0,n511,470
474,0,n510,469
475,0,n509,467
476,0,n508,468
477,0,n507,466
478,0,n506,465
479,0,n505,464
480,0,n504,463
481,0,n502,462
482,0,n546,492
483,0,n547,490
484,0,n548,491
485,0,n531,493
486,0,n533,495
487,0,n530,489
488,0,n529,488
489,0,n528,487
490,0,n527,486
491,0,n526,485
492,0,n525,484
493,0,n524,483
494,0,n523,482
495,0,n522,481
496,0,n521,480
497,0,n520,479
498,0,n519,478
499,0,n518,477
500,0,n517,476
501,0,n516,475
502,0,n515,474
503,0,n553,496
504,0,n555,498
505,0,n583,525
506,0,n554,497
507,0,n560,506
508,0,n556,499
509,0,n590,536
510,0,n550,502
511,0,n557,500
512,0,n559,503
513,0,n558,501
514,0,n551,504
515,0,n552,505
516,0,n569,509
517,0,n571,512
518,0,n570,510
519,0,n572,514
520,0,n561,507
521,0,n563,513
522,0,n562,508
523,0,n564,511
524,0,n573,517
525,0,n575,520
526,0,n574,518
527,0,n576,522
528,0,n567,519
529,0,n565,515
530,0,n566,516
531,0,n568,521
532,0,n585,527
533,0,n584,526
534,0,n586,530
535,0,n577,523
536,0,n579,529
537,0,n578,524
538,0,n580,528
539,0,n587,531
540,0,n589,533
541,0,n588,532
542,0,n581,534
543,0,n582,535
544,0,n599,538
545,0,n601,543
546,0,n600,540
547,0,n602,544
548,0,n591,537
