idx,matchtype,partid,ppartid
0,0,n6,0
1,0,n1,1
2,0,n8,3
3,0,n3,2
4,0,n9,5
5,0,n10,6
6,0,n4,4
7,0,n5,7
8,0,n20,11
9,0,n19,9
10,0,n12,10
11,0,n11,8
12,0,n21,13
13,0,n22,14
14,0,n13,12
15,0,n14,15
16,0,n24,19
17,0,n23,17
18,0,n16,18
19,0,n15,16
20,0,n25,21
21,0,n26,23
22,0,n17,20
23,0,n18,22
24,0,n35,25
25,0,n34,27
26,0,n28,26
27,0,n27,24
28,0,n37,31
29,0,n36,29
30,0,n30,30
31,0,n29,28
32,0,n38,32
33,0,n31,33
34,0,n39,35
35,0,n32,34
36,0,n51,36
37,0,n42,37
38,0,n53,40
39,0,n55,45
40,0,n52,39
41,0,n44,41
42,0,n46,44
43,0,n43,38
44,0,n54,42
45,0,n45,43
46,0,n58,51
47,0,n57,49
48,0,n56,47
49,0,n49,50
50,0,n48,48
51,0,n47,46
52,0,n67,54
53,0,n66,52
54,0,n60,55
55,0,n59,53
56,0,n70,60
57,0,n69,58
58,0,n68,57
59,0,n63,61
60,0,n62,59
61,0,n61,56
62,0,n71,62
63,0,n64,63
64,0,n77,65
65,0,n78,64
66,0,n79,66
67,0,n74,67
68,0,n75,68
69,0,n81,71
70,0,n82,70
71,0,n83,69
72,0,n80,72
73,0,n95,77
74,0,n85,74
75,1,n90,undefined
76,0,n86,73
77,0,n101,79
78,1,n93,undefined
79,0,n87,75
80,1,n92,undefined
81,0,n98,85
82,0,n89,78
83,0,n88,76
84,0,n109,81
85,0,n110,84
86,0,n100,80
87,0,n102,82
88,0,n103,83
89,0,n99,91
90,0,n112,88
91,0,n113,90
92,0,n104,87
93,1,n106,undefined
94,0,n105,86
95,0,n107,89
96,0,n114,97
97,0,n131,95
98,1,n129,undefined
99,0,n132,94
100,1,n115,undefined
101,1,n130,undefined
102,0,n124,100
103,0,n120,93
104,1,n122,undefined
105,0,n121,92
106,0,n123,96
107,0,n134,99
108,0,n135,103
109,0,n116,98
110,0,n139,105
111,1,n127,undefined
112,0,n117,101
113,1,n126,undefined
114,0,n136,109
115,0,n119,104
116,0,n118,102
117,0,n149,106
118,0,n150,110
119,0,n138,107
120,0,n140,111
121,0,n141,108
122,0,n137,119
123,0,n152,114
124,0,n153,118
125,0,n142,115
126,0,n145,117
127,0,n143,113
128,1,n146,undefined
129,0,n144,112
130,0,n147,116
131,0,n154,126
132,0,n172,123
133,1,n171,undefined
134,0,n160,121
135,1,n163,undefined
136,0,n161,120
137,0,n164,124
138,0,n155,129
139,1,n166,undefined
140,0,n162,122
141,0,n165,125
142,1,n156,undefined
143,0,n174,127
144,0,n175,131
145,0,n169,128
146,0,n157,130
147,1,n168,undefined
148,0,n176,140
149,0,n159,133
150,0,n158,132
151,0,n189,136
152,0,n190,139
153,0,n178,135
154,0,n180,137
155,0,n179,134
156,0,n181,138
157,0,n177,148
158,0,n192,142
159,0,n193,147
160,0,n182,143
161,0,n185,145
162,0,n183,141
163,1,n186,undefined
164,1,n184,undefined
165,1,n187,undefined
166,0,n194,151
167,0,n195,155
168,0,n216,166
169,1,n206,undefined
170,0,n209,149
171,0,n210,152
172,0,n196,156
173,0,n204,153
174,1,n202,undefined
175,0,n203,150
176,0,n205,154
177,0,n212,158
178,0,n213,160
179,0,n197,157
180,0,n218,164
181,1,n207,undefined
182,0,n201,162
183,0,n214,170
184,0,n199,161
185,0,n198,159
186,0,n229,165
187,0,n230,167
188,0,n219,168
189,0,n217,163
190,1,n220,undefined
191,0,n221,169
192,0,n215,177
193,0,n232,172
194,0,n233,175
195,0,n222,173
196,0,n225,174
197,1,n223,undefined
198,1,n226,undefined
199,0,n224,171
200,0,n227,176
201,0,n234,185
202,0,n249,180
203,0,n250,183
204,0,n235,187
205,2,undefined,179
206,0,n244,181
207,0,n242,182
208,1,n240,undefined
209,0,n241,178
210,0,n243,184
211,0,n253,190
212,1,n252,undefined
213,0,n236,186
214,0,n257,192
215,1,n247,undefined
216,0,n237,188
217,1,n246,undefined
218,0,n254,198
219,0,n239,191
220,0,n238,189
221,0,n265,194
222,0,n266,197
223,0,n256,193
224,0,n258,195
225,0,n259,196
226,0,n255,205
227,0,n268,200
228,0,n269,204
229,0,n260,201
230,0,n262,202
231,0,n261,199
232,0,n263,203
233,0,n270,214
234,0,n285,209
235,0,n287,212
236,0,n286,208
237,0,n288,210
238,0,n271,217
239,1,n280,undefined
240,0,n276,206
241,0,n278,211
242,0,n277,207
243,0,n279,213
244,0,n290,215
245,0,n291,220
246,0,n272,216
247,0,n295,222
248,1,n283,undefined
249,0,n273,218
250,1,n282,undefined
251,0,n292,226
252,0,n275,221
253,0,n274,219
254,0,n305,224
255,0,n306,227
256,0,n294,223
257,0,n296,228
258,0,n297,225
259,0,n293,236
260,0,n308,232
261,0,n309,235
262,0,n298,229
263,0,n301,234
264,0,n299,230
265,1,n302,undefined
266,0,n300,231
267,0,n303,233
268,0,n310,244
269,0,n327,240
270,0,n328,243
271,0,n316,238
272,0,n319,241
273,0,n317,237
274,0,n320,242
275,0,n311,248
276,1,n322,undefined
277,0,n318,239
278,0,n321,245
279,1,n312,undefined
280,0,n330,246
281,0,n331,250
282,0,n325,247
283,0,n313,249
284,1,n324,undefined
285,0,n332,253
286,0,n315,252
287,0,n314,251
288,0,n349,257
289,0,n350,258
290,0,n334,255
291,1,n337,undefined
292,0,n335,256
293,1,n338,undefined
294,0,n336,254
295,0,n339,259
296,0,n333,262
297,0,n352,260
298,0,n353,263
299,1,n340,undefined
300,1,n344,undefined
301,1,n341,undefined
302,1,n345,undefined
303,0,n346,264
304,1,n342,undefined
305,0,n343,261
306,0,n347,265
307,0,n354,270
308,0,n368,266
309,0,n366,269
310,0,n369,272
311,0,n356,267
312,0,n359,273
313,1,n357,undefined
314,1,n360,undefined
315,0,n355,277
316,0,n358,268
317,0,n361,271
318,0,n370,274
319,0,n367,278
320,0,n371,279
321,0,n362,276
322,0,n364,280
323,0,n363,275
324,0,n365,281
325,0,n372,286
326,0,n384,282
327,0,n382,283
328,0,n385,288
329,0,n374,285
330,0,n376,289
331,0,n375,284
332,0,n377,287
333,0,n373,294
334,0,n386,290
335,0,n400,299
336,0,n401,298
337,0,n383,293
338,0,n387,295
339,0,n378,291
340,0,n380,296
341,0,n379,292
342,0,n381,297
343,0,n388,304
344,0,n403,303
345,0,n405,311
346,0,n402,302
347,0,n406,307
348,0,n404,306
349,0,n390,300
350,0,n393,305
351,1,n391,undefined
352,1,n394,undefined
353,0,n389,312
354,0,n392,301
355,1,n395,undefined
356,0,n408,313
357,0,n420,317
