onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
4.185893,3.347219,48,96,0,0,0,-10.0,-10.0
4.1890984,4.3408074,36,86,0,0,1,4.187496,0.0
7.2724285,1.2574774,39,69,0,0,2,6.656866,2.0
7.251061,1.2788448,51,80,0,0,3,6.656866,2.0
7.9155903,0.6143156,44,65,0,0,4,7.891552,3.0
7.8675137,0.6623925,56,87,0,0,5,6.656866,2.0
8.420932,0.5427345,46,62,0,0,6,7.891552,3.0
8.380334,0.5833328,58,87,0,0,7,7.891552,3.0
8.891017,1.1666656,48,59,0,0,8,8.866445,4.0
8.841871,1.2158108,60,84,0,0,9,7.891552,3.0
9.291657,0.7660249,56,84,0,0,10,8.866445,4.0
9.337598,0.7200847,44,64,0,0,11,8.866445,4.0
9.7296915,0.32799113,51,66,0,0,12,9.707255,5.0
9.684819,0.37286288,63,86,0,0,13,8.866445,4.0
10.048067,0.32585436,58,61,0,0,14,9.707255,5.0
10.004264,0.36965775,70,89,0,0,15,9.707255,5.0
10.330118,0.393162,72,87,0,0,16,9.707255,5.0
10.362169,0.36111075,60,57,0,0,17,10.346144,6.0
10.701912,0.4155979,56,58,0,0,18,10.346144,6.0
10.652767,0.46474314,68,90,0,0,19,10.346144,6.0
11.100416,0.48397386,63,43,0,0,20,11.058215,7.0
11.016015,0.5683755,75,84,0,0,21,10.346144,6.0
11.553408,0.64209336,70,36,0,0,22,11.058215,7.0
11.458322,0.73717874,82,86,0,0,23,11.058215,7.0
12.133534,1.0405972,72,40,0,0,24,12.080651,8.0
12.027765,1.1463664,84,76,0,0,25,11.058215,7.0
12.760671,0.41346112,67,24,0,0,26,12.080651,8.0
12.679475,0.5149568,79,70,0,0,27,12.080651,8.0
13.195499,0.31303388,70,31,0,0,28,13.158107,9.0
13.120713,1.0320503,82,69,0,0,29,12.080651,8.0
13.51708,0.72863173,80,68,0,0,30,13.158107,9.0
13.559815,0.6901702,68,33,0,0,31,13.158107,9.0
14.10896,1.4636737,67,24,0,0,32,14.082785,10.0
14.05661,1.5245712,79,54,0,0,33,13.158107,9.0
15.37819,1.068375,66,18,0,0,34,15.373382,11.0
15.368574,1.0779904,78,23,0,0,35,14.082785,10.0
16.79165,0.6880335,78,63,0,0,36,16.364567,12.0
16.860025,0.6196575,66,30,0,0,37,16.364567,12.0
17.388872,0.3461535,67,39,0,0,38,17.355753,13.0
17.322632,0.44123888,79,73,0,0,39,16.364567,12.0
17.710453,0.28311938,66,45,0,0,40,17.355753,13.0
17.680538,0.3514954,78,76,0,0,41,17.355753,13.0
18.023487,0.25106812,65,43,0,0,42,18.002653,14.0
17.98182,0.33119625,77,78,0,0,43,17.355753,13.0
18.26387,0.49252087,78,73,0,0,44,18.002653,14.0
18.29699,0.623931,66,42,0,0,45,18.002653,14.0
18.701904,0.59508485,81,66,0,0,46,18.002653,14.0
18.800196,0.5373926,69,28,0,0,47,18.75105,15.0
19.240366,0.42414486,79,56,0,0,48,18.75105,15.0
19.280964,0.39957225,67,30,0,0,49,18.75105,15.0
19.645279,0.735042,63,30,0,0,50,18.75105,15.0
19.606817,0.7735035,75,53,0,0,51,18.75105,15.0
20.296988,1.7286308,63,29,0,0,52,20.255856,16.0
20.214724,1.8108957,75,41,0,0,53,18.75105,15.0
21.783098,0.36217913,74,47,0,0,54,20.255856,16.0
21.817286,0.36645263,62,30,0,0,55,20.255856,16.0
22.088654,0.6132473,77,54,0,0,56,20.255856,16.0
22.133524,0.5918797,65,31,0,0,57,22.11109,17.0
22.595062,0.4401705,75,50,0,0,58,22.11109,17.0
22.620705,0.41666624,63,31,0,0,59,22.11109,17.0
22.99784,0.8856829,62,32,0,0,60,22.11109,17.0
22.96579,0.91773415,74,54,0,0,61,22.11109,17.0
23.757456,1.7713658,62,20,0,0,62,23.72754,18.0
23.697626,1.8311948,74,42,0,0,63,22.11109,17.0
27.110016,2.7083306,60,33,0,0,64,26.274014,21.0
27.140999,2.6773477,55,27,0,0,65,27.122835,22.0
27.135656,2.6826897,51,30,0,0,66,27.122835,22.0
27.007452,2.8108947,72,67,0,0,67,26.274014,21.0
29.324757,1.7681606,67,63,0,0,68,28.405954,23.0
29.689074,3.7905946,50,45,0,0,69,29.689074,24.0
30.17091,3.3087573,55,54,0,0,70,29.689074,24.0
30.890995,2.5886726,63,74,0,0,71,30.88779,25.0
30.324757,7.641018,70,80,0,0,72,29.689074,24.0
35.682655,2.2831173,38,29,0,0,73,35.682655,31.0
36.87496,1.0908109,62,52,0,0,74,35.682655,31.0
37.358936,0.606837,70,65,0,0,75,35.682655,31.0
36.492485,1.4732891,60,38,0,0,76,35.682655,31.0
37.13351,0.8322641,66,56,0,0,77,35.682655,31.0
37.58757,0.37820476,69,69,0,0,78,35.682655,31.0
38.485004,1.3814089,62,31,0,0,79,37.882442,34.0
38.49569,1.3707252,58,27,0,0,80,37.882442,34.0
38.50744,1.358973,43,29,0,0,81,37.882442,34.0
37.882442,1.9839724,67,57,0,0,82,37.882442,34.0
39.015987,0.8504265,43,32,0,0,83,37.882442,34.0
39.01385,0.85256326,58,33,0,0,84,37.882442,34.0
39.004234,0.8621786,62,32,0,0,85,37.882442,34.0
40.27667,1.0608964,67,19,0,0,86,39.66342,37.0
40.33009,1.0074776,58,24,0,0,87,39.66342,37.0
40.273464,1.0641015,62,29,0,0,88,39.66342,37.0
40.741413,0.59615326,67,33,0,0,89,39.66342,37.0
40.765984,0.57158065,58,31,0,0,90,39.66342,37.0
40.76705,0.57051224,62,32,0,0,91,39.66342,37.0
39.66342,1.6741437,74,68,0,0,92,39.66342,37.0
41.76278,1.7222205,57,28,0,0,93,41.214703,40.0
41.725384,1.7596136,67,31,0,0,94,41.214703,40.0
41.723248,1.7617503,63,28,0,0,95,41.214703,40.0
41.759575,1.7254256,60,23,0,0,96,41.214703,40.0
41.214703,2.2702968,72,59,0,0,97,41.214703,40.0
42.30872,1.1762809,67,27,0,0,98,41.214703,40.0
42.32261,1.162392,57,20,0,0,99,41.214703,40.0
42.30872,1.1762809,60,23,0,0,100,41.214703,40.0
42.311924,1.1730758,63,21,0,0,101,41.214703,40.0
43.604656,0.76709324,38,24,0,0,102,42.780407,43.0
43.53094,0.84081113,62,61,0,0,103,42.780407,43.0
43.256367,1.1153835,60,49,0,0,104,42.780407,43.0
43.947605,0.42414486,38,39,0,0,105,42.780407,43.0
43.924103,0.44764912,70,74,0,0,106,42.780407,43.0
43.72752,0.6442301,66,70,0,0,107,42.780407,43.0
44.095043,0.27670914,69,77,0,0,108,42.780407,43.0
44.780937,1.0779904,62,36,0,0,109,44.34611,46.0
44.777733,1.0811955,58,30,0,0,110,44.34611,46.0
44.7788,1.0801271,43,27,0,0,111,44.34611,46.0
44.34611,1.512819,67,68,0,0,112,44.34611,46.0
45.204014,0.6549139,62,39,0,0,113,44.34611,46.0
45.208286,0.65064037,58,27,0,0,114,44.34611,46.0
45.23286,0.62606776,43,31,0,0,115,44.34611,46.0
46.259567,1.1271356,55,27,0,0,116,45.669827,49.0
46.2585,1.128204,57,27,0,0,117,45.669827,49.0
46.249954,1.136751,61,34,0,0,118,45.669827,49.0
46.302303,1.0844007,45,22,0,0,119,45.669827,49.0
46.728584,0.658119,57,19,0,0,120,45.669827,49.0
46.690125,0.6965805,61,33,0,0,121,45.669827,49.0
46.731792,0.6549139,55,36,0,0,122,45.669827,49.0
46.74675,0.63995665,45,21,0,0,123,45.669827,49.0
45.669827,1.7168787,64,72,0,0,124,45.669827,49.0
47.7991,1.7991436,57,24,0,0,125,47.24461,52.0
47.8226,1.7756393,38,26,0,0,126,47.24461,52.0
47.77666,1.8215793,62,34,0,0,127,47.24461,52.0
47.81726,1.7809812,54,19,0,0,128,47.24461,52.0
47.24461,2.35363,66,53,0,0,129,47.24461,52.0
48.37816,1.2200843,54,21,0,0,130,47.24461,52.0
48.343967,1.2542722,62,32,0,0,131,47.24461,52.0
48.385635,1.2126056,38,26,0,0,132,47.24461,52.0
48.385635,1.2126056,57,21,0,0,133,47.24461,52.0
49.253155,1.1495715,60,54,0,0,134,48.791084,55.0
49.629223,0.7735035,50,29,0,0,135,48.791084,55.0
49.5523,0.8504265,62,67,0,0,136,48.791084,55.0
49.94867,0.45405936,70,77,0,0,137,48.791084,55.0
49.979652,0.4230765,50,43,0,0,138,48.791084,55.0
49.7585,0.6442301,66,75,0,0,139,48.791084,55.0
50.1164,0.2863245,69,80,0,0,140,48.791084,55.0
50.7414,1.128204,62,38,0,0,141,50.33756,58.0
50.759563,1.1100416,58,27,0,0,142,50.33756,58.0
50.776657,1.0929476,43,36,0,0,143,50.33756,58.0
51.132427,0.73717874,58,44,0,0,144,50.33756,58.0
51.127087,0.74252063,43,45,0,0,145,50.33756,58.0
50.337555,1.5320498,67,74,0,0,146,48.791084,55.0
51.121742,0.7478625,62,58,0,0,147,50.33756,58.0
52.33542,1.0651699,67,20,0,0,148,51.685844,61.0
52.342896,1.0576912,64,27,0,0,149,51.685844,61.0
52.33435,1.0662383,70,21,0,0,150,51.685844,61.0
52.319393,1.0811955,73,21,0,0,151,51.685844,61.0
52.79909,0.60149515,67,27,0,0,152,51.685844,61.0
52.778793,0.6217942,73,47,0,0,153,51.685844,61.0
52.79375,0.606837,70,41,0,0,154,51.685844,61.0
52.82046,0.5801276,64,33,0,0,155,51.685844,61.0
51.685844,1.7147418,79,80,0,0,156,51.685844,61.0
53.75422,1.1517082,70,39,0,0,157,53.22965,64.0
53.81832,1.0876057,65,21,0,0,158,53.22965,64.0
