xml_id	midi_id	track	channel	pitch	onset
n5	3	1	0	60	1.4335937499999996
n6	4	1	0	60	2.1627604166666665
n11	7	1	0	60	2.5390625000000004
n2	2	1	0	72	1.4218749999999996
n3	5	1	0	72	2.141927083333333
n7	6	1	0	72	2.5156250000000004
n12	9	1	0	60	3.2526041666666665
n13	10	1	0	60	3.684895833333334
n8	8	1	0	72	3.25
n9	11	1	0	72	3.6601562500000004
n23	15	1	0	53	5.32421875
n14	13	1	0	60	4.723958333333333
n24	14	1	0	60	5.3203125
n15	16	1	0	69	5.3203125
n10	12	1	0	72	4.7265625
n16	17	1	0	72	5.295572916666667
n25	18	1	0	53	6.049479166666668
n27	22	1	0	53	6.473958333333335
n26	19	1	0	60	6.052083333333335
n28	23	1	0	60	6.476562500000002
n17	20	1	0	69	6.046875000000001
n19	24	1	0	70	6.450520833333335
n18	21	1	0	72	6.018229166666668
n20	25	1	0	72	6.440104166666668
n29	28	1	0	53	7.180989583333334
n40	31	1	0	53	7.628906250000001
n30	27	1	0	60	7.182291666666667
n41	32	1	0	60	7.674479166666668
n21	26	1	0	70	7.158854166666667
n38	30	1	0	70	7.731770833333335
n22	29	1	0	72	7.147135416666667
n31	33	1	0	76	7.713541666666668
n42	36	1	0	53	8.38932291666667
n44	41	1	0	53	8.80729166666667
n43	37	1	0	60	8.40104166666667
n45	40	1	0	60	8.851562500000004
n34	42	1	0	69	8.802083333333336
n39	35	1	0	70	8.376302083333336
n33	38	1	0	72	8.348958333333336
n32	34	1	0	74	8.184895833333336
n35	39	1	0	77	8.785156250000004
n56	48	1	0	57	9.893229166666675
n46	44	1	0	58	9.511718750000007
n36	43	1	0	65	9.531250000000007
n47	47	1	0	65	9.923177083333343
n48	46	1	0	72	9.894531250000009
n37	45	1	0	74	9.506510416666673
n57	51	1	0	48	10.602864583333341
n59	54	1	0	50	10.992187500000005
n58	49	1	0	57	10.610677083333341
n60	56	1	0	57	10.98177083333334
n51	53	1	0	60	10.98567708333334
n49	50	1	0	64	10.606770833333341
n52	55	1	0	65	10.967447916666673
n50	52	1	0	69	10.578125000000009
n61	60	1	0	43	11.75520833333334
n72	63	1	0	48	12.210937500000007
n62	61	1	0	50	11.752604166666673
n53	57	1	0	58	11.75130208333334
n68	64	1	0	58	12.209635416666673
n69	62	1	0	64	12.216145833333341
n54	59	1	0	65	11.734375000000005
n55	58	1	0	67	11.70833333333334
n63	65	1	0	67	12.182291666666673
n74	70	1	0	41	13.769531250000014
n73	67	1	0	48	13.037760416666677
n75	71	1	0	53	13.777343750000014
n70	66	1	0	58	13.010416666666677
n64	72	1	0	60	13.769531250000014
n71	68	1	0	62	13.024739583333343
n65	69	1	0	69	13.739583333333346
n76	75	1	0	46	14.527343750000014
n86	77	1	0	48	14.917968750000016
n77	74	1	0	53	14.548177083333348
n87	79	1	0	53	14.944010416666682
n78	78	1	0	60	14.933593750000016
n66	76	1	0	62	14.524739583333348
n79	80	1	0	69	14.908854166666682
n67	73	1	0	70	14.503906250000014
n88	83	1	0	46	15.62500000000002
n90	88	1	0	48	16.029947916666686
n89	82	1	0	53	15.654947916666687
n91	87	1	0	53	16.00390625000002
n82	86	1	0	60	16.013020833333353
n80	81	1	0	62	15.626302083333353
n81	84	1	0	65	15.608072916666687
n83	85	1	0	69	15.989583333333357
n103	93	1	0	48	17.097656250000004
n92	92	1	0	50	16.73307291666668
n93	89	1	0	53	16.71484375000001
n104	94	1	0	53	17.119791666666668
n84	90	1	0	58	16.70572916666668
n101	95	1	0	60	17.098958333333336
n94	97	1	0	69	17.078125000000004
n85	91	1	0	70	16.68619791666668
n105	100	1	0	46	17.807291666666664
n107	103	1	0	48	18.225260416666657
n106	98	1	0	53	17.838541666666664
n108	104	1	0	53	18.221354166666657
n97	105	1	0	60	18.209635416666657
n102	99	1	0	62	17.832031249999996
n96	101	1	0	65	17.803385416666664
n95	96	1	0	67	17.627604166666668
n98	102	1	0	69	18.209635416666657
n120	110	1	0	48	19.339843749999986
n109	109	1	0	50	18.949218749999982
n110	106	1	0	53	18.942708333333314
n121	111	1	0	53	19.333333333333318
n99	107	1	0	58	18.942708333333314
n115	112	1	0	60	19.348958333333318
n111	113	1	0	69	19.333333333333318
n100	108	1	0	70	18.927083333333314
n122	116	1	0	48	20.12890624999998
n124	119	1	0	48	20.83203124999998
n123	115	1	0	57	20.12890624999998
n125	120	1	0	58	20.81380208333331
n116	118	1	0	60	20.15364583333331
n117	121	1	0	62	20.82552083333331
n113	117	1	0	65	20.091145833333314
n112	114	1	0	67	19.897135416666647
n114	125	1	0	67	20.80208333333331
n126	129	1	0	48	21.738281249999975
n136	127	1	0	53	22.378906249999975
n137	128	1	0	57	22.374999999999975
n127	124	1	0	58	21.729166666666643
n118	123	1	0	60	21.721354166666643
n130	126	1	0	60	22.414062499999975
n119	122	1	0	64	21.690104166666643
n128	130	1	0	65	22.343749999999975
n138	132	1	0	53	23.233072916666643
n140	134	1	0	53	24.027343749999968
n139	133	1	0	57	23.233072916666643
n131	131	1	0	60	23.209635416666643
n141	136	1	0	60	24.0325520833333
n132	deletion
n133	135	1	0	69	24.0325520833333
n129	142	1	0	72	23.994791666666636
n142	138	1	0	53	24.794270833333304
n156	141	1	0	53	25.149739583333304
n157	140	1	0	60	25.186197916666636
n143	deletion
n134	137	1	0	65	24.790364583333304
n135	139	1	0	69	24.774739583333304
n158	147	1	0	53	25.911458333333304
n160	150	1	0	53	26.313802083333304
n159	145	1	0	60	25.907552083333304
n161	151	1	0	60	26.3372395833333
n145	144	1	0	65	25.89453124999997
n148	152	1	0	67	26.330729166666636
n146	143	1	0	69	25.89453124999997
n149	148	1	0	70	26.31249999999997
n147	146	1	0	72	25.84374999999997
n150	149	1	0	72	26.29557291666664
n162	156	1	0	53	27.029947916666632
n176	158	1	0	53	27.503906249999968
n163	154	1	0	60	27.0247395833333
n177	159	1	0	60	27.514322916666636
n151	155	1	0	67	27.0325520833333
n172	161	1	0	67	27.531249999999968
n152	153	1	0	70	27.015624999999968
n173	160	1	0	70	27.502604166666636
n153	157	1	0	72	26.9817708333333
n164	162	1	0	76	27.485677083333304
n178	167	1	0	53	28.21093749999997
n180	172	1	0	53	28.79687499999997
n179	166	1	0	60	28.20572916666664
n181	171	1	0	60	28.790364583333304
n167	169	1	0	65	28.80078124999997
n174	165	1	0	67	28.220052083333304
n168	173	1	0	69	28.774739583333304
n175	164	1	0	70	28.20312499999997
n166	168	1	0	72	28.17968749999997
n165	163	1	0	74	27.993489583333304
n169	170	1	0	77	28.763020833333304
n192	179	1	0	57	29.947916666666643
n182	175	1	0	58	29.562499999999975
n170	174	1	0	65	29.569010416666643
n183	178	1	0	65	29.97005208333331
n184	177	1	0	72	29.936197916666643
n171	176	1	0	74	29.54557291666664
n193	182	1	0	48	30.707031249999975
n195	185	1	0	50	31.157552083333304
n194	180	1	0	57	30.705729166666643
n196	187	1	0	57	31.15624999999997
n187	184	1	0	60	31.15234374999997
n185	181	1	0	64	30.718749999999975
n188	186	1	0	65	31.138020833333307
n186	183	1	0	69	30.69270833333331
n197	192	1	0	43	32.09895833333329
n208	196	1	0	48	32.60026041666664
n198	191	1	0	50	32.08463541666663
n189	188	1	0	58	32.07291666666663
n204	195	1	0	58	32.57421874999998
n205	194	1	0	64	32.57291666666664
n190	193	1	0	65	32.06380208333329
n191	189	1	0	67	32.04557291666663
n199	197	1	0	67	32.545572916666636
n210	202	1	0	41	34.09114583333333
n209	199	1	0	48	33.45312499999999
n211	203	1	0	53	34.08984374999999
n206	198	1	0	58	33.42838541666666
n200	204	1	0	60	34.06249999999999
n207	200	1	0	62	33.42578124999999
n201	201	1	0	69	34.06249999999999
n212	207	1	0	46	34.86328125
n222	209	1	0	48	35.26953125000001
n213	206	1	0	53	34.885416666666664
n223	210	1	0	53	35.27734375000001
n214	211	1	0	60	35.24218750000001
n202	208	1	0	62	34.8828125
n215	212	1	0	69	35.25260416666667
n203	205	1	0	70	34.83984375
n224	214	1	0	46	36.03776041666668
n226	219	1	0	48	36.45963541666669
n225	213	1	0	53	36.06380208333334
n227	220	1	0	53	36.43098958333336
n218	218	1	0	60	36.45833333333336
n216	215	1	0	62	36.05729166666668
n217	216	1	0	65	36.03645833333334
n219	217	1	0	69	36.42968750000002
n239	225	1	0	48	37.58203125000004
n228	224	1	0	50	37.192708333333364
n229	222	1	0	53	37.1940104166667
n240	226	1	0	53	37.58854166666671
n220	221	1	0	58	37.16015625000003
n237	227	1	0	60	37.56640625000004
n230	228	1	0	69	37.54947916666671
n221	223	1	0	70	37.14062500000003
n241	232	1	0	46	38.32421875000004
n243	237	1	0	48	38.755208333333385
n242	230	1	0	53	38.33984375000004
n244	235	1	0	53	38.75390625000005
n233	236	1	0	60	38.76953125000006
n238	231	1	0	62	38.32421875000004
n232	233	1	0	65	38.30729166666671
n231	229	1	0	67	38.11588541666671
n234	234	1	0	69	38.721354166666714
n256	242	1	0	48	39.941406250000085
n245	241	1	0	50	39.51302083333341
n246	239	1	0	53	39.51822916666674
n257	243	1	0	53	39.929687500000085
n235	238	1	0	58	39.50520833333341
n251	245	1	0	60	39.92708333333342
n247	244	1	0	69	39.91015625000009
n236	240	1	0	70	39.48177083333341
n258	247	1	0	48	40.70833333333342
n260	251	1	0	48	41.347656250000085
n259	248	1	0	57	40.70052083333342
n261	252	1	0	58	41.312500000000085
n252	249	1	0	60	40.70052083333342
n253	253	1	0	62	41.31901041666675
n249	250	1	0	65	40.656250000000085
n248	246	1	0	67	40.480468750000085
n250	258	1	0	67	41.292968750000085
n262	257	1	0	48	42.17838541666676
n270	261	1	0	53	42.861979166666764
n271	260	1	0	57	42.854166666666764
n263	255	1	0	58	42.18229166666676
n254	256	1	0	60	42.221354166666764
n266	259	1	0	60	42.91015625000009
n255	254	1	0	64	42.18229166666676
n264	264	1	0	65	42.83593750000009
n274	266	1	0	48	44.73177083333344
n272	265	1	0	53	43.7109375000001
n273	263	1	0	57	43.712239583333435
n275	268	1	0	57	44.76302083333344
n267	262	1	0	60	43.6992187500001
n268	267	1	0	64	44.75520833333344
n265	272	1	0	72	44.71744791666677
n276	270	1	0	48	45.511718750000114
n290	274	1	0	48	45.91145833333345
n277	271	1	0	57	45.52604166666678
n291	275	1	0	57	45.90364583333345
n269	269	1	0	64	45.50260416666678
n278	273	1	0	64	45.88411458333345
n292	278	1	0	50	46.60546875000013
n293	283	1	0	52	47.0377604166668
n284	282	1	0	60	46.985677083333464
n280	276	1	0	62	46.61197916666679
n285	281	1	0	64	47.089843750000135
n281	277	1	0	65	46.61979166666679
n286	284	1	0	69	47.33723958333347
n282	279	1	0	71	46.58203125000012
n283	280	1	0	71	47.20442708333347
n294	288	1	0	40	48.104166666666806
n308	291	1	0	45	48.55598958333348
n295	285	1	0	52	48.119791666666806
n309	293	1	0	52	48.54427083333348
n287	286	1	0	59	48.111979166666806
n296	294	1	0	60	48.55078125000014
n297	290	1	0	64	48.572916666666806
n288	deletion
n289	287	1	0	68	48.07552083333347
n298	292	1	0	69	48.529947916666806
n310	297	1	0	45	49.39322916666682
n312	300	1	0	48	49.930989583333485
n313	303	1	0	55	49.94401041666682
n311	299	1	0	57	49.40755208333349
n299	296	1	0	60	49.39713541666682
n300	295	1	0	64	49.37760416666682
n302	301	1	0	64	49.94010416666682
n303	304	1	0	67	49.92838541666682
n301	298	1	0	72	49.36197916666682
n304	302	1	0	76	49.91276041666682
n314	308	1	0	48	50.73567708333349
n329	313	1	0	52	51.22526041666682
n315	deletion
n316	305	1	0	60	50.75130208333349
n330	310	1	0	60	51.23697916666682
n305	309	1	0	64	50.74739583333349
n306	306	1	0	67	50.71614583333349
n317	312	1	0	67	51.223958333333485
n307	307	1	0	76	50.70442708333349
n318	311	1	0	76	51.20703125000015
n331	316	1	0	53	52.06510416666683
n332	321	1	0	55	52.440104166666835
n323	319	1	0	64	52.467447916666835
n319	314	1	0	65	52.08984375000016
n324	320	1	0	67	52.61328125000016
n320	315	1	0	69	52.0794270833335
