xml_id	midi_id	track	channel	pitch	onset
n12	5	0	0	61	2.8231809375
n2	2	0	0	62	2.52537140625
n1	0	0	0	63	1.5130860937500001
n4	3	0	0	63	2.8712578125
n3	1	0	0	65	2.51068125
n5	4	0	0	67	2.83787109375
n14	10	0	0	55	3.39609703125
n23	14	0	0	56	3.79139578125
n13	7	0	0	60	3.09962296875
n6	6	0	0	63	3.1276678125
n8	9	0	0	63	3.4174645312500003
n15	13	0	0	63	3.79406671875
n7	8	0	0	68	3.09962296875
n9	11	0	0	70	3.38274234375
n16	12	0	0	72	3.77136375
n24	18	0	0	51	4.723552968750005
n27	22	0	0	51	5.452718906250008
n25	20	0	0	59	4.708862812500006
n28	24	0	0	60	5.409983906250008
n26	19	0	0	62	4.720882031250006
n20	23	0	0	63	5.432686875000008
n17	17	0	0	65	4.712869218750006
n18	16	0	0	68	4.695508125000006
n21	21	0	0	68	5.430015937500008
n22	42	0	0	75	5.413990312500008
n19	15	0	0	77	4.679482500000006
n35	25	0	0	61	6.786852187500017
n30	29	0	0	63	6.7895231250000165
n31	26	0	0	67	6.769491093750017
n37	28	0	0	58	7.41852890625002
n38	30	0	0	58	7.646894062500021
n36	27	0	0	60	7.187492812500019
n32	36	0	0	63	7.708325625000021
n33	33	0	0	67	7.685622656250021
n34	34	0	0	73	7.700312812500021
n39	35	0	0	57	8.143688437500021
n40	37	0	0	58	8.468207343750024
n45	38	0	0	60	8.860835156250028
n41	44	0	0	63	8.844809531250027
n42	43	0	0	68	8.860835156250028
n43	41	0	0	72	8.836796718750026
n47	40	0	0	51	10.06142156250004
n48	45	0	0	51	10.31115421875004
n46	39	0	0	56	9.360300468750033
n56	47	0	0	39	11.897691093750066
n55	49	0	0	55	11.885671875000066
n50	46	0	0	61	11.892349218750066
n49	58	0	0	63	11.860297968750066
n57	48	0	0	41	12.53604515625007
n58	50	0	0	43	12.83786109375007
n51	51	0	0	58	12.839196562500069
n59	54	0	0	44	13.103619375000067
n60	56	0	0	46	13.374719531250065
n69	59	0	0	48	13.712593125000069
n54	55	0	0	55	13.381396875000066
n61	57	0	0	56	13.73128968750007
n53	53	0	0	60	13.115638593750067
n71	78	0	0	51	15.170925000000082
