idx,matchtype,partid,ppartid
0,0,n21,5
1,0,n3,2
2,0,n7,4
3,1,n1,undefined
4,1,n5,undefined
5,1,n13,undefined
6,0,n14,6
7,0,n2,0
8,0,n4,1
9,0,n8,3
10,1,n6,undefined
11,0,n23,12
12,0,n54,19
13,0,n22,9
14,0,n9,8
15,0,n11,13
16,0,n24,16
17,1,n36,undefined
18,1,n15,undefined
19,1,n17,undefined
20,0,n37,18
21,0,n16,10
22,0,n18,14
23,0,n38,17
24,0,n10,7
25,0,n12,11
26,0,n25,15
27,0,n57,29
28,0,n55,22
29,0,n58,32
30,0,n26,21
31,0,n28,26
32,0,n30,31
33,1,n39,undefined
34,1,n42,undefined
35,1,n45,undefined
36,0,n46,34
37,0,n40,23
38,0,n43,27
39,0,n41,24
40,0,n44,28
41,0,n47,33
42,0,n27,20
43,0,n29,25
44,0,n31,30
45,0,n87,46
46,0,n61,41
47,0,n88,49
48,0,n59,36
49,0,n60,38
50,1,n62,undefined
51,0,n34,43
52,0,n63,48
53,1,n70,undefined
54,1,n51,undefined
55,0,n32,37
56,1,n48,undefined
57,0,n71,50
58,0,n49,39
59,0,n52,45
60,0,n72,51
61,0,n50,40
62,0,n53,44
63,0,n35,42
64,0,n64,47
65,0,n33,35
66,0,n94,73
67,0,n92,58
68,0,n89,53
69,0,n91,56
70,0,n93,62
71,0,n95,66
72,0,n90,54
73,0,n67,59
74,1,n76,undefined
75,0,n65,52
76,1,n73,undefined
77,0,n78,63
78,0,n74,55
79,0,n77,61
80,0,n79,65
81,1,n75,undefined
82,0,n68,60
83,0,n80,64
84,0,n66,57
85,0,n69,75
86,0,n129,79
87,0,n98,72
88,0,n130,86
89,0,n97,70
90,0,n96,68
91,0,n81,67
92,0,n84,74
93,0,n100,78
94,1,n112,undefined
95,0,n82,71
96,0,n85,77
97,0,n83,69
98,0,n86,76
99,0,n113,81
100,0,n101,80
101,0,n134,94
102,0,n131,82
103,0,n135,97
104,0,n132,85
105,0,n133,89
106,0,n102,84
107,0,n104,91
108,0,n106,95
109,1,n114,undefined
110,1,n117,undefined
111,1,n120,undefined
112,0,n121,99
113,0,n115,88
114,0,n118,93
115,0,n116,87
116,0,n119,92
117,0,n122,98
118,0,n103,83
119,0,n105,90
120,0,n107,96
121,0,n164,112
122,0,n138,106
123,0,n165,115
124,0,n136,102
125,0,n137,103
126,0,n139,109
127,0,n110,108
128,0,n140,114
129,1,n147,undefined
130,1,n126,undefined
131,0,n108,101
132,1,n123,undefined
133,0,n148,116
134,0,n124,105
135,0,n127,110
136,0,n149,117
137,0,n125,104
138,0,n128,111
139,0,n111,107
140,0,n141,113
141,0,n109,100
142,0,n171,140
143,0,n169,125
144,0,n166,120
145,0,n168,123
146,0,n170,126
147,0,n172,130
148,0,n167,119
149,0,n144,124
150,1,n153,undefined
151,0,n142,118
152,1,n150,undefined
153,0,n155,129
154,0,n151,121
155,0,n154,128
156,0,n156,131
157,1,n152,undefined
158,0,n145,127
159,0,n157,132
160,0,n143,122
161,0,n146,139
162,0,n201,143
163,0,n175,138
164,0,n202,147
165,0,n174,135
166,0,n173,134
167,0,n158,133
168,0,n161,141
169,0,n177,146
170,1,n184,undefined
171,0,n159,137
172,0,n162,142
173,0,n185,148
174,0,n186,149
175,0,n160,136
176,0,n163,144
177,0,n178,145
