xml_id	midi_id	track	channel	pitch	onset
n14	0	0	0	25	1.5130860937500001
n15	1	0	0	37	1.50774421875
n17	2	0	0	71	3.4121226562499998
n8	3	0	0	75	3.4107871875
n4	8	0	0	80	3.3947615625
n20	6	0	0	61	5.858701406250002
n19	4	0	0	68	5.112174374999999
n21	7	0	0	70	6.447643125000002
n11	9	0	0	73	6.410250000000001
n10	5	0	0	77	5.779908750000002
n23	17	0	0	61	7.302343125000006
n22	11	0	0	66	6.933753750000006
n47	16	0	0	68	7.662919687500007
n13	13	0	0	70	7.323710625000007
n35	15	0	0	71	7.674938906250007
n12	10	0	0	75	6.909715312500007
n6	12	0	0	78	6.885676875000007
n24	19	0	0	78	7.633539375000007
n7	14	0	0	80	7.291659375000006
n49	22	0	0	49	8.235835781250007
n48	18	0	0	65	7.948710000000007
n50	25	0	0	66	8.597747812500009
n37	23	0	0	68	8.235835781250007
n38	26	0	0	70	8.58839953125001
n36	21	0	0	73	7.944703593750007
n27	29	0	0	75	8.569702968750011
n25	20	0	0	77	7.940697187500008
n26	24	0	0	78	8.221145625000007
n52	31	0	0	49	9.171999375000015
n51	27	0	0	63	8.915589375000012
n53	35	0	0	65	9.507202031250015
n40	deletion
n41	33	0	0	68	9.493847343750016
n39	28	0	0	71	8.899563750000013
n29	34	0	0	75	9.480492656250016
n28	32	0	0	77	9.159980156250015
n55	39	0	0	49	10.08813093750002
n54	36	0	0	61	9.795663281250018
n56	44	0	0	63	10.43268187500002
n43	41	0	0	65	10.08813093750002
n44	43	0	0	66	10.42867546875002
n42	38	0	0	70	9.791656875000019
n32	42	0	0	71	10.411314375000021
n30	37	0	0	73	9.780973125000019
n31	40	0	0	75	10.07344078125002
n58	50	0	0	49	11.084390625000026
n57	46	0	0	59	10.751858906250025
n72	52	0	0	61	11.41825781250003
n46	49	0	0	63	11.071035937500026
n66	53	0	0	65	11.41959328125003
n45	45	0	0	68	10.751858906250025
n59	51	0	0	71	11.41692234375003
n34	48	0	0	73	11.044326562500027
n33	47	0	0	75	10.737168750000023
n74	deletion
n73	55	0	0	58	11.75479593750003
n75	61	0	0	59	12.54806437500003
n68	58	0	0	61	12.10602421875003
n69	60	0	0	63	12.53070328125003
n67	54	0	0	66	11.76147328125003
n62	64	0	0	68	12.512006718750031
n60	56	0	0	70	11.74544765625003
n61	59	0	0	71	12.09266953125003
n77	66	0	0	37	13.80474046875004
n76	62	0	0	56	12.994110937500032
n71	67	0	0	59	13.75799906250004
n70	63	0	0	65	13.006130156250032
n64	68	0	0	70	13.721941406250039
n63	65	0	0	71	12.975414375000033
