idx,matchtype,partid,ppartid
0,0,n14,0
1,0,n15,1
2,0,n17,2
3,0,n8,4
4,0,n4,7
5,0,n20,5
6,0,n19,3
7,0,n21,8
8,0,n11,9
9,0,n10,6
10,0,n23,13
11,0,n22,11
12,0,n47,18
13,0,n13,14
14,0,n35,16
15,0,n12,12
16,0,n6,10
17,0,n24,17
18,0,n7,15
19,0,n49,23
20,0,n48,19
21,0,n50,28
22,0,n37,24
23,0,n38,26
24,0,n36,22
25,0,n27,29
26,0,n25,21
27,0,n26,25
28,0,n52,32
29,0,n51,27
30,0,n53,35
31,0,n40,31
32,0,n41,34
33,0,n39,30
34,0,n29,37
35,0,n28,33
36,0,n55,41
37,0,n54,36
38,0,n56,45
39,0,n43,40
40,0,n44,43
41,0,n42,38
42,0,n32,44
43,0,n30,39
44,0,n31,42
45,0,n58,49
46,0,n57,46
47,0,n72,54
48,0,n46,50
49,0,n66,52
50,0,n45,47
51,0,n59,53
52,0,n34,51
53,0,n33,48
54,0,n74,59
55,0,n73,55
56,0,n75,61
57,0,n68,58
58,0,n69,62
59,0,n67,56
60,0,n62,63
61,0,n60,57
62,0,n61,60
63,0,n77,67
64,0,n76,64
65,0,n71,68
66,0,n70,66
67,0,n64,69
68,0,n63,65
69,0,n80,70
70,0,n81,71
71,0,n83,73
72,0,n82,72
73,0,n84,74
74,0,n87,77
75,0,n86,76
76,0,n85,75
77,0,n88,78
78,0,n90,80
79,0,n89,79
80,0,n91,81
81,0,n95,84
82,0,n92,82
83,0,n93,83
84,0,n96,85
85,0,n98,87
86,0,n97,86
87,0,n99,88
88,0,n102,91
89,0,n101,90
90,0,n100,89
91,0,n103,92
92,0,n105,94
93,0,n104,93
94,0,n106,95
95,0,n126,98
96,0,n107,96
97,0,n108,97
98,0,n127,99
99,0,n129,101
100,0,n128,100
101,0,n130,102
102,0,n111,106
103,0,n112,107
104,0,n133,105
105,0,n132,104
106,0,n131,103
107,0,n134,108
108,0,n136,115
109,0,n135,112
110,0,n137,116
111,0,n115,110
112,0,n117,113
113,0,n120,117
114,0,n116,109
115,0,n118,111
116,0,n121,118
117,0,n119,114
118,0,n155,126
119,0,n138,121
120,0,n139,122
121,0,n124,123
122,0,n122,119
123,0,n125,124
124,0,n123,120
125,0,n140,127
126,0,n141,125
127,0,n156,128
128,0,n158,135
129,0,n159,136
130,1,n157,undefined
131,0,n142,129
132,0,n143,130
133,0,n146,134
134,0,n144,131
135,0,n147,137
136,0,n145,133
137,0,n162,144
138,0,n161,142
139,0,n160,138
140,0,n148,139
141,0,n149,140
142,0,n153,147
143,0,n150,143
144,0,n152,152
145,0,n151,141
146,0,n163,145
147,0,n165,148
148,0,n164,146
149,0,n166,149
150,0,n154,150
151,0,n190,155
152,0,n167,151
153,0,n168,153
154,0,n169,154
155,0,n170,156
156,0,n171,157
157,0,n191,158
158,0,n193,161
159,0,n192,159
160,0,n194,162
161,0,n174,160
162,0,n175,167
163,0,n176,166
164,0,n197,165
165,0,n196,164
166,0,n195,163
167,0,n198,168
168,0,n200,175
169,0,n199,173
170,0,n201,177
171,0,n179,170
172,0,n181,172
173,0,n180,169
174,0,n184,176
175,0,n182,171
176,0,n185,179
177,0,n183,174
178,0,n225,185
179,0,n202,181
180,0,n203,182
181,0,n188,183
182,0,n186,178
183,0,n189,184
184,0,n187,180
185,0,n204,187
186,0,n205,186
187,0,n226,188
188,0,n228,194
189,0,n227,193
190,0,n229,196
191,0,n206,189
192,0,n208,191
193,0,n207,190
194,0,n210,195
195,0,n209,192
196,0,n211,198
197,0,n232,206
198,0,n231,201
199,0,n230,199
200,0,n212,197
201,0,n214,202
202,0,n213,200
203,0,n219,204
204,0,n215,203
205,0,n216,205
206,0,n233,207
207,0,n235,212
208,0,n234,209
209,0,n236,213
210,0,n221,211
211,0,n222,219
212,0,n220,208
213,0,n218,216
214,0,n217,210
215,0,n263,223
216,0,n238,215
217,0,n237,214
218,0,n223,217
219,0,n239,220
220,0,n240,221
221,0,n224,218
222,0,n241,222
223,0,n242,224
224,0,n264,225
225,0,n266,227
226,0,n265,226
227,0,n267,228
228,0,n245,231
229,0,n246,230
230,0,n270,236
231,0,n269,232
232,0,n268,229
233,0,n271,238
234,0,n273,245
235,0,n272,241
236,0,n274,247
237,0,n253,242
238,0,n255,244
239,0,n251,239
240,0,n249,235
241,0,n254,243
242,0,n256,246
243,0,n252,240
244,0,n250,237
245,0,n296,257
246,0,n276,253
247,0,n275,251
248,0,n261,254
249,0,n284,256
250,0,n259,250
251,0,n257,249
252,0,n262,255
253,0,n277,258
254,0,n260,252
255,0,n258,248
256,0,n297,259
257,0,n299,263
258,0,n298,262
259,0,n300,264
260,0,n286,261
261,0,n287,266
262,0,n285,260
263,0,n278,272
264,0,n303,270
265,0,n302,267
266,0,n301,265
267,0,n289,269
268,0,n288,268
269,0,n306,280
270,0,n304,273
271,0,n305,271
272,0,n290,281
273,0,n279,274
274,0,n293,276
275,0,n295,278
276,0,n292,275
277,0,n294,277
278,0,n329,287
279,0,n307,283
280,0,n308,285
281,0,n320,288
282,0,n280,279
283,0,n281,282
284,0,n309,289
