xml_id	midi_id	track	channel	pitch	onset
n14	0	1	0	25	0.9921875
n15	1	1	0	37	0.9869791666666666
n17	4	1	0	71	2.723958333333333
n8	2	1	0	75	2.7265624999999996
n4	9	1	0	80	2.716145833333333
n20	6	1	0	61	5.279947916666667
n19	3	1	0	68	4.69140625
n21	7	1	0	70	5.78125
n11	8	1	0	73	5.80859375
n10	5	1	0	77	5.303385416666667
n23	14	1	0	61	6.798177083333333
n22	10	1	0	66	6.334635416666667
n47	16	1	0	68	7.205729166666664
n13	13	1	0	70	6.820312499999999
n35	17	1	0	71	7.204427083333331
n12	11	1	0	75	6.359375
n6	12	1	0	78	6.326822916666667
n24	19	1	0	78	7.190104166666665
n7	15	1	0	80	6.799479166666666
n49	22	1	0	49	7.912760416666664
n48	18	1	0	65	7.575520833333331
n50	26	1	0	66	8.311197916666666
n37	23	1	0	68	7.941406249999997
n38	25	1	0	70	8.309895833333332
n36	20	1	0	73	7.576822916666664
n27	29	1	0	75	8.285156249999998
n25	21	1	0	77	7.566406249999998
n26	24	1	0	78	7.919270833333331
n52	31	1	0	49	8.9921875
n51	27	1	0	63	8.639322916666668
n53	32	1	0	65	9.332031249999998
n40	30	1	0	66	8.994791666666666
n41	35	1	0	68	9.299479166666666
n39	28	1	0	71	8.640625000000002
n29	34	1	0	75	9.2890625
n28	33	1	0	77	8.96484375
n55	40	1	0	49	9.953124999999998
n54	36	1	0	61	9.643229166666666
n56	43	1	0	63	10.30338541666666
n43	39	1	0	65	9.942708333333332
n44	42	1	0	66	10.274739583333329
n42	37	1	0	70	9.631510416666666
n32	44	1	0	71	10.256510416666663
n30	38	1	0	73	9.618489583333332
n31	41	1	0	75	9.92578125
n58	49	1	0	49	10.930989583333327
n57	45	1	0	59	10.60416666666666
n72	53	1	0	61	11.274739583333327
n46	47	1	0	63	10.929687499999993
n66	52	1	0	65	11.255208333333327
n45	46	1	0	68	10.598958333333327
n59	51	1	0	71	11.216145833333327
n34	50	1	0	73	10.910156249999993
n33	48	1	0	75	10.58463541666666
n74	58	1	0	37	11.994791666666663
n73	55	1	0	58	11.584635416666663
n75	62	1	0	59	12.489583333333334
n68	59	1	0	61	11.973958333333329
n69	63	1	0	63	12.45703125
n67	57	1	0	66	11.575520833333329
n62	61	1	0	68	12.427083333333332
n60	56	1	0	70	11.571614583333329
n61	60	1	0	71	11.957031249999995
n77	68	1	0	37	14.167968750000004
n76	64	1	0	56	12.98307291666667
n71	67	1	0	59	14.180989583333337
n70	65	1	0	65	12.984375000000004
n64	69	1	0	70	14.161458333333337
n63	66	1	0	71	12.953125000000004
n80	70	1	0	42	17.945312500000004
n81	71	1	0	49	18.398437500000004
n83	73	1	0	54	19.106770833333332
n82	72	1	0	56	18.755208333333336
n84	74	1	0	56	19.261718749999996
n87	77	1	0	42	20.169270833333332
n86	76	1	0	49	19.799479166666668
n85	75	1	0	58	19.450520833333332
n88	78	1	0	49	20.528645833333325
n90	80	1	0	54	21.23177083333332
n89	79	1	0	56	20.88671874999999
n91	81	1	0	56	21.37239583333332
n95	84	1	0	42	22.397135416666647
n92	82	1	0	58	21.571614583333318
n93	83	1	0	61	21.93749999999998
n96	85	1	0	49	22.764322916666643
n98	87	1	0	54	23.470052083333307
n97	86	1	0	56	23.10807291666664
n99	88	1	0	56	23.614583333333304
n102	91	1	0	42	24.548177083333297
n101	90	1	0	49	24.166666666666632
n100	89	1	0	58	23.815104166666636
n103	92	1	0	49	24.916666666666625
n105	94	1	0	54	25.641927083333286
n104	93	1	0	56	25.269531249999954
n106	95	1	0	56	25.779947916666618
n126	98	1	0	42	26.837239583333282
n107	96	1	0	58	25.986979166666618
n108	97	1	0	61	26.369791666666615
n127	99	1	0	49	27.20052083333328
n129	101	1	0	54	27.984374999999943
n128	100	1	0	56	27.571614583333275
n130	102	1	0	56	28.17317708333327
n111	106	1	0	70	28.032552083333275
n112	105	1	0	73	28.019531249999943
n133	107	1	0	42	29.136718749999936
n132	104	1	0	49	28.772135416666604
n131	103	1	0	58	28.381510416666604
n134	108	1	0	49	29.52473958333327
n136	115	1	0	54	30.239583333333268
n135	111	1	0	56	29.88020833333327
n137	117	1	0	56	30.4127604166666
n115	110	1	0	69	29.507812499999936
n117	114	1	0	70	29.87630208333327
n120	116	1	0	71	30.234374999999936
n116	109	1	0	72	29.510416666666604
n118	112	1	0	73	29.861979166666604
n121	118	1	0	75	30.225260416666604
n119	113	1	0	77	30.17317708333327
n155	127	1	0	42	31.397135416666597
n138	120	1	0	58	30.602864583333265
n139	122	1	0	61	30.962239583333265
n124	123	1	0	66	30.942708333333265
n122	119	1	0	70	30.592447916666597
n125	124	1	0	70	30.936197916666597
n123	121	1	0	73	30.576822916666597
n140	125	1	0	75	31.50390624999993
n141	126	1	0	78	31.506510416666597
n156	128	1	0	49	31.940104166666597
n158	135	1	0	54	32.61458333333326
n159	136	1	0	56	32.79166666666659
n157	deletion
n142	129	1	0	66	31.93359374999993
n143	130	1	0	70	31.93098958333326
n146	134	1	0	70	32.62890624999993
n144	132	1	0	71	32.28645833333326
n147	137	1	0	73	32.62890624999993
n145	133	1	0	75	32.27213541666659
n162	144	1	0	42	33.71223958333326
n161	141	1	0	49	33.34765624999993
n160	138	1	0	58	32.96093749999993
n148	140	1	0	61	32.98046874999993
n149	139	1	0	66	32.97656249999993
n153	151	1	0	66	33.71484374999992
n150	142	1	0	68	33.33463541666659
n152	150	1	0	70	33.70182291666659
n151	143	1	0	71	33.32421874999993
n163	145	1	0	49	34.07031249999993
n165	147	1	0	54	34.77083333333327
n164	146	1	0	56	34.421874999999936
n166	149	1	0	56	34.940104166666615
n154	148	1	0	64	34.77213541666661
n190	157	1	0	42	35.81249999999995
n167	152	1	0	58	35.122395833333286
n168	153	1	0	61	35.48828124999995
n169	154	1	0	63	35.62890624999995
n170	155	1	0	71	35.727864583333286
n171	156	1	0	78	35.91666666666662
n191	158	1	0	54	36.25781249999995
n193	161	1	0	59	36.97005208333328
n192	159	1	0	61	36.60937499999995
n194	162	1	0	61	37.13281249999994
n174	160	1	0	66	36.770833333333286
n175	165	1	0	75	36.95703124999994
n176	166	1	0	78	36.95052083333328
n197	167	1	0	42	38.05598958333329
n196	164	1	0	54	37.68619791666662
n195	163	1	0	63	37.32812499999994
n198	168	1	0	54	38.43619791666662
n200	175	1	0	59	39.15104166666662
n199	171	1	0	61	38.79687499999995
n201	177	1	0	61	39.31640624999996
n179	169	1	0	74	38.450520833333286
n181	173	1	0	75	38.798177083333286
n180	170	1	0	77	38.42578124999996
n184	176	1	0	77	39.15494791666662
n182	172	1	0	78	38.78124999999995
n185	178	1	0	80	39.13151041666662
n183	174	1	0	82	39.08463541666662
n225	187	1	0	42	40.28776041666663
n202	180	1	0	63	39.51562499999996
n203	182	1	0	66	39.87499999999996
n188	183	1	0	71	39.86328124999996
n186	179	1	0	75	39.50651041666662
n189	184	1	0	75	39.85286458333329
n187	181	1	0	78	39.485677083333286
n204	185	1	0	80	40.398437499999964
n205	186	1	0	83	40.386718749999964
n226	188	1	0	54	40.86197916666664
n228	195	1	0	59	41.59635416666666
n227	191	1	0	61	41.223958333333314
n229	197	1	0	61	41.78124999999999
n206	189	1	0	71	40.86718749999998
n208	193	1	0	73	41.22135416666665
n207	190	1	0	75	40.85286458333331
n210	196	1	0	75	41.61197916666666
n209	192	1	0	77	41.208333333333314
n211	194	1	0	78	41.59505208333332
n232	206	1	0	42	42.707031249999986
n231	201	1	0	54	42.31901041666666
n230	198	1	0	63	41.98567708333333
n212	199	1	0	66	41.98828124999999
n214	202	1	0	69	42.31249999999999
n213	200	1	0	71	41.955729166666664
n219	204	1	0	71	42.68619791666665
n215	203	1	0	72	42.30078124999999
n216	205	1	0	75	42.683593749999986
n233	208	1	0	49	43.08333333333333
n235	212	1	0	54	43.79166666666668
n234	210	1	0	56	43.44531250000001
n236	213	1	0	56	43.96223958333335
n221	211	1	0	61	43.42317708333334
n222	218	1	0	66	43.80598958333334
n220	207	1	0	70	43.076822916666664
n218	215	1	0	70	43.79036458333334
n217	209	1	0	73	43.05598958333333
n263	224	1	0	39	45.15625000000004
n238	217	1	0	41	44.54166666666669
n237	214	1	0	58	44.16536458333336
n223	216	1	0	62	44.621093750000036
n239	220	1	0	63	44.97135416666671
n240	221	1	0	66	44.95963541666671
n224	219	1	0	68	44.610677083333364
n241	222	1	0	70	44.95963541666671
n242	223	1	0	78	45.29427083333338
n264	225	1	0	46	45.72526041666672
n266	227	1	0	54	46.49609375000004
n265	226	1	0	56	46.069010416666714
n267	228	1	0	56	46.66015625000004
n245	230	1	0	70	46.48567708333338
n246	231	1	0	78	46.47395833333338
n270	236	1	0	39	47.707031250000064
n269	232	1	0	46	47.23307291666672
