xml_id	midi_id	track	channel	pitch	onset
n16	34	1	0	36	2.0502076270833327
n17	0	1	0	48	2.049139254166666
n1	1	1	0	48	2.1506346812499997
n2	2	1	0	55	2.2435831249999993
n3	3	1	0	60	2.3194376020833327
n5	7	1	0	60	2.533112185416666
n4	5	1	0	64	2.3749929937499994
n6	8	1	0	67	2.590804322916666
n7	10	1	0	72	2.675205783333333
n9	12	1	0	72	2.8322566020833326
n8	11	1	0	76	2.725419310416666
n10	13	1	0	79	2.9059743333333325
n11	14	1	0	84	2.975418572916666
n13	17	1	0	84	3.090802847916666
n12	15	1	0	88	3.013879997916666
n14	18	1	0	91	3.166657324999999
n15	19	1	0	96	3.2414434291666656
n21	25	1	0	84	3.5662287958333314
n20	24	1	0	91	3.4903743187499985
n19	23	1	0	96	3.408109604166665
n18	21	1	0	100	3.3002039395833322
n25	29	1	0	72	3.8771253145833313
n24	28	1	0	79	3.801270837499998
n23	27	1	0	84	3.7446470729166648
n22	26	1	0	88	3.663450731249998
n29	35	1	0	60	4.202979054166665
n28	33	1	0	67	4.117509220833331
n27	32	1	0	72	4.049133354166664
n26	31	1	0	76	3.989304470833331
n33	39	1	0	48	4.527764420833331
n32	38	1	0	55	4.456183435416664
n31	37	1	0	60	4.39314943333333
n30	36	1	0	64	4.317294956249997
n51	50	1	0	29	4.632464966666664
n52	48	1	0	41	4.634601712499997
n36	40	1	0	48	4.72968690208333
n37	41	1	0	57	4.838660939583329
n38	42	1	0	60	4.89955819583333
n40	44	1	0	60	5.064087624999996
n39	43	1	0	65	4.966865689583329
n41	45	1	0	69	5.1548993229166635
n42	46	1	0	72	5.233958918749996
n44	49	1	0	72	5.4241292979166635
n43	47	1	0	77	5.2916510562499965
n45	52	1	0	81	5.479684689583331
n46	53	1	0	84	5.543787064583331
n48	55	1	0	84	5.682675543749998
n47	54	1	0	89	5.597205710416664
n49	57	1	0	93	5.728615579166664
n50	58	1	0	96	5.7948546999999975
n69	76	1	0	30	5.881392906249998
n70	75	1	0	42	5.876051041666664
n56	64	1	0	84	6.102546099999998
n55	63	1	0	93	6.024554877083331
n54	62	1	0	96	5.965794366666664
n53	59	1	0	100	5.857888702083331
n60	68	1	0	72	6.415579364583329
n59	67	1	0	81	6.332246277083329
n58	66	1	0	84	6.263870410416663
n57	65	1	0	88	6.194426170833331
n64	73	1	0	60	6.724339137499996
n63	72	1	0	69	6.644211168749996
n62	70	1	0	72	6.585450658333329
n61	69	1	0	76	6.511732927083329
n68	81	1	0	48	7.07583382708333
n67	79	1	0	57	6.982885383333329
n66	78	1	0	60	6.887800193749996
n65	77	1	0	62	6.827971310416663
n86	84	1	0	31	7.189081356249997
n87	83	1	0	43	7.1805343729166635
n71	82	1	0	47	7.394208956249997
n72	85	1	0	55	7.499977874999998
n73	86	1	0	59	7.5907895729166635
insertion	80	1	0	59	7.004252841666663
n75	88	1	0	59	7.776686460416664
n74	87	1	0	62	7.660233812499997
n76	89	1	0	67	7.868566531249997
