idx,matchtype,partid,ppartid
0,0,n16,29
1,0,n17,0
2,0,n1,1
3,0,n2,2
4,0,n3,3
5,0,n5,5
6,0,n4,4
7,0,n6,6
8,0,n7,7
9,0,n9,9
10,0,n8,8
11,0,n10,10
12,0,n11,11
13,0,n13,13
14,0,n12,12
15,0,n14,14
16,0,n15,15
17,0,n21,19
18,0,n20,18
19,0,n19,17
20,0,n18,16
21,0,n25,23
22,0,n24,22
23,0,n23,21
24,0,n22,20
25,0,n29,28
26,0,n28,26
27,0,n27,25
28,0,n26,24
29,0,n33,33
30,0,n32,32
31,0,n31,31
32,0,n30,30
33,0,n51,48
34,0,n52,45
35,0,n36,35
36,0,n37,36
37,0,n38,37
38,0,n40,39
39,0,n39,38
40,0,n41,40
41,0,n42,41
42,0,n44,43
43,0,n43,42
44,0,n45,44
45,0,n46,46
46,0,n48,49
47,0,n47,47
48,0,n49,50
49,0,n50,51
50,0,n69,66
51,0,n70,65
52,0,n56,55
53,0,n55,54
54,0,n54,53
55,0,n53,52
56,0,n60,59
57,0,n59,58
58,0,n58,57
59,0,n57,56
60,0,n64,63
61,0,n63,62
62,0,n62,61
63,0,n61,60
64,0,n68,69
65,0,n67,68
66,0,n66,67
67,0,n65,64
68,0,n86,78
69,0,n87,74
70,0,n71,70
71,0,n72,71
72,0,n73,72
73,0,n75,75
74,0,n74,73
75,0,n76,76
76,0,n77,77
77,0,n88,83
78,0,n89,80
79,0,n79,81
80,0,n78,79
81,0,n80,82
82,0,n81,84
83,0,n90,86
84,0,n91,87
85,0,n83,88
86,0,n82,85
87,0,n84,89
88,0,n85,90
89,0,n108,104
90,0,n109,103
91,0,n95,94
92,0,n94,93
93,0,n93,92
94,0,n92,91
95,0,n99,98
96,0,n98,97
97,0,n97,96
98,0,n96,95
99,0,n103,102
100,0,n102,101
101,0,n101,100
102,0,n100,99
103,0,n107,108
104,0,n106,107
105,0,n105,106
106,0,n104,105
107,0,n125,139
108,0,n126,137
109,0,n110,109
110,0,n111,110
111,0,n112,111
112,0,n114,113
113,0,n113,112
114,0,n115,114
115,0,n116,115
116,0,n118,117
117,0,n117,116
118,0,n119,118
119,0,n120,119
120,0,n122,121
121,0,n121,120
122,0,n123,122
123,0,n124,123
124,0,n130,127
125,0,n129,126
126,0,n128,125
127,0,n127,124
128,0,n134,131
129,0,n133,130
130,0,n132,129
131,0,n131,128
132,0,n138,135
133,0,n137,134
134,0,n136,133
135,0,n135,132
136,0,n142,141
137,0,n141,140
138,0,n140,138
139,0,n139,136
140,0,n160,172
141,0,n161,142
142,0,n145,143
143,0,n146,144
144,0,n147,145
145,0,n149,147
146,0,n148,146
147,0,n150,148
148,0,n151,149
149,0,n153,151
150,0,n152,150
151,0,n154,152
152,0,n155,153
153,0,n157,155
154,0,n156,154
155,0,n158,156
156,0,n159,157
157,0,n165,161
158,0,n164,160
159,0,n163,159
160,0,n162,158
161,0,n169,165
162,0,n168,164
163,0,n167,163
164,0,n166,162
165,0,n173,169
166,0,n172,168
167,0,n171,167
168,0,n170,166
169,0,n177,175
170,0,n176,174
171,0,n175,173
172,0,n174,171
173,0,n195,206
174,0,n196,205
175,0,n180,176
176,0,n181,177
177,0,n182,178
178,0,n184,180
179,0,n183,179
180,0,n185,181
181,0,n186,182
182,0,n188,184
183,0,n187,183
184,0,n189,185
185,0,n190,186
186,0,n192,189
187,0,n191,187
188,0,n193,190
189,0,n194,191
190,0,n200,195
191,0,n199,194
192,0,n198,193
193,0,n197,192
194,0,n204,199
195,0,n203,198
196,0,n202,197
197,0,n201,196
198,0,n208,203
199,0,n207,202
