onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.028125,0.057291668,48,100,1,0,0,-10.0,-10.0
1.2729167,2.534375,55,79,1,0,1,1.03125,0.0
1.34375,2.4635417,60,72,1,0,2,1.03125,0.0
1.41875,2.3885417,64,74,1,0,3,1.41875,1.0
1.515625,2.2916667,60,71,1,0,4,1.41875,1.0
1.596875,2.2104166,67,82,1,0,5,1.41875,1.0
1.6697917,2.1375,72,90,1,0,6,1.41875,1.0
1.7510417,2.05625,76,90,1,0,7,1.41875,1.0
1.8541666,1.953125,72,75,1,0,8,1.751042,2.0
1.90625,1.9010416,79,85,1,0,9,1.751042,2.0
1.9802083,1.8270833,84,81,1,0,10,1.751042,2.0
2.0572917,1.75,88,91,1,0,11,1.751042,2.0
2.1427083,1.6645833,84,82,1,0,12,2.057292,3.0
2.2291667,1.578125,91,93,1,0,13,2.057292,3.0
2.296875,1.5104166,96,90,1,0,14,2.057292,3.0
2.3739583,1.4333333,100,103,1,0,15,2.373958,4.0
2.4614584,1.3458333,96,78,1,0,16,2.373958,4.0
2.5,1.3072916,91,79,1,0,17,2.373958,4.0
2.5854166,1.221875,84,77,1,0,18,2.373958,4.0
2.69375,1.1135417,88,89,1,0,19,2.69375,5.0
2.7635417,1.04375,86,8,1,0,20,2.69375,5.0
2.7677083,1.0395833,84,75,1,0,21,2.69375,5.0
2.815625,0.9916667,79,85,1,0,22,2.69375,5.0
1.1885417,2.61875,48,69,1,0,23,1.03125,0.0
1.034375,2.7729166,36,95,1,0,24,1.03125,0.0
2.8947916,0.9125,72,88,1,0,25,2.69375,5.0
2.9989583,0.80833334,76,93,1,0,26,2.998958,6.0
3.0677083,0.7395833,72,85,1,0,27,2.998958,6.0
3.1458333,0.6614583,67,77,1,0,28,2.998958,6.0
3.2166667,0.590625,60,77,1,0,29,2.998958,6.0
3.328125,0.47916666,64,81,1,0,30,3.328125,7.0
3.4072917,0.4,60,76,1,0,31,3.328125,7.0
3.4770834,0.33020833,55,78,1,0,32,3.328125,7.0
3.5677083,0.23958333,48,74,1,0,33,3.328125,7.0
3.7979167,0.04375,48,62,1,0,34,3.6802084,8.0
3.8739583,1.153125,57,81,1,0,35,3.6802084,8.0
3.95,1.0770833,60,77,1,0,36,3.6802084,8.0
4.034375,0.9927083,65,81,1,0,37,4.034375,9.0
4.132292,0.89479166,60,82,1,0,38,4.034375,9.0
4.2135415,0.81354165,69,87,1,0,39,4.034375,9.0
4.2833333,0.74375,72,87,1,0,40,4.034375,9.0
4.3552084,0.671875,77,86,1,0,41,4.355208,10.0
3.678125,1.3489584,41,97,1,0,42,3.328125,7.0
3.6822917,1.3447917,29,90,1,0,43,3.6802084,8.0
4.461458,0.565625,72,82,1,0,44,4.355208,10.0
4.525,0.50208336,80,68,1,0,45,4.355208,10.0
4.570833,0.45625,79,48,1,0,46,4.355208,10.0
4.547917,0.47916666,81,79,1,0,47,4.355208,10.0
4.603125,0.42395833,84,82,1,0,48,4.355208,10.0
4.675,0.35208333,89,86,1,0,49,4.675,11.0
4.772917,0.25416666,84,83,1,0,50,4.675,11.0
4.852083,0.175,93,87,1,0,51,4.675,11.0
4.9260416,0.11145833,96,86,1,0,52,4.675,11.0
5.003125,0.083333336,100,97,1,0,53,4.994792,12.0
5.086458,1.3770833,96,74,1,0,54,4.994792,12.0
5.133333,1.3302083,93,78,1,0,55,4.994792,12.0
5.219792,1.24375,84,79,1,0,56,4.994792,12.0
5.325,1.1385417,88,94,1,0,57,5.325,13.0
5.3947916,1.06875,84,79,1,0,58,5.325,13.0
5.469792,0.99375,81,74,1,0,59,5.325,13.0
4.9802084,1.4833333,42,109,1,0,60,4.675,11.0
4.9947915,1.46875,30,91,1,0,61,4.675,11.0
5.5270834,0.93645835,72,82,1,0,62,5.325,13.0
5.646875,0.81666666,76,80,1,0,63,5.646875,14.0
5.6979165,0.765625,72,79,1,0,64,5.646875,14.0
5.7864585,0.6770833,69,77,1,0,65,5.646875,14.0
5.860417,0.603125,60,71,1,0,66,5.646875,14.0
5.9666667,0.496875,62,81,1,0,67,5.646875,14.0
6.034375,0.42916667,60,71,1,0,68,5.966667,15.0
6.1125,0.35104167,57,78,1,0,69,5.966667,15.0
6.19375,0.26979166,48,70,1,0,70,5.966667,15.0
6.445833,0.048958335,47,67,1,0,71,6.331771,16.0
6.328125,0.31041667,43,93,1,0,72,5.966667,15.0
6.5125,0.12604167,55,76,1,0,73,6.331771,16.0
6.592708,1.13125,59,74,1,0,74,6.331771,16.0
6.671875,1.0520834,62,83,1,0,75,6.671875,17.0
6.772917,0.95104164,59,82,1,0,76,6.671875,17.0
6.8489585,0.875,67,88,1,0,77,6.671875,17.0
6.925,0.79895836,71,90,1,0,78,6.671875,17.0
6.335417,1.3885417,31,80,1,0,79,6.331771,16.0
6.9947915,0.7291667,74,88,1,0,80,6.986458,18.0
6.9864583,0.7375,42,95,1,0,81,6.986458,18.0
7.09375,0.6302083,71,80,1,0,82,6.986458,18.0
7.211458,0.5125,77,43,1,0,83,6.986458,18.0
7.1739583,0.55,79,90,1,0,84,6.986458,18.0
7.2552085,0.46875,83,83,1,0,85,6.986458,18.0
7.3166666,0.40729168,86,96,1,0,86,6.986458,18.0
6.9864583,0.7375,30,86,1,0,87,6.986458,18.0
7.3239584,0.4,40,97,1,0,88,7.323958,19.0
7.413542,0.31041667,83,82,1,0,89,7.323958,19.0
7.5104165,0.21354167,91,92,1,0,90,7.323958,19.0
7.5895834,0.134375,93,91,1,0,91,7.323958,19.0
7.3333335,0.39895833,28,95,1,0,92,7.323958,19.0
7.6854167,0.09166667,98,99,1,0,93,7.323958,19.0
7.759375,0.096875,93,79,1,0,94,7.685417,20.0
7.8333335,0.063541666,90,76,1,0,95,7.685417,20.0
7.9,1.284375,84,77,1,0,96,7.685417,20.0
8.019792,1.1645833,86,87,1,0,97,8.019792,21.0
8.089583,1.0947917,81,80,1,0,98,8.019792,21.0
8.171875,1.0125,78,85,1,0,99,8.019792,21.0
8.234375,0.95,72,80,1,0,100,8.019792,21.0
7.6854167,1.4989583,26,96,1,0,101,7.323958,19.0
7.6833334,1.5010417,38,106,1,0,102,7.323958,19.0
8.352083,0.83229166,74,86,1,0,103,8.352083,22.0
8.419791,0.76458335,69,78,1,0,104,8.352083,22.0
8.495833,0.68854165,66,84,1,0,105,8.352083,22.0
8.573958,0.61041665,60,70,1,0,106,8.352083,22.0
8.679167,0.5052083,62,83,1,0,107,8.679167,23.0
8.758333,0.42604166,57,84,1,0,108,8.679167,23.0
8.8375,0.346875,54,76,1,0,109,8.679167,23.0
8.911458,0.27291667,48,71,1,0,110,8.679167,23.0
9.188541,0.063541666,48,65,1,0,111,9.058333,24.0
9.263541,1.1604167,53,79,1,0,112,9.058333,24.0
9.336458,1.0875,56,78,1,0,113,9.058333,24.0
9.425,0.99895835,62,83,1,0,114,9.425,25.0
9.525,0.8989583,60,81,1,0,115,9.425,25.0
9.604167,0.8197917,65,87,1,0,116,9.425,25.0
9.673959,0.75,68,90,1,0,117,9.425,25.0
9.763541,0.66041666,74,90,1,0,118,9.425,25.0
9.861459,0.5625,72,88,1,0,119,9.763542,26.0
9.940625,0.48333332,77,92,1,0,120,9.763542,26.0
10.010417,0.41354167,80,88,1,0,121,9.763542,26.0
10.092709,0.33125,86,92,1,0,122,10.092708,27.0
10.198958,0.225,84,81,1,0,123,10.092708,27.0
10.26875,0.15520833,89,88,1,0,124,10.092708,27.0
10.339583,0.11875,92,87,1,0,125,10.092708,27.0
10.423959,0.092708334,98,104,1,0,126,10.423958,28.0
10.507292,1.3802084,91,91,1,0,127,10.423958,28.0
10.557292,1.3302083,89,80,1,0,128,10.423958,28.0
10.645833,1.2416667,83,82,1,0,129,10.423958,28.0
10.758333,1.1291667,86,94,1,0,130,10.758333,29.0
10.84375,1.04375,79,84,1,0,131,10.758333,29.0
10.916667,0.97083336,77,89,1,0,132,10.758333,29.0
10.986459,0.9010417,71,78,1,0,133,10.758333,29.0
9.061459,2.8260417,31,93,1,0,134,9.058333,24.0
11.102083,0.78541666,74,89,1,0,135,11.102083,30.0
9.055208,2.8322916,43,101,1,0,136,8.679167,23.0
11.178125,0.709375,67,82,1,0,137,11.102083,30.0
11.254167,0.6333333,65,71,1,0,138,11.102083,30.0
11.329166,0.55833334,59,74,1,0,139,11.102083,30.0
11.4375,0.45,63,82,1,0,140,11.4375,31.0
11.511458,0.37604168,55,81,1,0,141,11.4375,31.0
11.594791,0.29270834,53,74,1,0,142,11.4375,31.0
11.688541,0.19895834,47,72,1,0,143,11.4375,31.0
11.809375,0.078125,48,108,1,0,144,11.4375,31.0
12.035417,1.1385417,55,83,1,0,145,11.813021,32.0
12.114583,1.059375,60,85,1,0,146,11.813021,32.0
12.192708,0.98125,64,90,1,0,147,12.192708,33.0
12.295834,0.878125,60,77,1,0,148,12.192708,33.0
12.372916,0.80104166,67,91,1,0,149,12.192708,33.0
12.444792,0.7291667,72,90,1,0,150,12.192708,33.0
12.513541,0.66041666,76,85,1,0,151,12.192708,33.0
12.607291,0.56666666,72,85,1,0,152,12.513542,34.0
12.689584,0.484375,79,95,1,0,153,12.513542,34.0
12.767709,0.40625,84,85,1,0,154,12.513542,34.0
12.839583,0.334375,88,88,1,0,155,12.839583,35.0
12.929167,0.24479167,84,78,1,0,156,12.839583,35.0
13.009375,0.16458334,91,86,1,0,157,12.839583,35.0
