idx,matchtype,partid,ppartid
0,0,n16,24
1,0,n17,0
2,0,n1,23
3,0,n2,1
4,0,n3,2
5,0,n5,4
6,0,n4,3
7,0,n6,5
8,0,n7,6
9,0,n9,8
10,0,n8,7
11,0,n10,9
12,0,n11,10
13,0,n13,12
14,0,n12,11
15,0,n14,13
16,0,n15,14
17,0,n21,18
18,0,n20,17
19,0,n19,16
20,0,n18,15
21,0,n25,25
22,0,n24,22
23,0,n23,21
24,0,n22,19
25,0,n29,29
26,0,n28,28
27,0,n27,27
28,0,n26,26
29,0,n33,33
30,0,n32,32
31,0,n31,31
32,0,n30,30
33,0,n51,43
34,0,n52,42
35,0,n36,34
36,0,n37,35
37,0,n38,36
38,0,n40,38
39,0,n39,37
40,0,n41,39
41,0,n42,40
42,0,n44,44
43,0,n43,41
44,0,n45,47
45,0,n46,48
46,0,n48,50
47,0,n47,49
48,0,n49,51
49,0,n50,52
50,0,n69,61
51,0,n70,60
52,0,n56,56
53,0,n55,55
54,0,n54,54
55,0,n53,53
56,0,n60,62
57,0,n59,59
58,0,n58,58
59,0,n57,57
60,0,n64,66
61,0,n63,65
62,0,n62,64
63,0,n61,63
64,0,n68,70
65,0,n67,69
66,0,n66,68
67,0,n65,67
68,0,n86,79
69,0,n87,72
70,0,n71,71
71,0,n72,73
72,0,n73,74
73,0,n75,76
74,0,n74,75
75,0,n76,77
76,0,n77,78
77,0,n88,87
78,0,n89,81
79,0,n79,82
80,0,n78,80
81,0,n80,84
82,0,n81,85
83,0,n90,92
84,0,n91,88
85,0,n83,89
86,0,n82,86
87,0,n84,90
88,0,n85,91
89,0,n108,101
90,0,n109,102
91,0,n95,96
92,0,n94,95
93,0,n93,94
94,0,n92,93
95,0,n99,100
96,0,n98,99
97,0,n97,98
98,0,n96,97
99,0,n103,106
100,0,n102,105
101,0,n101,104
102,0,n100,103
103,0,n107,110
104,0,n106,109
105,0,n105,108
106,0,n104,107
107,0,n125,134
108,0,n126,136
109,0,n110,111
110,0,n111,112
111,0,n112,113
112,0,n114,115
113,0,n113,114
114,0,n115,116
115,0,n116,117
116,0,n118,119
117,0,n117,118
118,0,n119,120
119,0,n120,121
120,0,n122,123
121,0,n121,122
122,0,n123,124
123,0,n124,125
124,0,n130,129
125,0,n129,128
126,0,n128,127
127,0,n127,126
128,0,n134,133
129,0,n133,132
130,0,n132,131
131,0,n131,130
132,0,n138,139
133,0,n137,138
134,0,n136,137
135,0,n135,135
136,0,n142,143
137,0,n141,142
138,0,n140,141
139,0,n139,140
140,0,n160,168
141,0,n161,144
142,0,n145,166
143,0,n146,145
144,0,n147,146
145,0,n149,148
146,0,n148,147
147,0,n150,149
148,0,n151,150
149,0,n153,152
150,0,n152,151
151,0,n154,153
152,0,n155,154
153,0,n157,156
154,0,n156,155
155,0,n158,157
156,0,n159,158
157,0,n165,162
158,0,n164,161
159,0,n163,160
160,0,n162,159
161,0,n169,167
162,0,n168,165
163,0,n167,164
164,0,n166,163
165,0,n173,172
166,0,n172,171
167,0,n171,170
