onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,8.0,0.0,8.0,0,32,36,5,n16,0.0,1.510415
0.0,8.0,0.0,8.0,0,32,48,5,n17,0.0,1.510415
0.25,0.25,0.25,0.25,1,1,48,1,n1,0.0,1.510415
0.5,0.25,0.5,0.25,2,1,55,1,n2,0.0,1.510415
0.75,0.25,0.75,0.25,3,1,60,1,n3,0.0,1.510415
1.0,0.25,1.0,0.25,4,1,64,1,n4,1.0,1.996526
1.25,0.25,1.25,0.25,5,1,60,1,n5,1.0,1.996526
1.5,0.25,1.5,0.25,6,1,67,1,n6,1.0,1.996526
1.75,0.25,1.75,0.25,7,1,72,1,n7,1.0,1.996526
2.0,0.25,2.0,0.25,8,1,76,1,n8,2.0,2.271632
2.25,0.25,2.25,0.25,9,1,72,1,n9,2.0,2.271632
2.5,0.25,2.5,0.25,10,1,79,1,n10,2.0,2.271632
2.75,0.25,2.75,0.25,11,1,84,1,n11,2.0,2.271632
3.0,0.25,3.0,0.25,12,1,88,1,n12,3.0,2.566771
3.25,0.25,3.25,0.25,13,1,84,1,n13,3.0,2.566771
3.5,0.25,3.5,0.25,14,1,91,1,n14,3.0,2.566771
3.75,0.25,3.75,0.25,15,1,96,1,n15,3.0,2.566771
4.0,0.25,4.0,0.25,16,1,100,1,n18,4.0,2.840542
4.25,0.25,4.25,0.25,17,1,96,1,n19,4.0,2.840542
4.5,0.25,4.5,0.25,18,1,91,1,n20,4.0,2.840542
4.75,0.25,4.75,0.25,19,1,84,1,n21,4.0,2.840542
5.0,0.25,5.0,0.25,20,1,88,1,n22,5.0,3.163725
5.25,0.25,5.25,0.25,21,1,84,1,n23,5.0,3.163725
5.5,0.25,5.5,0.25,22,1,79,1,n24,5.0,3.163725
5.75,0.25,5.75,0.25,23,1,72,1,n25,5.0,3.163725
6.0,0.25,6.0,0.25,24,1,76,1,n26,6.0,3.480232
6.25,0.25,6.25,0.25,25,1,72,1,n27,6.0,3.480232
6.5,0.25,6.5,0.25,26,1,67,1,n28,6.0,3.480232
6.75,0.25,6.75,0.25,27,1,60,1,n29,6.0,3.480232
7.0,0.25,7.0,0.25,28,1,64,1,n30,7.0,3.834131
7.25,0.25,7.25,0.25,29,1,60,1,n31,7.0,3.834131
7.5,0.25,7.5,0.25,30,1,55,1,n32,7.0,3.834131
7.75,0.25,7.75,0.25,31,1,48,1,n33,7.0,3.834131
8.0,4.0,8.0,4.0,32,16,29,5,n51,8.0,4.1419563
8.0,4.0,8.0,4.0,32,16,41,5,n52,8.0,4.1419563
8.25,0.25,8.25,0.25,33,1,48,1,n36,8.0,4.1419563
