xml_id	midi_id	track	channel	pitch	onset
n16	28	0	0	36	1.50774421875
n17	0	0	0	48	1.50774421875
n1	1	0	0	48	1.6720068750000001
n2	2	0	0	55	1.7654896875000001
n3	3	0	0	60	1.8402759375
n5	5	0	0	60	2.0058740624999998
n4	4	0	0	64	1.8936946875
n6	6	0	0	67	2.0806603125
n7	7	0	0	72	2.1581175
n9	9	0	0	72	2.3210446875
n8	8	0	0	76	2.216878125
n10	10	0	0	79	2.3878181250000003
n11	11	0	0	84	2.4559270312500003
n13	14	0	0	84	2.6068350000000002
n12	12	0	0	88	2.5240359375000003
n14	15	0	0	91	2.6816212500000005
n15	16	0	0	96	2.7791104687500003
n21	21	0	0	84	3.028843124999999
n20	20	0	0	91	2.9473795312499993
n19	19	0	0	96	2.8926253124999994
n18	18	0	0	100	2.7964715625
n25	25	0	0	72	3.3079560937499983
n24	24	0	0	79	3.2532018749999985
n23	23	0	0	84	3.1757446874999986
n22	22	0	0	88	3.1209904687499987
n29	31	0	0	60	3.623126718749998
n28	30	0	0	67	3.5723789062499978
n27	29	0	0	72	3.470883281249998
n26	27	0	0	76	3.4161290624999983
n33	35	0	0	48	3.9569939062499975
n32	34	0	0	55	3.8915559374999975
n31	33	0	0	60	3.7887248437499976
n30	32	0	0	64	3.7339706249999978
n51	52	0	0	29	4.091876249999998
n52	44	0	0	41	4.085198906249998
n36	36	0	0	48	4.234771406249999
n37	37	0	0	57	4.32291234375
n38	38	0	0	60	4.387014843749999
n40	40	0	0	60	4.572645
n39	39	0	0	65	4.4845040625
n41	41	0	0	69	4.663456875
n42	42	0	0	72	4.723552968749999
n44	45	0	0	72	4.909183124999998
n43	deletion
n45	46	0	0	81	4.983969374999998
n46	47	0	0	84	5.042729999999999
n48	50	0	0	84	5.186960624999999
n47	48	0	0	89	5.126864531249999
n49	51	0	0	93	5.2697596875
n50	53	0	0	96	5.3498878125
n69	69	0	0	30	5.393958281249999
n70	68	0	0	42	5.3899518749999995
n56	58	0	0	84	5.615646093749999
n55	57	0	0	93	5.526169687499998
n54	56	0	0	96	5.4767573437499975
n53	55	0	0	100	5.392622812499999
n60	62	0	0	72	5.933487656249999
n59	61	0	0	81	5.872056093749999
n58	60	0	0	84	5.790592499999999
n57	59	0	0	88	5.699780624999999
n64	67	0	0	60	6.2246198437499975
n63	66	0	0	69	6.160517343749998
n62	65	0	0	72	6.089737499999998
n61	63	0	0	76	6.030976874999999
n68	73	0	0	48	6.593209218749997
n67	72	0	0	57	6.495719999999997
n66	71	0	0	60	6.402237187499997
n65	70	0	0	62	6.334128281249997
n86	81	0	0	31	6.758807343749997
n87	77	0	0	43	6.754800937499997
n71	75	0	0	47	6.917728124999997
n72	76	0	0	55	7.004533593749998
n73	78	0	0	59	7.072642499999999
n75	80	0	0	59	7.286317499999999
n74	79	0	0	62	7.164789843749999
n76	82	0	0	67	7.371787499999999
n77	83	0	0	71	7.445238281249999
n88	89	0	0	30	7.466605781249998
n89	84	0	0	42	7.458592968749999
n79	87	0	0	71	7.629532968749999
n78	85	0	0	74	7.514682656249999
n80	88	0	0	79	7.716338437499998
n81	deletion
n90	97	0	0	28	7.8458789062499985
n91	92	0	0	40	7.843207968749999
n83	93	0	0	83	7.955387343749999
n96	103	0	0	86	8.560354687500004
n82	deletion
n84	95	0	0	91	8.138346562499999
n85	deletion
n108	108	0	0	26	8.221145625
n109	110	0	0	38	8.221145625
n95	102	0	0	84	8.457523593750002
n94	101	0	0	90	8.382737343750001
n93	99	0	0	93	8.315963906250001
n92	98	0	0	98	8.221145625
n99	107	0	0	72	8.786048906250004
n98	106	0	0	78	8.697907968750005
n97	105	0	0	81	8.621786250000005
n103	113	0	0	60	9.119916093750001
n102	112	0	0	66	9.031775156250003
n101	111	0	0	69	8.966337187500002
n100	109	0	0	74	8.880867187500003
n107	117	0	0	48	9.467137968750002
n106	116	0	0	54	9.370984218750001
n105	115	0	0	57	9.29619796875
n104	114	0	0	62	9.214734375
n125	144	0	0	31	9.596678437500003
n126	146	0	0	43	9.590001093750002
n110	118	0	0	48	9.710193281250003
n111	119	0	0	53	9.798334218750004
n112	120	0	0	56	9.873120468750004
n114	122	0	0	60	10.060086093750005
n113	121	0	0	62	9.961261406250005
n115	123	0	0	65	10.128195000000005
n116	124	0	0	68	10.206987656250005
n118	126	0	0	72	10.369914843750005
n117	125	0	0	74	10.273761093750005
n119	127	0	0	77	10.434017343750005
n120	128	0	0	80	10.496784375000006
n122	130	0	0	84	10.661047031250007
n121	129	0	0	86	10.560886875000007
n123	131	0	0	89	10.729155937500007
n124	132	0	0	92	10.787916562500007
n130	136	0	0	83	11.068365000000007
n129	135	0	0	89	10.997585156250006
n128	134	0	0	91	10.937489062500006
n127	133	0	0	98	10.865373750000007
n134	140	0	0	71	11.380864687500008
n133	139	0	0	77	11.302072031250008
n132	138	0	0	79	11.233963125000008
n131	137	0	0	86	11.163183281250008
n138	145	0	0	59	11.696035312500006
n137	143	0	0	65	11.615907187500005
n136	142	0	0	67	11.547798281250007
n135	141	0	0	74	11.478353906250007
n142	151	0	0	47	12.114037031250005
n141	150	0	0	53	12.017883281250006
n140	149	0	0	55	11.915052187500006
n139	148	0	0	63	11.826911250000006
n160	183	0	0	36	12.313021875000004
n161	152	0	0	48	12.313021875000004
n145	181	0	0	48	12.777765000000008
n146	154	0	0	55	12.602818593750005
n147	155	0	0	60	12.665585625000006
n149	157	0	0	60	12.859228593750009
n148	156	0	0	64	12.749720156250007
n150	159	0	0	67	12.92466656250001
n151	160	0	0	72	12.988769062500008
n153	163	0	0	72	13.155702656250009
n152	161	0	0	76	13.062219843750011
n154	164	0	0	79	13.22781796875001
