idx,matchtype,partid,ppartid
0,0,n11,3
1,0,n13,5
2,0,n12,4
3,0,n10,2
4,0,n9,1
5,0,n8,0
6,0,n1,19
7,0,n2,23
8,0,n3,22
9,0,n4,21
10,0,n5,20
11,0,n15,7
12,0,n17,9
13,0,n16,8
14,0,n14,6
15,0,n19,11
16,0,n21,13
17,0,n20,12
18,0,n18,10
19,0,n31,15
20,0,n33,17
21,0,n32,16
22,0,n30,14
23,0,n35,24
24,0,n37,26
25,0,n36,25
26,0,n34,18
27,0,n41,31
28,1,n39,undefined
29,0,n38,27
30,0,n42,33
31,1,n40,undefined
32,0,n43,34
33,0,n45,39
34,0,n44,35
35,0,n28,36
36,0,n24,28
37,0,n25,29
38,0,n26,32
39,0,n29,38
40,0,n27,30
41,0,n51,41
42,0,n53,43
43,0,n52,42
44,0,n46,63
45,0,n47,65
46,0,n48,62
47,0,n49,61
48,0,n55,45
49,0,n57,47
50,0,n56,46
51,0,n54,44
52,0,n59,49
53,0,n61,51
54,0,n60,50
55,0,n58,48
56,0,n63,53
57,0,n65,55
58,0,n64,54
59,0,n62,52
60,0,n75,57
61,0,n77,59
62,0,n76,58
63,0,n74,56
64,0,n79,64
65,0,n81,67
66,0,n80,66
67,0,n78,60
68,0,n83,69
69,0,n85,74
70,0,n87,76
71,0,n82,68
72,0,n86,73
73,1,n84,undefined
74,0,n89,80
75,0,n88,77
76,2,undefined,75
77,0,n72,78
78,0,n68,70
79,0,n69,72
80,0,n90,84
81,0,n111,90
82,1,n70,undefined
83,0,n73,79
84,0,n71,71
85,0,n108,82
86,0,n91,83
87,0,n110,88
88,0,n109,86
89,0,n92,81
90,0,n93,85
91,0,n95,89
92,0,n94,87
93,0,n112,92
94,0,n114,96
95,0,n113,94
96,0,n97,93
97,0,n99,97
98,0,n98,95
99,0,n96,91
100,0,n116,101
101,0,n118,104
102,0,n117,102
103,0,n115,99
104,0,n101,100
105,0,n103,105
106,0,n102,103
107,0,n100,98
108,0,n120,110
109,0,n122,113
110,0,n121,111
111,0,n119,108
112,0,n105,109
113,0,n107,115
114,0,n106,112
115,0,n104,107
116,0,n140,119
117,0,n142,123
118,0,n141,120
119,0,n139,117
120,0,n124,118
121,0,n126,124
122,0,n125,121
123,0,n123,116
124,0,n144,128
125,0,n146,132
126,0,n145,129
127,0,n143,126
128,0,n128,127
129,0,n130,133
130,0,n129,130
131,0,n127,125
132,0,n148,137
133,0,n150,142
134,0,n149,139
135,0,n147,135
136,0,n132,136
137,0,n134,141
138,0,n133,138
139,0,n131,134
140,0,n152,146
141,0,n154,150
142,0,n153,148
143,0,n151,144
144,0,n136,145
145,0,n138,149
146,0,n137,147
147,0,n135,143
148,0,n172,154
149,0,n171,152
150,0,n174,158
151,0,n173,156
152,0,n156,153
153,0,n155,151
154,0,n158,157
155,0,n157,155
156,0,n176,161
157,0,n178,167
158,0,n175,160
159,0,n177,163
160,0,n160,162
161,0,n162,165
162,0,n159,159
163,0,n161,164
164,0,n180,169
165,0,n179,166
166,0,n182,174
167,0,n181,171
168,0,n164,170
169,0,n163,168
170,0,n166,173
171,0,n165,172
172,0,n184,177
173,0,n186,182
174,0,n183,175
175,0,n185,181
176,0,n168,178
177,0,n170,183
178,0,n167,176
179,0,n169,180
180,0,n204,186
181,0,n203,184
182,0,n188,188
183,0,n206,192
184,0,n187,185
185,0,n205,189
186,0,n190,191
187,0,n189,190
188,0,n208,195
189,0,n210,200
190,0,n207,194
191,0,n209,198
192,0,n192,196
193,0,n194,199
194,0,n191,193
195,0,n193,197
196,0,n212,204
197,0,n214,208
198,0,n211,201
199,0,n213,205
200,0,n196,203
201,0,n198,207
202,0,n195,202
203,0,n197,206
204,0,n216,211
205,0,n218,215
206,0,n215,209
207,0,n217,213
208,0,n200,212
209,0,n202,216
210,0,n199,210
211,0,n201,214
212,0,n223,218
213,0,n224,219
214,0,n219,217
215,0,n225,220
216,0,n226,221
217,0,n227,222
218,0,n228,223
219,0,n229,224
220,0,n230,225
221,0,n232,227
222,0,n234,229
223,0,n233,228
224,0,n231,226
225,1,n238,undefined
226,1,n237,undefined
227,0,n236,231
228,1,n235,undefined
229,0,n248,235
230,0,n249,236
231,0,n250,237
232,0,n251,238
233,0,n255,242
234,0,n254,241
235,0,n253,240
236,0,n252,239
237,0,n256,243
238,0,n257,244
239,0,n258,245
240,0,n259,253
241,0,n242,248
242,0,n243,246
243,0,n263,257
244,0,n262,256
245,0,n261,255
246,0,n260,254
247,0,n244,250
248,0,n246,258
249,0,n245,252
250,0,n247,259
251,0,n280,260
252,0,n281,261
253,0,n282,262
254,0,n283,264
255,0,n264,263
256,0,n265,265
257,0,n284,266
258,0,n285,267
259,0,n286,268
260,0,n287,269
261,0,n289,271
262,0,n291,281
263,0,n290,275
264,0,n288,270
