idx,matchtype,partid,ppartid
0,0,n11,3
1,0,n13,5
2,0,n12,4
3,0,n10,2
4,0,n9,1
5,0,n8,0
6,0,n1,24
7,0,n2,26
8,0,n3,27
9,0,n4,25
10,0,n5,23
11,0,n15,7
12,0,n17,9
13,0,n16,8
14,0,n14,6
15,0,n19,11
16,0,n21,13
17,0,n20,12
18,0,n18,10
19,0,n31,15
20,0,n33,17
21,0,n32,16
22,0,n30,14
23,0,n35,19
24,0,n37,21
25,0,n36,20
26,0,n34,18
27,0,n39,28
28,0,n41,30
29,0,n38,22
30,0,n40,29
31,0,n43,35
32,0,n45,42
33,0,n42,31
34,0,n44,38
35,0,n28,39
36,0,n24,33
37,0,n25,36
38,0,n26,34
39,0,n29,40
40,0,n27,32
41,0,n51,43
42,0,n53,45
43,0,n52,44
44,0,n46,68
45,0,n47,69
46,0,n48,70
47,0,n49,67
48,0,n55,47
49,0,n57,49
50,0,n56,48
51,0,n54,46
52,0,n59,51
53,0,n61,53
54,0,n60,52
55,0,n58,50
56,0,n63,55
57,0,n65,57
58,0,n64,56
59,0,n62,54
60,0,n75,60
61,0,n77,62
62,0,n76,61
63,0,n74,59
64,0,n79,64
65,0,n81,66
66,0,n80,65
67,0,n78,63
68,0,n83,72
69,0,n85,74
70,0,n82,71
71,0,n84,73
72,0,n87,78
73,0,n89,85
74,0,n86,75
75,0,n88,82
76,0,n72,84
77,2,undefined,81
78,0,n68,77
79,0,n69,80
80,0,n70,79
81,0,n73,83
82,0,n71,76
83,0,n108,86
84,0,n90,87
85,0,n91,88
86,0,n110,93
87,0,n109,91
88,0,n92,90
89,0,n93,89
90,0,n95,94
91,0,n94,92
92,0,n112,97
93,0,n114,100
94,0,n113,99
95,0,n111,95
96,0,n97,98
97,0,n99,102
98,0,n98,101
99,0,n96,96
100,0,n116,105
101,0,n118,108
102,0,n117,107
103,0,n115,103
104,0,n101,106
105,0,n103,110
106,0,n102,109
107,0,n100,104
108,0,n120,113
109,0,n122,116
110,0,n121,115
111,0,n119,111
112,0,n105,114
113,0,n107,118
114,0,n106,117
115,0,n104,112
116,0,n140,121
117,0,n142,124
118,0,n141,123
119,0,n139,119
120,0,n124,122
121,0,n126,126
122,0,n125,125
123,0,n123,120
124,0,n144,129
125,0,n146,132
126,0,n145,131
127,0,n143,127
128,0,n128,130
129,0,n130,134
130,0,n129,133
131,0,n127,128
132,0,n148,137
133,0,n150,140
134,0,n149,139
135,0,n147,135
136,0,n132,138
137,0,n134,142
138,0,n133,141
139,0,n131,136
140,0,n152,145
141,0,n154,149
142,0,n153,147
143,0,n151,143
144,0,n136,146
145,0,n138,150
146,0,n137,148
147,0,n135,144
148,0,n172,154
149,0,n171,152
150,0,n174,157
151,0,n173,155
152,0,n156,153
153,0,n155,151
154,0,n158,158
155,0,n157,156
156,0,n176,161
157,0,n178,165
158,0,n175,159
159,0,n177,163
160,0,n160,162
161,0,n162,166
162,0,n159,160
163,0,n161,164
164,0,n180,169
165,0,n179,168
166,0,n182,173
167,0,n181,171
168,0,n164,170
169,0,n163,167
170,0,n166,174
171,0,n165,172
172,0,n184,177
173,0,n186,181
174,0,n183,175
175,0,n185,179
176,0,n168,178
177,0,n170,182
178,0,n167,176
179,0,n169,180
180,0,n204,186
181,0,n203,184
182,0,n188,185
183,0,n206,189
184,0,n187,183
185,0,n205,187
186,0,n190,190
187,0,n189,188
188,0,n208,193
189,0,n210,197
190,0,n207,192
191,0,n209,195
192,0,n192,194
193,0,n194,198
194,0,n191,191
195,0,n193,196
196,0,n212,201
197,0,n214,205
198,0,n213,203
199,1,n211,undefined
200,0,n196,202
201,0,n198,206
202,0,n195,200
203,0,n197,204
204,0,n216,210
205,0,n218,213
206,0,n215,207
207,0,n217,211
208,0,n200,209
209,0,n202,214
210,0,n199,208
211,0,n201,212
212,0,n223,215
213,0,n224,217
214,0,n219,216
215,0,n225,218
216,0,n226,219
217,0,n227,220
218,0,n228,221
219,0,n229,222
220,0,n230,223
221,0,n232,225
222,0,n234,227
223,0,n233,226
224,0,n231,224
225,0,n238,231
226,0,n237,230
227,0,n236,229
228,0,n235,228
229,0,n248,232
230,0,n249,233
231,0,n250,234
232,0,n251,235
233,0,n255,239
234,0,n257,241
235,0,n254,238
236,0,n253,237
237,0,n252,236
238,0,n256,240
239,0,n258,243
240,0,n259,246
241,0,n242,242
242,0,n243,244
243,0,n263,253
244,0,n262,250
245,0,n261,249
246,0,n260,248
247,0,n244,245
248,0,n246,251
249,0,n245,247
250,0,n247,252
251,0,n280,254
252,0,n281,255
253,0,n282,258
254,0,n283,259
255,0,n264,257
256,0,n265,256
257,0,n284,260
258,0,n285,261
259,0,n286,262
260,0,n287,263
261,0,n291,272
262,0,n290,267
263,0,n289,265
264,0,n288,264
265,0,n268,269
266,0,n269,270
