idx,matchtype,partid,ppartid
0,0,n11,3
1,0,n13,5
2,0,n12,4
3,0,n10,2
4,0,n9,1
5,0,n8,0
6,0,n1,22
7,0,n2,23
8,0,n3,25
9,0,n4,24
10,0,n5,21
11,0,n15,7
12,0,n17,9
13,0,n16,8
14,0,n14,6
15,0,n19,11
16,0,n21,13
17,0,n20,12
18,0,n18,10
19,0,n31,15
20,0,n33,17
21,0,n32,16
22,0,n30,14
23,0,n35,19
24,0,n37,26
25,0,n36,20
26,0,n34,18
27,0,n39,28
28,0,n41,30
29,0,n38,27
30,0,n40,29
31,0,n43,36
32,0,n45,41
33,0,n42,35
34,0,n44,37
35,0,n28,38
36,0,n24,32
37,0,n25,34
38,0,n26,31
39,0,n29,39
40,0,n27,33
41,0,n51,42
42,0,n53,45
43,0,n52,44
44,0,n46,66
45,0,n47,67
46,0,n48,68
47,0,n49,64
48,0,n55,47
49,0,n57,49
50,0,n56,48
51,0,n54,46
52,0,n59,51
53,0,n61,53
54,0,n60,52
55,0,n58,50
56,0,n63,55
57,0,n65,57
58,0,n64,56
59,0,n62,54
60,0,n75,59
61,0,n77,61
62,0,n76,60
63,0,n74,58
64,0,n79,63
65,0,n81,69
66,0,n80,65
67,0,n78,62
68,0,n83,71
69,0,n85,74
70,0,n82,70
71,0,n84,72
72,0,n87,79
73,0,n89,83
74,0,n86,78
75,0,n88,80
76,0,n72,81
77,0,n68,75
78,0,n69,77
79,0,n70,73
80,0,n73,82
81,0,n71,76
82,0,n108,84
83,0,n90,86
84,0,n91,85
85,0,n110,92
86,0,n109,89
87,0,n92,88
88,0,n93,87
89,0,n95,91
90,0,n94,90
91,0,n112,96
92,0,n114,100
93,0,n113,97
94,0,n111,94
95,0,n97,95
96,0,n99,99
97,0,n98,98
98,0,n96,93
99,0,n116,104
100,0,n118,108
101,0,n117,105
102,0,n115,102
103,0,n101,103
104,0,n103,107
105,0,n102,106
106,0,n100,101
107,0,n120,112
108,0,n122,116
109,0,n121,113
110,0,n119,110
111,0,n105,111
112,0,n107,115
113,0,n106,114
114,0,n104,109
115,0,n140,120
116,0,n142,123
117,0,n141,121
118,0,n139,118
119,0,n124,119
120,0,n126,124
121,0,n125,122
122,0,n123,117
123,0,n144,128
124,0,n146,131
125,0,n145,129
126,0,n143,126
127,0,n128,127
128,0,n130,132
129,0,n129,130
130,0,n127,125
131,0,n148,135
132,0,n150,139
133,0,n149,137
134,0,n147,134
135,0,n132,136
136,0,n134,140
137,0,n133,138
138,0,n131,133
139,0,n152,143
140,0,n154,147
141,0,n153,145
142,0,n151,142
143,0,n136,144
144,0,n138,148
145,0,n137,146
146,0,n135,141
147,0,n172,152
148,0,n171,150
149,0,n174,156
150,0,n173,154
151,0,n156,151
152,0,n155,149
153,0,n158,155
154,0,n157,153
155,0,n176,160
156,0,n178,164
157,0,n175,158
158,0,n177,161
159,0,n160,159
160,0,n162,163
161,0,n159,157
162,0,n161,162
163,0,n180,168
164,0,n179,166
165,0,n182,172
166,0,n181,169
167,0,n164,167
168,0,n163,165
169,0,n166,171
170,0,n165,170
171,0,n184,176
172,0,n186,180
173,0,n183,173
174,0,n185,177
175,0,n168,175
176,0,n170,179
177,0,n167,174
178,0,n169,178
179,0,n204,182
180,0,n203,184
181,0,n188,183
182,0,n206,188
183,0,n187,181
184,0,n205,185
185,0,n190,187
186,0,n189,186
187,0,n208,191
188,0,n210,195
189,0,n207,189
190,0,n209,193
191,0,n192,192
192,0,n194,196
193,0,n191,190
194,0,n193,194
195,0,n212,200
196,0,n214,204
197,0,n211,198
198,0,n213,201
199,0,n196,199
200,0,n198,203
201,0,n195,197
202,0,n197,202
203,0,n216,208
204,0,n218,212
205,0,n215,206
206,0,n217,209
207,0,n200,207
208,0,n202,211
209,0,n199,205
210,0,n201,210
211,0,n223,214
212,0,n224,215
213,0,n219,213
214,0,n225,216
215,0,n226,217
216,0,n227,218
217,0,n228,219
218,0,n229,220
219,0,n230,221
220,0,n232,223
221,0,n234,225
222,0,n233,224
223,0,n231,222
224,0,n238,229
225,0,n237,228
226,0,n236,227
227,0,n235,226
228,0,n248,230
229,0,n249,231
230,0,n250,233
231,0,n251,234
232,0,n255,238
233,0,n254,237
234,0,n253,236
235,0,n252,235
236,0,n256,239
237,0,n257,240
238,0,n258,244
239,0,n259,245
240,0,n242,241
241,0,n243,243
242,0,n263,253
243,0,n262,251
244,0,n261,249
245,0,n260,248
246,0,n244,247
247,0,n246,250
248,0,n245,246
249,0,n247,252
250,0,n280,254
251,0,n281,255
252,0,n282,256
253,0,n283,257
254,0,n264,263
255,0,n265,261
256,0,n284,258
257,0,n285,259
258,0,n286,260
259,0,n287,262
260,0,n291,275
261,0,n290,268
262,0,n289,265
263,0,n288,264
264,0,n268,267
265,0,n269,269
266,0,n270,270
