xml_id	midi_id	track	channel	pitch	onset
n25	1	0	0	45	2.0178932812499997
n27	deletion
n28	7	0	0	57	2.3918245312499993
n17	0	0	0	60	2.013886875
n29	6	0	0	60	2.3757989062499996
n19	8	0	0	64	2.3878181249999995
n18	deletion
n1	2	0	0	69	2.013886875
n20	9	0	0	69	2.398501874999999
n2	3	0	0	70	2.1207243749999996
n3	4	0	0	71	2.2061943749999995
n4	5	0	0	72	2.2876579687499996
n5	10	0	0	73	2.3878181249999995
n6	11	0	0	74	2.4786299999999986
n7	12	0	0	75	2.582796562499999
n8	13	0	0	76	2.6869631249999992
n31	15	0	0	45	2.7924651562499996
n21	14	0	0	69	2.7817814062499995
n22	deletion
n9	16	0	0	77	2.7817814062499995
n10	17	0	0	78	2.8926253124999994
n11	18	0	0	79	2.9861081249999994
n12	19	0	0	80	3.0795909375
n33	22	0	0	53	3.167731874999999
n34	23	0	0	57	3.175744687499999
n35	20	0	0	62	3.143693437499999
n23	21	0	0	74	3.161054531249999
n24	deletion
n13	24	0	0	81	3.1543771874999993
n14	25	0	0	82	3.2411826562499986
n15	26	0	0	83	3.3360009374999984
n16	27	0	0	84	3.4268128124999984
n61	31	0	0	33	3.534985781249998
n62	29	0	0	45	3.5202956249999984
n53	28	0	0	76	3.525637499999998
n54	30	0	0	81	3.529643906249998
n37	32	0	0	85	3.524302031249998
n38	33	0	0	86	3.6257976562499974
n39	34	0	0	87	3.7366415624999973
n40	35	0	0	88	3.831459843749997
n64	38	0	0	52	3.9262781249999965
n65	37	0	0	57	3.9276135937499963
n66	36	0	0	60	3.9222717187499967
n55	39	0	0	81	3.931619999999996
n56	deletion
n44	43	0	0	86	4.216074843749999
n43	42	0	0	87	4.114579218749998
n42	41	0	0	88	4.022431874999997
n41	40	0	0	89	3.914258906249997
n68	48	0	0	57	4.318905937499999
n69	47	0	0	60	4.3242478124999995
n70	46	0	0	64	4.3349315625
n57	45	0	0	76	4.3242478124999995
n49	52	0	0	81	4.696843593750001
n58	deletion
n48	51	0	0	82	4.587335156250001
n47	50	0	0	83	4.4991942187500005
n46	49	0	0	84	4.42173703125
n45	44	0	0	85	4.313564062499999
n59	54	0	0	72	4.712869218750001
n60	53	0	0	76	4.7142046875000005
n90	deletion
n50	55	0	0	80	4.79566828125
n52	57	0	0	81	4.98797578125
n51	56	0	0	83	4.8958284375000005
n97	58	0	0	40	5.06276203125
n89	62	0	0	71	5.08145859375
n76	63	0	0	77	5.3445459374999995
n75	61	0	0	78	5.265753281249999
n74	60	0	0	79	5.17227046875
n73	59	0	0	80	5.07478125
n99	67	0	0	52	5.463402656249999
n100	65	0	0	59	5.467409062499999
n101	64	0	0	62	5.460731718749999
n91	66	0	0	68	5.4700799999999985
n92	68	0	0	71	5.474086406249999
n78	70	0	0	75	5.552879062499999
n77	69	0	0	76	5.454054374999999
n80	72	0	0	76	5.7478574999999985
n79	71	0	0	77	5.643690937499999
n103	73	0	0	45	5.848017656249999
n93	76	0	0	69	5.846682187499999
n94	74	0	0	72	5.862707812499999
n84	79	0	0	72	6.1338079687499985
n83	78	0	0	73	6.049673437499998
n82	77	0	0	74	5.954855156249998
n81	75	0	0	75	5.846682187499999
n105	81	0	0	52	6.2353035937499985
n106	82	0	0	57	6.2526646874999985
n107	80	0	0	60	6.2353035937499985
n95	85	0	0	64	6.239309999999999
n96	84	0	0	69	6.266019374999998
n85	83	0	0	71	6.224619843749998
n86	86	0	0	72	6.312760781249999
n88	88	0	0	72	6.491713593749998
n87	87	0	0	74	6.4115854687499985
n133	89	0	0	52	6.6038929687499985
n134	90	0	0	59	6.622589531249998
n125	91	0	0	64	6.606563906249998
n126	92	0	0	68	6.631937812499999
n109	93	0	0	71	6.607899374999998
