xml_id	midi_id	track	channel	pitch	onset
n25	0	0	0	45	2.0566218750000003
n27	10	0	0	52	2.502134250000001
n28	7	0	0	57	2.490382125000001
n17	1	0	0	60	2.050211625
n29	11	0	0	60	2.509612875000001
n19	9	0	0	64	2.480766750000001
n18	deletion
n1	2	0	0	69	2.0608953750000003
n20	6	0	0	69	2.4519206250000005
n2	3	0	0	70	2.1794850000000006
n3	4	0	0	71	2.2649550000000005
n4	5	0	0	72	2.3600403750000005
n5	8	0	0	73	2.4626043750000006
n6	12	0	0	74	2.5576897500000015
n7	13	0	0	75	2.6634588750000012
n8	14	0	0	76	2.753202375000001
n31	15	0	0	45	2.8568347500000013
n21	18	0	0	69	2.8728603750000015
n22	16	0	0	74	2.842945875000001
n9	17	0	0	77	2.832262125000001
n10	19	0	0	78	2.941236375000002
n11	20	0	0	79	3.0480738750000027
n12	21	0	0	80	3.1378173750000027
n33	24	0	0	53	3.247860000000003
n34	22	0	0	57	3.245723250000003
n35	26	0	0	62	3.262817250000003
n23	deletion
n24	23	0	0	77	3.248928375000003
n13	25	0	0	81	3.2329027500000027
n14	27	0	0	82	3.3290565000000036
n15	28	0	0	83	3.4252102500000046
n16	29	0	0	84	3.533116125000005
n61	30	0	0	33	3.6442271250000053
n62	32	0	0	45	3.6463638750000054
n53	33	0	0	76	3.6848253750000057
n54	deletion
n37	31	0	0	85	3.6517057500000054
n38	34	0	0	86	3.7457227500000063
n39	35	0	0	87	3.840808125000007
n40	36	0	0	88	3.9294832500000068
n64	37	0	0	52	4.043799375000007
n65	39	0	0	57	4.044867750000007
n66	38	0	0	60	4.047004500000007
n55	41	0	0	81	4.074782250000007
n56	40	0	0	84	4.070508750000007
n44	45	0	0	86	4.34935462500001
n43	44	0	0	87	4.261747875000009
n42	43	0	0	88	4.142089875000008
n41	42	0	0	89	4.035252375000007
n68	50	0	0	57	4.44764512500001
n69	51	0	0	60	4.48076475000001
n70	49	0	0	64	4.47221775000001
n57	46	0	0	76	4.45085025000001
n58	47	0	0	81	4.47755962500001
n48	54	0	0	82	4.744653375000011
n47	53	0	0	83	4.643157750000011
n46	52	0	0	84	4.551277500000011
