idx,matchtype,partid,ppartid
0,0,n25,7
1,0,n6,5
2,0,n26,8
3,0,n7,1
4,0,n5,0
5,0,n11,12
6,0,n8,9
7,0,n12,13
8,0,n4,6
9,0,n10,11
10,0,n3,4
11,0,n2,3
12,0,n1,2
13,0,n9,10
14,0,n28,14
15,1,n29,undefined
16,0,n15,17
17,0,n13,15
18,0,n16,20
19,0,n14,16
20,0,n31,19
21,0,n32,18
22,0,n19,23
23,0,n17,21
24,0,n20,24
25,0,n18,22
26,0,n34,26
27,0,n35,25
28,0,n23,29
29,0,n21,27
30,0,n24,31
31,0,n22,28
32,0,n53,32
33,0,n54,30
34,0,n37,33
35,0,n39,35
36,0,n38,34
37,0,n40,37
38,0,n56,39
39,0,n57,38
40,0,n58,36
41,0,n41,40
42,0,n43,42
43,0,n42,41
44,0,n44,43
45,0,n60,46
46,0,n61,45
47,0,n62,44
48,0,n45,47
49,0,n47,50
50,0,n46,48
51,0,n48,51
52,0,n64,54
53,0,n65,53
54,0,n66,52
55,0,n49,56
56,0,n51,58
57,0,n50,57
58,0,n52,60
59,0,n88,59
60,0,n89,61
61,0,n90,62
62,0,n68,63
63,0,n69,64
64,1,n84,undefined
65,0,n71,67
66,0,n70,65
67,0,n92,66
68,0,n93,69
69,0,n94,70
70,0,n72,71
71,0,n73,72
72,1,n85,undefined
73,0,n75,74
74,0,n74,73
75,0,n96,77
76,0,n97,76
77,0,n98,75
78,0,n76,78
79,0,n77,80
80,1,n86,undefined
81,0,n79,83
82,0,n78,81
83,1,n100,undefined
84,0,n101,84
85,0,n80,85
86,0,n81,86
87,1,n87,undefined
88,0,n83,88
89,0,n82,87
90,0,n120,89
91,0,n122,95
92,0,n121,90
93,0,n123,93
94,0,n105,94
95,0,n103,92
96,0,n106,97
97,0,n104,91
98,0,n126,103
99,0,n124,98
100,0,n127,104
101,0,n125,99
102,0,n109,102
103,0,n107,100
104,0,n110,105
105,0,n108,101
106,0,n130,110
107,0,n128,107
108,0,n131,111
109,0,n129,106
110,0,n113,112
111,0,n111,108
112,0,n114,113
113,0,n112,109
114,0,n132,122
115,0,n136,124
116,0,n135,123
117,0,n134,121
118,0,n133,116
119,0,n115,117
120,0,n138,126
121,0,n143,134
122,1,n116,undefined
123,0,n117,118
124,0,n118,119
125,0,n119,114
126,0,n156,131
127,0,n154,129
128,0,n157,132
129,0,n155,130
130,0,n137,125
131,0,n139,128
132,0,n140,127
133,0,n160,138
134,0,n158,136
135,0,n161,142
136,0,n159,137
137,0,n142,135
138,0,n144,133
139,0,n164,145
140,0,n162,143
141,0,n165,148
142,0,n163,144
143,0,n146,139
144,0,n147,141
145,0,n148,140
146,0,n168,152
147,0,n166,150
148,0,n169,153
149,0,n167,151
150,1,n150,undefined
151,0,n151,146
152,0,n152,149
153,0,n185,156
154,0,n187,159
155,0,n186,158
156,0,n188,160
157,0,n170,154
158,0,n171,155
159,0,n172,157
160,0,n189,164
161,0,n191,166
162,0,n190,165
163,0,n192,167
164,0,n174,161
165,0,n175,162
166,0,n176,163
167,0,n193,170
168,0,n195,172
169,0,n194,171
170,0,n196,173
171,0,n178,169
172,0,n179,168
173,0,n197,177
174,0,n199,179
175,0,n198,178
176,0,n200,180
177,0,n181,175
178,0,n182,174
179,0,n183,176
180,0,n216,185
181,0,n219,188
182,0,n217,186
183,1,n232,undefined
184,0,n201,181
185,0,n218,187
186,0,n202,184
187,0,n203,183
188,0,n204,182
189,0,n220,189
190,0,n223,192
191,0,n221,190
192,1,n233,undefined
193,0,n222,191
194,0,n206,193
195,0,n207,194
196,0,n208,195
197,0,n224,198
198,0,n227,201
199,0,n225,199
200,1,n234,undefined
201,0,n226,200
202,0,n210,196
203,0,n211,197
204,1,n228,undefined
205,0,n231,206
206,0,n229,204
207,1,n235,undefined
208,0,n230,203
209,0,n213,208
210,0,n214,205
211,0,n215,207
212,0,n260,210
213,0,n261,209
214,0,n262,215
215,0,n239,213
216,0,n264,221
217,0,n267,228
218,1,n253,undefined
219,0,n240,214
220,0,n237,211
221,0,n238,212
222,0,n263,216
223,0,n241,217
224,0,n265,222
225,1,n254,undefined
226,0,n243,219
227,1,n255,undefined
228,0,n242,218
229,0,n244,220
230,0,n245,223
231,0,n266,227
232,1,n256,undefined
233,0,n247,225
234,1,n257,undefined
235,0,n246,224
236,0,n248,226
237,0,n268,233
238,0,n269,234
239,0,n270,231
240,0,n249,229
241,1,n258,undefined
242,0,n251,232
243,1,n259,undefined
244,0,n250,230
245,0,n252,236
246,0,n287,235
247,1,n288,undefined
248,0,n273,239
249,0,n271,237
250,0,n274,240
251,0,n272,238
252,0,n290,242
253,0,n291,241
254,0,n277,245
255,0,n275,243
256,0,n278,246
257,0,n276,244
258,0,n293,248
259,0,n294,247
260,0,n281,251
261,0,n279,249
262,0,n282,252
263,0,n280,250
264,0,n296,253
265,0,n297,254
266,0,n285,257
267,0,n283,255
268,0,n286,258
269,0,n284,256
270,0,n315,259
271,0,n316,260
272,0,n299,261
273,0,n301,263
274,0,n300,262
275,0,n302,264
276,0,n318,267
277,0,n319,265
278,0,n320,266
279,0,n303,268
280,0,n305,270
281,0,n304,269
282,0,n306,271
283,0,n322,273
284,0,n323,274
285,0,n324,272
286,0,n307,275
287,0,n309,278
288,0,n308,276
289,0,n310,279
290,0,n326,282
291,0,n327,281
292,0,n328,280
293,0,n311,283
294,0,n313,286
295,0,n312,285
296,0,n314,289
297,0,n350,287
298,0,n351,288
299,0,n352,291
300,0,n330,292
301,0,n331,296
302,1,n346,undefined
303,0,n333,295
304,0,n332,293
305,0,n354,294
306,0,n355,297
307,0,n356,298
308,0,n334,299
309,0,n335,300
310,1,n347,undefined
311,0,n337,305
312,0,n336,302
313,0,n358,301
314,0,n359,303
315,0,n360,304
316,1,n338,undefined
317,0,n339,308
318,0,n348,310
319,0,n341,312
320,0,n340,309
321,0,n362,314
322,0,n363,318
323,0,n364,316
324,0,n365,317
325,0,n342,313
326,0,n343,315
327,1,n349,undefined
328,0,n345,320
329,0,n344,319
330,0,n386,325
331,0,n382,323
332,1,n383,undefined
333,0,n384,322
334,0,n387,327
335,0,n385,321
336,0,n366,324
337,0,n367,326
338,0,n369,329
339,0,n368,328
340,0,n390,334
341,0,n388,330
342,0,n391,335
343,0,n389,331
344,0,n370,332
345,0,n371,333
346,0,n373,339
347,0,n372,336
348,0,n394,342
349,0,n392,337
350,0,n395,343
351,0,n393,338
352,0,n377,345
353,0,n376,344
354,0,n375,341
355,0,n374,340
356,0,n396,348
357,0,n397,347
358,0,n381,351
359,0,n380,350
360,0,n379,349
361,0,n378,346
362,0,n408,354
363,0,n406,352
364,0,n409,355
365,0,n412,359
366,0,n407,353
367,0,n402,363
368,0,n403,362
369,0,n398,357
370,0,n410,356
371,0,n413,360
372,0,n411,358
373,0,n399,361
374,0,n416,366
375,0,n414,364
376,0,n417,367
377,0,n415,365
378,0,n400,368
379,0,n418,369
380,0,n420,375
381,0,n419,372
382,0,n421,376
383,0,n404,371
384,0,n405,374
385,0,n401,373
386,0,n432,379
387,0,n430,377
388,0,n433,380
389,0,n431,378
390,0,n426,393
391,0,n427,386
392,0,n422,383
393,0,n436,384
394,0,n434,381
395,0,n437,385
396,0,n435,382
397,0,n423,387
398,0,n440,390
399,0,n438,388
400,0,n441,391
401,0,n439,389
402,0,n424,392
403,0,n442,394
404,0,n444,398
405,0,n443,397
406,0,n445,399
407,1,n428,undefined
408,1,n429,undefined
409,0,n425,396
410,0,n456,402
411,0,n454,400
412,0,n457,403
413,0,n455,401
414,0,n450,412
415,0,n451,409
416,0,n446,406
417,0,n460,407
418,0,n458,404
419,0,n461,408
420,0,n459,405
421,0,n447,410
422,0,n464,415
423,0,n462,411
424,0,n465,416
425,0,n463,413
426,0,n448,414
427,0,n468,421
428,0,n466,418
429,0,n469,422
430,0,n467,420
431,0,n452,417
432,0,n453,419
433,0,n449,424
434,0,n483,427
435,0,n481,423
436,0,n484,428
437,0,n482,425
438,0,n480,431
439,0,n470,426
440,0,n488,434
441,0,n485,429
442,0,n487,433
443,0,n486,432
444,0,n472,430
445,0,n473,435
446,0,n492,443
447,0,n491,442
448,0,n490,440
449,0,n489,437
450,0,n474,436
451,0,n475,438
452,0,n476,439
453,0,n496,450
454,0,n495,448
455,0,n494,447
456,0,n493,446
457,0,n478,444
458,0,n479,445
459,0,n513,451
460,0,n499,454
461,0,n497,452
462,0,n500,455
463,0,n498,453
464,0,n515,456
465,0,n516,457
466,0,n503,460
467,0,n501,458
468,0,n504,461
469,0,n502,459
470,0,n518,463
471,0,n519,462
472,0,n507,466
473,0,n505,464
474,0,n508,467
475,0,n506,465
476,0,n521,469
477,0,n522,468
478,0,n511,472
479,0,n509,470
480,0,n512,473
481,0,n510,471
482,0,n540,474
483,0,n541,475
484,0,n542,476
485,0,n524,477
486,0,n526,479
487,0,n525,478
488,0,n527,480
489,0,n544,483
490,0,n545,482
491,0,n546,481
492,0,n528,484
493,0,n530,486
494,0,n529,485
495,0,n531,487
496,0,n548,489
497,0,n549,490
498,0,n550,488
499,0,n532,491
500,0,n534,493
501,0,n533,492
502,0,n535,494
503,0,n552,496
504,0,n553,495
505,0,n536,497
506,0,n538,499
507,0,n537,498
508,0,n539,500
509,0,n572,505
510,0,n570,503
511,0,n573,506
512,0,n571,504
513,1,n554,undefined
514,0,n555,501
515,0,n556,502
516,0,n576,512
517,0,n574,510
518,0,n577,513
519,0,n575,511
520,0,n558,507
521,0,n559,509
522,0,n560,508
523,0,n580,519
524,0,n578,517
525,0,n581,523
526,0,n579,518
527,0,n562,516
528,0,n563,514
529,0,n564,515
530,0,n584,526
531,0,n582,524
532,0,n585,527
533,0,n583,525
534,0,n566,520
535,0,n567,521
536,0,n568,522
537,0,n600,531
538,0,n602,533
539,0,n601,532
540,0,n586,530
541,0,n603,534
542,0,n587,528
543,0,n588,529
544,0,n604,538
545,0,n606,540
546,0,n605,539
547,0,n607,541
548,0,n590,536
549,0,n591,535
550,0,n592,537
551,0,n608,545
552,0,n610,549
553,0,n609,546
554,0,n611,550
555,0,n594,543
556,0,n595,542
557,0,n596,544
558,0,n612,553
559,0,n614,556
560,0,n613,554
561,0,n615,555
562,0,n598,551
563,0,n599,552
564,0,n632,557
565,0,n633,558
566,0,n618,561
567,0,n616,559
568,0,n619,562
569,0,n617,560
570,0,n635,564
571,0,n636,563
572,0,n622,567
573,0,n620,565
574,0,n623,568
575,0,n621,566
576,0,n638,569
577,0,n639,570
578,0,n626,573
579,0,n624,571
580,0,n627,574
581,0,n625,572
582,0,n641,575
583,0,n642,576
584,0,n630,579
585,0,n628,577
586,0,n631,580
587,0,n629,578
588,0,n660,583
589,0,n661,581
590,0,n662,582
591,0,n644,584
592,0,n646,586
593,0,n645,585
594,0,n647,587
595,0,n664,590
596,0,n665,588
597,0,n666,589
598,0,n648,591
599,0,n650,593
600,0,n649,592
601,0,n651,594
602,0,n668,596
603,0,n669,597
604,0,n670,595
605,0,n652,598
606,0,n654,600
607,0,n653,599
608,0,n655,601
609,0,n672,603
610,0,n673,602
611,0,n656,605
612,0,n658,607
613,0,n657,606
614,0,n659,608
615,0,n692,614
616,0,n690,612
617,0,n693,615
618,0,n691,613
619,0,n674,610
620,0,n675,609
621,0,n676,611
622,0,n696,621
623,0,n694,619
624,0,n697,622
625,0,n695,620
626,0,n678,616
627,0,n679,617
628,0,n680,618
629,0,n700,627
630,0,n698,625
631,0,n701,628
632,0,n699,626
633,0,n682,623
634,1,n683,undefined
635,0,n684,624
636,0,n704,634
637,0,n702,632
638,0,n705,635
639,0,n703,633
640,0,n686,629
641,0,n687,630
642,0,n688,631
643,0,n724,641
644,0,n722,639
645,0,n725,642
646,0,n723,640
647,0,n706,636
648,0,n707,637
649,0,n708,638
650,0,n728,648
651,0,n726,646
652,0,n729,649
653,0,n727,647
654,0,n710,643
655,0,n711,645
656,0,n712,644
657,0,n732,656
658,0,n730,654
659,0,n733,657
660,0,n731,655
661,2,undefined,650
662,0,n714,651
663,0,n715,652
664,0,n716,653
665,0,n736,663
666,0,n734,661
667,0,n737,664
668,0,n735,662
669,0,n718,658
670,0,n719,659
671,0,n720,660
672,0,n758,667
673,0,n759,666
674,0,n755,669
675,0,n740,670
676,0,n738,665
677,0,n741,671
678,0,n739,668
679,0,n761,672
680,1,n762,undefined
681,0,n756,675
682,0,n744,676
683,0,n742,673
684,0,n745,677
685,1,n743,undefined
686,0,n764,680
687,0,n765,679
688,0,n757,678
689,0,n748,683
690,0,n746,681
691,0,n749,684
692,0,n747,682
693,0,n767,686
694,0,n768,685
695,0,n753,691
696,0,n750,689
697,0,n754,692
698,0,n752,690
699,0,n751,687
700,0,n789,695
701,0,n790,693
702,0,n786,696
703,0,n771,697
704,0,n772,698
705,0,n770,694
706,0,n792,700
707,0,n793,699
708,1,n787,undefined
709,0,n775,704
710,0,n773,701
711,0,n776,705
712,0,n774,702
713,0,n795,707
714,0,n796,708
715,1,n788,undefined
716,0,n779,711
717,0,n777,709
718,0,n780,712
719,0,n778,710
720,0,n798,714
721,0,n799,713
722,0,n784,718
723,0,n781,716
724,0,n785,719
725,0,n783,717
726,0,n782,715
727,0,n820,721
728,0,n821,722
729,0,n816,723
730,0,n802,724
731,0,n803,725
732,1,n800,undefined
733,0,n801,720
734,0,n822,727
735,0,n823,730
736,0,n817,728
737,0,n806,731
738,0,n804,726
739,0,n807,732
740,0,n805,729
741,0,n824,734
742,0,n825,735
743,0,n818,737
744,0,n810,738
745,0,n808,733
746,0,n811,739
747,0,n809,736
748,0,n826,742
749,0,n827,743
750,0,n819,741
751,0,n814,745
752,0,n812,740
753,0,n815,746
754,0,n813,744
755,0,n848,749
756,0,n849,747
757,0,n844,750
758,0,n830,752
759,0,n828,748
760,0,n831,753
761,0,n829,751
762,0,n850,756
763,0,n851,755
764,0,n845,758
765,0,n834,759
766,0,n832,754
767,0,n835,760
768,0,n833,757
769,0,n852,762
770,0,n853,761
771,0,n846,764
772,0,n838,766
773,0,n836,763
774,0,n839,767
775,0,n837,765
776,0,n854,771
777,0,n855,770
778,0,n847,768
779,0,n843,775
780,0,n840,769
781,0,n842,774
782,0,n841,773
783,0,n875,781
784,0,n876,776
785,0,n858,779
786,0,n856,777
787,0,n859,780
788,0,n857,778
789,0,n880,791
790,0,n878,784
791,0,n877,782
792,0,n879,788
793,0,n872,786
794,0,n862,787
795,0,n860,783
796,0,n863,789
797,0,n861,785
798,0,n881,792
799,0,n873,795
800,0,n866,796
801,0,n864,793
802,0,n867,797
803,0,n865,794
804,0,n885,807
805,0,n883,800
806,0,n882,798
807,0,n884,803
808,0,n874,802
809,0,n870,804
810,0,n868,799
811,1,n871,undefined
812,0,n869,801
813,0,n906,809
814,0,n902,808
815,0,n888,812
816,0,n886,810
817,0,n889,813
818,0,n887,811
819,0,n910,823
820,0,n908,816
821,0,n907,814
822,0,n909,821
823,0,n903,819
824,0,n892,820
825,0,n890,815
826,0,n893,822
827,0,n891,818
828,0,n911,824
829,0,n904,827
830,0,n896,828
831,0,n894,825
832,0,n897,829
833,0,n895,826
834,0,n915,838
835,0,n913,835
836,0,n912,831
837,0,n914,836
838,0,n905,830
839,0,n900,837
840,0,n898,832
841,0,n901,839
842,0,n899,834
843,0,n938,845
844,0,n936,841
845,0,n939,847
846,0,n937,842
847,0,n922,846
848,0,n920,840
849,0,n923,848
850,0,n921,843
851,0,n916,844
852,1,n942,undefined
853,0,n940,850
854,0,n943,857
855,0,n941,851
856,0,n926,855
857,0,n924,849
858,0,n927,856
859,0,n925,852
860,0,n917,853
861,0,n946,863
862,0,n944,859
863,0,n947,866
864,0,n945,862
865,0,n930,864
866,0,n928,858
867,0,n931,865
868,0,n929,861
869,0,n918,860
870,0,n950,872
871,0,n948,868
872,0,n951,875
873,0,n949,870
874,0,n934,873
875,0,n932,867
876,0,n935,874
877,0,n933,869
878,0,n919,871
879,0,n974,882
880,0,n972,877
881,0,n975,885
882,0,n973,880
883,0,n958,883
884,0,n956,876
885,0,n959,884
886,0,n957,879
887,0,n952,881
888,0,n978,891
889,0,n976,887
890,0,n979,894
891,0,n977,890
892,0,n962,892
893,0,n960,886
894,0,n963,893
895,0,n961,889
896,0,n953,888
897,0,n982,901
898,0,n980,896
899,0,n983,904
900,0,n985,910
901,0,n981,900
902,0,n966,902
903,0,n964,895
904,0,n967,903
905,0,n969,908
906,0,n965,899
907,0,n954,898
908,0,n986,913
