xml_id	midi_id	track	channel	pitch	onset
n25	8	1	0	37	2.376061366666665
n6	1	1	0	44	2.0598229833333326
n26	9	1	0	49	2.376061366666665
n7	0	1	0	56	2.0566178645833326
n5	2	1	0	68	2.0534127458333327
n11	12	1	0	72	2.532043812499999
n8	10	1	0	73	2.3493520437499984
n12	13	1	0	73	2.6228555104166658
n4	6	1	0	75	2.2628138374999986
n10	11	1	0	75	2.4658046916666656
n3	5	1	0	76	2.1944379708333317
n2	4	1	0	78	2.1249937312499987
n1	3	1	0	80	2.049139254166666
n9	7	1	0	85	2.3568306541666653
n28	deletion
n29	14	1	0	69	2.7414449041666655
n15	17	1	0	73	2.8717863999999986
n13	15	1	0	75	2.7061885979166656
n16	18	1	0	75	2.949777622916665
n14	16	1	0	76	2.793795177083332
n31	19	1	0	64	3.042726066666665
n32	20	1	0	68	3.042726066666665
n19	deletion
n17	21	1	0	76	3.0437944395833316
n20	23	1	0	76	3.290588583333332
n18	22	1	0	78	3.120717289583332
n34	25	1	0	63	3.3728532979166648
n35	24	1	0	66	3.3685798062499983
n23	28	1	0	76	3.5331092354166644
n21	26	1	0	78	3.364306314583332
n24	29	1	0	78	3.6185790687499977
n22	27	1	0	80	3.4337505541666644
n53	30	1	0	61	3.6965702916666645
n54	31	1	0	64	3.7029805291666644
n37	32	1	0	80	3.6933651729166646
n39	34	1	0	80	3.865373212499998
n38	33	1	0	81	3.7927238541666646
n40	deletion
n56	39	1	0	57	4.048064981249998
n57	36	1	0	61	4.023492404166665
n58	37	1	0	66	4.035244506249998
n41	38	1	0	78	4.016013793749998
n43	41	1	0	78	4.192295324999998
n42	40	1	0	80	4.111098983333331
n44	42	1	0	85	4.274560039583331
n60	44	1	0	56	4.369645229166665
n61	45	1	0	61	4.376055466666665
n90	57	1	0	64	5.044856912499997
n62	deletion
n45	43	1	0	76	4.358961499999999
n47	47	1	0	76	4.527764420833333
n46	46	1	0	78	4.4273373666666656
n48	48	1	0	85	4.611097508333333
n64	50	1	0	54	4.715798054166666
n65	52	1	0	61	4.723276664583333
n66	51	1	0	63	4.716866427083333
n49	49	1	0	75	4.681610120833333
n51	54	1	0	75	4.847207922916665
n50	53	1	0	76	4.7713534458333315
n52	55	1	0	85	4.945498231249998
n88	59	1	0	49	5.014942470833331
n89	58	1	0	56	5.054472268749997
n68	56	1	0	73	5.023489454166664
n69	60	1	0	80	5.110027660416664
n84	deletion
n71	63	1	0	81	5.28417244583333
n70	61	1	0	88	5.194429120833331
n92	62	1	0	44	5.30660827708333
n93	65	1	0	54	5.372847397916663
n94	66	1	0	60	5.372847397916663
n72	64	1	0	72	5.365368787499997
n73	67	1	0	78	5.4326762812499965
n85	deletion
n75	70	1	0	80	5.5940005916666635
n74	68	1	0	87	5.516009368749997
n96	73	1	0	49	5.710453239583329
n97	71	1	0	52	5.71365835833333
n98	69	1	0	61	5.690154154166663
n76	72	1	0	68	5.680538797916663
n77	74	1	0	76	5.7638718854166635
n86	85	1	0	76	6.239297833333331
n83	90	1	0	76	6.623912083333329
n79	76	1	0	78	5.916649212499998
n78	75	1	0	85	5.8301110062499975
n100	77	1	0	44	6.029896741666665
n101	79	1	0	56	6.019213012499998
n80	78	1	0	68	6.003187418749998
n81	80	1	0	75	6.0907939979166645
n87	deletion
n82	81	1	0	84	6.153827999999997
n120	84	1	0	37	6.345066752083332
n122	88	1	0	45	6.532032012499997
n121	86	1	0	49	6.340793260416665
n123	87	1	0	57	6.526690147916663
n105	89	1	0	69	6.54378411458333
n103	82	1	0	73	6.347203497916665
n106	91	1	0	81	6.622843710416663
n104	83	1	0	85	6.347203497916665
n126	96	1	0	43	6.8557490062499955
n124	92	1	0	44	6.709381916666662
n127	97	1	0	55	6.8578857520833285
n125	93	1	0	56	6.707245170833329
n109	98	1	0	67	6.862159243749995
n107	94	1	0	68	6.709381916666662
n110	99	1	0	79	6.943355585416662
n108	95	1	0	80	6.799125241666662
n130	105	1	0	37	7.188012983333328
n128	103	1	0	44	7.024551927083329
n131	106	1	0	49	7.186944610416662
n129	102	1	0	56	7.020278435416662
n113	107	1	0	61	7.188012983333328
n111	101	1	0	68	7.020278435416662
n114	108	1	0	73	7.251046985416662
n112	104	1	0	80	7.0939961666666616
n132	115	1	0	39	7.351474039583329
n136	117	1	0	46	7.645276591666663
n135	116	1	0	47	7.55339652083333
n134	114	1	0	49	7.455106212499996
n133	111	1	0	51	7.347200547916662
n115	113	1	0	61	7.361089395833329
n116	deletion
n117	112	1	0	67	7.355747531249996
n118	110	1	0	70	7.371773124999995
n119	109	1	0	75	7.361089395833329
n156	124	1	0	43	7.913438193749995
