onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0177083,0.27291667,56,83,1,0,0,1.0125,-1.0
1.0072917,0.28333333,68,63,1,0,1,-10.0,-10.0
1.0322917,0.25833333,44,70,1,0,2,1.0125,-1.0
1.0,0.290625,80,79,1,0,3,-10.0,-10.0
1.084375,0.20625,78,77,1,0,4,1.0125,-1.0
1.1822916,0.108333334,76,76,1,0,5,1.0125,-1.0
1.2427083,0.060416665,75,83,1,0,6,1.0125,-1.0
1.3416667,0.328125,49,99,1,0,7,1.0125,-1.0
1.3458333,0.32395834,37,96,1,0,8,1.0125,-1.0
1.3666667,0.303125,85,73,1,0,9,1.3515625,0.0
1.3572917,0.3125,73,91,1,0,10,1.3515625,0.0
1.5041667,0.165625,37,3,1,0,11,1.3515625,0.0
1.4729167,0.196875,75,76,1,0,12,1.3515625,0.0
1.5541667,0.115625,72,70,1,0,13,1.3515625,0.0
1.7197917,0.029166667,69,78,1,0,14,1.3515625,0.0
1.6458334,0.108333334,73,73,1,0,15,1.3515625,0.0
1.7270833,0.036458332,66,70,1,0,16,1.719792,1.0
1.7083334,0.090625,75,66,1,0,17,1.3515625,0.0
1.803125,0.044791665,76,72,1,0,18,1.719792,1.0
1.909375,0.06979167,73,61,1,0,19,1.719792,1.0
1.9989583,0.094791666,75,62,1,0,20,1.719792,1.0
2.0666666,0.034375,68,67,1,0,21,1.719792,1.0
2.0677083,0.035416666,64,64,1,0,22,2.067708,2.0
2.0739584,0.08125,76,64,1,0,23,2.067708,2.0
2.1552083,0.041666668,78,66,1,0,24,2.067708,2.0
2.2364583,0.038541667,75,69,1,0,25,2.067708,2.0
2.3177083,0.098958336,76,64,1,0,26,2.067708,2.0
2.3979166,0.033333335,66,66,1,0,27,2.067708,2.0
2.4020834,0.033333335,63,66,1,0,28,2.402083,3.0
2.4177084,0.075,78,69,1,0,29,2.402083,3.0
2.5020833,0.036458332,80,65,1,0,30,2.402083,3.0
2.5791667,0.063541666,76,61,1,0,31,2.402083,3.0
2.6770833,0.09791667,78,60,1,0,32,2.402083,3.0
2.7489583,0.035416666,64,55,1,0,33,2.402083,3.0
2.7583334,0.03125,61,53,1,0,34,2.758333,4.0
2.7604167,0.052083332,80,64,1,0,35,2.758333,4.0
2.8614583,0.033333335,81,45,1,0,36,2.758333,4.0
2.9416666,0.03125,80,61,1,0,37,2.758333,4.0
3.021875,0.047916666,85,68,1,0,38,2.758333,4.0
3.1041667,0.03125,66,72,1,0,39,2.758333,4.0
3.1177084,0.03125,61,56,1,0,40,3.115104,5.0
3.1197917,0.038541667,57,61,1,0,41,3.115104,5.0
3.1125,0.048958335,78,61,1,0,42,2.758333,4.0
3.1854167,0.055208333,80,68,1,0,43,3.115104,5.0
3.28125,0.040625,78,64,1,0,44,3.115104,5.0
3.3666666,0.040625,85,63,1,0,45,3.115104,5.0
3.45625,0.033333335,64,72,1,0,46,3.115104,5.0
3.459375,0.04375,76,59,1,0,47,3.115104,5.0
3.4739583,0.030208332,61,55,1,0,48,3.4666665,6.0
3.4770834,0.033333335,56,54,1,0,49,3.4666665,6.0
3.5364583,0.04375,78,66,1,0,50,3.4666665,6.0
3.6302083,0.047916666,76,60,1,0,51,3.4666665,6.0
3.725,0.036458332,85,66,1,0,52,3.4666665,6.0
3.803125,0.029166667,63,71,1,0,53,3.4666665,6.0
3.8197916,0.03125,61,56,1,0,54,3.813021,7.0
3.80625,0.047916666,75,72,1,0,55,3.4666665,6.0
3.8197916,0.0375,54,59,1,0,56,3.813021,7.0
3.8802083,0.04375,76,68,1,0,57,3.813021,7.0
3.9791667,0.038541667,75,70,1,0,58,3.813021,7.0
4.0760417,0.35104167,49,60,1,0,59,3.813021,7.0
4.071875,0.35520834,85,69,1,0,60,3.813021,7.0
4.1697917,0.25729167,64,76,1,0,61,4.116667,8.0
4.157292,0.26979166,73,86,1,0,62,4.116667,8.0
4.1604166,0.26666668,56,68,1,0,63,4.116667,8.0
4.253125,0.17395833,80,79,1,0,64,4.116667,8.0
4.344792,0.08229167,88,74,1,0,65,4.116667,8.0
4.4239583,0.046875,44,75,1,0,66,4.116667,8.0
4.415625,0.39270833,81,82,1,0,67,4.116667,8.0
