onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0375,0.034375,66,81,1,0,0,-10.0,-10.0
1.0479167,0.033333335,61,65,1,0,1,1.041667,0.0
1.0416666,0.05,58,69,1,0,2,-10.0,-10.0
1.0447917,0.05,54,66,1,0,3,1.041667,0.0
1.0322917,0.09166667,90,86,1,0,4,-10.0,-10.0
1.1145834,0.061458334,94,86,1,0,5,1.041667,0.0
1.1979166,0.051041666,85,70,1,0,6,1.041667,0.0
1.2604166,0.039583333,59,66,1,0,7,1.041667,0.0
1.2625,0.039583333,63,64,1,0,8,1.041667,0.0
1.265625,0.038541667,66,65,1,0,9,1.041667,0.0
1.275,0.039583333,54,44,1,0,10,1.041667,0.0
1.2583333,0.079166666,90,95,1,0,11,1.041667,0.0
1.3489584,0.08541667,87,79,1,0,12,1.041667,0.0
1.4208333,0.06875,90,78,1,0,13,1.041667,0.0
1.5197917,0.25,66,70,1,0,14,1.041667,0.0
1.5166667,0.253125,85,83,1,0,15,1.041667,0.0
1.5270833,0.24270834,58,64,1,0,16,1.527083,1.0
1.534375,0.23541667,61,54,1,0,17,1.527083,1.0
1.5364584,0.23333333,54,46,1,0,18,1.527083,1.0
1.5958333,0.17395833,90,81,1,0,19,1.527083,1.0
1.690625,0.079166666,82,73,1,0,20,1.527083,1.0
1.7614583,0.045833334,85,65,1,0,21,1.527083,1.0
1.81875,0.058333334,78,61,1,0,22,1.527083,1.0
1.9104167,0.045833334,82,71,1,0,23,1.527083,1.0
1.9947916,0.27604166,42,55,1,0,24,1.527083,1.0
2.003125,0.26770833,54,64,1,0,25,2.003125,2.0
2.0166667,0.25416666,78,56,1,0,26,2.003125,2.0
2.0677083,0.203125,82,72,1,0,27,2.003125,2.0
2.1770833,0.09375,73,60,1,0,28,2.003125,2.0
2.25625,0.029166667,63,58,1,0,29,2.003125,2.0
2.259375,0.041666668,78,67,1,0,30,2.003125,2.0
2.3375,0.09166667,75,67,1,0,31,2.003125,2.0
2.4041667,0.061458334,78,69,1,0,32,2.003125,2.0
2.4979167,0.040625,73,67,1,0,33,2.003125,2.0
2.515625,0.036458332,66,45,1,0,34,2.003125,2.0
2.5177083,0.038541667,58,61,1,0,35,2.5166664,3.0
2.525,0.032291666,61,51,1,0,36,2.5166664,3.0
2.5895834,0.08645833,78,73,1,0,37,2.5166664,3.0
2.6822917,0.057291668,70,67,1,0,38,2.5166664,3.0
2.7427084,0.04375,73,73,1,0,39,2.5166664,3.0
2.8135417,0.03125,66,57,1,0,40,2.5166664,3.0
2.89375,0.09583333,70,67,1,0,41,2.5166664,3.0
