onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0135417,0.171875,54,62,1,0,0,1.0125,0.0
1.0302083,0.15520833,58,57,1,0,1,1.0125,0.0
1.0125,0.17291667,61,80,1,0,2,1.0125,0.0
1.0083333,0.17708333,66,77,1,0,3,-10.0,-10.0
1.0041667,0.18125,90,91,1,0,4,-10.0,-10.0
1.0895833,0.09583333,94,90,1,0,5,1.0125,0.0
1.1510416,0.059375,85,87,1,0,6,1.0125,0.0
1.2177083,0.058333334,66,84,1,0,7,1.0125,0.0
1.2208333,0.06458333,59,78,1,0,8,1.0125,0.0
1.2239584,0.061458334,63,73,1,0,9,1.0125,0.0
1.2885417,0.014583333,54,3,1,0,10,1.0125,0.0
1.240625,0.06875,90,89,1,0,11,1.0125,0.0
1.3041667,0.08020833,87,92,1,0,12,1.0125,0.0
1.3770833,0.052083332,90,84,1,0,13,1.0125,0.0
1.4489583,0.034375,66,86,1,0,14,1.0125,0.0
1.453125,0.041666668,61,82,1,0,15,1.453125,1.0
1.446875,0.048958335,54,76,1,0,16,1.0125,0.0
1.459375,0.0375,58,75,1,0,17,1.453125,1.0
1.4552083,0.077083334,85,92,1,0,18,1.453125,1.0
1.515625,0.07395833,90,86,1,0,19,1.453125,1.0
1.590625,0.047916666,82,80,1,0,20,1.453125,1.0
1.6677083,0.072916664,85,86,1,0,21,1.453125,1.0
1.7635417,0.04375,78,80,1,0,22,1.453125,1.0
1.85,0.053125,82,68,1,0,23,1.453125,1.0
1.9166666,0.047916666,78,71,1,0,24,1.453125,1.0
1.9302083,0.23541667,42,52,1,0,25,1.930208,2.0
1.95,0.215625,54,49,1,0,26,1.930208,2.0
2.028125,0.1375,82,66,1,0,27,1.930208,2.0
2.1166666,0.048958335,73,56,1,0,28,1.930208,2.0
2.2052083,0.038541667,78,53,1,0,29,1.930208,2.0
2.2,0.05,59,60,1,0,30,1.930208,2.0
2.2197917,0.038541667,66,41,1,0,31,1.930208,2.0
2.2260416,0.0375,63,40,1,0,32,1.930208,2.0
2.2572916,0.05,75,65,1,0,33,1.930208,2.0
2.3333333,0.047916666,78,72,1,0,34,1.930208,2.0
2.425,0.036458332,66,34,1,0,35,1.930208,2.0
2.421875,0.045833334,61,57,1,0,36,1.930208,2.0
2.428125,0.047916666,58,52,1,0,37,2.4265625,3.0
2.4302084,0.053125,73,55,1,0,38,2.4265625,3.0
2.4895833,0.042708334,78,71,1,0,39,2.4265625,3.0
2.5802083,0.03125,70,61,1,0,40,2.4265625,3.0
2.6583333,0.045833334,73,61,1,0,41,2.4265625,3.0
2.73125,0.047916666,66,68,1,0,42,2.4265625,3.0
2.8135417,0.053125,70,60,1,0,43,2.4265625,3.0
2.9145834,0.25104168,37,51,1,0,44,2.914583,4.0
2.896875,0.26875,49,59,1,0,45,2.4265625,3.0
2.9177084,0.24791667,61,60,1,0,46,2.914583,4.0
2.984375,0.18125,73,57,1,0,47,2.914583,4.0
3.0729167,0.092708334,68,68,1,0,48,2.914583,4.0
3.1489584,0.038541667,73,61,1,0,49,2.914583,4.0
3.1635416,0.03125,65,61,1,0,50,2.914583,4.0
3.15625,0.046875,56,65,1,0,51,2.914583,4.0
3.18125,0.0375,61,42,1,0,52,2.914583,4.0
3.2333333,0.06458333,68,77,1,0,53,2.914583,4.0
