idx,matchtype,partid,ppartid
0,0,n31,23
1,0,n26,8
2,0,n7,5
3,0,n1,0
4,0,n4,2
5,0,n6,4
6,0,n8,6
7,0,n13,11
8,0,n3,1
9,0,n5,3
10,0,n12,10
11,0,n11,9
12,0,n10,7
13,0,n17,15
14,0,n16,14
15,0,n15,13
16,0,n14,12
17,0,n27,16
18,0,n28,17
19,0,n21,21
20,0,n20,20
21,0,n19,19
22,0,n18,18
23,0,n30,22
24,0,n25,27
25,0,n24,26
26,0,n23,25
27,0,n22,24
28,0,n48,28
29,0,n49,29
30,0,n32,30
31,0,n33,31
32,0,n34,32
33,0,n35,33
34,0,n51,38
35,0,n50,37
36,0,n36,34
37,0,n37,35
38,0,n38,36
39,0,n39,39
40,0,n52,40
41,0,n40,41
42,0,n41,42
43,0,n42,43
44,0,n43,44
45,0,n54,49
46,0,n53,45
47,0,n44,46
48,0,n45,47
49,0,n47,50
50,0,n46,48
51,0,n76,66
52,0,n71,52
53,0,n58,55
54,0,n57,54
55,0,n56,53
56,0,n55,51
57,0,n62,59
58,0,n61,58
59,0,n60,57
60,0,n59,56
61,0,n72,60
62,0,n73,62
63,0,n66,65
64,0,n65,64
65,0,n64,63
66,0,n63,61
67,0,n75,67
68,0,n68,69
69,0,n67,68
70,0,n69,70
71,0,n70,71
72,0,n93,73
73,0,n94,72
74,0,n78,75
75,0,n77,74
76,0,n79,76
77,0,n80,77
78,0,n96,82
79,0,n95,80
80,0,n81,78
81,0,n82,79
82,0,n83,81
83,0,n84,83
84,0,n97,84
85,0,n85,85
86,0,n86,86
87,0,n87,87
88,0,n88,88
89,0,n98,89
90,0,n89,90
91,0,n90,91
92,0,n91,93
93,0,n92,95
94,0,n115,92
95,0,n116,94
96,0,n118,96
97,0,n102,100
98,0,n101,99
99,0,n100,98
100,0,n99,97
101,0,n106,105
102,0,n105,104
103,0,n104,102
104,0,n103,101
105,0,n120,106
106,0,n121,107
107,0,n110,111
108,0,n109,110
109,0,n108,109
110,0,n107,108
111,0,n123,112
112,0,n114,116
113,0,n113,115
114,0,n112,114
115,0,n111,113
116,0,n140,117
117,0,n141,118
118,0,n124,119
119,0,n125,120
120,0,n126,121
121,0,n127,122
122,0,n143,128
123,0,n142,126
124,0,n128,123
125,0,n129,124
126,0,n130,125
127,0,n131,127
128,0,n144,129
129,0,n132,130
130,0,n133,131
131,0,n134,132
132,0,n135,133
133,0,n146,138
134,0,n145,134
135,0,n136,135
136,0,n137,136
137,0,n139,139
138,0,n138,137
139,0,n168,156
140,0,n163,141
141,0,n150,144
142,0,n149,143
143,0,n148,142
144,0,n147,140
145,0,n154,149
146,0,n153,147
147,0,n152,146
148,0,n151,145
149,0,n164,148
150,0,n165,151
151,0,n158,154
152,0,n157,153
153,0,n156,152
154,0,n155,150
155,0,n167,155
156,0,n160,158
157,0,n159,157
158,0,n161,159
159,0,n162,160
160,0,n185,163
161,0,n186,162
162,0,n170,164
163,0,n171,165
164,0,n172,166
165,0,n169,161
166,0,n188,171
167,0,n187,169
168,0,n173,167
169,0,n174,168
170,0,n175,170
171,0,n176,172
172,0,n189,173
173,0,n177,174
174,0,n178,175
175,0,n179,176
176,0,n180,177
177,0,n190,178
178,0,n181,179
179,0,n182,180
180,0,n183,181
181,0,n184,182
182,0,n207,184
183,0,n208,187
184,0,n209,185
185,0,n210,183
186,0,n194,190
187,0,n193,189
188,0,n192,188
189,0,n191,186
190,0,n198,194
191,0,n197,193
192,0,n196,192
193,0,n195,191
194,0,n211,196
195,0,n212,197
196,0,n213,198
197,0,n214,195
198,0,n199,199
199,0,n200,200
200,0,n201,201
201,0,n202,202
202,0,n215,206
203,0,n216,204
204,0,n217,205
205,0,n218,203
206,0,n203,207
207,0,n204,208
208,0,n205,209
209,0,n206,214
210,0,n235,211
211,0,n236,213
212,0,n237,212
213,0,n238,210
214,0,n222,218
215,0,n221,217
216,0,n220,216
217,0,n219,215
218,0,n226,222
219,0,n225,221
220,0,n224,220
221,0,n223,219
222,0,n239,224
223,0,n240,225
224,0,n241,226
225,0,n242,223
226,0,n227,227
227,0,n228,228
228,0,n229,229
229,0,n230,230
230,0,n243,232
231,0,n244,233
232,0,n245,234
233,0,n246,231
234,0,n231,235
235,0,n232,236
236,0,n233,237
