xml_id	midi_id	track	channel	pitch	onset
n31	25	1	0	41	1.3645833333333335
n26	11	1	0	48	1.3710937500000002
n7	7	1	0	83	1.147135416666667
n1	0	1	0	84	0.7734375
n4	2	1	0	84	0.9166666666666667
insertion	4	1	0	84	1.0325520833333335
n6	6	1	0	84	1.1497395833333337
n8	8	1	0	84	1.2356770833333337
n13	13	1	0	84	1.6367187500000002
n3	1	1	0	86	0.83984375
n5	5	1	0	86	1.0755208333333335
n12	12	1	0	89	1.5546875000000002
n11	10	1	0	91	1.4726562500000004
n10	9	1	0	93	1.354166666666667
n17	17	1	0	72	1.9726562500000002
n16	16	1	0	77	1.881510416666667
n15	15	1	0	79	1.811197916666667
n14	14	1	0	81	1.7395833333333337
n27	18	1	0	47	2.022135416666667
n28	19	1	0	48	2.045572916666667
n21	23	1	0	60	2.2812500000000004
n20	22	1	0	65	2.1992187500000004
n19	21	1	0	67	2.1432291666666674
n18	20	1	0	69	2.0690104166666674
n30	24	1	0	48	2.3697916666666674
n25	29	1	0	48	2.628906250000001
n24	28	1	0	53	2.5442708333333344
n23	27	1	0	55	2.4830729166666674
n22	26	1	0	57	2.402343750000001
n48	30	1	0	29	2.718750000000001
n49	31	1	0	41	2.7278645833333344
n32	32	1	0	53	2.742187500000001
n33	33	1	0	55	2.807291666666668
n34	34	1	0	57	2.8802083333333344
n35	35	1	0	60	2.983072916666668
n51	41	1	0	48	3.3502604166666674
n50	39	1	0	50	3.089843750000001
n36	36	1	0	65	3.0872395833333344
n37	37	1	0	67	3.1783854166666674
n38	38	1	0	69	3.253906250000001
n39	40	1	0	72	3.351562500000001
n52	42	1	0	57	3.4739583333333344
n40	43	1	0	77	3.4739583333333344
n41	44	1	0	79	3.5742187500000013
n42	45	1	0	81	3.647135416666668
n43	46	1	0	84	3.7486979166666683
n54	51	1	0	45	4.089843750000001
n53	47	1	0	53	3.8268229166666683
n44	48	1	0	89	3.841145833333335
n45	49	1	0	91	3.923177083333335
n47	52	1	0	91	4.102864583333334
n46	50	1	0	93	4.018229166666668
n76	69	1	0	41	4.186197916666668
n71	55	1	0	48	4.190104166666668
n58	57	1	0	79	4.467447916666667
n57	56	1	0	81	4.380208333333334
n56	54	1	0	84	4.287760416666668
n55	53	1	0	89	4.188802083333335
n62	61	1	0	67	4.789062499999999
n61	60	1	0	69	4.71484375
n60	59	1	0	72	4.62109375
n59	58	1	0	77	4.524739583333333
n72	62	1	0	47	4.8203125
n73	63	1	0	48	4.854166666666666
n66	67	1	0	55	5.110677083333332
n65	66	1	0	57	5.033854166666666
n64	65	1	0	60	4.932291666666666
n63	64	1	0	65	4.841145833333333
n75	68	1	0	48	5.164062499999999
n68	71	1	0	48	5.296874999999999
n67	70	1	0	53	5.167968749999999
n69	72	1	0	53	5.345052083333332
n70	73	1	0	57	5.438802083333332
n93	74	1	0	28	5.520833333333332
n94	76	1	0	40	5.526041666666665
n78	77	1	0	48	5.649739583333331
n77	75	1	0	55	5.515624999999999
n79	78	1	0	55	5.718749999999998
n80	79	1	0	57	5.790364583333331
n96	84	1	0	48	6.132812499999997
n95	82	1	0	50	5.882812499999997
n81	80	1	0	58	5.873697916666664
n82	81	1	0	60	5.986979166666664
n83	83	1	0	67	6.092447916666664
n84	85	1	0	69	6.160156249999997
n97	92	1	0	55	6.230468749999997
n85	86	1	0	70	6.244791666666664
n86	87	1	0	72	6.342447916666664
n87	88	1	0	79	6.449218749999997
n88	89	1	0	81	6.518229166666664
n98	90	1	0	62	6.59505208333333
n89	91	1	0	82	6.604166666666663
n90	93	1	0	84	6.713541666666663
n91	96	1	0	91	6.8085937499999964
n92	97	1	0	93	6.8645833333333295
n115	94	1	0	40	6.8216145833333295
n116	95	1	0	48	6.8203124999999964
n118	98	1	0	60	6.980468749999996
n102	102	1	0	84	7.2486979166666625
n101	101	1	0	91	7.149739583333329
n100	100	1	0	93	7.055989583333329
n99	99	1	0	94	6.960937499999996
n106	106	1	0	72	7.593749999999997
n105	105	1	0	79	7.5039062499999964
n104	104	1	0	81	7.4283854166666625
n103	103	1	0	82	7.3372395833333295
n120	107	1	0	47	7.644531249999997
n121	108	1	0	48	7.679687499999997
n110	112	1	0	60	7.908854166666663
n109	111	1	0	67	7.8164062499999964
n108	110	1	0	69	7.760416666666663
n107	109	1	0	70	7.68489583333333
n123	113	1	0	48	8.006510416666664
n114	117	1	0	48	8.247395833333332
n113	116	1	0	55	8.15625
n112	115	1	0	57	8.083333333333332
n111	114	1	0	58	8.002604166666664
n140	118	1	0	28	8.329427083333332
n141	119	1	0	40	8.329427083333332
n124	120	1	0	55	8.322916666666666
n125	121	1	0	57	8.425781249999998
n126	122	1	0	58	8.498697916666666
n127	123	1	0	60	8.595052083333334
n143	129	1	0	48	8.959635416666668
n142	127	1	0	50	8.696614583333336
n128	124	1	0	67	8.708333333333336
n129	125	1	0	69	8.794270833333336
n130	126	1	0	70	8.882812500000002
n131	128	1	0	72	8.983072916666668
n144	131	1	0	58	9.058593750000002
n132	130	1	0	79	9.093750000000002
n133	132	1	0	81	9.178385416666668
n134	133	1	0	82	9.263020833333336
n135	134	1	0	84	9.348958333333336
n146	139	1	0	43	9.684895833333336
n145	135	1	0	55	9.416666666666668
n136	136	1	0	91	9.44921875
n137	137	1	0	93	9.529947916666668
n139	140	1	0	93	9.704427083333336
n138	138	1	0	94	9.613281250000002
n168	158	1	0	40	9.79557291666667
n163	143	1	0	48	9.781250000000004
n150	145	1	0	81	10.042968750000004
n149	144	1	0	82	9.967447916666671
n148	142	1	0	84	9.878906250000004
n147	141	1	0	91	9.789062500000004
n154	149	1	0	69	10.363281250000005
n153	148	1	0	70	10.290364583333337
n152	147	1	0	72	10.208333333333337
n151	146	1	0	79	10.113281250000004
n164	150	1	0	47	10.425781250000005
n165	152	1	0	48	10.466145833333341
n158	155	1	0	57	10.701822916666673
n157	154	1	0	58	10.61848958333334
n156	153	1	0	60	10.531250000000007
n155	151	1	0	67	10.437500000000005
n167	157	1	0	48	10.785156250000007
n160	159	1	0	48	10.894531250000007
n159	156	1	0	55	10.770833333333341
n161	160	1	0	55	10.95442708333334
n162	161	1	0	58	11.046875000000007
n185	164	1	0	29	11.152343750000005
n186	162	1	0	41	11.14583333333334
n170	165	1	0	48	11.287760416666673
n171	166	1	0	53	11.371093750000007
n172	167	1	0	55	11.455729166666673
n169	163	1	0	57	11.14583333333334
n188	173	1	0	48	11.80208333333334
n187	170	1	0	50	11.539062500000007
n173	168	1	0	57	11.527343750000007
n174	169	1	0	60	11.639322916666673
n175	171	1	0	65	11.740885416666673
n176	172	1	0	67	11.82161458333334
n189	175	1	0	53	11.893229166666673
n177	174	1	0	69	11.886718750000007
n178	176	1	0	72	11.984375000000005
n179	177	1	0	77	12.07161458333334
n180	178	1	0	79	12.147135416666673
n190	180	1	0	65	12.239583333333341
n181	179	1	0	81	12.214843750000007
n182	181	1	0	84	12.319010416666675
n183	182	1	0	89	12.410156250000009
n184	183	1	0	93	12.490885416666675
n207	185	1	0	53	12.597656250000009
n208	189	1	0	58	12.593750000000009
n209	188	1	0	62	12.585937500000009
n210	186	1	0	65	12.585937500000009
n194	191	1	0	82	12.852864583333341
n193	190	1	0	86	12.757812500000007
n192	187	1	0	89	12.670572916666675
n191	184	1	0	91	12.591145833333343
n198	195	1	0	70	13.190104166666675
n197	194	1	0	74	13.114583333333341
n196	193	1	0	77	13.023437500000009
n195	192	1	0	79	12.940104166666675
n211	198	1	0	53	13.305989583333343
n212	199	1	0	57	13.300781250000009
n213	197	1	0	60	13.296875000000009
n214	196	1	0	65	13.298177083333343
n199	200	1	0	72	13.290364583333343
n200	201	1	0	77	13.38281250000001
n201	202	1	0	79	13.473958333333345
n202	203	1	0	81	13.548177083333345
n215	207	1	0	53	13.628906250000014
n216	208	1	0	57	13.61979166666668
n217	205	1	0	60	13.614583333333346
n218	204	1	0	65	13.614583333333346
n203	209	1	0	84	13.645833333333348
n204	210	1	0	89	13.72526041666668
n205	211	1	0	91	13.80338541666668
n206	212	1	0	93	13.880208333333348
n235	214	1	0	53	13.977864583333348
n236	219	1	0	58	13.979166666666682
n237	217	1	0	62	13.967447916666682
n238	216	1	0	65	13.971354166666682
n222	220	1	0	82	14.238281250000016
n221	218	1	0	86	14.152343750000016
n220	215	1	0	89	14.066406250000016
n219	213	1	0	91	13.979166666666682
n226	224	1	0	70	14.585937500000016
n225	223	1	0	74	14.515625000000016
n224	222	1	0	77	14.421875000000016
n223	221	1	0	79	14.32161458333335
n239	227	1	0	53	14.691406250000018
n240	228	1	0	57	14.691406250000018
n241	226	1	0	60	14.687500000000018
n242	225	1	0	65	14.680989583333352
n227	229	1	0	72	14.695312500000018
n228	230	1	0	77	14.78645833333335
n229	231	1	0	79	14.87239583333335
n230	232	1	0	81	14.93880208333335
n243	235	1	0	53	15.026041666666686
n244	236	1	0	57	15.022135416666686
n245	233	1	0	60	15.020833333333352
n246	234	1	0	65	15.026041666666686
n231	237	1	0	84	15.044270833333352
n232	238	1	0	89	15.12500000000002
n233	239	1	0	91	15.20703125000002
n234	240	1	0	93	15.299479166666686
n266	254	1	0	55	15.376302083333353
n263	256	1	0	59	15.37500000000002
n267	248	1	0	65	15.35937500000002
n250	244	1	0	89	15.643229166666687
n247	241	1	0	91	15.414062500000021
n249	243	1	0	91	15.550781250000021
n248	242	1	0	93	15.471354166666687
n254	249	1	0	81	15.950520833333355
n252	246	1	0	83	15.805989583333353
n253	247	1	0	84	15.872395833333353
n251	245	1	0	86	15.72265625000002
n264	253	1	0	62	16.044270833333357
n258	255	1	0	77	16.264322916666686
n255	250	1	0	79	16.02734375000002
n257	252	1	0	79	16.19140625000002
n256	251	1	0	81	16.11197916666669
n262	260	1	0	69	16.582031250000014
n260	258	1	0	71	16.43880208333335
n261	259	1	0	72	16.506510416666682
n259	257	1	0	74	16.342447916666686
n271	264	1	0	65	16.871093750000014
n268	261	1	0	67	16.654947916666686
n270	263	1	0	67	16.800781250000014
n269	262	1	0	69	16.73177083333335
n275	268	1	0	57	17.179687500000014
n273	266	1	0	59	17.029947916666682
n274	267	1	0	60	17.097656250000014
n272	265	1	0	62	16.945312500000014
n279	272	1	0	53	17.477864583333346
n276	269	1	0	55	17.251302083333346
n278	271	1	0	55	17.391927083333346
n277	270	1	0	57	17.325520833333346
n285	273	1	0	43	17.558593750000014
n280	274	1	0	50	17.565104166666682
n283	277	1	0	50	17.794270833333346
n282	276	1	0	52	17.72916666666668
n281	275	1	0	53	17.64713541666668
n302	286	1	0	36	17.90234375000001
n303	287	1	0	43	17.89322916666668
n286	278	1	0	48	17.90234375000001
n288	280	1	0	55	18.08203125000001
n287	279	1	0	57	17.99218750000001
n289	281	1	0	59	18.148437500000007
n290	282	1	0	60	18.250000000000004
n292	284	1	0	67	18.419270833333336
n291	283	1	0	69	18.338541666666668
n293	285	1	0	71	18.486979166666668
n294	288	1	0	72	18.587239583333336
n296	290	1	0	79	18.727864583333332
n295	289	1	0	81	18.67578125
n297	291	1	0	83	18.811197916666668
n298	292	1	0	84	18.899739583333332
n300	295	1	0	91	19.059895833333332
n299	293	1	0	93	18.990885416666664
n301	296	1	0	95	19.147135416666664
n320	294	1	0	48	19.104166666666664
n321	297	1	0	55	19.177083333333332
n322	298	1	0	64	19.26171875
n306	301	1	0	88	19.446614583333336
n305	300	1	0	89	19.352864583333336
n304	299	1	0	96	19.248697916666664
n307	302	1	0	98	19.520833333333336
n310	305	1	0	88	19.772135416666668
n309	304	1	0	89	19.68619791666667
n308	303	1	0	96	19.600260416666668
n311	306	1	0	98	19.850260416666668
n314	310	1	0	88	20.089843749999996
n313	308	1	0	89	20.018229166666664
n312	307	1	0	96	19.930989583333332
n315	311	1	0	98	20.169270833333332
n324	309	1	0	48	20.119791666666664
n325	314	1	0	55	20.165364583333332
n326	313	1	0	58	20.1953125
n327	312	1	0	64	20.252604166666668
n319	321	1	0	91	20.57552083333333
n317	316	1	0	93	20.360677083333332
n318	318	1	0	94	20.470052083333332
n316	315	1	0	96	20.264322916666668
n344	317	1	0	41	20.518229166666664
n345	319	1	0	48	20.546874999999996
n346	320	1	0	57	20.615885416666664
n347	322	1	0	65	20.753906249999993
n331	326	1	0	84	21.02213541666666
n330	325	1	0	89	20.94401041666666
