xml_id	midi_id	track	channel	pitch	onset
n31	14	1	0	41	1.4687499999999998
n26	13	1	0	48	1.4674479166666665
n7	7	1	0	83	1.3697916666666665
n1	0	1	0	84	0.9947916666666666
n4	2	1	0	84	1.1445312499999998
n6	4	1	0	84	1.2330729166666665
insertion	6	1	0	84	1.3385416666666665
n8	8	1	0	84	1.4140625
n13	12	1	0	84	1.6835937499999998
n3	1	1	0	86	1.0624999999999998
n5	3	1	0	86	1.1770833333333333
insertion	5	1	0	86	1.2721354166666665
n12	11	1	0	89	1.6289062499999998
n11	10	1	0	91	1.5494791666666665
n10	9	1	0	93	1.4869791666666665
n17	19	1	0	72	1.9778645833333333
n16	18	1	0	77	1.9140624999999998
n15	17	1	0	79	1.8463541666666665
n14	16	1	0	81	1.7747395833333333
n27	20	1	0	47	2.0716145833333335
n28	21	1	0	48	2.0690104166666665
n21	25	1	0	60	2.298177083333334
n20	24	1	0	65	2.2304687500000004
n19	23	1	0	67	2.170572916666667
n18	22	1	0	69	2.0703125
n30	26	1	0	48	2.385416666666667
n25	30	1	0	48	2.6132812500000004
n24	29	1	0	53	2.5468750000000004
n23	28	1	0	55	2.4648437500000004
n22	27	1	0	57	2.389322916666667
n48	31	1	0	29	2.6718750000000004
n49	32	1	0	41	2.6888020833333335
n32	33	1	0	53	2.690104166666667
n33	34	1	0	55	2.76953125
n34	35	1	0	57	2.8242187499999996
n35	36	1	0	60	2.920572916666666
n51	42	1	0	48	3.2421874999999996
n50	40	1	0	50	2.998697916666666
n36	37	1	0	65	3.0091145833333326
n37	38	1	0	67	3.076822916666666
n38	39	1	0	69	3.147135416666666
n39	41	1	0	72	3.233072916666666
n52	44	1	0	57	3.3033854166666665
n40	43	1	0	77	3.3151041666666665
n41	45	1	0	79	3.37890625
n42	46	1	0	81	3.44921875
n43	47	1	0	84	3.549479166666667
n54	52	1	0	45	3.8359375000000004
n53	48	1	0	53	3.6184895833333335
n44	49	1	0	89	3.6184895833333335
n45	50	1	0	91	3.682291666666667
n47	53	1	0	91	3.834635416666667
n46	51	1	0	93	3.744791666666667
n76	59	1	0	41	3.8958333333333335
n71	58	1	0	48	3.90234375
n58	57	1	0	79	4.138020833333334
n57	56	1	0	81	4.055989583333334
n56	55	1	0	84	3.97265625
n55	54	1	0	89	3.9049479166666665
n62	63	1	0	67	4.434895833333333
n61	62	1	0	69	4.3515625
n60	61	1	0	72	4.279947916666667
n59	60	1	0	77	4.199218750000001
n72	65	1	0	47	4.515624999999999
n73	66	1	0	48	4.514322916666666
n66	69	1	0	55	4.751302083333332
n65	68	1	0	57	4.664062499999999
n64	67	1	0	60	4.578124999999999
n63	64	1	0	65	4.501302083333333
n75	71	1	0	48	4.829427083333332
n68	72	1	0	48	4.902343749999998
n67	70	1	0	53	4.830729166666665
n69	73	1	0	53	4.967447916666665
n70	74	1	0	57	5.031249999999998
n93	75	1	0	28	5.108072916666664
n94	77	1	0	40	5.122395833333331
n78	78	1	0	48	5.18098958333333
n77	76	1	0	55	5.102864583333331
n79	79	1	0	55	5.25520833333333
n80	80	1	0	57	5.33723958333333
n96	86	1	0	48	5.6562499999999964
n95	84	1	0	50	5.406249999999997
n81	81	1	0	58	5.41536458333333
n82	82	1	0	60	5.49348958333333
n83	83	1	0	67	5.5937499999999964
n84	85	1	0	69	5.6523437499999964
n97	88	1	0	55	5.7200520833333295
n85	87	1	0	70	5.7200520833333295
n86	89	1	0	72	5.805989583333329
n87	90	1	0	79	5.882812499999996
n88	91	1	0	81	5.9557291666666625
n98	93	1	0	62	6.015624999999996
n89	92	1	0	82	6.019531249999996
n90	94	1	0	84	6.105468749999996
n91	95	1	0	91	6.2005208333333295
n92	98	1	0	93	6.287760416666663
n115	96	1	0	40	6.2187499999999964
n116	97	1	0	48	6.2617187499999964
n118	101	1	0	60	6.358072916666663
n102	104	1	0	84	6.576822916666663
n101	103	1	0	91	6.5052083333333295
n100	102	1	0	93	6.4492187499999964
n99	100	1	0	94	6.3593749999999964
n106	108	1	0	72	6.874999999999996
n105	107	1	0	79	6.8177083333333295
n104	106	1	0	81	6.7526041666666625
n103	105	1	0	82	6.6666666666666625
n120	109	1	0	47	6.970052083333329
n121	110	1	0	48	6.964843749999996
n110	114	1	0	60	7.190104166666662
n109	113	1	0	67	7.132812499999996
n108	112	1	0	69	7.054687499999996
n107	111	1	0	70	6.966145833333329
n123	115	1	0	48	7.276041666666662
n114	119	1	0	48	7.4947916666666625
n113	118	1	0	55	7.438802083333329
n112	117	1	0	57	7.354166666666662
n111	116	1	0	58	7.272135416666662
n140	120	1	0	28	7.5585937499999964
n141	121	1	0	40	7.5950520833333295
n124	122	1	0	55	7.5911458333333295
n125	123	1	0	57	7.675781249999996
n126	124	1	0	58	7.742187499999996
n127	125	1	0	60	7.826822916666662
n143	131	1	0	48	8.105468749999993
n142	128	1	0	50	7.859374999999995
n128	126	1	0	67	7.914062499999995
n129	127	1	0	69	7.981770833333329
n130	129	1	0	70	8.04947916666666
n131	130	1	0	72	8.119791666666659
n144	133	1	0	58	8.175781249999993
n132	132	1	0	79	8.204427083333327
n133	134	1	0	81	8.26822916666666
n134	135	1	0	82	8.335937499999995
n135	136	1	0	84	8.40885416666666
n146	141	1	0	43	8.704427083333327
n145	137	1	0	55	8.493489583333327
n136	138	1	0	91	8.48697916666666
n137	139	1	0	93	8.558593749999993
n139	142	1	0	93	8.714843749999993
n138	140	1	0	94	8.626302083333327
n168	146	1	0	40	8.789062499999993
n163	149	1	0	48	8.769531249999993
n150	148	1	0	81	9.014322916666657
n149	145	1	0	82	8.937499999999991
n148	144	1	0	84	8.846354166666659
n147	143	1	0	91	8.785156249999993
n154	153	1	0	69	9.313802083333325
